id,rmbattle_mission_id,item_id,item_type,quantity,card_exp_init,description,gift_description
2014,2010,7,TrainingField,3,0,重力室(150倍) ×3,８ステージクリアしよう
2015,2011,1,AwakeningItem,20,0,【覚醒メダル】グレゴリー ×20,LEVEL1をクリアしよう
2016,2011,2,AwakeningItem,20,0,【覚醒メダル】バブルス ×20,LEVEL1をクリアしよう
2017,2011,3,AwakeningItem,20,0,【覚醒メダル】ドクターゲロ ×20,LEVEL1をクリアしよう
2018,2012,4,AwakeningItem,20,0,【覚醒メダル】ミスター・ポポ ×20,LEVEL1を2回クリアしよう
2019,2012,5,AwakeningItem,20,0,【覚醒メダル】鶴仙人 ×20,LEVEL1を2回クリアしよう
2020,2012,6,AwakeningItem,20,0,【覚醒メダル】亀仙人 ×20,LEVEL1を2回クリアしよう
2021,2012,7,AwakeningItem,20,0,【覚醒メダル】武泰斗 ×20,LEVEL1を2回クリアしよう
2022,2012,8,AwakeningItem,20,0,【覚醒メダル】孫悟飯(じいちゃん) ×20,LEVEL1を2回クリアしよう
2023,2013,9,AwakeningItem,20,0,【覚醒メダル】神様 ×20,LEVEL1を3回クリアしよう
2024,2013,10,AwakeningItem,20,0,【覚醒メダル】最長老 ×20,LEVEL1を3回クリアしよう
2025,2013,11,AwakeningItem,20,0,【覚醒メダル】バビディ ×20,LEVEL1を3回クリアしよう
2026,2013,12,AwakeningItem,20,0,【覚醒メダル】ビビディ ×20,LEVEL1を3回クリアしよう
2027,2013,13,AwakeningItem,20,0,【覚醒メダル】カリン ×20,LEVEL1を3回クリアしよう
2028,2014,1,PotentialItem,1000,0,速の潜在能力玉(小) ×1000,LEVEL2をクリアしよう
2029,2014,2,PotentialItem,1000,0,技の潜在能力玉(小) ×1000,LEVEL2をクリアしよう
2030,2014,3,PotentialItem,1000,0,知の潜在能力玉(小) ×1000,LEVEL2をクリアしよう
2031,2014,4,PotentialItem,1000,0,力の潜在能力玉(小) ×1000,LEVEL2をクリアしよう
2032,2014,5,PotentialItem,1000,0,体の潜在能力玉(小) ×1000,LEVEL2をクリアしよう
2033,2015,6,PotentialItem,500,0,速の潜在能力玉(中) ×500,LEVEL2を2回クリアしよう
2034,2015,7,PotentialItem,500,0,技の潜在能力玉(中) ×500,LEVEL2を2回クリアしよう
2035,2015,8,PotentialItem,500,0,知の潜在能力玉(中) ×500,LEVEL2を2回クリアしよう
2036,2015,9,PotentialItem,500,0,力の潜在能力玉(中) ×500,LEVEL2を2回クリアしよう
2037,2015,10,PotentialItem,500,0,体の潜在能力玉(中) ×500,LEVEL2を2回クリアしよう
2038,2016,11,PotentialItem,50,0,速の潜在能力玉(大) ×50,LEVEL2を3回クリアしよう
2039,2016,12,PotentialItem,50,0,技の潜在能力玉(大) ×50,LEVEL2を3回クリアしよう
2040,2016,13,PotentialItem,50,0,知の潜在能力玉(大) ×50,LEVEL2を3回クリアしよう
2041,2016,14,PotentialItem,50,0,力の潜在能力玉(大) ×50,LEVEL2を3回クリアしよう
2042,2016,15,PotentialItem,50,0,体の潜在能力玉(大) ×50,LEVEL2を3回クリアしよう
2043,2017,11,Point::Stone,10,0,龍石10個,LEVEL3をクリアしよう
2044,2018,19,AwakeningItem,2,0,【覚醒メダル】東の界王神 ×2,LEVEL3を2回クリアしよう
2045,2018,20,AwakeningItem,2,0,【覚醒メダル】老界王神 ×2,LEVEL3を2回クリアしよう
2046,2019,1003970,Card,1,0,【不思議な儀式】老界王神 ×1,LEVEL3を3回クリアしよう
3001,3001,11,Point::Stone,1,0,龍石1個,大乱戦に参加しよう
3002,3002,2000,TreasureItem,5000,0,激闘の記憶5000個,[ウィークリー]３ステージクリア
3003,3003,900,TrainingItem,1,0,ゼットソード[速] ×1,１ステージクリアしよう
3004,3003,901,TrainingItem,1,0,ゼットソード[技] ×1,１ステージクリアしよう
3005,3003,902,TrainingItem,1,0,ゼットソード[知] ×1,１ステージクリアしよう
3006,3003,903,TrainingItem,1,0,ゼットソード[力] ×1,１ステージクリアしよう
3007,3003,904,TrainingItem,1,0,ゼットソード[体] ×1,１ステージクリアしよう
3008,3004,11,Point::Stone,3,0,龍石3個,２ステージクリアしよう
3009,3005,1002630,Card,1,765122,【100万ゼニー】サタン像(金) ×1,３ステージクリアしよう
3010,3006,1005480,Card,1,765122,【150万ゼニー】サタン像(プラチナ) ×1,４ステージクリアしよう
3011,3007,11,Point::Stone,5,0,龍石5個,５ステージクリアしよう
3012,3008,19,AwakeningItem,1,0,【覚醒メダル】東の界王神 ×1,６ステージクリアしよう
3013,3009,20,AwakeningItem,1,0,【覚醒メダル】老界王神 ×1,７ステージクリアしよう
3014,3010,7,TrainingField,3,0,重力室(150倍) ×3,８ステージクリアしよう
3015,3011,1013400,Card,3,0,【かすかな寝息】老界王神(居眠り) ×3,９ステージクリアしよう
3016,3012,1,AwakeningItem,20,0,【覚醒メダル】グレゴリー ×20,LEVEL1をクリアしよう
3017,3012,2,AwakeningItem,20,0,【覚醒メダル】バブルス ×20,LEVEL1をクリアしよう
3018,3012,3,AwakeningItem,20,0,【覚醒メダル】ドクターゲロ ×20,LEVEL1をクリアしよう
3019,3013,4,AwakeningItem,20,0,【覚醒メダル】ミスター・ポポ ×20,LEVEL1を2回クリアしよう
3020,3013,5,AwakeningItem,20,0,【覚醒メダル】鶴仙人 ×20,LEVEL1を2回クリアしよう
3021,3013,6,AwakeningItem,20,0,【覚醒メダル】亀仙人 ×20,LEVEL1を2回クリアしよう
3022,3013,7,AwakeningItem,20,0,【覚醒メダル】武泰斗 ×20,LEVEL1を2回クリアしよう
3023,3013,8,AwakeningItem,20,0,【覚醒メダル】孫悟飯(じいちゃん) ×20,LEVEL1を2回クリアしよう
3024,3014,9,AwakeningItem,20,0,【覚醒メダル】神様 ×20,LEVEL1を3回クリアしよう
3025,3014,10,AwakeningItem,20,0,【覚醒メダル】最長老 ×20,LEVEL1を3回クリアしよう
3026,3014,11,AwakeningItem,20,0,【覚醒メダル】バビディ ×20,LEVEL1を3回クリアしよう
3027,3014,12,AwakeningItem,20,0,【覚醒メダル】ビビディ ×20,LEVEL1を3回クリアしよう
3028,3014,13,AwakeningItem,20,0,【覚醒メダル】カリン ×20,LEVEL1を3回クリアしよう
3029,3015,1,PotentialItem,1000,0,速の潜在能力玉(小) ×1000,LEVEL2をクリアしよう
3030,3015,2,PotentialItem,1000,0,技の潜在能力玉(小) ×1000,LEVEL2をクリアしよう
3031,3015,3,PotentialItem,1000,0,知の潜在能力玉(小) ×1000,LEVEL2をクリアしよう
3032,3015,4,PotentialItem,1000,0,力の潜在能力玉(小) ×1000,LEVEL2をクリアしよう
3033,3015,5,PotentialItem,1000,0,体の潜在能力玉(小) ×1000,LEVEL2をクリアしよう
3034,3016,6,PotentialItem,500,0,速の潜在能力玉(中) ×500,LEVEL2を2回クリアしよう
3035,3016,7,PotentialItem,500,0,技の潜在能力玉(中) ×500,LEVEL2を2回クリアしよう
3036,3016,8,PotentialItem,500,0,知の潜在能力玉(中) ×500,LEVEL2を2回クリアしよう
3037,3016,9,PotentialItem,500,0,力の潜在能力玉(中) ×500,LEVEL2を2回クリアしよう
3038,3016,10,PotentialItem,500,0,体の潜在能力玉(中) ×500,LEVEL2を2回クリアしよう
3039,3017,11,PotentialItem,50,0,速の潜在能力玉(大) ×50,LEVEL2を3回クリアしよう
3040,3017,12,PotentialItem,50,0,技の潜在能力玉(大) ×50,LEVEL2を3回クリアしよう
3041,3017,13,PotentialItem,50,0,知の潜在能力玉(大) ×50,LEVEL2を3回クリアしよう
3042,3017,14,PotentialItem,50,0,力の潜在能力玉(大) ×50,LEVEL2を3回クリアしよう
3043,3017,15,PotentialItem,50,0,体の潜在能力玉(大) ×50,LEVEL2を3回クリアしよう
3044,3018,11,Point::Stone,10,0,龍石10個,LEVEL3をクリアしよう
3045,3019,19,AwakeningItem,2,0,【覚醒メダル】東の界王神 ×2,LEVEL3を2回クリアしよう
3046,3019,20,AwakeningItem,2,0,【覚醒メダル】老界王神 ×2,LEVEL3を2回クリアしよう
3047,3020,1003970,Card,1,0,【不思議な儀式】老界王神 ×1,LEVEL3を3回クリアしよう
4001,4001,11,Point::Stone,1,0,龍石1個,大乱戦に参加しよう
4002,4002,2000,TreasureItem,5000,0,激闘の記憶5000個,[ウィークリー]ステージ3回クリア
4003,4003,900,TrainingItem,1,0,ゼットソード[速] ×1,ステージ1回クリア
4004,4003,901,TrainingItem,1,0,ゼットソード[技] ×1,ステージ1回クリア
4005,4003,902,TrainingItem,1,0,ゼットソード[知] ×1,ステージ1回クリア
4006,4003,903,TrainingItem,1,0,ゼットソード[力] ×1,ステージ1回クリア
4007,4003,904,TrainingItem,1,0,ゼットソード[体] ×1,ステージ1回クリア
4008,4004,11,Point::Stone,3,0,龍石3個,ステージ2回クリア
4009,4005,1002630,Card,1,765122,【100万ゼニー】サタン像(金) ×1,ステージ3回クリア
4010,4006,1005480,Card,1,765122,【150万ゼニー】サタン像(プラチナ) ×1,ステージ4回クリア
4011,4007,11,Point::Stone,5,0,龍石5個,ステージ5回クリア
4012,4008,19,AwakeningItem,1,0,【覚醒メダル】東の界王神 ×1,ステージ6回クリア
4013,4009,20,AwakeningItem,1,0,【覚醒メダル】老界王神 ×1,ステージ7回クリア
4014,4010,7,TrainingField,3,0,重力室(150倍) ×3,ステージ8回クリア
4015,4011,1013400,Card,3,0,【かすかな寝息】老界王神(居眠り) ×3,ステージ9回クリア
4016,4012,1,AwakeningItem,20,0,【覚醒メダル】グレゴリー ×20,LEVEL1をクリア
4017,4012,2,AwakeningItem,20,0,【覚醒メダル】バブルス ×20,LEVEL1をクリア
4018,4012,3,AwakeningItem,20,0,【覚醒メダル】ドクターゲロ ×20,LEVEL1をクリア
4019,4013,4,AwakeningItem,20,0,【覚醒メダル】ミスター・ポポ ×20,LEVEL1を2回クリア
4020,4013,5,AwakeningItem,20,0,【覚醒メダル】鶴仙人 ×20,LEVEL1を2回クリア
4021,4013,6,AwakeningItem,20,0,【覚醒メダル】亀仙人 ×20,LEVEL1を2回クリア
4022,4013,7,AwakeningItem,20,0,【覚醒メダル】武泰斗 ×20,LEVEL1を2回クリア
4023,4013,8,AwakeningItem,20,0,【覚醒メダル】孫悟飯(じいちゃん) ×20,LEVEL1を2回クリア
4024,4014,9,AwakeningItem,20,0,【覚醒メダル】神様 ×20,LEVEL1を3回クリア
4025,4014,10,AwakeningItem,20,0,【覚醒メダル】最長老 ×20,LEVEL1を3回クリア
4026,4014,11,AwakeningItem,20,0,【覚醒メダル】バビディ ×20,LEVEL1を3回クリア
4027,4014,12,AwakeningItem,20,0,【覚醒メダル】ビビディ ×20,LEVEL1を3回クリア
4028,4014,13,AwakeningItem,20,0,【覚醒メダル】カリン ×20,LEVEL1を3回クリア
4029,4015,1,PotentialItem,1000,0,速の潜在能力玉(小) ×1000,LEVEL2をクリア
4030,4015,2,PotentialItem,1000,0,技の潜在能力玉(小) ×1000,LEVEL2をクリア
4031,4015,3,PotentialItem,1000,0,知の潜在能力玉(小) ×1000,LEVEL2をクリア
4032,4015,4,PotentialItem,1000,0,力の潜在能力玉(小) ×1000,LEVEL2をクリア
4033,4015,5,PotentialItem,1000,0,体の潜在能力玉(小) ×1000,LEVEL2をクリア
4034,4016,6,PotentialItem,500,0,速の潜在能力玉(中) ×500,LEVEL2を2回クリア
4035,4016,7,PotentialItem,500,0,技の潜在能力玉(中) ×500,LEVEL2を2回クリア
4036,4016,8,PotentialItem,500,0,知の潜在能力玉(中) ×500,LEVEL2を2回クリア
4037,4016,9,PotentialItem,500,0,力の潜在能力玉(中) ×500,LEVEL2を2回クリア
4038,4016,10,PotentialItem,500,0,体の潜在能力玉(中) ×500,LEVEL2を2回クリア
4039,4017,11,PotentialItem,50,0,速の潜在能力玉(大) ×50,LEVEL2を3回クリア
4040,4017,12,PotentialItem,50,0,技の潜在能力玉(大) ×50,LEVEL2を3回クリア
4041,4017,13,PotentialItem,50,0,知の潜在能力玉(大) ×50,LEVEL2を3回クリア
4042,4017,14,PotentialItem,50,0,力の潜在能力玉(大) ×50,LEVEL2を3回クリア
4043,4017,15,PotentialItem,50,0,体の潜在能力玉(大) ×50,LEVEL2を3回クリア
4044,4018,11,Point::Stone,10,0,龍石10個,LEVEL3をクリア
4045,4019,19,AwakeningItem,2,0,【覚醒メダル】東の界王神 ×2,LEVEL3を2回クリア
4046,4019,20,AwakeningItem,2,0,【覚醒メダル】老界王神 ×2,LEVEL3を2回クリア
4047,4020,1003970,Card,1,0,【不思議な儀式】老界王神 ×1,LEVEL3を3回クリア
5001,5001,11,Point::Stone,1,0,龍石1個,大乱戦に参加しよう
5002,5002,2000,TreasureItem,1000,0,激闘の記憶1000個,[ウィークリー]ステージ1回クリア
5003,5003,2000,TreasureItem,2000,0,激闘の記憶2000個,[ウィークリー]ステージ2回クリア
5004,5004,2000,TreasureItem,3000,0,激闘の記憶3000個,[ウィークリー]ステージ3回クリア
5005,5005,900,TrainingItem,1,0,ゼットソード[速] ×1,ステージ1回クリア
5006,5005,901,TrainingItem,1,0,ゼットソード[技] ×1,ステージ1回クリア
5007,5005,902,TrainingItem,1,0,ゼットソード[知] ×1,ステージ1回クリア
5008,5005,903,TrainingItem,1,0,ゼットソード[力] ×1,ステージ1回クリア
5009,5005,904,TrainingItem,1,0,ゼットソード[体] ×1,ステージ1回クリア
5010,5006,11,Point::Stone,3,0,龍石3個,ステージ2回クリア
5011,5007,1002630,Card,1,765122,【100万ゼニー】サタン像(金) ×1,ステージ3回クリア
5012,5008,1005480,Card,1,765122,【150万ゼニー】サタン像(プラチナ) ×1,ステージ4回クリア
5013,5009,11,Point::Stone,5,0,龍石5個,ステージ5回クリア
5014,5010,19,AwakeningItem,1,0,【覚醒メダル】東の界王神 ×1,ステージ6回クリア
5015,5011,20,AwakeningItem,1,0,【覚醒メダル】老界王神 ×1,ステージ7回クリア
5016,5012,7,TrainingField,3,0,重力室(150倍) ×3,ステージ8回クリア
5017,5013,1013400,Card,3,0,【かすかな寝息】老界王神(居眠り) ×3,ステージ9回クリア
5018,5014,1003970,Card,1,0,【不思議な儀式】老界王神 ×1,ステージ10回クリア
5019,5015,1,AwakeningItem,20,0,【覚醒メダル】グレゴリー ×20,LEVEL1をクリア
5020,5015,2,AwakeningItem,20,0,【覚醒メダル】バブルス ×20,LEVEL1をクリア
5021,5015,3,AwakeningItem,20,0,【覚醒メダル】ドクターゲロ ×20,LEVEL1をクリア
5022,5016,4,AwakeningItem,20,0,【覚醒メダル】ミスター・ポポ ×20,LEVEL1を2回クリア
5023,5016,5,AwakeningItem,20,0,【覚醒メダル】鶴仙人 ×20,LEVEL1を2回クリア
5024,5016,6,AwakeningItem,20,0,【覚醒メダル】亀仙人 ×20,LEVEL1を2回クリア
5025,5016,7,AwakeningItem,20,0,【覚醒メダル】武泰斗 ×20,LEVEL1を2回クリア
5026,5016,8,AwakeningItem,20,0,【覚醒メダル】孫悟飯(じいちゃん) ×20,LEVEL1を2回クリア
5027,5017,9,AwakeningItem,20,0,【覚醒メダル】神様 ×20,LEVEL1を3回クリア
5028,5017,10,AwakeningItem,20,0,【覚醒メダル】最長老 ×20,LEVEL1を3回クリア
5029,5017,11,AwakeningItem,20,0,【覚醒メダル】バビディ ×20,LEVEL1を3回クリア
5030,5017,12,AwakeningItem,20,0,【覚醒メダル】ビビディ ×20,LEVEL1を3回クリア
5031,5017,13,AwakeningItem,20,0,【覚醒メダル】カリン ×20,LEVEL1を3回クリア
5032,5018,1,PotentialItem,1000,0,速の潜在能力玉(小) ×1000,LEVEL2をクリア
5033,5018,2,PotentialItem,1000,0,技の潜在能力玉(小) ×1000,LEVEL2をクリア
5034,5018,3,PotentialItem,1000,0,知の潜在能力玉(小) ×1000,LEVEL2をクリア
5035,5018,4,PotentialItem,1000,0,力の潜在能力玉(小) ×1000,LEVEL2をクリア
5036,5018,5,PotentialItem,1000,0,体の潜在能力玉(小) ×1000,LEVEL2をクリア
5037,5019,6,PotentialItem,500,0,速の潜在能力玉(中) ×500,LEVEL2を2回クリア
5038,5019,7,PotentialItem,500,0,技の潜在能力玉(中) ×500,LEVEL2を2回クリア
5039,5019,8,PotentialItem,500,0,知の潜在能力玉(中) ×500,LEVEL2を2回クリア
5040,5019,9,PotentialItem,500,0,力の潜在能力玉(中) ×500,LEVEL2を2回クリア
5041,5019,10,PotentialItem,500,0,体の潜在能力玉(中) ×500,LEVEL2を2回クリア
5042,5020,11,PotentialItem,50,0,速の潜在能力玉(大) ×50,LEVEL2を3回クリア
5043,5020,12,PotentialItem,50,0,技の潜在能力玉(大) ×50,LEVEL2を3回クリア
5044,5020,13,PotentialItem,50,0,知の潜在能力玉(大) ×50,LEVEL2を3回クリア
5045,5020,14,PotentialItem,50,0,力の潜在能力玉(大) ×50,LEVEL2を3回クリア
5046,5020,15,PotentialItem,50,0,体の潜在能力玉(大) ×50,LEVEL2を3回クリア
5047,5021,11,Point::Stone,12,0,龍石12個,LEVEL3をクリア
5048,5022,19,AwakeningItem,2,0,【覚醒メダル】東の界王神 ×2,LEVEL3を2回クリア
5049,5022,20,AwakeningItem,2,0,【覚醒メダル】老界王神 ×2,LEVEL3を2回クリア
5050,5023,1003970,Card,1,0,【不思議な儀式】老界王神 ×1,LEVEL3を3回クリア
6001,6001,11,Point::Stone,1,0,龍石1個,大乱戦に参加しよう
6002,6002,2000,TreasureItem,1000,0,激闘の記憶1000個,[ウィークリー]ステージ1回クリア
6003,6003,2000,TreasureItem,2000,0,激闘の記憶2000個,[ウィークリー]ステージ2回クリア
6004,6004,2000,TreasureItem,3000,0,激闘の記憶3000個,[ウィークリー]ステージ3回クリア
6005,6005,900,TrainingItem,1,0,ゼットソード[速] ×1,ステージ1回クリア
6006,6005,901,TrainingItem,1,0,ゼットソード[技] ×1,ステージ1回クリア
6007,6005,902,TrainingItem,1,0,ゼットソード[知] ×1,ステージ1回クリア
6008,6005,903,TrainingItem,1,0,ゼットソード[力] ×1,ステージ1回クリア
6009,6005,904,TrainingItem,1,0,ゼットソード[体] ×1,ステージ1回クリア
6010,6006,11,Point::Stone,3,0,龍石3個,ステージ2回クリア
6011,6007,1002630,Card,1,765122,【100万ゼニー】サタン像(金) ×1,ステージ3回クリア
6012,6008,1005480,Card,1,765122,【150万ゼニー】サタン像(プラチナ) ×1,ステージ4回クリア
6013,6009,11,Point::Stone,5,0,龍石5個,ステージ5回クリア
6014,6010,19,AwakeningItem,1,0,【覚醒メダル】東の界王神 ×1,ステージ6回クリア
6015,6011,20,AwakeningItem,1,0,【覚醒メダル】老界王神 ×1,ステージ7回クリア
6016,6012,7,TrainingField,3,0,重力室(150倍) ×3,ステージ8回クリア
6017,6013,1013400,Card,3,0,【かすかな寝息】老界王神(居眠り) ×3,ステージ9回クリア
6018,6014,1003970,Card,1,0,【不思議な儀式】老界王神 ×1,ステージ10回クリア
6019,6015,1,AwakeningItem,20,0,【覚醒メダル】グレゴリー ×20,LEVEL1をクリア
6020,6015,2,AwakeningItem,20,0,【覚醒メダル】バブルス ×20,LEVEL1をクリア
6021,6015,3,AwakeningItem,20,0,【覚醒メダル】ドクターゲロ ×20,LEVEL1をクリア
6022,6016,4,AwakeningItem,20,0,【覚醒メダル】ミスター・ポポ ×20,LEVEL1を2回クリア
6023,6016,5,AwakeningItem,20,0,【覚醒メダル】鶴仙人 ×20,LEVEL1を2回クリア
6024,6016,6,AwakeningItem,20,0,【覚醒メダル】亀仙人 ×20,LEVEL1を2回クリア
6025,6016,7,AwakeningItem,20,0,【覚醒メダル】武泰斗 ×20,LEVEL1を2回クリア
6026,6016,8,AwakeningItem,20,0,【覚醒メダル】孫悟飯(じいちゃん) ×20,LEVEL1を2回クリア
6027,6017,9,AwakeningItem,20,0,【覚醒メダル】神様 ×20,LEVEL1を3回クリア
6028,6017,10,AwakeningItem,20,0,【覚醒メダル】最長老 ×20,LEVEL1を3回クリア
6029,6017,11,AwakeningItem,20,0,【覚醒メダル】バビディ ×20,LEVEL1を3回クリア
6030,6017,12,AwakeningItem,20,0,【覚醒メダル】ビビディ ×20,LEVEL1を3回クリア
6031,6017,13,AwakeningItem,20,0,【覚醒メダル】カリン ×20,LEVEL1を3回クリア
6032,6018,1,PotentialItem,1000,0,速の潜在能力玉(小) ×1000,LEVEL2をクリア
6033,6018,2,PotentialItem,1000,0,技の潜在能力玉(小) ×1000,LEVEL2をクリア
6034,6018,3,PotentialItem,1000,0,知の潜在能力玉(小) ×1000,LEVEL2をクリア
6035,6018,4,PotentialItem,1000,0,力の潜在能力玉(小) ×1000,LEVEL2をクリア
6036,6018,5,PotentialItem,1000,0,体の潜在能力玉(小) ×1000,LEVEL2をクリア
6037,6019,6,PotentialItem,500,0,速の潜在能力玉(中) ×500,LEVEL2を2回クリア
6038,6019,7,PotentialItem,500,0,技の潜在能力玉(中) ×500,LEVEL2を2回クリア
6039,6019,8,PotentialItem,500,0,知の潜在能力玉(中) ×500,LEVEL2を2回クリア
6040,6019,9,PotentialItem,500,0,力の潜在能力玉(中) ×500,LEVEL2を2回クリア
6041,6019,10,PotentialItem,500,0,体の潜在能力玉(中) ×500,LEVEL2を2回クリア
6042,6020,11,PotentialItem,50,0,速の潜在能力玉(大) ×50,LEVEL2を3回クリア
6043,6020,12,PotentialItem,50,0,技の潜在能力玉(大) ×50,LEVEL2を3回クリア
6044,6020,13,PotentialItem,50,0,知の潜在能力玉(大) ×50,LEVEL2を3回クリア
6045,6020,14,PotentialItem,50,0,力の潜在能力玉(大) ×50,LEVEL2を3回クリア
6046,6020,15,PotentialItem,50,0,体の潜在能力玉(大) ×50,LEVEL2を3回クリア
6047,6021,11,Point::Stone,12,0,龍石12個,LEVEL3をクリア
6048,6022,19,AwakeningItem,2,0,【覚醒メダル】東の界王神 ×2,LEVEL3を2回クリア
6049,6022,20,AwakeningItem,2,0,【覚醒メダル】老界王神 ×2,LEVEL3を2回クリア
6050,6023,1003970,Card,1,0,【不思議な儀式】老界王神 ×1,LEVEL3を3回クリア
7001,7001,11,Point::Stone,1,0,龍石1個,大乱戦に参加しよう
7002,7002,2000,TreasureItem,1000,0,激闘の記憶1000個,[ウィークリー]ステージ1回クリア
7003,7003,2000,TreasureItem,2000,0,激闘の記憶2000個,[ウィークリー]ステージ2回クリア
7004,7004,2000,TreasureItem,3000,0,激闘の記憶3000個,[ウィークリー]ステージ3回クリア
7005,7005,900,TrainingItem,1,0,ゼットソード[速] ×1,ステージ1回クリア
7006,7005,901,TrainingItem,1,0,ゼットソード[技] ×1,ステージ1回クリア
7007,7005,902,TrainingItem,1,0,ゼットソード[知] ×1,ステージ1回クリア
7008,7005,903,TrainingItem,1,0,ゼットソード[力] ×1,ステージ1回クリア
7009,7005,904,TrainingItem,1,0,ゼットソード[体] ×1,ステージ1回クリア
7010,7006,11,Point::Stone,3,0,龍石3個,ステージ2回クリア
7011,7007,1002630,Card,1,765122,【100万ゼニー】サタン像(金) ×1,ステージ3回クリア
7012,7008,1005480,Card,1,765122,【150万ゼニー】サタン像(プラチナ) ×1,ステージ4回クリア
7013,7009,11,Point::Stone,5,0,龍石5個,ステージ5回クリア
