id,title,description,weight,image_name,start_at,end_at
26,先制攻撃ガード,"敵が一番前の攻撃順の時は
味方の中の先頭のキャラクターが攻撃を受けます。
相性を考えガードを狙っていきましょう！",10,,2024-01-29 04:00:00,2030-01-01 00:00:00
27,攻撃防御,"敵からの攻撃は直前に攻撃した味方キャラクターが防御します。
防御の時も属性の相性が大切です！",10,,2024-01-29 04:00:00,2030-01-01 00:00:00
28,回復,自分の属性と同じ気の玉を集めるとHPが少し回復します。,10,,2024-01-29 04:00:00,2030-01-01 00:00:00
29,BOSS戦,"手ごわいBOSSが仲間を連れている時は、
BOSS以外の敵を先に倒しましょう。
攻撃される回数が減りますよ。",10,,2024-01-29 04:00:00,2030-01-01 00:00:00
30,気の量,"100％の力で攻撃するために必要な気の量は
キャラクターによって異なります。
キャラクター詳細で確認しておきましょう。",10,,2024-01-29 04:00:00,2030-01-01 00:00:00
31,亀仙人の教え,"攻略のヒントが集まっているページです。
マイページのバナーを押してみてください。",10,,2024-01-29 04:00:00,2030-01-01 00:00:00
32,マップの拡大縮小,"スゴロクマップ上でピンチイン・ピンチアウトをすると
マップを拡大・縮小する事ができます。",10,,2024-01-29 04:00:00,2030-01-01 00:00:00
33,ホイポイカプセルの色,"マップ上に落ちている金のカプセルからは
珍しいアイテムやメダルが手に入ります。
白よりも銅、銅よりも銀、銀よりも金を拾って行きたいですね！",10,,2024-01-29 04:00:00,2030-01-01 00:00:00
34,ホイポイカプセルのラベル,"マップ上に落ちてるカプセルはラベルで中身が判別できます。
赤だと修業アイテム、青だとサポートアイテム、
紫なら覚醒メダルが入っていますよ！",10,,2024-01-29 04:00:00,2030-01-01 00:00:00
35,一括ダウンロード,"データを予めダウンロードしておくことで、
一部の読み込み時間を短縮することができます。
タイトル画面の「一括ダウンロード」ボタンからお試し下さい！",10,,2024-01-29 04:00:00,2030-01-01 00:00:00
36,覚醒後の属性,"キャラクターを覚醒させると
それぞれの属性に「超」か「極」がついて
より強い属性になりますよ！",10,tips_image_07,2024-01-29 04:00:00,2030-01-01 00:00:00
37,気の玉の確認,"気の玉が並んだ手前一列目はロングタップすると
どんな軌道で気の玉を取得できるか確認できますよ。
一度確認してから戦闘を進めるのもテクニックの一つです！",10,tips_image_08,2021-10-05 08:00:00,2021-11-14 00:00:00
38,占いババの交換所,"占いババさんの交換所では様々なアイテムが手に入ります！
稀に割引が行われていて、お得にアイテムをゲットできますよ！",10,,2024-01-29 04:00:00,2030-01-01 00:00:00
39,潜在能力解放,"レアリティUR以上のキャラクターは「潜在能力解放」ができます。
キャラクターを更に強力にできますから、
積極的に潜在能力解放をしていきましょう！",10,tips_image_09,2021-10-05 08:00:00,2021-11-14 00:00:00
40,Facebook連携,"データ引き継ぎにはFacebook連携もできます。
万が一に備えて登録しておくと良いですよ。",10,,2024-01-29 04:00:00,2030-01-01 00:00:00
41,サムネイルアイコン,"潜在能力解放を進めるとサムネイルアイコンの星が輝きます。
虹色の輝きは全解放した証ですよ！",10,tips_image_10,2024-01-29 04:00:00,2030-01-01 00:00:00
42,図鑑,図鑑では仲間にしたことのあるキャラクターを確認できます。,10,,2024-01-29 04:00:00,2030-01-01 00:00:00
43,ステータスアイコン,"状態異常などの効果は
キャラクターにアイコンがついて知らせてくれます！
ヘルプにアイコン一覧がありますから、確認してみてください。",10,,2024-01-29 04:00:00,2030-01-01 00:00:00
44,修業,"修業アイテムや修業場所を使うことで効率よく修業ができますよ。
修業アイテムを集めやすいイベントもあるとか…
効率的に修業してチームを強化していきましょう！",10,,2024-01-29 04:00:00,2030-01-01 00:00:00
45,コンティニュー,"敵に負けた時、龍石を使用してコンティニューができます。
どうしても敵に勝てない時はコンティニューを活用しましょう。",10,,2024-01-29 04:00:00,2030-01-01 00:00:00
46,必殺技Lv,"必殺技のLvをあげると、必殺技の威力があがりますよ！
Lvをあげると追加効果が発動するキャラクターもいます。
積極的に必殺技Lvをあげてチームを強化しましょう！",10,tips_image_11,2024-01-29 04:00:00,2030-01-01 00:00:00
47,DOKKAN覚醒,"「DOKKAN覚醒」はキャラクターをさらに強くできる特別な
覚醒です！覚醒できるキャラクターが仲間になったら
ぜひ「DOKKAN覚醒」を目指してみてください！",10,tips_image_12,2024-01-29 04:00:00,2030-01-01 00:00:00
48,ミスター・サタン像,"「ミスター・サタン像」にはいくつか種類がありますが
どれも売却することで大量のゼニーが手に入りますよ！",10,,2024-01-29 04:00:00,2030-01-01 00:00:00
49,老界王神,"必殺技Lvをあげたい時は
「老界王神」様と修業するのがおすすめです。",10,tips_image_13,2024-01-29 04:00:00,2030-01-01 00:00:00
50,カテゴリの特殊効果,"特定のカテゴリに属するキャラクターを編成しておくと
追加ドロップなどの効果が得られるステージもありますよ。
特殊効果のあるステージは要チェックですね！",10,tips_image_14,2024-01-29 04:00:00,2030-01-01 00:00:00
51,潜在能力一括解放,"「潜在能力解放」では
タップしたマスまでを一括で選択することができます。
少しずつ強化するも良し、一気にまとめて強化するも良しですね！",10,tips_image_15,2021-10-05 08:00:00,2021-11-14 00:00:00
52,極限Zバトルとは？,"極限Zバトルをクリアすることで、一部のキャラクターは
極限Z覚醒ができるようになります！
これまで以上の力を発揮できるようになりますよ！",10,tips_image_16,2024-01-29 04:00:00,2030-01-01 00:00:00
53,所持アイテム確認,"バトル中やすごろく上でもMENUボタンから
アイテムの所持数を確認することができますよ。",10,,2024-01-29 04:00:00,2030-01-01 00:00:00
54,交換ptの増やし方,交換pt,10,tips_image_17,2024-01-29 04:00:00,2030-01-01 00:00:00
55,おすすめキャラクター機能,おすすめキャラクター,10,tips_image_18,2021-10-05 08:00:00,2021-11-14 00:00:00
56,育成メニュー,育成メニュー,10,tips_image_19,2024-01-29 04:00:00,2030-01-01 00:00:00
57,覚醒メダルからのイベント挑戦,覚醒メダルからイベント挑戦,10,tips_image_20,2024-01-29 04:00:00,2030-01-01 00:00:00
58,4周年カウントダウン_7日,4周年まであと7日!!,100,4th_countdown_tips_image_20190122,2019-01-22 06:00:00,2019-01-23 05:59:59
59,4周年カウントダウン_6日,4周年まであと6日!!,100,4th_countdown_tips_image_20190123,2019-01-23 06:00:00,2019-01-24 05:59:59
60,4周年カウントダウン_5日,4周年まであと5日!!,100,4th_countdown_tips_image_20190124,2019-01-24 06:00:00,2019-01-25 05:59:59
61,4周年カウントダウン_4日,4周年まであと4日!!,100,4th_countdown_tips_image_20190125,2019-01-25 06:00:00,2019-01-26 05:59:59
62,4周年カウントダウン_3日,4周年まであと3日!!,100,4th_countdown_tips_image_20190126,2019-01-26 06:00:00,2019-01-27 05:59:59
63,4周年カウントダウン_2日,4周年まであと2日!!,100,4th_countdown_tips_image_20190127,2019-01-27 06:00:00,2019-01-28 05:59:59
64,4周年カウントダウン_1日,4周年まであと1日!!,100,4th_countdown_tips_image_20190128,2019-01-28 06:00:00,2019-01-28 14:59:59
65,ドラゴンボール集め_1日,六星球を手に入れた!!,100,dragonball_gt_image_20190215,2019-02-15 06:00:00,2019-02-16 05:59:59
66,ドラゴンボール集め_2日,二星球を手に入れた!!,100,dragonball_gt_image_20190216,2019-02-16 06:00:00,2019-02-17 05:59:59
67,ドラゴンボール集め_3日,四星球を手に入れた!!,100,dragonball_gt_image_20190217,2019-02-17 06:00:00,2019-02-18 05:59:59
68,ドラゴンボール集め_4日,五星球を手に入れた!!,100,dragonball_gt_image_20190218,2019-02-18 06:00:00,2019-02-19 05:59:59
69,ドラゴンボール集め_5日,一星球を手に入れた!!,100,dragonball_gt_image_20190219,2019-02-19 06:00:00,2019-02-20 05:59:59
70,ドラゴンボール集め_6日,七星球を手に入れた!!,100,dragonball_gt_image_20190220,2019-02-20 06:00:00,2019-02-21 05:59:59
71,ドラゴンボール集め_7日,全てのドラゴンボールが集まった…,100,dragonball_gt_image_20190221,2019-02-21 06:00:00,2019-02-21 14:59:59
72,超一星龍レイドバトル_2日,チャレンジ終了まであと4日!!,100,first_zbattle_20190222,2019-02-21 15:00:00,2019-02-22 14:59:59
73,超一星龍レイドバトル_3日,チャレンジ終了まであと3日!!,100,first_zbattle_20190223,2019-02-22 15:00:00,2019-02-23 14:59:59
74,超一星龍レイドバトル_4日,チャレンジ終了まであと2日!!,100,first_zbattle_20190224,2019-02-23 15:00:00,2019-02-24 14:59:59
75,超一星龍レイドバトル_5日,チャレンジ最終日!!,100,first_zbattle_20190225,2019-02-24 15:00:00,2019-02-25 14:59:59
76,4周年まとめ,4周年まとめ,100,4th_aniversary_image_A,2019-02-25 15:00:00,2019-03-05 07:59:59
77,4周年まとめ,4周年まとめ,100,4th_aniversary_image_B,2019-02-25 15:00:00,2019-03-05 07:59:59
78,4周年まとめ,4周年まとめ,100,4th_aniversary_image_C,2019-02-25 15:00:00,2019-03-05 07:59:59
79,4周年まとめ,4周年まとめ,100,4th_aniversary_image_D,2019-02-25 15:00:00,2019-03-05 07:59:59
80,4周年まとめ,4周年まとめ,100,4th_aniversary_image_E,2019-02-25 15:00:00,2019-03-05 07:59:59
81,報酬ブースト,報酬ブースト,10,tips_image_22,2024-01-29 04:00:00,2030-01-01 00:00:00
82,エイプリルフールCP_typeA_4/2,エイプリルフールCP_typeA_4/2,50,April_Fool_Tips_A,2019-04-01 15:00:00,2019-04-02 14:59:59
83,エイプリルフールCP_typeB_4/2,エイプリルフールCP_typeB_4/2,50,April_Fool_Tips_B,2019-04-01 15:00:00,2019-04-02 14:59:59
84,エイプリルフールCP_typeA_4/3以降,エイプリルフールCP_typeA_4/3以降,10,April_Fool_Tips_A,2019-04-02 15:00:00,2019-04-09 07:59:59
85,エイプリルフールCP_typeB_4/3以降,エイプリルフールCP_typeB_4/3以降,10,April_Fool_Tips_B,2019-04-02 15:00:00,2019-04-09 07:59:59
86,アクティブスキル,アクティブスキル,10,tips_image_21,2021-10-05 08:00:00,2021-11-14 00:00:00
87,3億DLCPカウントダウン 7日,全世界3億DLCPまであと7日！,100,3dl_countdown_tips_image_20190820,2019-08-20 05:00:00,2019-08-21 04:59:59
88,3億DLCPカウントダウン 6日,全世界3億DLCPまであと6日！,100,3dl_countdown_tips_image_20190821,2019-08-21 05:00:00,2019-08-22 04:59:59
89,3億DLCPカウントダウン 5日,全世界3億DLCPまであと5日！,100,3dl_countdown_tips_image_20190822,2019-08-22 05:00:00,2019-08-23 04:59:59
90,3億DLCPカウントダウン 4日,全世界3億DLCPまであと4日！,100,3dl_countdown_tips_image_20190823,2019-08-23 05:00:00,2019-08-24 04:59:59
91,3億DLCPカウントダウン 3日,全世界3億DLCPまであと3日！,100,3dl_countdown_tips_image_20190824,2019-08-24 05:00:00,2019-08-25 04:59:59
92,3億DLCPカウントダウン 2日,全世界3億DLCPまであと2日！,100,3dl_countdown_tips_image_20190825,2019-08-25 05:00:00,2019-08-26 04:59:59
93,3億DLCPカウントダウン 1日,全世界3億DLCPまであと1日！,100,3dl_countdown_tips_image_20190826,2019-08-26 05:00:00,2019-08-27 04:59:59
94,3億DLCP第2弾,Z戦士,100,3dl_2_tips_image_A,2019-09-17 05:00:00,2019-10-03 07:59:59
95,3億DLCP第2弾,ありがとう孫悟空,100,3dl_2_tips_image_B,2019-09-17 05:00:00,2019-10-03 07:59:59
96,3億DLCP第2弾,セル対孫悟空,100,3dl_2_tips_image_C,2019-09-17 05:00:00,2019-10-03 07:59:59
97,3億DLCP第2弾,トランクス,100,3dl_2_tips_image_D,2019-09-17 05:00:00,2019-10-03 07:59:59
98,3億DLCP第2弾,ピッコロ,100,3dl_2_tips_image_E,2019-09-17 05:00:00,2019-10-03 07:59:59
99,3億DLCP第2弾,ミスター・サタン,100,3dl_2_tips_image_F,2019-09-17 05:00:00,2019-10-03 07:59:59
100,3億DLCP第2弾,最後の瞬間移動,100,3dl_2_tips_image_G,2019-09-17 05:00:00,2019-10-03 07:59:59
101,3億DLCP第2弾,人造人間,100,3dl_2_tips_image_H,2019-09-17 05:00:00,2019-10-03 07:59:59
102,3億DLCP第2弾,逃げろ18号!!,100,3dl_2_tips_image_I,2019-09-17 05:00:00,2019-10-03 07:59:59
103,3億DLCP第2弾,本気対本気,100,3dl_2_tips_image_J,2019-09-17 05:00:00,2019-10-03 07:59:59
104,5周年まであと7日,5周年まであと7日,100,5th_countdown_tips_image_20200122,2020-01-22 06:00:00,2020-01-23 05:59:59
105,5周年まであと6日,5周年まであと6日,100,5th_countdown_tips_image_20200123,2020-01-23 06:00:00,2020-01-24 05:59:59
106,5周年まであと5日,5周年まであと5日,100,5th_countdown_tips_image_20200124,2020-01-24 06:00:00,2020-01-25 05:59:59
107,5周年まであと4日,5周年まであと4日,100,5th_countdown_tips_image_20200125,2020-01-25 06:00:00,2020-01-26 05:59:59
108,5周年まであと3日,5周年まであと3日,100,5th_countdown_tips_image_20200126,2020-01-26 06:00:00,2020-01-27 05:59:59
109,5周年まであと2日,5周年まであと2日,100,5th_countdown_tips_image_20200127,2020-01-27 06:00:00,2020-01-28 05:59:59
110,5周年まであと1日,5周年まであと1日,100,5th_countdown_tips_image_20200128,2020-01-28 06:00:00,2020-01-29 05:59:59
111,ゴクウブラック誕生,ゴクウブラック誕生,100,5th_aniversary_image_A,2020-02-26 06:00:00,2020-03-03 07:59:59
112,3人のサイヤ人,3人のサイヤ人,100,5th_aniversary_image_B,2020-02-26 06:00:00,2020-03-03 07:59:59
113,ブルマ,ブルマ,100,5th_aniversary_image_C,2020-02-26 06:00:00,2020-03-03 07:59:59
114,フリーザ,フリーザ,100,5th_aniversary_image_D,2020-02-26 06:00:00,2020-03-03 07:59:59
115,トランクス,トランクス,100,5th_aniversary_image_E,2020-02-26 06:00:00,2020-03-03 07:59:59
116,ブロリー・チライ・レモ,ブロリー・チライ・レモ,100,5th_aniversary_image_F,2020-02-26 06:00:00,2020-03-03 07:59:59
117,ゴジータvsブロリー,ゴジータvsブロリー,100,5th_aniversary_image_G,2020-02-26 06:00:00,2020-03-03 07:59:59
118,ベジットvsザマス,ベジットvsザマス,100,5th_aniversary_image_H,2020-02-26 06:00:00,2020-03-03 07:59:59
119,壁紙,壁紙,10,tips_image_23,2024-01-29 04:00:00,2030-01-01 00:00:00
120,スキルダイアログ,スキルダイアログ,10,tips_image_24,2024-01-29 04:00:00,2030-01-01 00:00:00
121,敵情報ダイアログ,敵情報ダイアログ,10,tips_image_25,2024-01-29 04:00:00,2030-01-01 00:00:00
122,地球まるごと！カウントダウン 7日,地球まるごとCPまであと7日！,100,dl_countdown_tips_image_20200821,2020-08-21 05:00:00,2020-08-22 04:59:59
123,地球まるごと！カウントダウン 6日,地球まるごとCPまであと6日！,100,dl_countdown_tips_image_20200822,2020-08-22 05:00:00,2020-08-23 04:59:59
124,地球まるごと！カウントダウン 5日,地球まるごとCPまであと5日！,100,dl_countdown_tips_image_20200823,2020-08-23 05:00:00,2020-08-24 04:59:59
125,地球まるごと！カウントダウン 4日,地球まるごとCPまであと4日！,100,dl_countdown_tips_image_20200824,2020-08-24 05:00:00,2020-08-25 04:59:59
126,地球まるごと！カウントダウン 3日,地球まるごとCPまであと3日！,100,dl_countdown_tips_image_20200825,2020-08-25 05:00:00,2020-08-26 04:59:59
127,地球まるごと！カウントダウン 2日,地球まるごとCPまであと2日！,100,dl_countdown_tips_image_20200826,2020-08-26 05:00:00,2020-08-27 04:59:59
128,地球まるごと！カウントダウン 1日,地球まるごとCPまであと1日！,100,dl_countdown_tips_image_20200827,2020-08-27 05:00:00,2020-08-28 04:59:59
129,地球まるごとCP第2弾,超ベジット,100,dl_202009_tips_image_A,2020-09-30 05:00:00,2020-10-05 07:59:59
130,地球まるごとCP第2弾,孫悟空,100,dl_202009_tips_image_B,2020-09-30 05:00:00,2020-10-05 07:59:59
131,地球まるごとCP第2弾,ベジータ,100,dl_202009_tips_image_C,2020-09-30 05:00:00,2020-10-05 07:59:59
132,地球まるごとCP第2弾,ゴテンクス,100,dl_202009_tips_image_D,2020-09-30 05:00:00,2020-10-05 07:59:59
133,地球まるごとCP第2弾,孫悟飯,100,dl_202009_tips_image_E,2020-09-30 05:00:00,2020-10-05 07:59:59
134,地球まるごとCP第2弾,魔人ブウ,100,dl_202009_tips_image_F,2020-09-30 05:00:00,2020-10-05 07:59:59
135,地球まるごとCP第2弾,そして10年後,100,dl_202009_tips_image_G,2020-09-30 05:00:00,2020-10-05 07:59:59
136,6周年まであと7日,6周年まであと7日,100,6th_countdown_tips_image_20210122,2021-01-22 06:00:00,2021-01-23 05:59:59
137,6周年まであと6日,6周年まであと6日,100,6th_countdown_tips_image_20210123,2021-01-23 06:00:00,2021-01-24 05:59:59
138,6周年まであと5日,6周年まであと5日,100,6th_countdown_tips_image_20210124,2021-01-24 06:00:00,2021-01-25 05:59:59
139,6周年まであと4日,6周年まであと4日,100,6th_countdown_tips_image_20210125,2021-01-25 06:00:00,2021-01-26 05:59:59
140,6周年まであと3日,6周年まであと3日,100,6th_countdown_tips_image_20210126,2021-01-26 06:00:00,2021-01-27 05:59:59
141,6周年まであと2日,6周年まであと2日,100,6th_countdown_tips_image_20210127,2021-01-27 06:00:00,2021-01-28 05:59:59
142,6周年まであと1日,6周年まであと1日,100,6th_countdown_tips_image_20210128,2021-01-28 06:00:00,2021-01-29 05:59:59
143,6周年CPエンディングA,6周年CPエンディングA,100,6th_anniversary_image_A,2021-02-26 05:00:00,2021-03-04 07:59:59
144,6周年CPエンディングB,6周年CPエンディングB,100,6th_anniversary_image_B,2021-02-26 05:00:00,2021-03-04 07:59:59
145,6周年CPエンディングC,6周年CPエンディングC,100,6th_anniversary_image_C,2021-02-26 05:00:00,2021-03-04 07:59:59
146,6周年CPエンディングD,6周年CPエンディングD,100,6th_anniversary_image_D,2021-02-26 05:00:00,2021-03-04 07:59:59
147,6周年CPエンディングE,6周年CPエンディングE,100,6th_anniversary_image_E,2021-02-26 05:00:00,2021-03-04 07:59:59
148,6周年CPエンディングF,6周年CPエンディングF,100,6th_anniversary_image_F,2021-02-26 05:00:00,2021-03-04 07:59:59
149,6周年CPエンディングG,6周年CPエンディングG,100,6th_anniversary_image_G,2021-02-26 05:00:00,2021-03-04 07:59:59
150,6周年CPエンディングH,6周年CPエンディングH,100,6th_anniversary_image_H,2021-02-26 05:00:00,2021-03-04 07:59:59
151,3.5億DLCPカウントダウン 7日,全世界3.5億DLCPまであと7日！,100,dl_countdown_tips_image_20210819,2021-08-19 06:00:00,2021-08-20 05:59:59
152,3.5億DLCPカウントダウン 6日,全世界3.5億DLCPまであと6日！,100,dl_countdown_tips_image_20210820,2021-08-20 06:00:00,2021-08-21 05:59:59
153,3.5億DLCPカウントダウン 5日,全世界3.5億DLCPまであと5日！,100,dl_countdown_tips_image_20210821,2021-08-21 06:00:00,2021-08-22 05:59:59
154,3.5億DLCPカウントダウン 4日,全世界3.5億DLCPまであと4日！,100,dl_countdown_tips_image_20210822,2021-08-22 06:00:00,2021-08-23 05:59:59
155,3.5億DLCPカウントダウン 3日,全世界3.5億DLCPまであと3日！,100,dl_countdown_tips_image_20210823,2021-08-23 06:00:00,2021-08-24 05:59:59
156,3.5億DLCPカウントダウン 2日,全世界3.5億DLCPまであと2日！,100,dl_countdown_tips_image_20210824,2021-08-24 06:00:00,2021-08-25 05:59:59
157,3.5億DLCPカウントダウン 1日,全世界3.5億DLCPまであと1日！,100,dl_countdown_tips_image_20210825,2021-08-25 06:00:00,2021-08-26 05:59:59
158,3.5億DLCPエンディングA,フリーザ超変身！,100,dl_ending_tips_image_20210923_A,2021-09-23 06:00:00,2021-10-05 07:59:59
159,3.5億DLCPエンディングB,ギニュー特戦隊参上！,100,dl_ending_tips_image_20210923_B,2021-09-23 06:00:00,2021-10-05 07:59:59
160,3.5億DLCPエンディングC,時代を動かし歴史をつくった男たち！,100,dl_ending_tips_image_20210923_C,2021-09-23 06:00:00,2021-10-05 07:59:59
161,3.5億DLCPエンディングD,ナメック星大冒険！,100,dl_ending_tips_image_20210923_D,2021-09-23 06:00:00,2021-10-05 07:59:59
162,3.5億DLCPエンディングE,たったひとりの最終決戦,100,dl_ending_tips_image_20210923_E,2021-09-23 06:00:00,2021-10-05 07:59:59
163,3.5億DLCPエンディングF,ナメック星最終決戦,100,dl_ending_tips_image_20210923_F,2021-09-23 06:00:00,2021-10-05 07:59:59
164,3.5億DLCPエンディングG,超サイヤ人への道,100,dl_ending_tips_image_20210923_G,2021-09-23 06:00:00,2021-10-05 07:59:59
165,7周年まであと7日,7周年まであと7日,100,7th_countdown_tips_image_20220122,2022-01-22 06:00:00,2022-01-23 05:59:59
166,7周年まであと6日,7周年まであと6日,100,7th_countdown_tips_image_20220123,2022-01-23 06:00:00,2022-01-24 05:59:59
167,7周年まであと5日,7周年まであと5日,100,7th_countdown_tips_image_20220124,2022-01-24 06:00:00,2022-01-25 05:59:59
168,7周年まであと4日,7周年まであと4日,100,7th_countdown_tips_image_20220125,2022-01-25 06:00:00,2022-01-26 05:59:59
169,7周年まであと3日,7周年まであと3日,100,7th_countdown_tips_image_20220126,2022-01-26 06:00:00,2022-01-27 05:59:59
170,7周年まであと2日,7周年まであと2日,100,7th_countdown_tips_image_20220127,2022-01-27 06:00:00,2022-01-28 05:59:59
171,7周年まであと1日,7周年まであと1日,100,7th_countdown_tips_image_20220128,2022-01-28 06:00:00,2022-01-29 05:59:59
172,7周年CPエンディングA,7周年CPエンディングA,100,7th_anniversary_image_A,2022-02-25 06:00:00,2022-03-08 14:59:59
173,7周年CPエンディングB,7周年CPエンディングB,100,7th_anniversary_image_B,2022-02-25 06:00:00,2022-03-08 14:59:59
174,7周年CPエンディングC,7周年CPエンディングC,100,7th_anniversary_image_C,2022-02-25 06:00:00,2022-03-08 14:59:59
175,7周年CPエンディングD,7周年CPエンディングD,100,7th_anniversary_image_D,2022-02-25 06:00:00,2022-03-08 14:59:59
176,7周年CPエンディングE,7周年CPエンディングE,100,7th_anniversary_image_E,2022-02-25 06:00:00,2022-03-08 14:59:59
177,7周年CPエンディングF,7周年CPエンディングF,100,7th_anniversary_image_F,2022-02-25 06:00:00,2022-03-08 14:59:59
178,7周年CPエンディングG,7周年CPエンディングG,100,7th_anniversary_image_G,2022-02-25 06:00:00,2022-03-08 14:59:59
179,7周年CPエンディングH,7周年CPエンディングH,100,7th_anniversary_image_H,2022-03-01 06:00:00,2022-03-08 14:59:59
180,地球まるごと！宇宙最強CPカウントダウン 7日,地球まるごと！宇宙最強CPまであと7日！,100,dl_countdown_tips_image_20220819,2022-08-19 06:00:00,2022-08-20 05:59:59
181,地球まるごと！宇宙最強CPカウントダウン 6日,地球まるごと！宇宙最強CPまであと6日！,100,dl_countdown_tips_image_20220820,2022-08-20 06:00:00,2022-08-21 05:59:59
182,地球まるごと！宇宙最強CPカウントダウン 5日,地球まるごと！宇宙最強CPまであと5日！,100,dl_countdown_tips_image_20220821,2022-08-21 06:00:00,2022-08-22 05:59:59
183,地球まるごと！宇宙最強CPカウントダウン 4日,地球まるごと！宇宙最強CPまであと4日！,100,dl_countdown_tips_image_20220822,2022-08-22 06:00:00,2022-08-23 05:59:59
184,地球まるごと！宇宙最強CPカウントダウン 3日,地球まるごと！宇宙最強CPまであと3日！,100,dl_countdown_tips_image_20220823,2022-08-23 06:00:00,2022-08-24 05:59:59
185,地球まるごと！宇宙最強CPカウントダウン 2日,地球まるごと！宇宙最強CPまであと2日！,100,dl_countdown_tips_image_20220824,2022-08-24 06:00:00,2022-08-25 05:59:59
