id,help_category_id,num,title,description
28,9,730,データ連携・バックアップ,"１．「メニュー」＞「機種変更・バックアップ」＞「機種変更コードの発行」ページ内にて「発行する」ボタンを押すと、機種変更コードが発行されます。
２．「ユーザーID」「機種変更コード」が表示されますので、お手元にお控えください。
３．新端末で「ドラゴンボールＺ　ドッカンバトル」を新たにインストールして下さい。
４．タイトル画面の「機種変更」ボタンを押し、「機種変更」＞「機種変更コードの入力」画面にて、「ユーザーID」と「機種変更コード」を入力すると、引き継ぎが完了します。
※タイトル画面の「機種変更」ボタンは消えないため、一度ゲームを始めた後でも基本的にはデータ引き継ぎを行うことが出来ます。

※異なるOS間の以降の場合、「龍石」を引き継ぐことはできません。
※冒険中に移行した場合、冒険に復帰することはできません。
※コードの有効期限は発行から2週間です。発行するたびにパスワードと有効期限が更新されます。
　 有効期限内に最新のもののみが有効となり、古いものは無効となります。
※移行が完了したコードは無効となります。"
29,9,720,アプリ中断について,"冒険途中でアプリを再起動した場合、中断した箇所から再開されます。

※中断データを破棄した場合、冒険で得たアイテムやキャラクターの経験値が破棄されますのでご注意ください。"
30,6,710,ミッションとは,"達成することで、様々な報酬がもらえる機能です。
　・カリン様ミッション
　・神様ミッション
　・界王様ミッション
　・限定ミッション
の４つのカテゴリに分かれており、それぞれ挑戦に必要なランクや時間が異なります。

カテゴリを選択後、ミッション一覧画面で「詳細」ボタンを押すと、ミッションの内容や報酬が確認できます。"
31,6,700,新着・報酬未受け取り表示,"ホーム画面の「ミッション」アイコン「！」マークは、報酬受け取り可能なミッションがあることを示しています。

受け取り可能な件数は、カテゴリ一覧画面で確認できます。

また「NEW」マークは、まだ詳細画面を確認していないものを表しています。"
32,6,690,達成と報酬,"ミッションを達成すると、ミッション一覧画面で「詳細」ボタンが「達成」に変わり、報酬を受け取ることができます。

報酬はプレゼントボックスではなく、直接付与されるのでご注意下さい。

達成の進捗状況は一覧で「達成度」として表示され、確認することができます。
（「１度の冒険で〜」といった条件付のものは、最高記録が達成度として表示されます）

また期限付きのミッションは、期限が過ぎると報酬受取ができなくなりますのでご注意下さい。 "
33,6,680,界王神からの試練,"ミッション一覧画面では、画面右下にあるボタンで「挑戦中」のものと「達成済」のものの表示切替が行えます。

既に報酬を受け取ったものは「挑戦中」から「達成済」に移されます。
達成済一覧画面では、いつでも詳細と受け取った報酬を確認することができます。 "
34,7,670,交換所とは,
35,7,660,交換ptの増やし方,
36,7,650,ゼニー交換,
37,7,640,秘宝交換,
38,7,630,交換所のコツ,
39,3,620,バトル中のアイコン,
40,3,610,巨大化・大猿化・激怒,
41,8,600,潜在能力解放,
42,8,590,潜在能力玉,
43,8,580,潜在パラメータ,
44,8,570,潜在能力スキル,
45,8,560,選択スキルと忘却,
46,8,550,育成の方向性,
47,8,540,追加ルートの開放,
48,8,530,リバース,
49,8,520,リバースドッカン覚醒,
50,1,510,カテゴリ,
51,1,965,極限Z覚醒,
52,10,100,極限Zバトル,
53,10,90,敵のLvと強化,
54,10,80,Lv選択,
55,10,70,勝利報酬,
56,8,500,HPマス,
57,8,490,ATKマス,
58,8,480,DEFマス,
59,8,470,潜在能力スキルマス,
60,9,715,年齢別課金制限について,
61,11,100,追憶の扉,
62,11,90,鍵アイテム,
63,3,600,アクティブスキル,
64,1,931,アクティブスキル,
65,1,939,変身,
66,2,895,報酬ブースト,
67,12,470,スキル玉とは,
68,12,450,枠開放条件,
69,12,460,スキル玉装着方法,
70,4,440,スペシャルステッカー,
71,9,714,演出の明るさ設定について,
72,7,639,ひみつの宝箱,
73,12,430,特別なスキル玉について,
74,3,590,条件必殺技,
75,4,775,サポートメモリー／フィルム,
76,3,580,復活スキル,
77,3,570,ビジュアルチェンジ,
78,1,500,必殺技区分,
79,2,850,オートモード,
80,13,390,マイデータ,
81,13,370,メインページキャラクター,
82,13,360,称号,
83,13,350,戦闘力,
84,13,340,ドットキャラクター,
85,13,380,サブページ,
86,2,840,再戦機能,
87,14,230,バーストモード,
88,14,220,バーストギミック,
89,14,210,スコア,
90,15,330,コレクションルーム,
91,15,320,曲の獲得,
92,15,310,曲の設定,
93,15,300,曲の解除,
94,1,490,スタンバイスキル,
95,4,774,メモリーメダル,
96,5,745,スペシャルフレンド,
97,3,560,フィールド,
98,4,755,リンクスキル玉,
99,13,345,戦闘力ボーナス,
101,3,550,テリトリースキル,
102,1,964,超極限Z覚醒,
103,10,60,Lv.SUPER,
104,2,830,報酬の確認,
901,4,750,ACT回復アイテム,
