id,card_id,priority
398,1013591,1
399,1010731,1
400,1012651,1
401,1012681,1
402,1005321,1
403,1005311,1
404,1026311,1
405,1021851,1
406,1007981,1
407,1009961,1
408,1008081,1
409,1010711,1
410,1011071,1
411,1011081,1
412,1026531,1
413,1026561,1
414,1026631,1
415,1011431,1
416,1025251,1
417,1026851,1
418,1026481,1
419,1009971,1
420,1009951,1
421,1010031,1
422,1007971,1
423,1026751,1
424,1013681,1
425,1013791,1
426,1026941,1
427,1021391,1
428,1014491,1
429,1014331,1
430,1014351,1
431,1027001,1
432,1016611,1
433,1011451,1
434,1011461,1
435,1024001,1
436,1011101,1
437,1009981,1
438,1007141,1
439,1013301,1
440,1016251,1
441,1017701,1
442,1017021,1
443,1017061,1
444,1018151,1
445,1012961,1
446,1012991,1
447,1019281,1
448,1008531,1
449,1027251,1
450,1027351,1
451,1027431,1
452,1027511,1
453,1027521,1
454,1015791,1
455,1015811,1
456,1015841,1
457,1013341,1
458,1014721,1
459,1014711,1
460,1011111,1
461,1025231,1
462,1028131,1
463,1027951,1
464,1025461,1
465,1020651,1
466,1020671,1
467,1020551,1
468,1020911,1
469,1020821,1
470,1020831,1
471,1020841,1
472,1020851,1
473,1027651,1
474,1014641,1
475,1015651,1
476,1013111,1
477,1017431,1
478,1013121,1
479,1018101,1
480,1027621,1
481,1028161,1
482,1012461,1
483,1022011,1
484,1028331,1
485,1028601,1
486,1028281,1
487,1019841,1
488,1019711,1
489,1019721,1
490,1007101,1
491,1015001,1
492,1014991,1
493,1015261,1
494,1015251,1
495,1015221,1
496,1015211,1
497,1015231,1
498,1015241,1
499,1015141,1
500,1015131,1
501,1019041,1
502,1016081,1
503,1028571,1
504,1028771,1
505,1028681,1
506,1028731,1
507,1028491,1
508,1017591,1
509,1017571,1
510,1010751,1
511,1011211,1
512,1017961,1
513,1018661,1
514,1018841,1
515,1028791,1
516,1028811,1
517,1012001,1
518,1015101,1
519,1015111,1
520,1022161,1
521,1020011,1
522,1009481,1
523,1013951,1
524,1019461,1
525,1019471,1
526,1019691,1
527,1019791,1
528,1019931,1
529,1017441,1
530,1008891,1
535,1011901,1
536,1013811,1
537,1013871,1
538,1019371,1
539,1029141,1
