id,finish_skill_set_id,target_type,target_type_values,sub_target_type_set_id,turn,efficacy_type,calc_option,efficacy_values,thumb_effect_id,effect_se_id,created_at,updated_at
18,5,1,{},0,1,117,,"[0, 0, 0]",,,2024-07-17 02:06:01,2024-07-17 02:06:01
19,6,1,{},0,1,115,,"{""type"": ""revival"", ""is_active"": false}",,,2024-07-17 02:06:01,2024-07-17 02:06:01
20,6,1,{},0,1,117,,"[0, 0, 0]",,,2024-07-17 02:06:01,2024-07-17 02:06:01
21,7,1,{},0,1,115,,"{""type"": ""charge"", ""is_active"": false}",,,2024-07-17 02:06:01,2024-07-17 02:06:01
22,7,1,{},0,1,116,,"{""is_active"": false}",,,2024-07-17 02:06:01,2024-07-17 02:06:01
23,7,1,{},0,1,117,,"[0, 0, 0]",,,2024-07-17 02:06:01,2024-07-17 02:06:01
24,7,1,{},0,1,4,2.0,"[30, 0, 0]",,46.0,2024-07-17 02:06:01,2024-07-17 02:06:01
25,7,1,{},0,3,5,0.0,"[3, 0, 0]",5014.0,43.0,2024-07-17 02:06:01,2024-07-17 02:06:01
26,8,1,{},0,1,115,,"{""type"": ""charge"", ""is_active"": false}",,,2024-07-17 02:06:01,2024-07-17 02:06:01
27,8,1,{},0,1,116,,"{""is_active"": false}",,,2024-07-17 02:06:01,2024-07-17 02:06:01
28,8,1,{},0,1,103,,"[4026920, 0, 1745]",,,2024-07-17 02:06:01,2024-07-17 02:06:01
29,9,1,{},0,1,115,,"{""type"": ""charge"", ""is_active"": false}",,,2024-07-17 02:06:01,2024-07-17 02:06:01
30,9,1,{},0,1,116,,"{""is_active"": false}",,,2024-07-17 02:06:01,2024-07-17 02:06:01
31,9,1,{},0,1,103,,"[4026921, 0, 1746]",,,2024-07-17 02:06:01,2024-07-17 02:06:01
32,10,1,{},0,1,115,,"{""type"": ""charge"", ""is_active"": false}",,,2024-07-17 02:06:01,2024-07-17 02:06:01
33,10,1,{},0,1,116,,"{""is_active"": false}",,,2024-07-17 02:06:01,2024-07-17 02:06:01
34,10,1,{},0,1,117,,"[0, 0, 0]",,,2024-07-17 02:06:01,2024-07-17 02:06:01
35,10,1,{},0,1,118,,"[50, 12100, 0]",,,2024-07-17 02:06:01,2024-07-17 02:06:01
36,11,1,{},0,1,115,,"{""type"": ""special_counter"", ""is_active"": false}",,,2024-07-17 02:06:01,2024-07-17 02:06:01
37,11,1,{},0,1,119,,"[0, 0, 0]",,,2024-07-17 02:06:01,2024-07-17 02:06:01
38,11,1,{},0,1,120,,"[0, 100, 0]",,,2024-07-17 02:06:01,2024-07-17 02:06:01
39,11,1,{},0,1,90,,"[100, 0, 0]",5011.0,44.0,2024-07-17 02:06:01,2024-07-17 02:06:01
40,11,1,{},0,1,117,,"[0, 0, 0]",,,2024-07-17 02:06:01,2024-07-17 02:06:01
41,12,1,{},0,1,110,,"[15, 37, 0]",,,2024-07-17 02:06:01,2024-07-17 02:06:01
42,12,1,{},0,1,110,,"[15, 38, 0]",,,2024-07-17 02:06:01,2024-07-17 02:06:01
43,13,1,{},0,1,115,,"{""type"": ""charge"", ""is_active"": false}",,,2024-07-17 02:06:01,2024-07-17 02:06:01
44,13,1,{},0,1,116,,"{""is_active"": false}",,,2024-07-17 02:06:01,2024-07-17 02:06:01
45,13,1,{},0,1,118,,"[100, 24200, 0]",,,2024-07-17 02:06:01,2024-07-17 02:06:01
46,13,3,{},0,1,9,,"[0, 0, 0]",5015.0,,2024-07-17 02:06:01,2024-07-17 02:06:01
47,13,1,{},0,1,103,,"[4028390, 0, 1791]",,,2024-07-17 02:06:01,2024-07-17 02:06:01
48,14,1,{},0,1,115,,"{""type"": ""charge"", ""is_active"": false}",,,2024-07-17 02:06:01,2024-07-17 02:06:01
49,14,1,{},0,1,116,,"{""is_active"": false}",,,2024-07-17 02:06:01,2024-07-17 02:06:01
50,14,1,{},0,1,118,,"[100, 24200, 0]",,,2024-07-17 02:06:01,2024-07-17 02:06:01
51,14,3,{},0,1,9,,"[0, 0, 0]",5015.0,,2024-07-17 02:06:01,2024-07-17 02:06:01
52,14,1,{},0,1,103,,"[4028391, 0, 1792]",,,2024-07-17 02:06:01,2024-07-17 02:06:01
53,15,1,{},0,1,115,,"{""type"": ""charge"", ""is_active"": false}",,,2024-07-17 02:06:01,2024-07-17 02:06:01
54,15,1,{},0,1,116,,"{""is_active"": false}",,,2024-07-17 02:06:01,2024-07-17 02:06:01
55,15,1,{},0,1,117,,"[0, 0, 0]",,,2024-07-17 02:06:01,2024-07-17 02:06:01
56,15,1,{},0,3,1,2.0,"[30, 0, 0]",5011.0,44.0,2024-07-17 02:06:01,2024-07-17 02:06:01
57,15,1,{},0,3,5,0.0,"[3, 0, 0]",5014.0,43.0,2024-07-17 02:06:01,2024-07-17 02:06:01
58,16,1,{},0,1,115,,"{""type"": ""charge"", ""is_active"": false}",,,2024-07-17 02:06:01,2024-07-17 02:06:01
59,16,1,{},0,1,116,,"{""is_active"": false}",,,2024-07-17 02:06:01,2024-07-17 02:06:01
60,16,1,{},0,1,103,,"[4029110, 0, 1808]",,,2024-07-17 02:06:01,2024-07-17 02:06:01
61,17,1,{},0,1,115,,"{""type"": ""charge"", ""is_active"": false}",,,2024-07-17 02:06:01,2024-07-17 02:06:01
62,17,1,{},0,1,116,,"{""is_active"": false}",,,2024-07-17 02:06:01,2024-07-17 02:06:01
63,17,1,{},0,1,103,,"[4029111, 0, 1809]",,,2024-07-17 02:06:01,2024-07-17 02:06:01
