id,optimal_awakening_grow_type,step,lv_max,skill_lv_max,passive_skill_set_id,leader_skill_set_id
56,8,7,140,15,1194.0,1004651
57,9,1,125,10,517.0,100670
58,9,2,125,11,517.0,100670
59,9,3,130,11,517.0,100670
60,9,4,130,12,517.0,100670
61,9,5,130,13,517.0,1006701
62,9,6,135,14,517.0,1006701
63,9,7,140,15,1220.0,1006701
64,10,1,125,10,1255.0,1014681
65,10,2,125,11,1255.0,1014681
66,10,3,130,11,1257.0,1014681
67,10,4,130,12,1257.0,1014681
68,10,5,130,13,1257.0,1014682
69,10,6,135,14,1257.0,1014682
70,10,7,140,15,1259.0,1014682
71,11,1,125,10,1260.0,1014681
72,11,2,125,11,1260.0,1014681
73,11,3,130,11,1261.0,1014681
74,11,4,130,12,1261.0,1014681
75,11,5,130,13,1261.0,1014682
76,11,6,135,14,1261.0,1014682
77,11,7,140,15,1262.0,1014682
78,12,1,125,10,409.0,100331
79,12,2,125,11,409.0,100331
80,12,3,130,11,409.0,100331
81,12,4,130,12,409.0,100331
82,12,5,130,13,409.0,1003311
83,12,6,135,14,409.0,1003311
84,12,7,140,15,1310.0,1003311
85,13,1,125,10,437.0,100503
86,13,2,125,11,437.0,100503
87,13,3,130,11,437.0,100503
88,13,4,130,12,437.0,100503
89,13,5,130,13,437.0,1005031
90,13,6,135,14,437.0,1005031
91,13,7,140,15,1311.0,1005031
92,14,1,125,10,571.0,100530
93,14,2,125,11,571.0,100530
94,14,3,130,11,571.0,100530
95,14,4,130,12,571.0,100530
96,14,5,130,13,571.0,1005301
97,14,6,135,14,571.0,1005301
98,14,7,140,15,1333.0,1005301
99,15,1,125,10,,100530
100,15,2,125,11,,100530
101,15,3,130,11,,100530
102,15,4,130,12,,100530
103,15,5,130,13,,1005301
104,15,6,135,14,,1005301
105,15,7,140,15,,1005301
106,16,1,125,10,375.0,100376
107,16,2,125,11,375.0,100376
108,16,3,130,11,375.0,100376
109,16,4,130,12,375.0,100376
110,16,5,130,13,375.0,1003761
111,16,6,135,14,375.0,1003761
112,16,7,140,15,1334.0,1003761
113,17,1,125,10,543.0,100573
114,17,2,125,11,543.0,100573
115,17,3,130,11,543.0,100573
116,17,4,130,12,543.0,100573
117,17,5,130,13,543.0,1005731
118,17,6,135,14,543.0,1005731
119,17,7,140,15,1344.0,1005731
120,18,1,125,10,544.0,100574
121,18,2,125,11,544.0,100574
122,18,3,130,11,544.0,100574
123,18,4,130,12,544.0,100574
124,18,5,130,13,544.0,1005741
125,18,6,135,14,544.0,1005741
126,18,7,140,15,1345.0,1005741
127,19,1,125,10,460.0,100505
128,19,2,125,11,460.0,100505
129,19,3,130,11,460.0,100505
130,19,4,130,12,460.0,100505
131,19,5,130,13,460.0,1005051
132,19,6,135,14,460.0,1005051
133,19,7,140,15,1368.0,1005051
134,20,1,125,10,519.0,100667
135,20,2,125,11,519.0,100667
136,20,3,130,11,519.0,100667
137,20,4,130,12,519.0,100667
138,20,5,130,13,519.0,1006671
139,20,6,135,14,519.0,1006671
140,20,7,140,15,1369.0,1006671
141,21,1,125,10,518.0,100669
142,21,2,125,11,518.0,100669
143,21,3,130,11,518.0,100669
144,21,4,130,12,518.0,100669
145,21,5,130,13,518.0,1006691
146,21,6,135,14,518.0,1006691
147,21,7,140,15,1370.0,1006691
148,22,1,125,10,1402.0,101451
149,22,2,125,11,1402.0,101451
150,22,3,130,11,1402.0,101451
151,22,4,130,12,1402.0,101451
152,22,5,130,13,1402.0,1014511
153,22,6,135,14,1402.0,1014511
154,22,7,140,15,1405.0,1014511
155,23,1,125,10,1384.0,101610
156,23,2,125,11,1384.0,101610
157,23,3,130,11,1384.0,101610
158,23,4,130,12,1384.0,101610
159,23,5,130,13,1384.0,1016101
160,23,6,135,14,1384.0,1016101
161,23,7,140,15,1406.0,1016101
162,24,1,125,10,1381.0,101612
163,24,2,125,11,1381.0,101612
164,24,3,130,11,1381.0,101612
165,24,4,130,12,1381.0,101612
166,24,5,130,13,1381.0,1016121
167,24,6,135,14,1381.0,1016121
168,24,7,140,15,1407.0,1016121
169,25,1,125,10,458.0,100528
170,25,2,125,11,458.0,100528
171,25,3,130,11,458.0,100528
172,25,4,130,12,458.0,100528
173,25,5,130,13,458.0,1005281
174,25,6,135,14,458.0,1005281
175,25,7,140,15,1408.0,1005281
176,26,1,125,10,406.0,100500
177,26,2,125,11,406.0,100500
178,26,3,130,11,406.0,100500
179,26,4,130,12,406.0,100500
180,26,5,130,13,406.0,1005001
181,26,6,135,14,406.0,1005001
182,26,7,140,15,1409.0,1005001
183,28,1,125,10,880.0,1010361
184,28,2,125,11,880.0,1010361
185,28,3,130,11,1420.0,1010361
186,28,4,130,12,1420.0,1010361
187,28,5,130,13,1420.0,1010362
188,28,6,135,14,1420.0,1010362
189,28,7,140,15,1421.0,1010362
190,29,1,125,10,1438.0,1011341
191,29,2,125,11,1438.0,1011341
192,29,3,130,11,1439.0,1011341
193,29,4,130,12,1439.0,1011341
194,29,5,130,13,1439.0,1011342
195,29,6,135,14,1439.0,1011342
196,29,7,140,15,1440.0,1011342
197,30,1,125,10,1441.0,1016581
198,30,2,125,11,1441.0,1016581
199,30,3,130,11,1442.0,1016581
200,30,4,130,12,1442.0,1016581
201,30,5,130,13,1442.0,1016582
202,30,6,135,14,1442.0,1016582
203,30,7,140,15,1443.0,1016582
204,31,1,125,10,750.0,100970
205,31,2,125,11,750.0,100970
206,31,3,130,11,750.0,100970
207,31,4,130,12,750.0,100970
208,31,5,130,13,750.0,1009701
209,31,6,135,14,750.0,1009701
210,31,7,140,15,1464.0,1009701
211,32,1,125,10,748.0,100971
212,32,2,125,11,748.0,100971
213,32,3,130,11,748.0,100971
214,32,4,130,12,748.0,100971
215,32,5,130,13,748.0,1009711
216,32,6,135,14,748.0,1009711
217,32,7,140,15,1465.0,1009711
218,33,1,125,10,625.0,100621
219,33,2,125,11,625.0,100621
220,33,3,130,11,625.0,100621
221,33,4,130,12,625.0,100621
222,33,5,130,13,625.0,1006211
223,33,6,135,14,625.0,1006211
224,33,7,140,15,1476.0,1006211
225,34,1,125,10,665.0,100739
226,34,2,125,11,665.0,100739
227,34,3,130,11,665.0,100739
228,34,4,130,12,665.0,100739
229,34,5,130,13,665.0,1007391
230,34,6,135,14,665.0,1007391
231,34,7,140,15,1492.0,1007391
232,35,1,125,10,699.0,100885
233,35,2,125,11,699.0,100885
234,35,3,130,11,699.0,100885
235,35,4,130,12,699.0,100885
236,35,5,130,13,699.0,1008851
237,35,6,135,14,699.0,1008851
238,35,7,140,15,1504.0,1008851
239,36,1,125,10,1521.0,101724
240,36,2,125,11,1521.0,101724
241,36,3,130,11,1521.0,101724
242,36,4,130,12,1521.0,101724
243,36,5,130,13,1521.0,1017241
244,36,6,135,14,1521.0,1017241
245,36,7,140,15,1522.0,1017241
246,37,1,125,10,1528.0,1017161
247,37,2,125,11,1528.0,1017161
248,37,3,130,11,1529.0,1017161
249,37,4,130,12,1529.0,1017161
250,37,5,130,13,1529.0,1017162
251,37,6,135,14,1529.0,1017162
252,37,7,140,15,1530.0,1017162
253,38,1,125,10,650.0,100809
254,38,2,125,11,650.0,100809
255,38,3,130,11,650.0,100809
256,38,4,130,12,650.0,100809
257,38,5,130,13,650.0,1008091
258,38,6,135,14,650.0,1008091
259,38,7,140,15,1538.0,1008091
260,39,1,125,10,598.0,100746
261,39,2,125,11,598.0,100746
262,39,3,130,11,598.0,100746
263,39,4,130,12,598.0,100746
264,39,5,130,13,598.0,1007461
265,39,6,135,14,598.0,1007461
266,39,7,140,15,1568.0,1007461
267,42,1,125,10,805.0,100989
268,42,2,125,11,805.0,100989
269,42,3,130,11,805.0,100989
270,42,4,130,12,805.0,100989
271,42,5,130,13,805.0,1009891
272,42,6,135,14,805.0,1009891
273,42,7,140,15,1600.0,1009891
274,43,1,125,10,801.0,100990
275,43,2,125,11,801.0,100990
276,43,3,130,11,801.0,100990
277,43,4,130,12,801.0,100990
278,43,5,130,13,801.0,1009901
279,43,6,135,14,801.0,1009901
280,43,7,140,15,1601.0,1009901
281,44,1,125,10,888.0,101080
282,44,2,125,11,888.0,101080
283,44,3,130,11,888.0,101080
284,44,4,130,12,888.0,101080
285,44,5,130,13,888.0,1010801
286,44,6,135,14,888.0,1010801
287,44,7,140,15,1602.0,1010801
288,45,1,125,10,803.0,100992
289,45,2,125,11,803.0,100992
290,45,3,130,11,803.0,100992
291,45,4,130,12,803.0,100992
292,45,5,130,13,803.0,1009921
293,45,6,135,14,803.0,1009921
294,45,7,140,15,1603.0,1009921
295,46,1,125,10,802.0,100993
296,46,2,125,11,802.0,100993
297,46,3,130,11,802.0,100993
298,46,4,130,12,802.0,100993
299,46,5,130,13,802.0,1009931
300,46,6,135,14,802.0,1009931
301,46,7,140,15,1604.0,1009931
302,47,1,125,10,889.0,101079
303,47,2,125,11,889.0,101079
304,47,3,130,11,889.0,101079
305,47,4,130,12,889.0,101079
306,47,5,130,13,889.0,1010791
307,47,6,135,14,889.0,1010791
308,47,7,140,15,1605.0,1010791
309,48,1,125,10,804.0,100991
310,48,2,125,11,804.0,100991
311,48,3,130,11,804.0,100991
312,48,4,130,12,804.0,100991
313,48,5,130,13,804.0,1009911
314,48,6,135,14,804.0,1009911
315,48,7,140,15,1606.0,1009911
316,49,1,125,10,738.0,100882
317,49,2,125,11,738.0,100882
318,49,3,130,11,738.0,100882
319,49,4,130,12,738.0,100882
320,49,5,130,13,738.0,1008821
321,49,6,135,14,738.0,1008821
322,49,7,140,15,1607.0,1008821
323,40,1,125,10,1652.0,1017661
324,40,2,125,11,1652.0,1017661
325,40,3,130,11,1654.0,1017661
326,40,4,130,12,1654.0,1017661
327,40,5,130,13,1654.0,1017662
328,40,6,135,14,1654.0,1017662
329,40,7,140,15,1655.0,1017662
330,41,1,125,10,1653.0,1017661
331,41,2,125,11,1653.0,1017661
332,41,3,130,11,1656.0,1017661
333,41,4,130,12,1656.0,1017661
334,41,5,130,13,1656.0,1017662
335,41,6,135,14,1656.0,1017662
336,41,7,140,15,1657.0,1017662
337,50,1,125,10,1659.0,1017741
338,50,2,125,11,1659.0,1017741
339,50,3,130,11,1661.0,1017741
340,50,4,130,12,1661.0,1017741
341,50,5,130,13,1661.0,1017742
342,50,6,135,14,1661.0,1017742
343,50,7,140,15,1662.0,1017742
344,51,1,125,10,1660.0,1017741
345,51,2,125,11,1660.0,1017741
346,51,3,130,11,1663.0,1017741
347,51,4,130,12,1663.0,1017741
348,51,5,130,13,1663.0,1017742
349,51,6,135,14,1663.0,1017742
350,51,7,140,15,1664.0,1017742
351,52,1,125,10,739.0,100950
352,52,2,125,11,739.0,100950
353,52,3,130,11,739.0,100950
354,52,4,130,12,739.0,100950
355,52,5,130,13,739.0,1009501
356,52,6,135,14,739.0,1009501
357,52,7,140,15,1679.0,1009501
358,53,1,125,10,924.0,1011191
359,53,2,125,11,924.0,1011191
360,53,3,130,11,1915.0,1011191
361,53,4,130,12,1915.0,1011191
362,53,5,130,13,1915.0,1011192
363,53,6,135,14,1915.0,1011192
364,53,7,140,15,1916.0,1011192
365,54,1,125,10,633.0,100863
366,54,2,125,11,633.0,100863
367,54,3,130,11,633.0,100863
368,54,4,130,12,633.0,100863
369,54,5,130,13,633.0,1008631
370,54,6,135,14,633.0,1008631
371,54,7,140,15,1917.0,1008631
372,55,1,125,10,627.0,100719
373,55,2,125,11,627.0,100719
374,55,3,130,11,627.0,100719
375,55,4,130,12,627.0,100719
376,55,5,130,13,627.0,1007191
377,55,6,135,14,627.0,1007191
378,55,7,140,15,1918.0,1007191
379,56,1,125,10,775.0,100986
380,56,2,125,11,775.0,100986
381,56,3,130,11,775.0,100986
382,56,4,130,12,775.0,100986
383,56,5,130,13,775.0,1009861
384,56,6,135,14,775.0,1009861
385,56,7,140,15,1919.0,1009861
386,57,1,125,10,448.0,100554
387,57,2,125,11,448.0,100554
388,57,3,130,11,448.0,100554
389,57,4,130,12,448.0,100554
390,57,5,130,13,448.0,1005541
391,57,6,135,14,448.0,1005541
392,57,7,140,15,1926.0,1005541
393,58,1,125,10,495.0,100539
394,58,2,125,11,495.0,100539
395,58,3,130,11,495.0,100539
396,58,4,130,12,495.0,100539
397,58,5,130,13,495.0,1005391
398,58,6,135,14,495.0,1005391
399,58,7,140,15,1927.0,1005391
400,59,1,125,10,450.0,100558
401,59,2,125,11,450.0,100558
402,59,3,130,11,450.0,100558
403,59,4,130,12,450.0,100558
404,59,5,130,13,450.0,1005581
405,59,6,135,14,450.0,1005581
406,59,7,140,15,1928.0,1005581
407,60,1,125,10,678.0,100871
408,60,2,125,11,678.0,100871
409,60,3,130,11,678.0,100871
410,60,4,130,12,678.0,100871
411,60,5,130,13,678.0,1008711
412,60,6,135,14,678.0,1008711
413,60,7,140,15,1935.0,1008711
414,61,1,125,10,572.0,100488
415,61,2,125,11,572.0,100488
416,61,3,130,11,572.0,100488
417,61,4,130,12,572.0,100488
418,61,5,130,13,572.0,1004881
419,61,6,135,14,572.0,1004881
420,61,7,140,15,1936.0,1004881
421,62,1,125,10,596.0,100679
422,62,2,125,11,596.0,100679
423,62,3,130,11,596.0,100679
424,62,4,130,12,596.0,100679
425,62,5,130,13,596.0,1006791
426,62,6,135,14,596.0,1006791
427,62,7,140,15,1973.0,1006791
428,63,1,125,10,858.0,101048
429,63,2,125,11,858.0,101048
430,63,3,130,11,858.0,101048
431,63,4,130,12,858.0,101048
432,63,5,130,13,858.0,1010481
433,63,6,135,14,858.0,1010481
434,63,7,140,15,1974.0,1010481
435,64,1,125,10,859.0,101049
436,64,2,125,11,859.0,101049
437,64,3,130,11,859.0,101049
438,64,4,130,12,859.0,101049
439,64,5,130,13,859.0,1010491
440,64,6,135,14,859.0,1010491
441,64,7,140,15,1975.0,1010491
442,65,1,125,10,449.0,100555
443,65,2,125,11,449.0,100555
444,65,3,130,11,449.0,100555
445,65,4,130,12,449.0,100555
446,65,5,130,13,449.0,1005551
447,65,6,135,14,449.0,1005551
448,65,7,140,15,1983.0,1005551
449,66,1,125,10,494.0,100540
450,66,2,125,11,494.0,100540
451,66,3,130,11,494.0,100540
452,66,4,130,12,494.0,100540
453,66,5,130,13,494.0,1005401
454,66,6,135,14,494.0,1005401
455,66,7,140,15,1984.0,1005401
456,67,1,125,10,761.0,100979
457,67,2,125,11,761.0,100979
458,67,3,130,11,761.0,100979
459,67,4,130,12,761.0,100979
460,67,5,130,13,761.0,1009791
461,67,6,135,14,761.0,1009791
462,67,7,140,15,2003.0,1009791
463,68,1,125,10,631.0,100761
464,68,2,125,11,631.0,100761
465,68,3,130,11,631.0,100761
466,68,4,130,12,631.0,100761
467,68,5,130,13,631.0,1007611
468,68,6,135,14,631.0,1007611
469,68,7,140,15,2004.0,1007611
470,69,1,125,10,660.0,100856
471,69,2,125,11,660.0,100856
472,69,3,130,11,660.0,100856
473,69,4,130,12,660.0,100856
474,69,5,130,13,660.0,1008561
475,69,6,135,14,660.0,1008561
476,69,7,140,15,2005.0,1008561
477,70,1,125,10,661.0,100858
478,70,2,125,11,661.0,100858
479,70,3,130,11,661.0,100858
480,70,4,130,12,661.0,100858
481,70,5,130,13,661.0,1008581
482,70,6,135,14,661.0,1008581
483,70,7,140,15,2006.0,1008581
484,71,1,125,10,1430.0,101589
485,71,2,125,11,1430.0,101589
486,71,3,130,11,1430.0,101589
487,71,4,130,12,1430.0,101589
488,71,5,130,13,1430.0,1015891
489,71,6,135,14,1430.0,1015891
490,71,7,140,15,2007.0,1015891
491,72,1,125,10,1431.0,101590
492,72,2,125,11,1431.0,101590
493,72,3,130,11,1431.0,101590
494,72,4,130,12,1431.0,101590
495,72,5,130,13,1431.0,1015901
496,72,6,135,14,1431.0,1015901
497,72,7,140,15,2008.0,1015901
498,73,1,125,10,726.0,100933
499,73,2,125,11,726.0,100933
500,73,3,130,11,726.0,100933
501,73,4,130,12,726.0,100933
502,73,5,130,13,726.0,1009331
503,73,6,135,14,726.0,1009331
504,73,7,140,15,2011.0,1009331
505,74,1,125,10,728.0,100935
506,74,2,125,11,728.0,100935
507,74,3,130,11,728.0,100935
508,74,4,130,12,728.0,100935
509,74,5,130,13,728.0,1009351
510,74,6,135,14,728.0,1009351
511,74,7,140,15,2012.0,1009351
512,75,1,125,10,2032.0,1018931
513,75,2,125,11,2032.0,1018931
514,75,3,130,11,2035.0,1018931
515,75,4,130,12,2035.0,1018931
516,75,5,130,13,2035.0,1018932
517,75,6,135,14,2035.0,1018932
518,75,7,140,15,2036.0,1018932
519,76,1,125,10,2033.0,1018951
520,76,2,125,11,2033.0,1018951
521,76,3,130,11,2037.0,1018951
522,76,4,130,12,2037.0,1018951
523,76,5,130,13,2037.0,1018952
524,76,6,135,14,2037.0,1018952
525,76,7,140,15,2038.0,1018952
526,1001,1,150,22,2034.0,1019071
527,1001,2,150,24,2034.0,1019071
528,1001,3,150,25,2039.0,1019071
529,77,1,125,10,767.0,100959
530,77,2,125,11,767.0,100959
531,77,3,130,11,767.0,100959
532,77,4,130,12,767.0,100959
533,77,5,130,13,767.0,1009591
534,77,6,135,14,767.0,1009591
535,77,7,140,15,2071.0,1009591
536,1002,1,150,22,1017.0,1012401
537,1002,2,150,24,1017.0,1012401
538,1002,3,150,25,2079.0,1012401
539,78,1,125,10,759.0,100958
540,78,2,125,11,759.0,100958
541,78,3,130,11,759.0,100958
542,78,4,130,12,759.0,100958
543,78,5,130,13,759.0,1009581
544,78,6,135,14,759.0,1009581
545,78,7,140,15,2089.0,1009581
546,79,1,125,10,666.0,100874
547,79,2,125,11,666.0,100874
548,79,3,130,11,666.0,100874
549,79,4,130,12,666.0,100874
550,79,5,130,13,666.0,1008741
551,79,6,135,14,666.0,1008741
552,79,7,140,15,2090.0,1008741
553,80,1,125,10,667.0,100875
554,80,2,125,11,667.0,100875
555,80,3,130,11,667.0,100875
556,80,4,130,12,667.0,100875
557,80,5,130,13,667.0,1008751
558,80,6,135,14,667.0,1008751
559,80,7,140,15,2091.0,1008751
560,81,1,125,10,1029.0,1012701
561,81,2,125,11,1029.0,1012701
562,81,3,130,11,2119.0,1012701
563,81,4,130,12,2119.0,1012701
564,81,5,130,13,2119.0,1012702
565,81,6,135,14,2119.0,1012702
566,81,7,140,15,2120.0,1012702
567,82,1,125,10,2121.0,1020151
568,82,2,125,11,2121.0,1020151
569,82,3,130,11,2135.0,1020151
570,82,4,130,12,2135.0,1020151
571,82,5,130,13,2135.0,1020152
572,82,6,135,14,2135.0,1020152
573,82,7,140,15,2136.0,1020152
574,83,1,125,10,820.0,1009111
575,83,2,125,11,820.0,1009111
576,83,3,130,11,2137.0,1009111
577,83,4,130,12,2137.0,1009111
578,83,5,130,13,2137.0,1009112
579,83,6,135,14,2137.0,1009112
580,83,7,140,15,2138.0,1009112
581,84,1,125,10,2141.0,1019871
582,84,2,125,11,2141.0,1019871
583,84,3,130,11,2142.0,1019871
584,84,4,130,12,2142.0,1019871
585,84,5,130,13,2142.0,1019872
586,84,6,135,14,2142.0,1019872
587,84,7,140,15,2143.0,1019872
588,85,1,125,10,1183.0,1013731
589,85,2,125,11,1183.0,1013731
590,85,3,130,11,2144.0,1013731
591,85,4,130,12,2144.0,1013731
592,85,5,130,13,2144.0,1013732
593,85,6,135,14,2144.0,1013732
594,85,7,140,15,2145.0,1013732
595,86,1,125,10,1118.0,101341
596,86,2,125,11,1118.0,101341
597,86,3,130,11,1118.0,101341
598,86,4,130,12,1118.0,101341
599,86,5,130,13,1118.0,1013411
600,86,6,135,14,1118.0,1013411
601,86,7,140,15,2146.0,1013411
602,87,1,125,10,1119.0,101342
603,87,2,125,11,1119.0,101342
604,87,3,130,11,1119.0,101342
605,87,4,130,12,1119.0,101342
606,87,5,130,13,1119.0,1013421
607,87,6,135,14,1119.0,1013421
608,87,7,140,15,2147.0,1013421
609,88,1,125,10,1341.0,1015421
610,88,2,125,11,1341.0,1015421
611,88,3,130,11,2157.0,1015421
612,88,4,130,12,2157.0,1015421
613,88,5,130,13,2157.0,1015422
614,88,6,135,14,2157.0,1015422
615,88,7,140,15,2158.0,1015422
616,89,1,125,10,2154.0,1020181
617,89,2,125,11,2154.0,1020181
618,89,3,130,11,2159.0,1020181
619,89,4,130,12,2159.0,1020181
620,89,5,130,13,2159.0,1020182
621,89,6,135,14,2159.0,1020182
622,89,7,140,15,2160.0,1020182
623,90,1,125,10,2156.0,1020191
624,90,2,125,11,2156.0,1020191
625,90,3,130,11,2161.0,1020191
626,90,4,130,12,2161.0,1020191
627,90,5,130,13,2161.0,1020192
628,90,6,135,14,2161.0,1020192
629,90,7,140,15,2162.0,1020192
630,1003,1,150,22,601.0,1007471
631,1003,2,150,24,601.0,1007471
632,1003,3,150,25,2163.0,1007471
633,91,1,125,10,926.0,101117
634,91,2,125,11,926.0,101117
635,91,3,130,11,926.0,101117
636,91,4,130,12,926.0,101117
637,91,5,130,13,926.0,1011171
638,91,6,135,14,926.0,1011171
639,91,7,140,15,2164.0,1011171
640,92,1,125,10,1160.0,101388
641,92,2,125,11,1160.0,101388
642,92,3,130,11,1160.0,101388
643,92,4,130,12,1160.0,101388
644,92,5,130,13,1160.0,1013881
645,92,6,135,14,1160.0,1013881
646,92,7,140,15,2172.0,1013881
647,93,1,125,10,1162.0,101391
648,93,2,125,11,1162.0,101391
649,93,3,130,11,1162.0,101391
650,93,4,130,12,1162.0,101391
651,93,5,130,13,1162.0,1013911
652,93,6,135,14,1162.0,1013911
653,93,7,140,15,2173.0,1013911
654,1004,1,150,22,1016.0,1012361
655,1004,2,150,24,1016.0,1012361
656,1004,3,150,25,2174.0,1012361
657,1005,1,150,22,1222.0,1014501
658,1005,2,150,24,1222.0,1014501
659,1005,3,150,25,2175.0,1014501
660,94,1,125,10,845.0,100718
661,94,2,125,11,845.0,100718
662,94,3,130,11,845.0,100718
663,94,4,130,12,845.0,100718
664,94,5,130,13,845.0,1007181
665,94,6,135,14,845.0,1007181
666,94,7,140,15,2188.0,1007181
667,95,1,125,10,653.0,100813
668,95,2,125,11,653.0,100813
669,95,3,130,11,653.0,100813
670,95,4,130,12,653.0,100813
671,95,5,130,13,653.0,1008131
672,95,6,135,14,653.0,1008131
673,95,7,140,15,2189.0,1008131
674,96,1,125,10,2230.0,1020621
675,96,2,125,11,2230.0,1020621
676,96,3,130,11,2217.0,1020621
677,96,4,130,12,2217.0,1020621
678,96,5,130,13,2217.0,1020622
679,96,6,135,14,2217.0,1020622
680,96,7,140,15,2218.0,1020622
681,97,1,125,10,2231.0,1020621
682,97,2,125,11,2231.0,1020621
683,97,3,130,11,2219.0,1020621
684,97,4,130,12,2219.0,1020621
685,97,5,130,13,2219.0,1020622
686,97,6,135,14,2219.0,1020622
687,97,7,140,15,2220.0,1020622
688,98,1,125,10,2234.0,1020771
689,98,2,125,11,2234.0,1020771
690,98,3,130,11,2221.0,1020771
691,98,4,130,12,2221.0,1020771
692,98,5,130,13,2221.0,1020772
693,98,6,135,14,2221.0,1020772
694,98,7,140,15,2222.0,1020772
695,99,1,125,10,2235.0,1020771
696,99,2,125,11,2235.0,1020771
697,99,3,130,11,2223.0,1020771
698,99,4,130,12,2223.0,1020771
699,99,5,130,13,2223.0,1020772
700,99,6,135,14,2223.0,1020772
701,99,7,140,15,2224.0,1020772
702,100,1,125,10,524.0,100439
703,100,2,125,11,524.0,100439
704,100,3,130,11,524.0,100439
705,100,4,130,12,524.0,100439
706,100,5,130,13,524.0,1004391
707,100,6,135,14,524.0,1004391
708,100,7,140,15,2225.0,1004391
709,101,1,125,10,525.0,100712
710,101,2,125,11,525.0,100712
711,101,3,130,11,525.0,100712
712,101,4,130,12,525.0,100712
713,101,5,130,13,525.0,1007121
714,101,6,135,14,525.0,1007121
715,101,7,140,15,2226.0,1007121
716,1006,1,150,22,917.0,1010901
717,1006,2,150,24,917.0,1010901
718,1006,3,150,25,2240.0,1010901
719,102,1,125,10,2242.0,1020811
720,102,2,125,11,2242.0,1020811
721,102,3,130,11,2243.0,1020811
722,102,4,130,12,2243.0,1020811
723,102,5,130,13,2243.0,1020812
724,102,6,135,14,2243.0,1020812
725,102,7,140,15,2244.0,1020812
726,103,1,125,10,863.0,100964
727,103,2,125,11,863.0,100964
728,103,3,130,11,863.0,100964
729,103,4,130,12,863.0,100964
730,103,5,130,13,863.0,1009641
731,103,6,135,14,863.0,1009641
732,103,7,140,15,2257.0,1009641
733,104,1,125,10,1902.0,1018501
734,104,2,125,11,1902.0,1018501
735,104,3,130,11,2258.0,1018501
736,104,4,130,12,2258.0,1018501
737,104,5,130,13,2258.0,1018502
738,104,6,135,14,2258.0,1018502
739,104,7,140,15,2259.0,1018502
740,105,1,125,10,1903.0,1018411
741,105,2,125,11,1903.0,1018411
742,105,3,130,11,2260.0,1018411
743,105,4,130,12,2260.0,1018411
744,105,5,130,13,2260.0,1018412
745,105,6,135,14,2260.0,1018412
746,105,7,140,15,2261.0,1018412
747,1007,1,150,22,757.0,1009381
748,1007,2,150,24,757.0,1009381
749,1007,3,150,25,2280.0,1009381
750,106,1,125,10,2268.0,1021451
751,106,2,125,11,2268.0,1021451
752,106,3,130,11,2271.0,1021451
753,106,4,130,12,2271.0,1021451
754,106,5,130,13,2271.0,1021452
755,106,6,135,14,2271.0,1021452
756,106,7,140,15,2272.0,1021452
757,107,1,125,10,2270.0,1021441
758,107,2,125,11,2270.0,1021441
759,107,3,130,11,2273.0,1021441
760,107,4,130,12,2273.0,1021441
761,107,5,130,13,2273.0,1021442
762,107,6,135,14,2273.0,1021442
763,107,7,140,15,2274.0,1021442
764,108,1,125,10,2275.0,1021441
765,108,2,125,11,2275.0,1021441
766,108,3,130,11,2275.0,1021441
767,108,4,130,12,2275.0,1021441
768,108,5,130,13,2275.0,1021442
