id,area_id,rank_range_id,description,priority
100,515,3,新ステージ登場！,800
101,130,1,仲間を強くしたい！,300
102,516,3,超上級者向け！,500
103,517,3,超上級者向け！,500
104,137,3,ピニッジを仲間に！,550
105,518,3,新ステージ登場！,500
106,138,1,則巻アラレを仲間に！,500
107,138,2,則巻アラレを仲間に！,500
108,138,3,則巻アラレを仲間に！,500
109,326,2,覚醒メダルをゲット！,200
110,326,3,覚醒メダルをゲット！,200
111,519,3,新ステージ登場！,800
112,520,3,新ステージ登場！,800
113,140,3,獲得量大幅アップ！,550
114,141,3,獲得量大幅アップ！,550
115,142,3,獲得量大幅アップ！,550
116,143,3,獲得量大幅アップ！,550
117,144,3,獲得量大幅アップ！,550
118,521,3,超上級者向け！,500
119,139,2,カッとばせ！,550
120,139,3,カッとばせ！,550
121,328,1,トランクスを仲間に！,300
122,328,2,トランクスを仲間に！,300
123,328,3,トランクスを仲間に！,300
124,602,3,超上級者向け！,800
125,522,3,新ステージ登場！,200
126,523,3,新ステージ登場！,800
127,146,3,仲間を強くしたい！,550
128,524,3,新ステージ登場！,200
129,329,2,覚醒メダルをゲット！,500
130,329,3,覚醒メダルをゲット！,500
131,147,1,毎日コインをゲット！,640
132,147,2,毎日コインをゲット！,640
133,147,3,毎日コインをゲット！,640
134,526,3,超上級者向け！,500
135,525,3,超上級者向け！,500
136,330,1,人気の物語イベント,200
137,330,2,人気の物語イベント,200
138,330,3,人気の物語イベント,200
139,527,3,新ステージ登場！,800
140,331,3,覚醒メダルをゲット！,200
141,331,3,覚醒メダルをゲット！,200
142,331,3,覚醒メダルをゲット！,200
143,528,3,新ステージ登場！,800
144,529,3,超上級者向け！,500
145,530,3,超上級者向け！,800
146,149,3,仲間を強くしたい！,800
147,332,3,孫悟空Jr.を仲間に！,200
148,332,2,孫悟空Jr.を仲間に！,200
149,318,2,人気の物語イベント,200
150,333,2,人気の物語イベント,200
151,333,3,人気の物語イベント,200
152,531,3,超上級者向け！,500
153,150,3,ブルマを育てよう！,500
154,532,3,新ステージ登場！,200
155,334,3,ゴテンクスを仲間に！,200
156,335,3,新ステージ登場！,200
157,533,3,新ステージ登場！,200
158,152,3,お菓子な特別編！,300
159,336,1,ラディッツを仲間に！,801
160,336,2,ラディッツを仲間に！,801
161,336,3,ラディッツを仲間に！,801
162,534,3,超上級者向け！,500
163,338,3,タピオンの笛をGET,200
164,535,3,新ステージ登場！,800
165,337,3,ベジータを仲間に！,200
166,339,3,孫悟飯を仲間に！,200
167,159,3,毎日豪華報酬ゲット！,200
168,536,3,新ステージ登場！,800
169,537,3,新ステージ登場！,800
170,153,3,バータを仲間に！,805
171,154,3,グルドを仲間に！,805
172,155,3,ギニューを仲間に！,805
173,156,3,ジースを仲間に！,805
174,157,3,リクームを仲間に！,805
175,158,3,特戦隊を強化！,805
176,160,3,新ステージ追加！,200
177,341,3,新物語イベント,200
178,538,3,新ステージ登場！,800
179,539,3,新ステージ登場！,800
180,344,3,ついに物語完結！,200
181,540,3,超上級者向け！,500
182,343,3,スラッグを仲間に！,200
183,541,3,新ステージ追加！,800
184,603,3,LRを目指せ！,900
185,340,3,孫悟空を仲間に！,200
186,542,3,新ステージ登場！,800
187,345,3,18号(GT)を仲間に！,200
188,163,1,毎日龍石10個GET,0
189,163,2,毎日龍石10個GET,0
190,163,3,毎日龍石10個GET,0
191,543,3,超上級者向け！,500
192,162,3,コラボイベント開催！,1005
193,544,3,超上級者向け！,500
194,545,3,超上級者向け！,500
195,347,3,物語リニューアル,200
196,346,3,新物語イベント,200
197,161,1,密猟者から島を守れ,200
198,161,2,密猟者から島を守れ,200
199,161,3,密猟者から島を守れ,200
200,164,1,毎日龍石10個GET,0
201,164,2,毎日龍石10個GET,0
202,164,3,毎日龍石10個GET,0
203,165,1,毎日龍石10個GET,0
204,165,2,毎日龍石10個GET,0
205,165,3,毎日龍石10個GET,0
206,166,1,毎日龍石10個GET,0
207,166,2,毎日龍石10個GET,0
208,166,3,毎日龍石10個GET,0
209,167,1,毎日龍石10個GET,0
210,167,2,毎日龍石10個GET,0
211,167,3,毎日龍石10個GET,0
212,168,1,毎日龍石10個GET,0
213,168,2,毎日龍石10個GET,0
214,168,3,毎日龍石10個GET,0
215,169,1,毎日龍石10個GET,0
216,169,2,毎日龍石10個GET,0
217,169,3,毎日龍石10個GET,0
218,711,3,豪華報酬をGET,800
219,348,3,界王神を仲間に！,200
220,171,3,ゴテンクスを仲間に！,500
221,348,1,界王神を仲間に！,200
222,348,2,界王神を仲間に！,200
223,134,1,来たる闘いに備えよ！,300
224,134,2,来たる闘いに備えよ！,300
225,134,3,来たる闘いに備えよ！,300
226,604,3,LRを目指せ！,900
227,546,3,超上級者向け！,500
228,349,3,物語リニューアル,200
229,352,3,孫悟空を仲間に！,200
230,547,3,超上級者向け！,800
231,351,3,新ステージ登場！,200
232,355,3,新ステージ追加！,200
233,353,3,新物語イベント,200
234,548,3,新ステージ登場！,800
235,549,3,新ステージ登場！,800
236,356,3,ギルを仲間に！,200
237,177,3,LRを目指せ！,200
238,178,1,毎日チケットGET,800
239,178,2,毎日チケットGET,800
240,178,3,毎日チケットGET,800
241,357,3,ベジータJr.を仲間に！,200
242,173,3,DBを集めよう！！,200
243,172,3,邪悪龍を倒せ！,200
244,550,3,超上級者向け！,800
245,551,3,超上級者向け！,800
246,354,3,LRを目指せ！,200
247,179,1,レトロな世界へ！,200
248,179,2,レトロな世界へ！,200
249,179,3,レトロな世界へ！,200
250,361,1,新物語イベント,200
251,361,2,新物語イベント,200
252,361,3,新物語イベント,200
253,363,1,専用スキル玉をGET,200
254,363,2,専用スキル玉をGET,200
255,363,3,専用スキル玉をGET,200
256,552,3,超上級者向け！,800
257,364,3,物語リニューアル,200
258,712,3,勝ち進め！,200
259,367,1,新物語イベント,200
260,367,2,新物語イベント,200
261,367,3,新物語イベント,200
262,553,3,新ステージ登場！,200
263,362,1,新物語イベント,200
264,362,2,新物語イベント,200
265,362,3,新物語イベント,200
266,181,1,コラボイベント開催！,200
267,181,2,コラボイベント開催！,200
268,181,3,コラボイベント開催！,200
269,365,2,物語リニューアル,200
270,365,3,物語リニューアル,200
271,366,2,新物語イベント,200
272,366,3,新物語イベント,200
273,368,2,新物語イベント,200
274,368,3,新物語イベント,200
275,554,3,超上級者向け！,800
276,605,3,LRを目指せ！,200
277,555,3,超上級者向け！,800
278,369,2,新物語イベント,200
279,369,3,新物語イベント,200
280,714,3,極限Z覚醒を目指せ,200
281,183,1,割れた瓦を集めよう！,200
282,183,2,割れた瓦を集めよう！,200
283,183,3,割れた瓦を集めよう！,200
284,184,1,割れた瓦を集めよう！,200
285,184,2,割れた瓦を集めよう！,200
286,184,3,割れた瓦を集めよう！,200
287,185,1,割れた瓦を集めよう！,200
288,185,2,割れた瓦を集めよう！,200
289,185,3,割れた瓦を集めよう！,200
290,186,1,割れた瓦を集めよう！,200
291,186,2,割れた瓦を集めよう！,200
292,186,3,割れた瓦を集めよう！,200
293,187,1,割れた瓦を集めよう！,200
294,187,2,割れた瓦を集めよう！,200
295,187,3,割れた瓦を集めよう！,200
296,182,1,激戦の記憶をたどれ！,200
297,182,2,激戦の記憶をたどれ！,200
298,182,3,激戦の記憶をたどれ！,200
299,713,3,超上級者向け！,200
300,188,1,謎の戦士の正体は!? ,200
301,188,2,謎の戦士の正体は!? ,200
302,188,3,謎の戦士の正体は!? ,200
303,371,2,物語リニューアル,200
304,371,3,物語リニューアル,200
305,715,3,極限Z覚醒を目指せ,200
306,373,2,物語リニューアル,200
307,373,3,物語リニューアル,200
308,716,3,新ステージ登場！,200
309,189,2,コラボイベント開催！,200
310,189,3,コラボイベント開催！,200
311,556,3,超上級者向け！,800
312,372,2,新物語イベント,200
313,372,3,新物語イベント,200
314,557,3,新ステージ登場！,800
315,374,2,新物語イベント,200
316,374,3,新物語イベント,200
317,375,2,新物語イベント,200
318,375,3,新物語イベント,200
319,376,2,新物語イベント,200
320,376,3,新物語イベント,200
321,191,3,スキル玉をGET!,1000
322,192,3,豪華報酬をGET,1000
323,717,3,極限Z覚醒を目指せ,200
324,718,3,極限Z覚醒を目指せ,200
325,558,3,超上級者向け！,800
326,199,3,スキル玉をGET!,1000
327,193,3,歴戦の猛者を仲間に,1080
328,194,3,歴戦の猛者を仲間に,1080
329,195,3,歴戦の猛者を仲間に,1080
330,196,3,歴戦の猛者を仲間に,1080
331,197,3,歴戦の猛者を仲間に,1080
332,198,3,専用潜在能力玉GET,1080
333,377,3,物語リニューアル,200
334,720,3,超上級者向け！,800
335,201,1,ブルマを仲間に！,200
336,201,2,ブルマを仲間に！,200
337,201,3,ブルマを仲間に！,200
338,606,3,LRを目指せ！,200
339,378,2,新物語イベント,200
340,378,3,新物語イベント,200
341,719,3,極限Z覚醒を目指せ,200
342,559,3,新ステージ登場！,800
343,721,3,新ステージ登場！,200
344,202,3,専用スキル玉をGET,1000
345,722,3,極限Z覚醒を目指せ,200
346,560,3,超上級者向け！,800
347,723,3,極限Z覚醒を目指せ,800
348,379,2,新物語イベント,200
349,379,3,新物語イベント,200
350,724,3,極限Z覚醒を目指せ,1000
351,381,2,物語リニューアル,200
352,381,3,物語リニューアル,200
353,382,2,新物語イベント,200
354,382,3,新物語イベント,200
355,204,2,毎週龍石20個GET!!,1101
356,204,3,毎週龍石20個GET!!,1101
357,205,2,毎週龍石20個GET!!,1101
358,205,3,毎週龍石20個GET!!,1101
359,206,2,毎週龍石20個GET!!,1101
360,206,3,毎週龍石20個GET!!,1101
361,207,2,毎週龍石20個GET!!,1101
362,207,3,毎週龍石20個GET!!,1101
363,208,2,毎週龍石20個GET!!,1101
364,208,3,毎週龍石20個GET!!,1101
365,203,1,「熟成肉」をGET！,1101
366,203,2,「熟成肉」をGET！,1101
367,203,3,「熟成肉」をGET！,1101
368,725,3,極限Z覚醒を目指せ,200
369,209,1,500万ゼニーGET!,1000
370,209,2,500万ゼニーGET!,1000
371,209,3,500万ゼニーGET!,1000
372,384,1,フリーザを仲間に！,200
373,384,2,フリーザを仲間に！,200
374,384,3,フリーザを仲間に！,200
375,211,1,特別なコンビが登場,200
376,211,2,特別なコンビが登場,200
377,211,3,特別なコンビが登場,200
378,726,3,極限Z覚醒を目指せ,1090
379,561,3,超上級者向け！,1100
380,212,1,コラボイベント開催！,200
381,212,2,コラボイベント開催！,200
382,212,3,コラボイベント開催！,200
383,740,3,超上級者向け！,1000
384,730,1,豪華報酬ゲット！,1100
385,730,2,豪華報酬ゲット！,1100
386,730,3,豪華報酬ゲット！,1100
387,731,1,豪華報酬ゲット！,1100
388,731,2,豪華報酬ゲット！,1100
389,731,3,豪華報酬ゲット！,1100
390,732,1,豪華報酬ゲット！,1100
391,732,2,豪華報酬ゲット！,1100
392,732,3,豪華報酬ゲット！,1100
393,733,1,豪華報酬ゲット！,1100
394,733,2,豪華報酬ゲット！,1100
395,733,3,豪華報酬ゲット！,1100
396,734,1,豪華報酬ゲット！,1100
397,734,2,豪華報酬ゲット！,1100
398,734,3,豪華報酬ゲット！,1100
399,383,1,新物語イベント,200
400,383,2,新物語イベント,200
401,383,3,新物語イベント,200
402,562,3,超上級者向け！,200
403,387,1,新物語イベント,200
404,387,2,新物語イベント,200
405,387,3,新物語イベント,200
406,563,3,超上級者向け！,200
407,385,1,亀仙人を仲間に！,200
408,385,2,亀仙人を仲間に！,200
409,385,3,亀仙人を仲間に！,200
410,386,1,新物語イベント,200
411,386,2,新物語イベント,200
412,386,3,新物語イベント,200
413,564,3,超上級者向け！,800
414,565,3,超上級者向け！,800
415,215,1,新特別編イベント,200
416,215,2,新特別編イベント,200
417,215,3,新特別編イベント,200
418,566,3,超上級者向け！,800
419,567,3,超上級者向け！,800
420,388,1,ピッコロを仲間に！,200
421,388,2,ピッコロを仲間に！,200
422,388,3,ピッコロを仲間に！,200
423,568,3,超上級者向け！,800
424,218,1,専用スキル玉をGET,200
425,218,2,専用スキル玉をGET,200
426,218,3,専用スキル玉をGET,200
427,569,3,超上級者向け！,800
428,221,1,EXスキル玉をGET,200
429,221,2,EXスキル玉をGET,200
430,221,3,EXスキル玉をGET,200
431,608,3,LRを目指せ！,200
432,389,1,孫悟空を仲間に！,200
433,389,2,孫悟空を仲間に！,200
434,389,3,孫悟空を仲間に！,200
435,392,1,ザーボンを仲間に！,200
436,392,2,ザーボンを仲間に！,200
437,392,3,ザーボンを仲間に！,200
438,223,1,仲間を強くしたい！,1111
439,223,2,仲間を強くしたい！,1111
440,223,3,仲間を強くしたい！,1111
441,224,1,特別なコンビが登場,200
442,224,2,特別なコンビが登場,200
443,224,3,特別なコンビが登場,200
444,570,3,超上級者向け！,200
445,225,3,潜在能力玉をGET,1100
446,226,3,潜在能力玉をGET,1100
447,227,3,潜在能力玉をGET,1100
448,228,3,潜在能力玉をGET,1100
449,229,3,潜在能力玉をGET,1100
450,231,3,潜在能力玉をGET,1100
451,571,3,超上級者向け！,800
452,572,3,超上級者向け！,800
453,232,1,コラボイベント開催！,200
454,232,2,コラボイベント開催！,200
455,232,3,コラボイベント開催！,200
456,393,1,新物語イベント,200
457,393,2,新物語イベント,200
458,393,3,新物語イベント,200
459,394,1,新物語イベント,200
460,394,2,新物語イベント,200
461,394,3,新物語イベント,200
462,395,1,新物語イベント,200
463,395,2,新物語イベント,200
464,395,3,新物語イベント,200
465,573,3,超上級者向け！,200
466,574,3,超上級者向け！,800
467,396,1,新物語イベント,200
468,396,2,新物語イベント,200
469,396,3,新物語イベント,200
470,575,3,超上級者向け！,800
471,234,1,みんなで踊ろう!,200
472,234,2,みんなで踊ろう!,200
473,234,3,みんなで踊ろう!,200
474,576,3,超上級者向け！,800
475,577,3,超上級者向け！,800
476,578,3,超上級者向け！,800
477,235,1,新特別編イベント,200
478,235,2,新特別編イベント,200
479,235,3,新特別編イベント,200
480,579,3,超上級者向け！,800
481,580,3,超上級者向け！,800
482,609,3,LRを目指せ！,200
483,397,1,新物語イベント,200
484,397,2,新物語イベント,200
485,397,3,新物語イベント,200
486,237,1,龍石30個GET!!,200
487,237,2,龍石30個GET!!,200
488,237,3,龍石30個GET!!,200
489,581,3,超上級者向け！,800
490,398,1,新物語イベント,200
491,398,2,新物語イベント,200
492,398,3,新物語イベント,200
493,582,3,超上級者向け！,800
494,585,3,超上級者向け！,800
495,583,3,超上級者向け！,800
496,584,3,超上級者向け！,800
497,242,1,コラボイベント開催！,200
498,242,2,コラボイベント開催！,200
499,242,3,コラボイベント開催！,200
500,239,1,ダーブラを仲間に！,200
501,239,2,ダーブラを仲間に！,200
502,239,3,ダーブラを仲間に！,200
503,586,3,超上級者向け！,800
504,587,3,超上級者向け！,800
505,588,3,新ステージ登場！,800
506,589,3,超上級者向け！,800
507,1303,1,新物語イベント,200
508,1303,2,新物語イベント,200
509,1303,3,新物語イベント,200
510,248,1,スキル玉をGET!,200
511,248,2,スキル玉をGET!,200
512,248,3,スキル玉をGET!,200
513,590,3,超上級者向け！,200
514,591,3,超上級者向け！,200
515,592,3,超上級者向け！,800
516,252,1,イベントリニューアル,200
517,252,2,イベントリニューアル,200
518,252,3,イベントリニューアル,200
519,593,3,超上級者向け！,800
520,251,1,孫悟空を仲間に！,200
521,251,2,孫悟空を仲間に！,200
522,251,3,孫悟空を仲間に！,200
523,594,3,超上級者向け！,800
524,595,3,超上級者向け！,800
525,255,1,イベントリニューアル,200
526,255,2,イベントリニューアル,200
527,255,3,イベントリニューアル,200
528,610,3,LRを目指せ！,200
529,262,1,期間限定!!  特別版,200
530,262,2,期間限定!!  特別版,200
531,262,3,期間限定!!  特別版,200
532,258,1,大量報酬GET,200
533,258,2,大量報酬GET,200
534,258,3,大量報酬GET,200
535,596,3,超上級者向け！,200
536,259,2,スキル玉をGET!,200
537,259,3,スキル玉をGET!,200
538,257,1,豪華報酬ゲット！,200
539,257,2,豪華報酬ゲット！,200
540,257,3,豪華報酬ゲット！,200
541,265,1,豪華報酬ゲット！,200
542,265,2,豪華報酬ゲット！,200
543,265,3,豪華報酬ゲット！,200
544,597,3,新超激戦登場!!,800
545,598,3,新超激戦登場!!,800
546,599,3,新超激戦登場!!,800
547,267,1,リンクスキル玉GET,200
548,267,2,リンクスキル玉GET,200
549,267,3,リンクスキル玉GET,200
550,264,1,特別なコンビが登場,200
551,264,2,特別なコンビが登場,200
552,264,3,特別なコンビが登場,200
553,1501,3,新超激戦登場!!,200
554,266,1,コラボイベント開催！,200
555,266,2,コラボイベント開催！,200
556,266,3,コラボイベント開催！,200
557,779,2,豪華報酬ゲット！,200
558,779,3,豪華報酬ゲット！,200
559,1306,3,新物語イベント,200
560,1305,3,新物語イベント,200
561,271,2,スキル玉をGET!,1200
562,271,3,スキル玉をGET!,1200
563,1502,3,新超激戦登場!!,800
564,1503,3,新超激戦登場!!,800
565,1504,3,新超激戦登場!!,800
566,273,1,栄光の軌跡をたどろう,200
567,273,2,栄光の軌跡をたどろう,200
568,273,3,栄光の軌跡をたどろう,200
569,528,3,新ステージ登場！,800
570,1505,3,新超激戦登場!!,800
571,794,3,イベントリニューアル,1300
572,795,3,超上級者向け！,800
573,1506,3,新超激戦登場!!,1510
574,793,3,超上級者向け！,1508
