id,description
2010,"{center:begin}{size: 35}修業場所について {size}
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png}
{size: 25}修業場所は修業の際に消費することで
効果的に修業を行うことが可能です。{size}
{initialImage: layout/image/tutorial/tutorial_ex_016.png}
{size: 25}「界王星（10倍重力）」は
使用すると{color : #FF9900}必ず修業が大成功{color}になり
{color : #FF9900}通常の1.2倍の経験値{color}を
獲得することができます。{size}{center}"
2020,{center:begin}{size: 25}まずは修業場所を選択しましょう。{size}{center}
2030,{center:begin}{size: 25}次は修業相手と修業アイテムを設定します {size}{center}
2040,"{center:begin}{size: 35}修業相手と修業アイテム{size}
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png}
{initialImage: layout/image/tutorial/tutorial_ex_017.png}
{size: 25}修業の際は{color : #FF9900}修業相手{color}と{color : #FF9900}修業アイテム{color}を消費
して修業を行います。{size}{center}"
2050,"{center:begin}{size: 35}修業相手{size}
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png}
{initialImage: layout/image/tutorial/tutorial_ex_018.png}
{size: 25}{color : #FF9900}同じ名前のキャラクター{color}を
修業相手として設定すると
{color : #FF9900}必殺技Lv{color}を上げることができます。{size}{center}"
2060,"{center:begin}{size: 35}修業アイテム{size}
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png}
{initialImage: layout/image/tutorial/tutorial_ex_019.png}
{size: 25}また、{color : #FF9900}同じ属性の修業アイテム{color}を使うと
{color : #FF9900}通常の1.5倍{color}の経験値を
獲得することができます。{size}{center}"
2070,"{center:begin}{size: 25}今回はおまかせで選択してみましょう。

おまかせボタンを押してください。{size}{center}"
2080,"{center:begin}{size: 25} それでは修業開始を押してください {size}

{size:20}設定した修業相手、修業アイテム、ゼニーは
消失します{size}{center}"
2090,"{center:begin}{size: 25}キャラクターのLvが最大になりました

次はキャラクターをZ覚醒させましょう{size}{center}"
2100,"{center:begin}{size: 35}覚醒について{size}
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png}
{size: 25}覚醒は{color : #FF0000}「Z覚醒」{color}{color : #CC33FF}「ドッカン覚醒」{color}と
{color : #FFCC00}「極限Z覚醒」{color}の３種類があります。
{initialImage: layout/image/tutorial/tutorial_ex_012.png}
キャラクターのLvを最大にした状態で
{color : #FF9900}覚醒メダルとゼニーを消費{color}して
各種覚醒を行うことができます。{size}{center}"
2110,"{center:begin}{size: 35}Z覚醒について{size}
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png}
{initialImage: layout/image/tutorial/tutorial_ex_013.png}
{size: 25}Z覚醒を行うとキャラクターのパラメータを上昇させることができます。

また、{color : #FF9900}レアリティがアップ{color}し
{color : #FF9900}レベル上限も上昇{color}します。{size}{center}"
2111,"{center:begin}{size: 35}Z覚醒について{size}
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png}
{initialImage: layout/image/tutorial/tutorial_ex_013.png}
{size: 25}Z覚醒したキャラクターには
属性に「超」か「極」が付き
{color : #FF9900}有利属性への攻撃力が増加{color}して
{color : #FF9900}弱点属性への耐久が強化{color}されます。{size}{center}"
2120,"{center:begin}{size:25}それでは「Z覚醒」ボタンを押してください{size}

{size:20}{color : #FF9900}チュートリアル限定でLvが最大{color}になります{size}{center}"
2200,"{center:begin}{size: 35}ドッカン覚醒について {size}
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png}
{initialImage: layout/image/tutorial/tutorial_ex_014.png}
{size:25}一部のキャラクターは
Z覚醒したLvMAXの状態で
{color : #FF9900}覚醒メダルとゼニーを消費{color}して
{color : #CC33FF}ドッカン覚醒{color}を行うことができます。{size}{center}"
2201,"{center:begin}{size: 35}ドッカン覚醒について {size}
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png}
{initialImage: layout/image/tutorial/tutorial_ex_014.png}
{size:25}キャラクターの見た目が変化し
{color : #FF9900}ステータスや必殺技、各種スキルも強化{color}
されます。{size}{center}"
2210,"{center:begin}{size:25}「DOKKAN覚醒ボタン」を
押してください{size}

{size:19}本来ドッカン覚醒後のキャラクターはLv1になりますが
{color : #FF9900}チュートリアル限定でLvが最大{color}になります{size}{center}"
3000,"{center:begin}{size: 35}アクティブスキルについて{size}
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png}
{size: 25}特定の条件を満たすと
{color : #FF9900}「アクティブスキル」{color}を
発動できるキャラクターがいます。{size}
{initialImage: layout/image/tutorial/tutorial_ex_015.png}
{size: 25}バトル中に発動することができ
発動条件や効果はスキルごとに異なります{size}{center}"
3010,"{center:begin}{size: 25}ドッカン覚醒により
孫悟空のアクティブスキル
が発動可能になりました。

{color : #FF9900}キャラクターアイコンを上方向にスワイプ{color}
して発動してみましょう。{size}{center}"
