id,budokai_help_id,image_path,description
11,3,images/help_ten1/budokai_pt.png,"
トーナメントを途中で「リタイア」すると
獲得中の武道会ptはそのまま加算されますが
ゲームオーバーによる敗退、
または、すごろく（バトル）中に「あきらめる」を
選択してリタイアした場合は
そのラウンド中に獲得した武道会ptが
破棄されてしまいます。
そのトーナメント中に稼いだ武道会ptは
そのまま加算されます。

途中でリタイアして安全にいくか、優勝を目指して
次へ進むか、チームの実力と相談して決めましょう。

また、開催期間が過ぎてからトーナメントを
勝ち上がっても、総合武道会ptには
反映されないので注意しましょう。

総合武道会ptは、大会が終了するとリセットされます。"
12,4,,"大会開催期間中に獲得した{color: #FFFF00}総合武道会pt{color}によって
{color: #FFFF00}ランキング{color}が決定されます。"
13,4,images/help_ten1/1_4_1.png,"
大会終了時の順位で、報酬が決定されます。
（ポイントが同一だった場合、順位も同一になります。）

また、表示切替ボタンを押すことで「優勝回数」や「連続優勝回数」(連覇達成数)を確認することができます。

※開催期間中のランキングはリアルタイムでは
   反映されないため、実際の順位が表示されるまで
   数分かかる場合があります 。"
14,5,,"{color: #FFFF00}総合武道会pt{color}が一定のポイントまでたまると
{color: #FFFF00}「クラス」{color}がアップすることがあります。"
15,5,images/help_ten1/1_5_1.png,"武道会開催時は「ピラフクラス」からのスタートと
なりますが、トーナメントに繰り返し参加し
勝ち上がって、クラスアップを目指しましょう。

また、「クラス」は４つのリーグによって分けられており
上位のリーグほど獲得できる報酬に期待できます。"
16,16,,"天下一武道会では、{color: #FFFF00}「フレンド」{color}の効力は
通常冒険時とは以下の点で異なります。

１：フレンドの「リーダースキル」は発動しません。"
17,16,images/help_ten1/1_6_1a.png,"
２：「友情pt」の獲得はできません。"
18,6,,"天下一武道会でも通常冒険と同じように
画面下部の「スロットボタン」をタップして進みます。
※「スロットボタン」はランダムに決まります。"
19,6,images/help_ten1/20160407-2_1_1a.png,"
また、天下一武道会では、プレイヤーと同じように
対戦相手も進むマスの数を選択し、
すごろくマップ上を移動します。

進むマスの数が決定すると、「選んだ数字の小さい順」
から順番に移動を開始します。"
20,7,,"通常冒険と同じように、天下一武道会のマップにも
停止したマスによって{color: #FFFF00}イベント{color}が用意されています。"
21,7,images/help_ten1/2_2_1.png,"
イベントの中には、一定ターンが経過することで
再出現するものもあります。

対戦相手も同じようにイベントを発生させるので、
狙ったマスがあれば積極的に止まるようにしましょう。 

また、天下一武道会では、通常冒険にはない
特殊なマスが登場します。

{color: #FFFF00}▼肉まん{color}"
22,7,images/help_ten1/tour_icon_nikuman.png,肉まんのマスにとまるとHPが回復します。
23,7,,"
{color: #FFFF00}▼武道会pt{color}"
24,7,images/help_ten1/tour_icon_point.png,"武道会ptのマスにとまると武道会ptを
獲得することができます。"
25,7,,"
{color: #FFFF00}▼キャラクター{color}"
26,7,images/help_ten1/tour_icon_card.png,"キャラクターのマスにとまると
キャラクターを仲間にすることができます。"
27,8,,"
すごろくマップ上で得たアイテムやキャラクターは
そのラウンドが終了した時点で獲得できます。"
28,8,images/help_ten1/2_3_1.png,"
ただし、ゲームオーバーや「あきらめる」を
選択した場合は獲得できません。 "
29,9,,"天下一武道会のすごろくは以下の条件で終了します。

　・プレイヤーのHPが0になる
　・プレイヤー以外のチームが全滅する
　・規定ターン数を消化する
　・右下のメニューから「あきらめる」を選択して
      リタイアする"
30,9,images/help_ten1/2_4_1.png,"
対戦中のプレイヤー全員がすごろくを１度進めると
「１ターン」経過となります。「規定ターン数」は
予選や準決勝といった「ラウンド」毎に
決められています。"
31,10,,"天下一武道会のバトルは、フレンドを含めた
{color: #FFFF00}7{color}vs{color: #FFFF00}7{color}で行われます。"
32,10,images/help_ten1/3_1_1.png,"
対戦相手はキャラクター毎にHPが設定されています。
また天下一武道会では、フレンドのリーダースキルは
発動しません。

攻撃してくるキャラクターは、画面上部のアイコンが
黄色い枠で囲われています。

通常のバトルと同じようにターゲットを
選択することができ、その他アイテム、
必殺技やドッカンモードも使用できます。"
33,11,,"バトル中は以下のタイミングで{color: #FFFF00}武道会pt{color}を獲得できます。

１：気の玉を獲得（自属性の方が多く獲得）
２：敵のHPを0にする
３：敵チームを全滅させる

この他にも、必殺技や得意属性でHPを0にすると
ボーナスがついたり、倒した敵のレベルに応じた
ボーナスなどが存在します。"
34,12,,"バトルは以下の条件で終了します。

　・プレイヤーのHPが0になる
　・対戦相手チームのキャラクターが全滅する
　・規定チャージ数を消化する
　・右下のメニューから「あきらめる」を選択して
      リタイアする"
35,12,,"プレイヤーチームのキャラクター１体が気の玉を取ると、
「１チャージ」となります。
対戦画面内には「残りチャージ数」が表示されています。"
36,12,images/help_ten1/3_3_1.png,"
規定チャージ数は、予選や準決勝といった
「ラウンド」毎に決められています。 "
37,13,,"天下一武道会では様々な{color: #FFFF00}報酬{color}を獲得することができます。

ラウンド中に得たアイテムはラウンド終了時に
獲得できますが、チームのHPが0になった際の
「ゲームオーバー」や「あきらめる」を選択した
場合は獲得することができません。

また通常冒険と違い、フレンドによる友情ptは獲得できず
キャラクター経験値の獲得は、バトル終了時ではなく
ラウンド終了時になっています。"
38,14,,"天下一武道会終了時の「総合武道会pt」により
ランキングが決定し、順位に応じた{color: #FFFF00}ランキング報酬{color}が
配布されます。

ランキング報酬は天下一武道会TOPから
「報酬」を選択することで確認できます。"
39,14,images/help_ten1/help_ranking_reward.png,"
報酬配布のタイミングは大会毎によって異なるため、
開催時の「お知らせ」を確認して下さい。"
40,15,,"天下一武道会に応じた「ミッション」を達成して
報酬を獲得することができます。"
41,15,,"
ミッションの詳細や報酬の概要は天下一武道会TOPから
「報酬」＞「ミッション報酬」を選択することで
確認できます。"
42,15,images/help_ten1/help_mission_reward.png,"
また、「デイリーミッション」「イベントミッション」
として登場することがあります。"
43,15,images/help/help_mission_01.png,"
詳細はホーム画面「ミッション」から確認してください。
デイリーミッションは切り替わり時間を過ぎてしまうと
報酬を受け取れなくなってしまうので注意しましょう。
ミッションの期限は各ミッションの「詳細」から
確認してください。"
44,17,,"武道会ptは敵を撃破する以外にも
様々なボーナスで獲得することができます。

残りターン（すごろくでの残り行動数）が
多い状態でラウンドが終了すると
より多くのボーナスをえることができます。

また、一定の確率でボーナスデッキが登場する
ことがあります。"
45,17,images/help_ten1/20160407-Help_16.png,"
ボーナスデッキの相手を
撃破すると通常より多くの武道会ptを
獲得することができます。
各ボーナスはリザルトに詳細が
表示されます。"
46,18,,"ローカルランキングとは
選出された少人数のユーザー同士で争うランキングです。

ローカルランキングは
{color: #FFFF00}「ローカルランキング開催期間中に獲得した武道会pt」{color}
によってランキングが決定されます。"
47,18,images/help_ten1/local_ranking_2.png,"
期間終了時点の順位で、報酬が決定されます。

期間中に獲得した武道会ptが同一だった場合、
順位も同一になります。
 
※開催期間中のランキングは
リアルタイムでは反映されないため、
実際の順位が表示されるまで
数分かかる場合があります。"
48,19,,"ローカルランキング期間中に獲得した
武道会ptによってランキングが決定し、
順位に応じた報酬を獲得することができます。"
49,19,images/help_ten1/help_local_ranking_reward.png,"
ローカルランキング報酬は
天下一武道会TOPから「報酬」を選択することで
確認できます。

ローカルランキングの期間が終了し、
ランキングの集計後にホーム画面、及び
天下一トップ画面に遷移することで
報酬の獲得が可能です。
※報酬はプレゼントボックスから受け取り可能です。"
50,20,,"連覇達成ボーナスは、連続で優勝をすると
{color: #FFFF00}優勝時の獲得武道会ptが増えるボーナス{color}です。"
51,20,images/help_ten1/renpa_01.png,"
優勝時に得られる「優勝ボーナス」に
プラス補正がかかり、連覇達成ボーナスとして
獲得することができます。

※「優勝pt × 1.3」 の場合は、
「優勝ボーナス = 1」+「連覇達成ボーナス = 0.3」 
として計算されます。"
52,20,images/help_ten1/renpa_02.png,"
連覇達成回数が多いと
連覇達成ボーナスも増加しますが、
9連勝以降はボーナスが一定となります。

また、トーナメント中に敗北したり、
リタイアしてしまうと
連覇達成ボーナスはリセットされてしまいます。

※再度連覇することで連覇達成ボーナスを
獲得することができます。

※連覇達成回数は天下一武道会開催毎に
リセットされます。
前回の天下一武道会から引き継ぎません。"
53,21,,"意気込みは天下一トップ画面にて
「参加する」ボタンを押すことで
選択することができます。"
54,21,images/help_ten1/ikigomi_03.png,"
意気込みの種類によって、トーナメント中に
出現する敵の強さが変化し、
勝ち上がり時ボーナス
(予選突破ボーナスや優勝ボーナス)に
さらにボーナスが加算されます。

※「勝ち上がり時ボーナス × 10」 の場合は、
「勝ち上がり時ボーナス = 1」
+「意気込みボーナス = 9」 として計算されます。"
55,21,images/help_ten1/ikigomi_02.png,"
トーナメント参加中は意気込みを
変更することはできません。"
56,21,images/help_ten1/ikigomi_confirm.png,"
選択した意気込みの詳細は、状況確認画面の
画面上部の意気込みを押すことで
確認することが可能です。"
