id,num,awakening_item_id,quantity,card_awakening_set_id
195,2,3048,7,50
196,3,3049,7,50
197,4,3051,7,50
198,5,3052,3,50
199,1,3051,25,51
200,2,3048,7,51
201,3,3049,7,51
202,4,3050,7,51
203,5,3052,3,51
204,1,3048,10,52
205,2,3049,10,52
206,3,3050,10,52
207,4,3051,10,52
208,5,3052,3,52
209,1,3061,12,53
210,2,3062,12,53
211,3,3063,12,53
212,4,3064,12,53
213,5,3066,12,53
214,1,3061,7,54
215,2,3062,7,54
216,3,3063,7,54
217,4,3064,7,54
218,5,3065,7,54
219,1,1,5,55
220,2,2,5,55
221,3,3,5,55
222,4,1001,3,55
223,5,1002,3,55
224,1,1,15,56
225,2,2,15,56
226,3,3,15,56
227,4,1001,7,56
228,5,1002,7,56
229,1,102,20,57
230,2,103,20,57
231,3,104,20,57
232,4,105,20,57
233,5,101,20,57
234,1,3071,15,58
235,2,3072,15,58
236,3,3073,15,58
237,4,3074,15,58
238,5,3075,20,58
239,1,3085,10,59
240,2,3081,1,59
241,3,3084,1,59
242,4,3087,1,59
243,5,3088,1,59
244,1,3085,20,60
245,2,3082,1,60
246,3,3083,1,60
247,4,3086,1,60
248,5,3089,1,60
249,1,3141,10,61
250,2,3142,10,61
251,1,3145,10,62
252,2,3146,10,62
253,3,3147,10,62
254,4,3143,3,62
255,5,3144,5,62
256,1,3151,50,63
257,1,3151,35,64
258,1,3151,8,65
259,1,4031,3,66
260,1,5011,3,67
261,1,5011,10,68
262,1,3181,10,69
263,1,3181,3,70
264,1,5021,10,71
265,1,5021,3,72
266,1,5031,10,73
267,1,5031,3,74
268,1,1,24,75
269,2,8,13,75
270,3,13,7,75
271,4,14,2,75
272,1,1,24,76
273,2,6,13,76
274,3,12,7,76
275,4,16,2,76
276,1,1,24,77
277,2,4,13,77
278,3,11,7,77
279,4,18,2,77
280,1,5041,10,78
281,1,5041,3,79
282,1,30001,7,80
283,1,30002,7,81
284,1,30003,7,82
285,1,5051,10,83
286,1,5061,10,84
287,1,32101,10,85
288,2,32102,8,85
289,3,32103,10,85
290,4,32104,10,85
291,5,32105,8,85
292,1,31001,7,86
293,2,13,7,86
294,3,14,7,86
295,4,1001,7,86
296,5,1002,7,86
297,1,5071,3,87
298,1,5071,10,88
299,1,30004,7,89
300,1,30005,7,90
301,1,32201,7,91
302,2,32202,7,91
303,3,32203,5,91
304,4,32204,5,91
305,5,32206,1,91
306,1,32201,5,92
307,2,32202,5,92
308,3,32203,10,92
309,4,32204,10,92
310,5,32205,1,92
311,1,5091,1,93
312,1,5092,1,94
313,1,5081,10,95
314,1,5081,10,96
315,1,5081,10,97
316,1,31002,7,98
317,2,12,7,98
318,3,16,7,98
319,4,1001,7,98
320,5,1002,7,98
321,1,31003,7,99
322,2,10,7,99
323,3,17,7,99
324,4,1001,7,99
325,5,1002,7,99
326,1,30006,7,100
327,1,30007,7,101
328,1,32301,7,102
329,2,32302,7,102
330,3,32303,7,102
331,4,32304,7,102
332,5,32305,3,102
333,1,32301,1,103
334,2,32302,1,103
335,3,32303,1,103
336,4,32304,1,103
337,1,32301,1,104
338,2,32302,1,104
339,3,32303,1,104
340,4,32304,1,104
341,1,31004,7,105
342,2,11,7,105
343,3,18,7,105
344,4,1001,7,105
345,5,1002,7,105
346,1,5101,10,106
347,1,5101,10,107
348,1,5101,3,108
349,1,31005,7,109
350,2,10,7,109
351,3,17,7,109
352,4,1001,7,109
353,5,1002,7,109
354,1,31006,7,110
355,2,13,7,110
356,3,14,7,110
357,4,1001,7,110
358,5,1002,7,110
359,1,32401,3,111
360,2,32402,3,111
361,3,32403,3,111
362,4,32404,3,111
363,5,32405,1,111
364,1,32401,5,112
365,2,32402,5,112
366,3,32403,5,112
367,4,32404,5,112
368,5,32405,2,112
369,1,31007,7,113
370,2,15,7,113
371,3,9,7,113
372,4,1001,7,113
373,5,1002,7,113
374,1,5111,10,114
375,1,5111,10,115
376,1,5111,3,116
377,1,31008,7,117
378,2,16,7,117
379,3,12,7,117
380,4,1001,7,117
381,5,1002,7,117
382,1,31008,7,118
383,2,32105,7,118
384,1,31009,7,119
385,2,18,7,119
386,3,11,7,119
387,4,1001,7,119
388,5,1002,7,119
389,1,31010,7,120
390,2,15,7,120
391,3,9,7,120
392,4,1001,7,120
393,5,1002,7,120
394,1,31011,15,121
395,1,60101,777,122
396,1,5121,77,123
397,1,5011,77,124
398,1,5121,35,125
399,1,5121,35,126
400,1,32501,10,127
401,2,32502,8,127
402,3,32503,8,127
403,1,5131,77,128
404,1,5131,35,129
405,1,5131,21,130
406,1,5131,21,131
407,1,30008,7,132
408,1,5141,77,133
409,1,5141,35,134
410,1,5141,35,135
411,1,30009,7,136
412,1,31014,7,137
413,2,15,7,137
414,3,9,7,137
415,4,1001,7,137
416,5,1002,7,137
417,1,5151,77,138
418,1,5151,35,139
419,1,5151,21,140
420,1,5151,21,141
421,1,32105,7,142
422,1,30008,7,143
423,1,30008,7,144
424,1,31015,7,145
425,2,17,7,145
426,3,10,7,145
427,4,1001,7,145
428,5,1002,7,145
429,1,31016,7,146
430,2,18,7,146
431,3,11,7,146
432,4,1001,7,146
433,5,1002,7,146
434,1,5161,77,147
435,1,5161,35,148
436,1,5161,35,149
437,1,5011,3,150
438,2,5021,3,150
439,3,5031,3,150
440,4,5041,3,150
441,5,5051,3,150
442,1,5061,7,151
443,2,5071,7,151
444,3,5081,7,151
445,4,5101,7,151
446,5,5111,7,151
447,1,5121,77,152
448,2,5131,77,152
449,3,5141,77,152
450,4,5151,77,152
451,5,5161,77,152
452,1,5171,77,153
453,1,5171,35,154
454,1,32202,7,155
455,1,32202,7,156
456,1,5011,35,157
457,1,30011,7,158
458,1,30010,7,159
459,1,30001,7,160
460,1,31017,7,161
461,2,18,7,161
462,3,11,7,161
463,4,1001,7,161
464,5,1002,7,161
465,1,5181,77,162
466,1,40001,7,163
467,1,90002,7,164
468,1,90001,7,165
469,1,32601,7,166
470,1,32602,7,167
471,1,32603,7,168
472,1,31013,7,169
473,2,18,7,169
474,3,11,7,169
475,4,1001,7,169
476,5,1002,7,169
477,1,5191,77,170
478,1,5191,35,171
479,1,5201,77,172
480,1,5201,35,173
481,1,900000,1,174
482,1,5021,77,175
483,1,5021,35,176
484,1,5021,21,177
485,1,5211,21,178
486,1,5211,77,179
487,1,31012,7,180
488,2,14,7,180
489,3,13,7,180
490,4,1001,7,180
491,5,1002,7,180
492,1,40001,70,181
493,1,32802,7,182
494,1,32803,7,183
495,1,32801,7,184
496,2,32802,3,184
497,3,32803,3,184
498,1,30012,7,185
499,1,30013,7,186
500,1,5221,77,187
501,1,5231,77,188
502,1,5221,35,189
503,1,5221,35,190
504,1,31019,15,191
505,1,60201,777,192
506,1,32901,77,193
507,1,32901,77,194
508,1,5241,77,195
509,1,5241,35,196
510,1,5241,35,197
511,1,5241,35,198
512,1,31018,7,199
513,2,16,7,199
514,3,12,7,199
515,4,1001,7,199
516,5,1002,7,199
517,1,30014,7,200
518,1,5131,35,201
519,1,1001,2,202
520,2,1002,2,202
521,1,30008,2,203
522,1,5251,77,204
523,1,5251,35,205
524,1,5251,35,206
525,1,5261,77,207
526,1,5261,35,208
527,1,5261,35,209
528,1,40001,7,210
529,1,40001,7,211
530,1,40001,7,212
531,1,40001,7,213
532,1,40001,7,214
533,1,40001,7,215
534,1,40001,7,216
535,1,32401,10,217
536,2,32402,10,217
537,3,32403,10,217
538,4,32404,10,217
539,5,32405,5,217
540,1,32402,15,218
541,2,32405,1,218
542,1,32403,15,219
543,2,32405,1,219
544,1,900001,7,220
545,1,900001,70,221
546,1,900001,7,222
547,1,900001,7,223
548,1,900001,7,224
549,1,900001,7,225
550,1,900001,7,226
551,1,5021,77,227
552,1,900001,7,228
553,1,5271,77,229
554,1,5271,35,230
555,1,5271,35,231
556,1,5271,21,232
557,1,31020,7,233
558,2,14,7,233
559,3,13,7,233
560,4,1001,7,233
561,5,1002,7,233
562,1,5281,77,234
563,1,5281,35,235
564,1,5281,35,236
565,1,5281,35,237
566,1,5291,77,238
567,1,5291,35,239
568,1,5291,35,240
569,1,5291,35,241
570,1,32901,100,242
571,1,40001,7,243
572,1,30002,7,244
573,1,30006,7,245
574,1,5171,21,246
575,2,5181,21,246
576,3,5191,21,246
577,4,5201,21,246
578,5,5221,21,246
579,1,5301,77,247
580,1,5301,35,248
581,1,5301,35,249
582,1,5301,21,252
583,1,5301,21,253
584,1,5021,35,250
585,1,5021,35,251
586,1,3066,12,254
587,1,3065,12,255
588,1,3061,7,256
589,1,1391,1,257
590,1,5031,77,258
591,1,5031,35,259
592,1,5031,35,260
593,1,5031,35,261
594,1,5031,21,262
595,1,90003,7,263
596,1,90004,7,264
597,1,5051,77,267
598,1,5051,35,268
599,1,5061,77,269
600,1,5061,21,270
601,1,5011,77,265
602,1,14,77,266
603,2,18,77,266
604,3,15,77,266
605,4,16,77,266
606,5,17,77,266
607,1,33201,5,271
608,1,5111,5,272
609,1,3141,12,273
610,1,3142,12,274
611,1,900001,7,275
612,1,40001,7,276
613,1,40001,7,277
614,1,40001,7,278
615,1,40001,7,279
616,1,40001,7,280
617,1,5132,77,281
618,1,5132,35,282
619,1,5132,35,283
620,1,5132,35,284
621,1,31011,7,285
622,1,33301,12,286
623,2,33302,3,286
624,3,33303,3,286
625,4,33304,3,286
626,1,33304,7,287
627,1,33302,7,288
628,1,33303,7,289
629,1,900002,10,290
630,1,900002,20,291
631,1,900002,70,292
632,1,5181,77,293
633,1,5191,21,294
634,2,5201,21,294
635,3,5221,21,294
636,4,5231,21,294
637,5,5241,21,294
638,1,3035,5,295
639,1,3031,5,296
640,1,5221,35,297
641,1,5311,77,298
642,1,5311,35,299
643,1,40001,7,300
644,1,32305,3,301
645,1,32305,3,302
646,1,15001,5,303
647,1,90005,7,304
648,1,34002,7,305
649,2,31006,5,305
650,1,34001,7,306
651,2,34002,7,306
652,1,34001,7,307
653,2,30014,3,307
655,1,32502,5,308
656,2,32503,5,308
657,1,30003,5,309
658,1,5321,77,310
659,1,5172,77,311
660,1,5172,21,312
661,1,5321,21,313
662,1,900003,7,314
663,1,900003,7,315
664,1,900003,7,316
665,1,900003,7,317
666,1,900003,7,318
667,1,30004,7,319
668,1,31005,10,320
669,2,31003,10,320
670,3,31014,10,320
671,4,31008,10,320
672,5,31017,10,320
673,1,31017,12,321
674,1,32201,12,322
675,1,13701,7,323
676,1,33401,10,324
677,1,5081,77,325
678,1,5151,35,326
679,1,30011,7,327
680,1,31009,10,328
681,1,900004,21,329
682,2,5131,21,329
683,3,5132,21,329
684,1,900004,7,330
685,2,5071,3,330
686,1,900004,7,331
687,2,32103,3,331
688,1,40001,7,332
689,1,40001,7,333
690,1,40001,7,334
691,1,5331,77,335
692,1,33501,20,336
693,1,33502,20,337
694,1,3065,7,338
695,2,900004,7,338
696,1,3061,12,339
697,2,3062,12,339
698,3,3063,12,339
699,4,3064,12,339
700,1,3062,7,340
701,1,13501,5,341
702,1,5122,77,342
703,1,100001,3,343
704,1,100001,5,344
705,1,100001,7,345
706,1,100002,10,346
707,1,100002,30,347
708,1,100003,30,348
709,1,100004,30,349
710,1,33601,20,350
711,1,40001,7,351
712,1,40001,70,352
713,1,33703,7,353
714,2,33701,7,353
715,3,33702,7,353
716,1,33701,10,354
717,2,33702,10,354
718,1,33704,7,355
719,1,900005,30,356
720,1,900005,70,357
721,1,5341,77,358
722,1,5341,21,359
723,1,5251,35,360
724,1,5261,35,361
725,1,4031,10,362
726,1,5351,21,363
727,2,5281,21,363
728,3,5041,7,363
729,1,5351,77,364
730,1,5351,35,365
731,1,33801,10,366
732,2,33802,10,366
800,1,100011,3,400
801,1,100011,5,401
802,1,100011,7,402
803,1,100012,10,403
804,1,100012,30,404
805,1,100013,30,405
806,1,100014,30,406
807,1,5192,77,407
808,1,5202,77,408
809,1,5192,35,409
810,1,5202,35,410
811,1,90006,7,411
812,1,33901,5,412
813,1,5371,35,413
814,1,5371,35,414
815,2,5122,35,414
816,1,5361,35,415
817,1,5361,35,416
818,2,5051,35,416
819,1,100021,3,417
820,1,100021,5,418
821,1,100021,7,419
822,1,100022,10,420
823,1,100022,30,421
824,1,100023,30,422
825,1,100024,30,423
826,1,157001,5,424
827,1,156001,5,425
828,1,153001,5,426
829,1,154001,5,427
830,1,155001,5,428
831,1,34102,10,429
832,1,34103,10,430
833,1,34102,10,431
834,2,34103,10,431
835,1,34102,5,432
836,1,34103,5,433
837,1,34101,10,434
838,1,5381,77,435
839,1,5381,35,436
840,1,5381,35,437
841,1,5381,35,438
842,1,5391,77,439
843,1,5391,35,440
844,1,5391,35,441
845,1,40001,7,442
846,1,40001,7,443
847,1,40001,7,444
848,1,100031,3,445
849,1,100031,5,446
850,1,100031,7,447
851,1,100032,10,448
852,1,100032,30,449
853,1,100033,30,450
854,1,100034,30,451
855,1,5111,7,452
856,1,3141,7,453
857,2,3142,7,453
858,3,3147,7,453
859,4,33704,7,453
860,5,33702,7,453
861,1,3142,7,454
862,1,5242,77,455
863,1,5242,35,456
864,1,5401,77,457
865,1,5401,35,458
866,1,34401,10,459
867,2,34402,10,459
868,1,34401,10,460
869,2,34402,10,460
870,1,34403,10,461
871,1,100041,3,462
872,1,100041,5,463
873,1,100041,7,464
874,1,100042,10,465
875,1,100042,30,466
876,1,100043,30,467
877,1,100044,30,468
878,1,100051,3,469
879,1,100051,5,470
880,1,100051,7,471
881,1,100052,10,472
882,1,100052,30,473
883,1,100053,30,474
884,1,100054,30,475
885,1,100061,3,476
886,1,100061,5,477
887,1,100061,7,478
888,1,100062,10,479
889,1,100062,30,480
890,1,100063,30,481
891,1,100064,30,482
892,1,3034,1,483
893,2,3033,1,483
894,3,3031,1,483
895,4,3032,1,483
896,1,5341,21,484
897,2,3035,3,484
898,3,31019,3,484
899,4,60201,35,484
900,1,34301,20,485
901,1,34302,20,486
902,1,31021,15,487
903,1,60301,777,488
904,1,5411,77,489
905,1,5411,21,490
906,2,32101,3,490
907,1,5411,21,491
908,2,32102,3,491
909,1,100071,3,492
910,1,100071,5,493
911,1,100071,7,494
912,1,100072,10,495
913,1,100072,30,496
914,1,100073,30,497
915,1,100074,30,498
916,1,40001,7,499
917,1,40001,7,500
918,1,5421,77,501
919,1,34502,10,502
920,1,34503,10,503
921,1,5421,21,504
922,2,34501,7,504
923,1,100081,3,505
924,1,100081,5,506
925,1,100081,7,507
926,1,100082,10,508
927,1,100082,30,509
928,1,100083,30,510
929,1,100084,30,511
930,1,5431,35,512
931,1,5431,21,513
932,2,31010,7,513
933,1,5431,77,514
934,1,16201,10,515
935,1,3035,1,516
936,2,3031,1,516
937,3,3032,1,516
938,4,3033,1,516
939,5,3034,1,516
940,1,3031,3,517
941,2,3032,3,517
942,3,3033,3,517
943,4,3034,3,517
944,5,3030,3,517
945,1,3032,10,518
946,2,3030,10,518
947,1,3033,10,519
948,2,3030,10,519
949,1,3034,10,520
950,2,3030,10,520
951,1,30003,1,521
952,2,30008,1,521
953,3,30010,1,521
954,4,30011,1,521
955,5,30014,1,521
956,1,30001,3,522
957,2,30002,3,522
958,3,30004,3,522
959,4,30005,3,522
960,5,30013,3,522
961,1,30006,5,523
962,2,30007,5,523
963,3,30012,5,523
964,4,30015,5,523
965,5,30016,5,523
966,1,5021,35,524
967,1,900001,21,525
968,1,34601,5,527
969,1,40001,7,526
970,1,100091,3,528
971,1,100091,5,529
972,1,100091,7,530
973,1,100092,10,531
974,1,100092,30,532
975,1,100093,30,533
976,1,100094,30,534
977,1,5441,77,535
978,1,5451,77,536
979,1,5441,35,537
980,1,5451,35,538
981,1,16101,5,539
982,2,16102,5,539
983,3,16103,5,539
984,1,5441,35,540
985,2,5451,35,540
986,1,5381,21,541
987,2,5331,21,541
988,3,5401,21,541
989,4,5431,21,541
990,1,5152,77,542
991,1,5152,35,543
992,1,5152,35,544
993,1,5152,21,545
994,1,34801,7,546
995,2,34802,7,546
996,3,34803,7,546
997,4,34804,7,546
998,5,19,1,546
999,1,100101,3,547
1000,1,100101,5,548
1001,1,100101,7,549
1002,1,100102,10,550
1003,1,100102,30,551
1004,1,100103,30,552
1005,1,100104,30,553
1006,1,100001,2,554
1007,1,100001,4,555
1008,1,100001,6,556
1009,1,100002,8,557
1010,1,100002,12,558
1011,1,100003,12,559
1012,1,100004,12,560
1013,1,40001,7,561
1014,1,31022,15,562
1015,1,60401,777,563
1016,1,35201,5,564
1017,1,5461,77,565
1018,1,5461,35,566
1019,1,5461,35,567
1020,1,3181,10,568
1021,1,3181,10,569
1022,1,3181,10,570
1023,1,3181,10,571
1024,1,3181,10,572
1025,1,100111,3,573
1026,1,100111,5,574
1027,1,100111,7,575
1028,1,100112,10,576
1029,1,100112,30,577
1030,1,100113,30,578
1031,1,100114,30,579
1032,1,100071,2,580
1033,1,100071,4,581
1034,1,100071,6,582
1035,1,100072,8,583
1036,1,100072,12,584
1037,1,100073,12,585
1038,1,100074,12,586
1039,1,16001,20,587
1040,1,16001,20,588
1041,1,16001,20,589
1042,1,16001,20,590
1043,1,16001,20,591
1044,1,35101,20,592
1045,1,100121,3,593
1046,1,100121,5,594
1047,1,100121,7,595
1048,1,100122,10,596
1049,1,100122,30,597
1050,1,100123,30,598
1051,1,100124,30,599
1052,1,100121,2,600
1053,1,100121,4,601
1054,1,100121,6,602
1055,1,100122,8,603
1056,1,100122,12,604
1057,1,100123,12,605
1058,1,100124,12,606
1059,1,5182,77,607
1060,1,5471,77,608
1061,1,5471,35,609
1062,1,5471,35,610
1063,1,5471,35,611
1064,1,5471,7,612
1065,1,5471,7,613
1066,1,900001,30,614
1067,1,900001,30,615
1068,1,100131,3,616
1069,1,100131,5,617
1070,1,100131,7,618
1071,1,100132,10,619
1072,1,100132,30,620
1073,1,100133,30,621
1074,1,100134,30,622
1075,1,100081,2,623
1076,1,100081,4,624
1077,1,100081,6,625
1078,1,100082,8,626
1079,1,100082,12,627
1080,1,100083,12,628
1081,1,100084,12,629
1082,1,100081,2,630
1083,1,100081,4,631
1084,1,100081,6,632
1085,1,100082,8,633
1086,1,100082,12,634
1087,1,100083,12,635
1088,1,100084,12,636
1089,1,40001,7,637
1090,1,40001,70,638
1091,1,40001,7,639
1092,1,32801,7,640
1093,2,5181,7,640
1094,3,5201,7,640
1095,4,5191,7,640
1096,5,5241,7,640
1097,1,5221,14,641
1098,2,5231,14,641
1099,3,5182,14,641
1100,4,5202,14,641
1101,5,5192,14,641
1102,1,35501,20,642
1103,1,35301,30,643
1104,1,35502,20,644
1105,1,35503,20,645
1106,1,35504,20,646
1107,1,5491,77,647
1108,1,5491,35,648
1109,1,5491,35,649
1110,1,5481,77,650
1111,1,5481,35,651
1112,1,5481,35,652
1113,1,100161,3,653
1114,1,100161,5,654
1115,1,100161,7,655
1116,1,100162,10,656
1117,1,100162,30,657
1118,1,100163,30,658
1119,1,100164,30,659
1120,1,100141,3,660
1121,1,100141,5,661
1122,1,100141,7,662
1123,1,100142,10,663
1124,1,100142,30,664
1125,1,100143,30,665
1126,1,100144,30,666
1127,1,100151,3,667
1128,1,100151,5,668
1129,1,100151,7,669
1130,1,100152,10,670
1131,1,100152,30,671
1132,1,100153,30,672
1133,1,100154,30,673
1134,1,100171,3,674
1135,1,100171,5,675
1136,1,100171,7,676
1137,1,100172,10,677
1138,1,100172,30,678
1139,1,100173,30,679
1140,1,100174,30,680
1141,1,100101,2,681
1142,1,100101,4,682
1143,1,100101,6,683
1144,1,100102,8,684
1145,1,100102,12,685
1146,1,100103,12,686
1147,1,100104,12,687
1148,1,16001,20,688
1149,1,16001,20,689
1150,1,40001,7,690
1151,2,1001,7,690
1152,3,1002,7,690
1153,1,35601,5,691
1154,1,100181,3,692
1155,1,100181,5,693
1156,1,100181,7,694
1157,1,100182,10,695
1158,1,100182,30,696
1159,1,100183,30,697
1160,1,100184,30,698
1161,1,13502,15,699
1162,1,5252,35,700
1163,1,5252,35,701
1164,2,5251,35,701
1165,1,5262,35,702
1166,1,5262,35,703
1167,2,5261,35,703
1168,1,5252,35,704
1169,1,5262,35,705
1170,1,30008,7,706
1171,1,30006,7,707
1172,1,30014,7,708
1173,1,31001,12,709
1174,1,35701,5,710
1175,1,100191,3,711
1176,1,100191,5,712
1177,1,100191,7,713
1178,1,100192,10,714
1179,1,100192,30,715
1180,1,100193,30,716
1181,1,100194,30,717
1182,1,100201,3,718
1183,1,100201,5,719
1184,1,100201,7,720
1185,1,100202,10,721
1186,1,100202,30,722
1187,1,100203,30,723
1188,1,100204,30,724
1189,1,32206,1,725
1190,2,32202,3,725
1191,3,32201,3,725
1192,1,32206,1,726
1193,2,32202,7,726
1194,3,32201,7,726
1195,1,32405,1,727
1196,2,32404,7,727
1197,1,32401,12,728
1198,2,32402,12,728
1199,3,32403,12,728
1200,1,5511,77,729
1201,1,5511,35,730
1202,1,100221,3,731
1203,1,100221,5,732
1204,1,100221,7,733
1205,1,100222,10,734
1206,1,100222,30,735
1207,1,100223,30,736
1208,1,100224,30,737
1209,1,100231,3,738
1210,1,100231,5,739
1211,1,100231,7,740
1212,1,100232,10,741
1213,1,100232,30,742
1214,1,100233,30,743
1215,1,100234,30,744
1216,1,35401,50,745
1217,1,36101,10,746
1218,2,36102,5,746
1219,1,5501,77,747
1220,1,5501,35,748
1221,1,5501,35,749
1222,1,100241,3,750
1223,1,100241,5,751
1224,1,100241,7,752
1225,1,100242,10,753
1226,1,100242,30,754
1227,1,100243,30,755
1228,1,100244,30,756
1229,1,40001,7,757
1230,1,36301,10,758
1231,1,5521,35,759
1232,1,5521,35,760
1233,2,32601,7,760
1234,3,32602,7,760
1235,4,32603,7,760
1236,1,5521,35,761
1237,1,100251,3,762
1238,1,100251,5,763
1239,1,100251,7,764
1240,1,100252,10,765
1241,1,100252,30,766
1242,1,100253,30,767
1243,1,100254,30,768
1244,1,3061,12,769
1245,2,3062,12,769
1246,3,3063,12,769
1247,4,3064,12,769
1248,5,3066,12,769
1249,1,5011,35,770
1250,1,5521,21,771
1251,2,32601,7,771
1252,3,32602,7,771
1253,4,32603,7,771
1254,1,5471,21,772
1255,2,32502,3,772
1256,3,32503,3,772
1257,1,32502,7,773
1258,2,36301,7,773
1259,3,34101,7,773
1260,4,34102,7,773
1261,5,34103,7,773
1262,1,5222,77,774
1263,1,5232,77,775
1264,1,5222,35,776
1265,1,5232,35,777
1266,1,100261,3,778
1267,1,100261,5,779
1268,1,100261,7,780
1269,1,100262,10,781
1270,1,100262,30,782
1271,1,100263,30,783
1272,1,100264,30,784
1273,1,36701,10,785
1274,2,36702,10,785
1275,1,35502,10,786
1276,2,35501,10,786
1277,1,100141,2,787
1278,1,100141,4,788
1279,1,100141,6,789
1280,1,100142,8,790
1281,1,100142,12,791
1282,1,100143,12,792
1283,1,100144,12,793
1284,2,100151,2,787
1285,2,100151,4,788
1286,2,100151,6,789
1287,2,100152,8,790
1288,2,100152,12,791
1289,2,100153,12,792
1290,2,100154,12,793
1291,3,100161,2,787
1292,3,100161,4,788
1293,3,100161,6,789
1294,3,100162,8,790
1295,3,100162,12,791
1296,3,100163,12,792
1297,3,100164,12,793
1298,1,36201,5,794
1299,1,100271,3,795
1300,1,100271,5,796
1301,1,100271,7,797
1302,1,100272,10,798
1303,1,100272,30,799
1304,1,100273,30,800
1305,1,100274,30,801
1306,1,5531,77,802
1307,1,5531,35,803
1308,1,100281,3,804
1309,1,100281,5,805
1310,1,100281,7,806
1311,1,100282,10,807
1312,1,100282,30,808
1313,1,100283,30,809
1314,1,100284,30,810
1315,1,5451,21,811
1316,2,5441,21,811
1317,1,5071,10,812
1318,2,5531,35,812
1319,1,18101,10,813
1320,2,18103,10,813
1321,1,18102,10,814
1322,2,18104,10,814
1323,1,18102,10,815
1324,2,18104,10,815
1325,1,18101,10,816
1326,2,18103,10,816
1327,1,18103,20,817
