id,name,description
84,スーパージャネンバドッカン覚醒,ドッカン覚醒ルート
85,超サイヤ人トランクス(未来)ドッカン覚醒,ドッカン覚醒ルート
86,[強襲ドッカン]ベジータ,ドッカン覚醒ルート
87,[超激]フリーザ(第一形態)ドッカン覚醒,ドッカン覚醒ルート
88,[超激]フリーザ(最終形態)ドッカン覚醒,ドッカン覚醒ルート
89,[救済]超サイヤ人トランクス(青年期),ドッカン覚醒ルート
90,[救済]超サイヤ人孫悟飯(少年期),ドッカン覚醒ルート
91,ハイパーメガリルドドッカン覚醒,ドッカン覚醒ルート
92,超サイヤ人孫悟空(GT)ドッカン覚醒,ドッカン覚醒ルート
93,きえろヤムチャドッカン覚醒,ドッカン覚醒ルート
94,俺にヤムチャドッカン覚醒,ドッカン覚醒ルート
95,フェス限アル飯ドッカン覚醒,ドッカン覚醒ルート
96,速アル飯ドッカン覚醒,ドッカン覚醒ルート
97,体アル飯ドッカン覚醒,ドッカン覚醒ルート
98,[強襲ドッカン]サイボーグ桃白白,ドッカン覚醒ルート
99,[強襲ドッカン]コルド大王,ドッカン覚醒ルート
100,[救済]魔人ベジータ,ドッカン覚醒ルート
101,[救済]魔人ブウ(善),ドッカン覚醒ルート
102,SRナッパドッカン覚醒,ドッカン覚醒ルート
103,Rナッパドッカン覚醒,ドッカン覚醒ルート
104,Rベジータドッカン覚醒,ドッカン覚醒ルート
105,[強襲ドッカン]ジャッキー・チュン,ドッカン覚醒ルート
106,[超激]フェス限超3ベジータドッカン覚醒,ドッカン覚醒ルート
107,[超激]技超3ベジータドッカン覚醒,ドッカン覚醒ルート
108,[超激]速ベジータドッカン覚醒,ドッカン覚醒ルート
109,[強襲ドッカン]メカフリーザ,ドッカン覚醒ルート
110,[強襲ドッカン]パイクーハン,ドッカン覚醒ルート
111,SR孫悟天(GT)(寄生)ドッカン覚醒,ドッカン覚醒ルート
112,SRベジータ(GT)ドッカン覚醒,ドッカン覚醒ルート
113,[強襲ドッカン]ベジータ王,ドッカン覚醒ルート
114,[超激]フェス限ビルスドッカン覚醒,ドッカン覚醒ルート
115,SSRビルスドッカン覚醒,ドッカン覚醒ルート
116,SRビルスドッカン覚醒,ドッカン覚醒ルート
117,[強襲ドッカン]トランクス「青年期」,ドッカン覚醒ルート
118,[救済]トランクスゼノ(体属性),ドッカン覚醒ルート
119,[強襲ドッカン]マイティマスク,ドッカン覚醒ルート
120,[強襲ドッカン]16号,ドッカン覚醒ルート
121,[LRドッカン]UR+超悟空,ドッカン覚醒ルート
122,[LRドッカン]LR超悟空,ドッカン覚醒ルート
123,[超激]フェス限超ベジットドッカン覚醒,ドッカン覚醒ルート
124,[超激]フェス限ブロリー(体)ドッカン覚醒,ドッカン覚醒ルート
125,SSRベジット(技)ドッカン覚醒,ドッカン覚醒ルート
126,SSRベジット(知)ドッカン覚醒,ドッカン覚醒ルート
127,SRキャベドッカン覚醒,ドッカン覚醒ルート
128,[超激]超3ゴテンクス(技)ドッカン覚醒,ドッカン覚醒ルート
129,SSR超ゴテンクス(力)ドッカン覚醒,ドッカン覚醒ルート
130,SR超悟天幼年期)(技)ドッカン覚醒,ドッカン覚醒ルート
131,SR超トランクス(幼年期)(知)ドッカン覚醒,ドッカン覚醒ルート
132,[救済]超2サイヤ人孫悟空(技),ドッカン覚醒ルート
133,[超激]フェス限ゴッドSS孫悟空界王拳ドッカン覚醒,ドッカン覚醒ルート
134,SSRゴッドSS孫悟空(速)ドッカン覚醒,ドッカン覚醒ルート
135,SSRゴッドSS孫悟空(技)ドッカン覚醒,ドッカン覚醒ルート
136,[救済]SSRターレス,ドッカン覚醒ルート
137,[強襲ドッカン]チルド,ドッカン覚醒ルート
138,[超激]フェス限魔人ブウ(アル飯)ドッカン覚醒,ドッカン覚醒ルート
139,[超激]魔人ブウ(純粋)(技)ドッカン覚醒,ドッカン覚醒ルート
140,SR魔人ブウ(ゴテンクス吸収)ドッカン覚醒,ドッカン覚醒ルート
141,SR魔人ブウ(ピッコロ吸収)ドッカン覚醒,ドッカン覚醒ルート
142,[救済]超サイヤ人孫悟飯(未来),ドッカン覚醒ルート
143,[救済]超2サイヤ人孫悟空(速),ドッカン覚醒ルート
144,[救済]超2サイヤ人孫悟空(体),ドッカン覚醒ルート
145,[強襲ドッカン]ゴテンクス(失敗)A,ドッカン覚醒ルート
146,[強襲ドッカン]ゴテンクス(失敗)B,ドッカン覚醒ルート
147,[超激]フェス限ゴールデンフリーザ(技)ドッカン覚醒,ドッカン覚醒ルート
148,SSRゴールデンフリーザ(速)ドッカン覚醒,ドッカン覚醒ルート
149,SSRゴールデンフリーザ(知)ドッカン覚醒,ドッカン覚醒ルート
150,[LRドッカン]SSR17号&18号,ドッカン覚醒ルート
151,[LRドッカン]UR+17号&18号,ドッカン覚醒ルート
152,[LRドッカン]LR17号&18号,ドッカン覚醒ルート
153,[超激]フェス限超一星龍ドッカン覚醒,ドッカン覚醒ルート
154,[超激]一星龍ドッカン覚醒,ドッカン覚醒ルート
155,[救済]パンデルドッカン覚醒,ドッカン覚醒ルート
156,[救済]ブラパンドッカン覚醒,ドッカン覚醒ルート
157,[救済]カロリードッカン覚醒,ドッカン覚醒ルート
158,超サイヤ人孫悟飯(青年期)(知)ドッカン覚醒,ドッカン覚醒ルート
159,超サイヤ人2ベジータ(力)ドッカン覚醒,ドッカン覚醒ルート
160,超サイヤ人孫悟空(速)(スタートダッシュ)ドッカン覚醒,ドッカン覚醒ルート
161,[強襲ドッカン]トランクスゼノドッカン覚醒,ドッカン覚醒ルート
162,[超激]フェス限ゴクウブラック(体)ドッカン覚醒,ドッカン覚醒ルート
163,[LRドッカン]UR+ピッコロ,ドッカン覚醒ルート
164,SSR則巻アラレ(速)ドッカン覚醒,ドッカン覚醒ルート
165,SSR則巻アラレ(力)ドッカン覚醒,ドッカン覚醒ルート
166,SSR親子三大悟空ドッカン覚醒,ドッカン覚醒ルート
167,SSR親子三大悟飯ドッカン覚醒,ドッカン覚醒ルート
168,SSR親子三大悟天ドッカン覚醒,ドッカン覚醒ルート
169,[強襲ドッカン]ピッコロ,ドッカン覚醒ルート
170,[超激]超サイヤ人ゴッドSSベジットドッカン覚醒,ドッカン覚醒ルート
171,[超激]トランクス(青年期)(未来)ドッカン覚醒,ドッカン覚醒ルート
172,[超激]ゴクウブラック(超サイヤ人ロゼ)ドッカン覚醒,ドッカン覚醒ルート
173,[超激]ザマスドッカン覚醒,ドッカン覚醒ルート
174,リバース用,リバースルート
175,[超激]力パーフェクトセルドッカン覚醒,ドッカン覚醒ルート
176,SSR力超2悟飯(少年期)ドッカン覚醒,ドッカン覚醒ルート
177,SR技セル(第一形態)ドッカン覚醒,ドッカン覚醒ルート
178,SSR則巻アラレ(知)ドッカン覚醒,ドッカン覚醒ルート
179,[超激]則巻アラレ(体)ドッカン覚醒,ドッカン覚醒ルート
180,[強襲ドッカン]天津飯,ドッカン覚醒ルート
181,[LRドッカン]LRピッコロ,ドッカン覚醒ルート
182,超トランクス(未来)親子ギャリック砲ドッカン覚醒,ドッカン覚醒ルート
183,ゴッドSSベジータ(技)親子ギャリック砲ドッカン覚醒,ドッカン覚醒ルート
184,SR(力)トランクス(青年期)(未来)ドッカン覚醒,ドッカン覚醒ルート
185,SSR(速)超サイヤ人孫悟空(GT)ドッカン覚醒,ドッカン覚醒ルート
186,SSR(力)スーパーウーブドッカン覚醒,ドッカン覚醒ルート
187,[超激]フェス限超サイヤ人トランクス(未来)ドッカン覚醒,ドッカン覚醒ルート
188,[超激]フェス限合体ザマスドッカン覚醒,ドッカン覚醒ルート
189,SSR(力)超トランクスドッカン覚醒,ドッカン覚醒ルート
190,SSR(体)超トランクスドッカン覚醒,ドッカン覚醒ルート
191,[LRドッカン]UR+フリーザ(第一形態),ドッカン覚醒ルート
192,[LRドッカン]LRフリーザ(第一形態),ドッカン覚醒ルート
193,SR知ブルマ(少女期)ドッカン覚醒,ドッカン覚醒ルート
194,SR技ブルマ(バニー)ドッカン覚醒,ドッカン覚醒ルート
195,[超激]フェス限超サイヤ人ゴッドSSベジータドッカン覚醒,ドッカン覚醒ルート
196,SSR(体)超サイヤ人ゴッドSSベジータドッカン覚醒,ドッカン覚醒ルート
197,SSR(速)超サイヤ人ゴッドSSベジータドッカン覚醒,ドッカン覚醒ルート
198,SSR(力)超サイヤ人ゴッドSSベジータドッカン覚醒,ドッカン覚醒ルート
199,[強襲ドッカン]孫悟飯(じいちゃん),ドッカン覚醒ルート
200,SSR(速)孫悟空(界王拳)ドッカン覚醒,ドッカン覚醒ルート
201,[超激]超サイヤ人ゴテンクス(体)ドッカン覚醒,ドッカン覚醒ルート
202,SR孫悟空(少年期)(体)ドッカン覚醒,ドッカン覚醒ルート
203,SSR(技)超サイヤ人孫悟空ドッカン覚醒,ドッカン覚醒ルート
204,[超激]フェス限超サイヤ人4孫悟空ドッカン覚醒,ドッカン覚醒ルート
205,SSR(体)パン(GT)ドッカン覚醒,ドッカン覚醒ルート
206,SSR(力)超3孫悟空(GT)ドッカン覚醒,ドッカン覚醒ルート
207,[超激]フェス限超サイヤ人4ベジータドッカン覚醒,ドッカン覚醒ルート
208,SSR(力)超サイヤ人トランクス(GT)ドッカン覚醒,ドッカン覚醒ルート
209,SSR(知)ベビー2ドッカン覚醒,ドッカン覚醒ルート
210,SSR(知)ピッコロ大魔王(老)ドッカン覚醒,ドッカン覚醒ルート
211,SSR(技)ピッコロ大魔王ドッカン覚醒,ドッカン覚醒ルート
212,SSR(体)孫悟空(界王拳)ドッカン覚醒,ドッカン覚醒ルート
213,SSR(技)超サイヤ人孫悟空ドッカン覚醒,ドッカン覚醒ルート
214,SSR(力)孫悟飯(青年期)ドッカン覚醒,ドッカン覚醒ルート
215,SSR(知)超サイヤ人バーダックドッカン覚醒,ドッカン覚醒ルート
216,SSR(速)ビルスドッカン覚醒,ドッカン覚醒ルート
217,SSR(速)ベジータベビードッカン覚醒,ドッカン覚醒ルート
218,SR(技)孫悟飯(GT)(寄生)ドッカン覚醒,ドッカン覚醒ルート
219,SR(知)トランクス(GT)(寄生)ドッカン覚醒,ドッカン覚醒ルート
220,[LRドッカン]UR+ギニュー,ドッカン覚醒ルート
221,[LRドッカン]ギニュー,ドッカン覚醒ルート
222,SSR(力)魔人ブウ(純粋悪)ドッカン覚醒,ドッカン覚醒ルート
223,SSR(知)メタルクウラドッカン覚醒,ドッカン覚醒ルート
224,SSR(体)超サイヤ人孫悟空ドッカン覚醒,ドッカン覚醒ルート
225,SSR(技)四星龍ドッカン覚醒,ドッカン覚醒ルート
226,SSR(速)超サイヤ人2ベジータドッカン覚醒,ドッカン覚醒ルート
227,[LRドッカン]UR+超2悟飯(少年期),ドッカン覚醒ルート
228,[LRドッカン]超2悟飯(少年期),ドッカン覚醒ルート
229,[超激]フェスクウラ(最終形態)ドッカン覚醒,ドッカン覚醒ルート
230,SSR(技)クウラ(最終形態)ドッカン覚醒,ドッカン覚醒ルート
231,SSR(速)クウラドッカン覚醒,ドッカン覚醒ルート
232,SR(速)サウザードッカン覚醒,ドッカン覚醒ルート
233,[強襲ドッカン]ベジータ(幼年期),ドッカン覚醒ルート
234,[超激]超サイヤ人3孫悟空(天使)フェスドッカン覚醒,ドッカン覚醒ルート
235,SSR(技)超サイヤ人2孫悟空(天使)ドッカン覚醒,ドッカン覚醒ルート
236,SSR(体)超サイヤ人2孫悟空(天使)ドッカン覚醒,ドッカン覚醒ルート
237,SSR(技)ドッカン超サイヤ人孫悟空(天使)ドッカン覚醒,ドッカン覚醒ルート
238,SSR(技)仮面のサイヤ人ドッカン覚醒,ドッカン覚醒ルート
239,SSR(技)超サイヤ人バーダック,ドッカン覚醒ルート
240,SSR(体)超サイヤ人バーダック,ドッカン覚醒ルート
241,SSR(力)超サイヤ人バーダック,ドッカン覚醒ルート
242,SSR(体)ブルマ(少女期)ドッカン覚醒,ドッカン覚醒ルート
243,SSR(体)グレートサイヤマン(SS2)ドッカン覚醒,ドッカン覚醒ルート
244,SSR(体)超サイヤ人ベジータドッカン覚醒,ドッカン覚醒ルート
245,[LRドッカン]UR+魔人ベジータドッカン覚醒,ドッカン覚醒ルート
246,[LRドッカン]魔人ベジータドッカン覚醒,ドッカン覚醒ルート
247,[超激]超17号フェスドッカン覚醒,ドッカン覚醒ルート
248,SSRヘルファイター17号ドッカン覚醒,ドッカン覚醒ルート
249,新SSR17号ドッカン覚醒,ドッカン覚醒ルート
250,SSR(力)17号ドッカン覚醒,ドッカン覚醒ルート
251,SSR(知)18号ドッカン覚醒,ドッカン覚醒ルート
252,SRヘルファイター17号ドッカン覚醒,ドッカン覚醒ルート
253,SR17号ドッカン覚醒,ドッカン覚醒ルート
254,SSR超サイヤ人2孫悟飯ドッカン覚醒,ドッカン覚醒ルート
255,SSRフルパワーボージャックドッカン覚醒,ドッカン覚醒ルート
256,SRザンギャドッカン覚醒,ドッカン覚醒ルート
257,ヤムチャドッカン覚醒,ドッカン覚醒ルート
258,[超激](知)魔人ブウ(純粋)フェスドッカン覚醒,ドッカン覚醒ルート
259,SSR(力)孫悟空ドッカン覚醒,ドッカン覚醒ルート
260,SSR(知)ベジータドッカン覚醒,ドッカン覚醒ルート
261,SSR(技)魔人ブウ(悪)ドッカン覚醒,ドッカン覚醒ルート
262,SR(技)魔人ブウ(南の界王神吸収)ドッカン覚醒,ドッカン覚醒ルート
263,SSR(技)則巻アラレ胴着ドッカン覚醒,ドッカン覚醒ルート
264,SSR(力)孫悟空(少年期)アラレ服ドッカン覚醒,ドッカン覚醒ルート
265,[LRドッカン]UR+ブロリードッカン覚醒,ドッカン覚醒ルート
266,[LRドッカン]ブロリードッカン覚醒,ドッカン覚醒ルート
267,[超激](知)超ゴジータフェスドッカン覚醒,ドッカン覚醒ルート
268,SSR(技)パイクーハンドッカン覚醒,ドッカン覚醒ルート
269,[超激](力)スーパージャネンバドッカン覚醒,ドッカン覚醒ルート
270,SR(速)ジャネンバドッカン覚醒,ドッカン覚醒ルート
271,SSR(知)孫悟空Jr.ドッカン,ドッカン覚醒ルート
272,SSR(体)ドッカンゴッド孫悟空ドッカン覚醒,ドッカン覚醒ルート
273,SSR(知)ゴッド孫悟空ドッカン覚醒,ドッカン覚醒ルート
274,SSR(技)(知)ウイスドッカン覚醒,ドッカン覚醒ルート
275,SSR(技)(知)合体13号ドッカン覚醒,ドッカン覚醒ルート
276,SSR(技)超サイヤ人ベジータ(GT)ドッカン覚醒,ドッカン覚醒ルート
277,SSR(知)超サイヤ人孫悟空ドッカン覚醒,ドッカン覚醒ルート
278,SSR(力)超サイヤ人孫悟空(GT)ドッカン覚醒,ドッカン覚醒ルート
279,SSR(技)ターレスドッカン覚醒,ドッカン覚醒ルート
280,SSR(速)バーダックドッカン覚醒,ドッカン覚醒ルート
281,[超激](体)超サイヤ人3ゴテンクスドッカン覚醒,ドッカン覚醒ルート
282,SSR(速)ゴテンクスドッカン覚醒,ドッカン覚醒ルート
283,SSR(力)ゴテンクスドッカン覚醒,ドッカン覚醒ルート
284,SSR(技)超サイヤ人ゴテンクス(青年期)ドッカン覚醒,ドッカン覚醒ルート
285,SSR(知)超サイヤ人孫悟空ドッカン覚醒,ドッカン覚醒ルート
286,SSR(技)バイオブロリードッカン覚醒,ドッカン覚醒ルート
287,SSR(力)人造人間18号ドッカン覚醒,ドッカン覚醒ルート
288,SSR(速)超サイヤ人孫悟天ドッカン覚醒,ドッカン覚醒ルート
289,SSR(体)超サイヤ人トランクスドッカン覚醒,ドッカン覚醒ルート
290,[LRドッカン]SSRミスター・サタンドッカン覚醒,ドッカン覚醒ルート
291,[LRドッカン]UR+ミスター・サタンドッカン覚醒,ドッカン覚醒ルート
292,[LRドッカン]LRミスター・サタンドッカン覚醒,ドッカン覚醒ルート
293,[LRドッカン]UR+ゴクウブラック&ザマスドッカン覚醒,ドッカン覚醒ルート
294,[LRドッカン]LRゴクウブラック(超サイヤ人ロゼ)&ザマスドッカン覚醒,ドッカン覚醒ルート
295,SSR(技)バーダック(大猿)ドッカン覚醒,ドッカン覚醒ルート
296,SSR(力)セリパ(大猿)ドッカン覚醒,ドッカン覚醒ルート
297,SSR(知)超サイヤ人トランクス(未来)ドッカン覚醒,ドッカン覚醒ルート
298,[超激]超3ブロリーフェスドッカン覚醒,ドッカン覚醒ルート
299,[超激]超3ブロリードロップドッカン覚醒,ドッカン覚醒ルート
300,SSR(体)孫悟空(少年期)(大猿)ドッカン覚醒,ドッカン覚醒ルート
301,SSR(力)ラディッツ(大猿)ドッカン覚醒,ドッカン覚醒ルート
302,SSR(速)ベジータ(大猿)ドッカン覚醒,ドッカン覚醒ルート
303,SSR(技)ブルマ(少女期)ドッカン覚醒,ドッカン覚醒ルート
304,SSR(速)超サイヤ人孫悟空ドッカン覚醒,ドッカン覚醒ルート
305,SSR(知)パイクーハンドッカン覚醒,ドッカン覚醒ルート
306,SR(力)孫悟空(天使)ドッカン覚醒,ドッカン覚醒ルート
307,SSR(体)超サイヤ人孫悟空(天使)(超界王拳)ドッカン覚醒,ドッカン覚醒ルート
308,SSR(知)ヒットドッカン覚醒,ドッカン覚醒ルート
309,SSR(知)ピッコロドッカン覚醒,ドッカン覚醒ルート
310,SSR(技)超4ゴジータフェスドッカン覚醒,ドッカン覚醒ルート
311,SSR(体)超一星龍フェスドッカン覚醒,ドッカン覚醒ルート
312,SR(速)一星龍ドッカン覚醒,ドッカン覚醒ルート
313,SR(体)超2孫悟空(GT)ドッカン覚醒,ドッカン覚醒ルート
314,SSR(体)ナッパドッカン覚醒,ドッカン覚醒ルート
315,SSR(力)亀仙人ドッカン覚醒,ドッカン覚醒ルート
316,SSR(技)クリリンドッカン覚醒,ドッカン覚醒ルート
317,SSR(知)ダーブラドッカン覚醒,ドッカン覚醒ルート
318,SSR(速)グレートサイヤマンドッカン覚醒,ドッカン覚醒ルート
319,[LRドッカン]UR+トランクスドッカン覚醒,ドッカン覚醒ルート
320,[LRドッカン]LR超サイヤ人トランクスドッカン覚醒,ドッカン覚醒ルート
321,SSR(速)超サイヤ人トランクス(ゼノ)ドッカン覚醒,ドッカン覚醒ルート
322,SSR(技)超サイヤ人トランクス(GT)ドッカン覚醒,ドッカン覚醒ルート
323,SSR(力)バーロットドッカン覚醒,ドッカン覚醒ルート
324,SR(速)ターブルドッカン覚醒,ドッカン覚醒ルート
325,[超激](力)アルティメット孫悟飯ドッカン覚醒,ドッカン覚醒ルート
326,[超激](体)魔人ブウ(悪)ドッカン覚醒,ドッカン覚醒ルート
327,SSR(体)超サイヤ人2孫悟飯(青年期)ドッカン覚醒,ドッカン覚醒ルート
328,[LRドッカン]UR+マイティマスクドッカン覚醒,ドッカン覚醒ルート
329,[LRドッカン]LRトランクス&悟天ドッカン覚醒,ドッカン覚醒ルート
330,SSR(力)超サイヤ人孫悟空ドッカン覚醒,ドッカン覚醒ルート
331,SSR(速)超ベジータドッカン覚醒,ドッカン覚醒ルート
332,SSR(知)ジャッキー・チュンドッカン覚醒,ドッカン覚醒ルート
333,SSR(体)神様ドッカン覚醒,ドッカン覚醒ルート
334,SSR(速)孫悟空(少年期)(大猿)ドッカン覚醒,ドッカン覚醒ルート
335,[超激](知)ゴールデンフリーザ(天使)ドッカン覚醒,ドッカン覚醒ルート
336,SR(力)フリーザ(最終形態)(天使)ドッカン覚醒,ドッカン覚醒ルート
337,SR(体)孫悟空ドッカン覚醒,ドッカン覚醒ルート
338,[LRドッカン]UR+ボージャックドッカン覚醒,ドッカン覚醒ルート
339,[LRドッカン]LRボージャック(銀河戦士)ドッカン覚醒,ドッカン覚醒ルート
340,SR(力)ゴクアドッカン覚醒,ドッカン覚醒ルート
341,SSR(力)パン(GT)(ハニー)ドッカン覚醒,ドッカン覚醒ルート
342,[超激](体)超ベジットドッカン覚醒,ドッカン覚醒ルート
343,[極限]UR(速)超サイヤ人3孫悟空極限Z覚醒step1,極限Z覚醒：超3悟空step1
344,[極限]UR(速)超サイヤ人3孫悟空極限Z覚醒step2,極限Z覚醒：超3悟空step2
345,[極限]UR(速)超サイヤ人3孫悟空極限Z覚醒step3,極限Z覚醒：超3悟空step3
346,[極限]UR(速)超サイヤ人3孫悟空極限Z覚醒step4,極限Z覚醒：超3悟空step4
347,[極限]UR(速)超サイヤ人3孫悟空極限Z覚醒step5,極限Z覚醒：超3悟空step5
348,[極限]UR(速)超サイヤ人3孫悟空極限Z覚醒step6,極限Z覚醒：超3悟空step6
349,[極限]UR(速)超サイヤ人3孫悟空極限Z覚醒step7,極限Z覚醒：超3悟空step7
350,SSR(知)ラディッツドッカン覚醒,ドッカン覚醒ルート
351,[LRドッカン]UR+天津飯ドッカン覚醒,ドッカン覚醒ルート
352,[LRドッカン]LR天津飯&餃子ドッカン覚醒,ドッカン覚醒ルート
353,SSR(力)超サイヤ人2ベジータドッカン覚醒,ドッカン覚醒ルート
354,SSR(速)ベジータドッカン覚醒,ドッカン覚醒ルート
355,SSR(知)ビルスドッカン覚醒,ドッカン覚醒ルート
356,[LRドッカン]UR+ベジットドッカン覚醒,ドッカン覚醒ルート
357,[LRドッカン]LRSSGSSベジットドッカン覚醒,ドッカン覚醒ルート
358,[超激](知)超サイヤ人3バーダックドッカン覚醒,ドッカン覚醒ルート
359,[超激](速)超サイヤ人バーダックドッカン覚醒,ドッカン覚醒ルート
360,SSR(速)超サイヤ人3孫悟空(GT)ドッカン覚醒,ドッカン覚醒ルート
361,SSR(力)超サイヤ人3ベジータ(GT)ドッカン覚醒,ドッカン覚醒ルート
362,[LRドッカン]UR+孫悟空ドッカン覚醒,ドッカン覚醒ルート
363,[LRドッカン]LR超サイヤ人3孫悟空ドッカン覚醒,ドッカン覚醒ルート
364,[超激](速)タピオン(ヒルデガーン)ドッカン覚醒,ドッカン覚醒ルート
365,[超激](技)タピオンドッカン覚醒,ドッカン覚醒ルート
366,SR(技)トランクス(幼年期)ドッカン覚醒,ドッカン覚醒ルート
400,[極限]UR(力)伝説の超サイヤ人ブロリー極限Z覚醒step1,極限Z覚醒：超サイヤ人ブロリーstep1
401,[極限]UR(力)伝説の超サイヤ人ブロリー極限Z覚醒step2,極限Z覚醒：超サイヤ人ブロリーstep2
402,[極限]UR(力)伝説の超サイヤ人ブロリー極限Z覚醒step3,極限Z覚醒：超サイヤ人ブロリーstep3
403,[極限]UR(力)伝説の超サイヤ人ブロリー極限Z覚醒step4,極限Z覚醒：超サイヤ人ブロリーstep4
404,[極限]UR(力)伝説の超サイヤ人ブロリー極限Z覚醒step5,極限Z覚醒：超サイヤ人ブロリーstep5
405,[極限]UR(力)伝説の超サイヤ人ブロリー極限Z覚醒step6,極限Z覚醒：超サイヤ人ブロリーstep6
406,[極限]UR(力)伝説の超サイヤ人ブロリー極限Z覚醒step7,極限Z覚醒：超サイヤ人ブロリーstep7
407,[超激](技)超サイヤ人ゴッドSSベジットドッカン覚醒,ドッカン覚醒ルート
408,[超激](力)ゴクウブラック(超サイヤ人ロゼ)ドッカン覚醒,ドッカン覚醒ルート
409,[超激](力)超サイヤ人トランクス(未来)ドッカン覚醒,ドッカン覚醒ルート
410,[超激](知)ザマスドッカン覚醒,ドッカン覚醒ルート
411,SSR(体)孫悟空ドッカン覚醒,ドッカン覚醒ルート
412,SSR(力)孫悟飯(幼年期)ドッカン覚醒,ドッカン覚醒ルート
413,[LRドッカン]UR+悟空&ベジータドッカン覚醒,ドッカン覚醒ルート
414,[LRドッカン]LR超サイヤ人悟空&ベジータドッカン覚醒,ドッカン覚醒ルート
415,[LRドッカン]UR+悟空&ベジータ(天使)ドッカン覚醒,ドッカン覚醒ルート
416,[LRドッカン]LR超サイヤ人悟空&ベジータ(天使)ドッカン覚醒,ドッカン覚醒ルート
417,[極限]UR(力)孫悟飯(幼年期)極限Z覚醒step1,極限Z覚醒：孫悟飯(幼年期)step1
418,[極限]UR(力)孫悟飯(幼年期)極限Z覚醒step2,極限Z覚醒：孫悟飯(幼年期)step2
