id,name,kana,priority,open_at,created_at,updated_at
28,コンビネーション,こんびねーしょん,49800,2018-12-07 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
29,劇場版HERO,げきじょうばんHERO,39300,2018-12-14 05:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
30,孫悟空の系譜,そんごくうのけいふ,79400,2019-01-29 06:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
31,ベジータの系譜,べじーたのけいふ,79300,2019-01-29 06:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
32,人工生命体,じんこうせいめいたい,79500,2019-02-19 06:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
33,少年・少女,しょうねん・しょうじょ,79100,2019-03-05 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
34,少年編,しょうねんへん,90000,2019-03-05 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
35,兄弟の絆,きょうだいのきずな,49700,2019-07-01 05:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
36,超サイヤ人,すーぱーさいやじん,70000,2019-05-31 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
37,好敵手,こうてきしゅ,50000,2019-07-30 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
38,人造人間/セル編,じんぞうにんげん/せるへん,89800,2019-08-27 05:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
39,かめはめ波,かめはめは,69200,2019-08-29 20:35:00,2024-01-25 02:06:29,2024-01-25 02:06:29
40,師弟の絆,していのきずな,49500,2019-10-03 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
41,恐怖の征服,きょうふのせいふく,19800,2019-10-31 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
42,DBヒーローズ,どらごんぼーるひーろーず,9900,2019-11-21 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
43,ターゲット孫悟空,たーげっとそんごくう,19900,2019-11-29 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
44,あの世の戦士,あのよのせんし,29800,2019-12-26 04:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
45,超サイヤ人2,すーぱーさいやじん2,69900,2019-12-26 04:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
46,最後の切り札,さいごのきりふだ,59000,2020-01-30 11:45:00,2024-01-25 02:06:29,2024-01-25 02:06:29
47,怒り爆発,いかりばくはつ,19500,2020-03-03 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
48,リベンジ,りべんじ,20000,2020-03-18 06:18:00,2024-01-25 02:06:29,2024-01-25 02:06:29
49,バーダックチーム,ばーだっくちーむ,39900,2020-03-18 06:18:00,2024-01-25 02:06:29,2024-01-25 02:06:29
50,悪逆非道,あくぎゃくひどう,19700,2020-04-16 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
51,地球人,ちきゅうじん,79800,2020-04-09 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
52,スペシャルポーズ,すぺしゃるぽーず,18800,2020-04-24 04:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
53,魔人の力,まじんのちから,59700,2020-04-24 04:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
54,急激な成長,きゅうげきなせいちょう,59300,2020-05-29 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
55,力戦奮闘,りきせんふんとう,19200,2020-06-30 05:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
56,第11宇宙,だい11うちゅう,39600,2020-07-16 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
57,救世主,きゅうせいしゅ,29100,2020-07-31 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
58,頭脳戦,ずのうせん,19100,2020-08-29 06:27:00,2024-01-25 02:06:29,2024-01-25 02:06:29
59,力の吸収,ちからのきゅうしゅう,69300,2020-08-29 06:27:00,2024-01-25 02:06:29,2024-01-25 02:06:29
60,大猿パワー,おおざるぱわー,59800,2020-10-30 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
61,クロスオーバー,くろすおーばー,10000,2020-11-19 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
62,宇宙をわたる戦士,うちゅうをわたるせんし,29600,2020-11-30 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
63,つながる希望,つながるきぼう,19400,2020-12-28 02:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
64,心身の侵食,しんしんのしんしょく,59400,2020-12-28 02:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
65,亀仙流,かめせんりゅう,39100,2021-01-29 06:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
66,奇跡の覚醒,きせきのかくせい,59500,2021-01-30 04:30:00,2024-01-25 02:06:29,2024-01-25 02:06:29
67,再起する力,さいきするちから,59600,2021-01-30 04:30:00,2024-01-25 02:06:29,2024-01-25 02:06:29
68,天才戦士,てんさいせんし,29900,2021-03-04 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
69,惑星破壊,わくせいはかい,19600,2021-03-18 06:18:00,2024-01-25 02:06:29,2024-01-25 02:06:29
70,正義の味方,せいぎのみかた,29000,2021-04-01 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
71,語り継がれし者,かたりつがれしもの,29300,2021-04-15 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
72,GT HERO,GTHERO,39500,2021-04-28 00:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
73,GT BOSS,GTBOSS,39400,2021-04-28 00:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
74,天界の出来事,てんかいのできごと,18900,2021-05-31 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
75,時間制限,じかんせいげん,59100,2021-06-30 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
76,体得した進化,たいとくしたしんか,59200,2021-07-30 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
77,伝説の存在,でんせつのそんざい,29200,2021-08-28 06:30:00,2024-01-25 02:06:29,2024-01-25 02:06:29
78,永遠の宿敵,えいえんのしゅくてき,49900,2021-08-28 06:30:00,2024-01-25 02:06:29,2024-01-25 02:06:29
79,親友の絆,しんゆうのきずな,49600,2021-10-05 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
80,高速戦闘,こうそくせんとう,19000,2021-10-21 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
81,託された意志,たくされたいし,19300,2021-10-29 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
82,世界の混乱,せかいのこんらん,18700,2021-11-30 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
83,命運をかけた闘い,めいうんをかけたたたかい,18950,2021-12-28 02:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
84,超サイヤ人を超えた力,すーぱーさいやじんをこえたちから,69750,2022-01-30 02:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
85,融合/合体戦士,ゆうごう/がったいせんし,69550,2022-01-30 02:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
86,サイヤ人編,さいやじんへん,89950,2022-04-01 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
87,親子の絆,おやこのきずな,49750,2022-06-30 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
88,超HERO,すーぱーHERO,39350,2022-12-28 02:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
89,地球育ちの戦士,ちきゅうそだちのせんし,30000,2022-11-30 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
90,願いの力,ねがいのちから,59550,2023-01-29 06:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
91,大会出場者,たいかいしゅつじょうしゃ,38900,2023-10-05 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
92,超BOSS,すーぱーBOSS,39330,2024-01-29 04:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
