id,name,effect_description,condition_description,turn,exec_limit,causality_conditions,ultimate_special_id,special_view_id,costume_special_view_id,bgm_id
92,渾身のかめはめ波,"一時的にATKが超大幅上昇し、
相手に究極ダメージを与える","バトル中必殺技の発動が4回以上で発動可能
(1回のみ)",1,1,"{""source"": ""814"", ""compiled"": 814}",15.0,8129,0,140.0
93,迫撃のファイナルシャインアタック,"一時的にATKが超大幅上昇し、
相手に究極ダメージを与える","バトル中必殺技の発動が4回以上で発動可能
(1回のみ)",1,1,"{""source"": ""814"", ""compiled"": 814}",16.0,8130,0,141.0
94,電撃地獄玉,"相手に究極ダメージを与え、
1ターンATKとDEF17%DOWN",バトル中自身が7回以上攻撃を受けると発動可能(1回のみ),1,1,"{""source"": ""803"", ""compiled"": 803}",17.0,8196,0,142.0
95,真剣勝負！！,1ターン自身の気力+6、ATKとDEF59%UP,バトル中6回以上攻撃し、HP59%以上のとき発動可能(1回のみ),1,1,"{""source"": ""890&891"", ""compiled"": [""&"", 890, 891]}",,8195,0,144.0
96,光のシールド,"HPを30%回復し、
1ターンの間全ての攻撃をガードし、
2ターンの間味方全員のDEF20%UP",HP58%以下のとき発動可能(1回のみ),2,1,"{""source"": ""887"", ""compiled"": 887}",,8367,0,145.0
97,融合,フュージョンで融合する,"バトル開始から4ターン目以降、
HP70%以上のとき発動可能(1回のみ)",1,1,"{""source"": ""713&906"", ""compiled"": [""&"", 713, 906]}",,8420,0,147.0
98,融合,フュージョンで融合する,"バトル開始から4ターン目以降、
HP70%以上のとき発動可能(1回のみ)",1,1,"{""source"": ""713&906"", ""compiled"": [""&"", 713, 906]}",,8420,0,147.0
99,激怒,激怒する,"バトル開始から6ターン目以降、
HP66%以上のとき発動可能(1回のみ)",1,1,"{""source"": ""523&284"", ""compiled"": [""&"", 523, 284]}",,8457,0,148.0
100,激怒,激怒する,"バトル開始から6ターン目以降、
HP66%以上のとき発動可能(1回のみ)",1,1,"{""source"": ""523&284"", ""compiled"": [""&"", 523, 284]}",,8457,0,148.0
101,最後の悪あがき,"一時的にATKが超大幅上昇し、
相手に究極ダメージを与え、
1ターン気絶させる","バトル中自身が3回以上攻撃を受け、
HP50%以下のとき発動可能(1回のみ)",1,1,"{""source"": ""791&673"", ""compiled"": [""&"", 791, 673]}",18.0,8522,0,146.0
102,「オレは超ベジータだ」,1ターン自身の気力+5、ATK50%UP,"バトル開始から5ターン目以降、
HP50%以上のとき発動可能、
または名称に「セル」を含むキャラ
(セルジュニア等を除く)が敵にいるとき、
自身が1回以上攻撃を受けると発動可能(1回のみ)",1,1,"{""source"": ""930&931|932&933"", ""compiled"": [""|"", [""&"", 930, 931], [""&"", 932, 933]]}",,8565,0,149.0
103,界王拳,相手に究極ダメージを与える,"バトル開始から5ターン目以降発動可能
(1回のみ)",1,1,"{""source"": ""1028"", ""compiled"": 1028}",19.0,8570,0,156.0
104,界王拳,"一時的にATKが上昇し、
相手に究極ダメージを与える","バトル開始から5ターン目以降発動可能
(1回のみ)",1,1,"{""source"": ""1028"", ""compiled"": 1028}",20.0,8573,0,156.0
105,交代,交代する,"バトル中自身が4回以上敵の攻撃を回避すると
発動可能(1回のみ)",1,1,"{""source"": ""959"", ""compiled"": 959}",,8746,0,
106,交代,交代する,"バトル中自身が4回以上敵の攻撃を回避すると
発動可能(1回のみ)",1,1,"{""source"": ""959"", ""compiled"": 959}",,8746,0,
107,怒りのかめはめ波,一時的にATKが大幅上昇し、相手に究極ダメージを与える,敵が1体で極系のとき、敵のHP30%以下で発動可能(1回のみ),1,1,"{""source"": ""962&963&964"", ""compiled"": [""&"", 962, 963, 964]}",21.0,8747,0,150.0
108,オレに殺されるべきなんだ！,一時的にATKが大幅上昇し、相手に究極ダメージを与える,敵が1体で超系のとき、敵のHP30%以下で発動可能(1回のみ),1,1,"{""source"": ""962&964&965"", ""compiled"": [""&"", 962, 964, 965]}",22.0,8752,0,151.0
109,気を開放しろ！！,1ターン自身の気力+24,"バトル開始から3ターン目以降
発動可能(1回のみ)",1,1,"{""source"": ""1015"", ""compiled"": 1015}",,8877,0,153.0
110,気を開放しろ！！,1ターン自身の気力+24,"登場から3ターン目以降
発動可能(1回のみ)",1,1,"{""source"": ""1015"", ""compiled"": 1015}",,8878,0,153.0
111,交代,交代する,"バトル中自身が4回以上敵の攻撃を回避すると
発動可能(1回のみ)",1,1,"{""source"": ""959"", ""compiled"": 959}",,8746,0,
112,交代,交代する,"バトル中自身が4回以上敵の攻撃を回避すると
発動可能(1回のみ)",1,1,"{""source"": ""959"", ""compiled"": 959}",,8746,0,
113,合体,合体する,"バトル開始から6ターン目以降発動可能
(1回のみ)",1,1,"{""source"": ""1041"", ""compiled"": 1041}",,8921,0,154.0
114,合体,合体する,"バトル開始から6ターン目以降発動可能
(1回のみ)",1,1,"{""source"": ""1041"", ""compiled"": 1041}",,8921,0,154.0
115,成長を続けるふたり,バトル中、自身のATKとDEF13%UP,"バトル中必殺技を3回以上発動し、
HP76%以下のとき発動可能(1回のみ)",99,1,"{""source"": ""1059&1060"", ""compiled"": [""&"", 1059, 1060]}",,8960,0,155.0
116,界王拳,相手に究極ダメージを与える,登場すると発動可能,1,1,,19.0,8570,0,156.0
117,変身,"変身し、ターゲットした敵1体を
1ターン気絶させ、必殺技を封じる",バトル中6回攻撃すると発動可能(1回のみ),1,1,"{""source"": ""1094"", ""compiled"": 1094}",,9076,0,157.0
118,変身,"変身し、ターゲットした敵1体を
1ターン気絶させ、必殺技を封じる",バトル中6回攻撃すると発動可能(1回のみ),1,1,"{""source"": ""1094"", ""compiled"": 1094}",,9076,0,157.0
119,地獄のゲーム,ターゲットした敵1体の攻撃ターンを1のばす,"敵が1体で敵のHP35%以上のとき発動可能、
または敵が3体以上のとき発動可能(1回のみ)",1,1,"{""source"": ""1183&1186|1187"", ""compiled"": [""|"", [""&"", 1183, 1186], 1187]}",,9205,0,163.0
120,交代,交代する,"バトル開始から3ターン目以降、
HP58%以下のとき発動可能(1回のみ)",1,1,"{""source"": ""1192&1194"", ""compiled"": [""&"", 1192, 1194]}",,9222,0,164.0
121,交代,交代する,"バトル開始から3ターン目以降、
HP58%以下のとき発動可能(1回のみ)",1,1,"{""source"": ""1192&1194"", ""compiled"": [""&"", 1192, 1194]}",,9222,0,164.0
122,変身,変身する,"バトル開始から4ターン目以降発動可能
(1回のみ)",1,1,"{""source"": ""1281"", ""compiled"": 1281}",,9315,0,173.0
123,変身,変身する,"バトル開始から4ターン目以降発動可能
(1回のみ)",1,1,"{""source"": ""1281"", ""compiled"": 1281}",,9315,0,173.0
124,融合,フュージョンで融合する,"バトル開始から4ターン目以降発動可能
(1回のみ)",1,1,"{""source"": ""1281"", ""compiled"": 1281}",,9316,0,176.0
125,融合,フュージョンで融合する,"バトル開始から4ターン目以降発動可能
(1回のみ)",1,1,"{""source"": ""1281"", ""compiled"": 1281}",,9316,0,176.0
126,変身,変身する,"バトル開始から3ターン目以降、
HP77%以下のとき発動可能(1回のみ)",1,1,"{""source"": ""1231&1232"", ""compiled"": [""&"", 1231, 1232]}",,9333,0,165.0
127,変身,変身する,"バトル開始から3ターン目以降、
HP77%以下のとき発動可能(1回のみ)",1,1,"{""source"": ""1231&1232"", ""compiled"": [""&"", 1231, 1232]}",,9333,0,165.0
128,邪悪な雄叫び,バトル中、自身のATKとDEF20%UP,"「魔人ブウ編」カテゴリの敵がいるとき
発動可能、
またはバトル中自身が6回以上攻撃を受けると
発動可能(1回のみ)",99,1,"{""source"": ""1234|1235"", ""compiled"": [""|"", 1234, 1235]}",,9334,0,166.0
129,フュージョン,"相手に究極ダメージを与え、
発動したターン中必ず会心が発動する","自身のHPが50%以下のとき発動可能、
または敵が1体のとき
敵のHPが50%以下で発動可能(1回のみ)",1,1,"{""source"": ""1278|1279&1280"", ""compiled"": [""|"", 1278, [""&"", 1279, 1280]]}",23.0,9491,0,174.0
130,ウルトラビッグバンかめはめ波,"相手に究極ダメージを与え、
発動したターン中必ず会心が発動する","自身のHPが50%以下のとき発動可能、
または敵が1体のとき
敵のHPが50%以下で発動可能(1回のみ)",1,1,"{""source"": ""1278|1279&1280"", ""compiled"": [""|"", 1278, [""&"", 1279, 1280]]}",24.0,9492,0,177.0
131,芭蕉扇,"一時的にATKが大幅上昇し、
相手に究極ダメージを与え、
ターゲットした敵1体の攻撃ターンを1のばす","バトル中必殺技の発動が4回以上で発動可能
(1回のみ)",1,1,"{""source"": ""1308"", ""compiled"": 1308}",25.0,9511,0,
132,願いをこめた元気玉,"一時的にATKが大幅上昇し、
相手に究極ダメージを与え、
1ターン気絶させる",HP59%以下のとき発動可能(1回のみ),1,1,"{""source"": ""1319"", ""compiled"": 1319}",26.0,9580,0,182.0
133,大猿変身,大猿化する,HP40%以下のとき発動可能(1回のみ),1,1,"{""source"": ""1320"", ""compiled"": 1320}",,9581,0,184.0
