id,scene_name,description
69,ReverseMenuScene,「リバース」によってドッカン覚醒前の状態にしたキャラクターは、こちらの「ドッカン覚醒」から元に戻すことができます。
70,CharacterReverseSelectScene,ドッカン覚醒前の状態に戻したいキャラクターを選択して下さい。
71,CharacterReverseConfirmScene,リバース中は、Lv、パラメータ、必殺技Lvが下がる場合がありますが、リバースドッカン覚醒をすることで元に戻ります。
72,CharacterReawakeSelectScene,ドッカン覚醒後の状態に戻したいキャラクターを選択して下さい。
73,CharacterReawakeConfirmScene,リバースドッカン覚醒後は、Lv、パラメータ、必殺技Lvがリバース前の状態に戻ります。リバース中に必殺技Lvがアップした場合、リバースドッカン覚醒後にも引継がれます。
74,PotentialItemScene,タップで詳細を確認できます。
75,RTTitleView,「出撃する」ボタンを押すと大乱戦モードで遊ぶことができます。
76,RTHelpListScene,大乱戦の遊び方を確認できます。メニューを選択してください。
77,RTHelpCategoryScene,確認したい項目を選択してください。
78,RTMissionView,大乱戦ミッションの達成条件と報酬を確認できます。達成したミッションには達成マークが付きます。
79,RTTeamSelectScene,キャラクターのアイコンをタップすることで100体まで選択することができます。また、「おまかせ」ボタンを押すことで100体まで自動で選択することができます。
80,SpecialMissionSelectScene,ステージを選択すると、各ステージに紐付いている試練の内容について確認することができます。
81,GashaHistoryScene,直近50回分のガシャの排出履歴を確認できます。「シングルガシャ」「連続ガシャ」問わず1回でカウントされます。
82,ZBattleTopScene,「対戦する」ボタンで選択中のLvの敵に挑みます。クリア済のLvに再挑戦しても、最高到達Lvはリセットされません。
83,ZBattleSelectCompanyScene,一緒に挑戦するフレンドを選択して下さい。「バトル情報」ボタンから敵の情報などを確認できます。
84,ZBattleTeamSelectScene,挑戦前の最終確認です。サポートアイテムは持ち込めず、コンティニューはできません。問題がなければ「挑む！」ボタンを押して下さい。
85,PorungaDragonBallListScene,未取得のポルンガドラゴンボールをタップすると、落ちている場所のヒントを確認できます。
86,RMBattleTopScene,「出撃する」ボタンを押すと大乱戦モードで遊ぶことができます。
87,RMBattleMissionScene,大乱戦ミッションの達成条件と報酬を確認できます。達成したミッションには達成マークが付きます。
88,RMBattleHelpScene,大乱戦の遊び方を確認できます。メニューを選択してください。
89,RMHelpCategoryScene,確認したい項目を選択してください。
90,RMBattleStatusCheckScene,現在の状況と残りキャラ数を確認できます。
91,RMBattleSelectTeamScene,大乱戦に参加するキャラクターを最大112体まで選択してください。「おまかせ」ボタンを押すことで112体まで自動で選択することができます。確定ボタンを押すと次の画面に進みます。
92,RMBattleSelectStageScene,挑戦するステージを選択してください。「？マーク」の周りのステージを全てクリアするとボスに挑戦することが可能になります。
93,RMBattleSelectDeckScene,1番目に選んだキャラクターは「リーダー」、2番目に選んだキャラクターは「サブリーダー」となり、それぞれリーダースキルを発動することができます。確定ボタンを押すと次の画面に進みます。
94,EventKagiTopScene,挑戦したいイベントを選択してください。
95,EventKagiQuestSelectScene,挑戦したいステージを選択してください。
96,SelectDifficultyKagiEventScene,挑戦したい難易度を選択してください。難易度によって必要な鍵の個数、敵の強さ、報酬内容が異なります。巻物が付いている難易度には「界王神からの試練」があります。
97,SelectTeamEventScene,挑戦開始前の最終確認になります。左右にスワイプするとチーム変更ができます。バトルに持ち込むサポートアイテムの設定もできます。
98,BlackSmokeDragonBallListScene,未取得のドラゴンボールをタップすると、落ちている場所のヒントを確認できます。
99,WallpaperSelectScene,壁紙をタップすると詳細を確認できます。詳細画面ではホーム画面の壁紙を設定することができます。
101,ExchangeTreasureItemScene,所持している秘宝を交換ptに換えることができます。アイテムによってレートが異なります。
102,ExchangePotentialItemScene,所持している潜在能力玉を交換ptに換えることができます。アイテムによってレートが異なります。
103,TrainingFieldItemScene,タップで詳細を確認できます。
104,ExchangeOtherItemScene,所持しているアイテムを交換ptに換えることができます。アイテムによってレートが異なります。
105,EquipmentItemScene,タップで詳細を確認できます。
106,ExchangeEquipmentItemScene,所持しているスキル玉を交換ptに換えることができます。アイテムによってレートが異なります。
107,CardStickerItemScene,タップで詳細を確認できます。
108,CardStickerCharacterListScene,スペシャルステッカーを使用するキャラクターを選択してください。
109,SecretBoxScene,秘宝を使ってひみつの宝箱と交換することができます。ひみつの宝箱からはランダムにアイテムが入手できます。
118,JointCampaign::TopScene::Private,個人ミッションの進捗を確認できます。マークがついたミッションをクリアすると、協力・対決・チームミッションに参加することが可能になります。
119,JointCampaign::TopScene::Cooperation,協力ミッションの進捗を確認できます。他のユーザーと協力してミッションクリアを目指しましょう。
120,JointCampaign::TopScene::Match,対決ミッションの進捗を確認できます。他のユーザーと協力して勝利を目指しましょう。
121,SDBattle::BinderSelectScene,閲覧したいコレクションを選択してください。
122,SDBattle::BinderScene,閲覧したいシールをタップしてください。タップすることで詳細を確認できます。
123,SDBattle::SealListScene,確認したいシールをタップしてください。詳細を確認することができます。
124,SDBattle::HelpScene,ペッタンバトルの遊び方を確認できます。メニューを選択してください。
125,SDBattle::HelpCategoryScene,確認したい項目を選択してください。
126,BNIDScene,バンダイナムコIDとの連携、解除が行えます。
127,SDBattle::TopScene,フィールドを選択してください
128,SDBattle::ArenaScene,バトルを行いたい敵キャラクターを選択してください。
129,SDBattle::BattleScene,バトル終了まで他コンテンツをプレイしてお待ちください。アプリを終了させてもバトルは継続されます。
130,SupportMemory::SelectionScene,タップで選択、長押しで詳細を確認できます。
131,SupportMemory::ItemScene,タップで詳細を確認できます。
132,ExchangeRedundantCharacterScene,条件を満たしたキャラクターを各種コインに換えることができます。
133,JointCampaign::TopScene::Team,チームミッションの進捗を確認できます。他のユーザーとミッションクリアを目指しましょう。
134,Shop::ShopScene::PaidStone,未成年の方は親権者の同意をもらってから商品を購入してください。
135,Shop::ShopScene::Subscription,未成年の方は親権者の同意をもらってから商品を購入してください。
136,Shop::ShopScene::ItemPack,未成年の方は親権者の同意をもらってから商品を購入してください。
137,SubscriptionConfirmScene,デイリー龍石の加入状況を確認することができます。
138,StandardMission::TopScene::Daily,毎日更新されるミッションになります。報酬はミッションの更新時間を過ぎると受け取れなくなるのでご注意ください。
139,StandardMission::TopScene::Normal,期間指定のないミッションになります。
140,StandardMission::TopScene::Event,イベント毎にミッションが分かれています。メイン報酬はイベント内ミッションの報酬の合計を表示しています。
141,StandardMission::DetailScene::Event,イベントに紐付いたミッションになります。
142,StandardMission::TopScene::Special,界王神からの試練のミッションになります。
143,StandardMission::TopScene::Kagi,追憶の扉内にて開催されているイベントのミッションになります。メイン報酬はイベント内ミッションの報酬の合計を表示しています。
144,StandardMission::DetailScene::Kagi,追憶の扉内のイベントに紐付いたミッションになります。
145,DBStorySeriesSelectScene,ドラゴンボールストーリーではドラゴンボールシリーズの物語を体験することができます。シリーズを選択してください。
146,DBStoryAreaSelectScene,エピソードを選択してください。
147,DBStoryQuestSelectScene,ステージを選択してください。
148,DBStoryDifficultySelectScene,難易度を選択してください。難易度によって必要なACT、敵の強さ、報酬内容が異なります。
149,MyDataScene::MainPage,ユーザーの情報を閲覧することができます。
150,MyDataScene::MainPageCharacterSelectPage,メインページに表示するキャラクターの設定が行えます。
151,MyDataScene::SubPage,キャラクター別の出撃回数や各イベントのクリア回数を確認することができます。
152,MyDataScene::AchievementCategoryListPage,称号の獲得条件の確認とメインページに表示する称号の付け替えが行えます。
153,MyDataScene::AchievementListPage,称号の獲得条件の確認とメインページに表示する称号の付け替えが行えます。
154,MyDataScene::AchievementDetailPage,称号の獲得条件の確認とメインページに表示する称号の付け替えが行えます。
155,TeamMemberSelectSupporterScene,フレンドに貸し出すことのできるキャラクターを選択できます。
156,JukeboxScene::AlbumList,アルバムを選択してください。
157,JukeboxScene::TrackList,再生したい曲を選択してください。詳細は「？」ボタンから確認してください。
158,SupportMemory::EnhancementItemScene,タップで詳細を確認できます。
159,LINEScene,LINEアカウントとの連携、解除が行えます。
160,CharacterGrowthRootScene::Training,修業で強化させるキャラクターを選択してください。
161,CharacterGrowthRootScene::Awakening,覚醒させるキャラクターを選択してください。
162,CharacterGrowthRootScene::LinkSkill,リンクスキルLvUPさせるキャラクターを選択してください。
163,LinkSkillLvUpScene,Lvを上げたいリンクスキルを選択してください。まとめてLvUPでは全リンクスキルのLvを一括で操作することができます。
164,UserScoreBenefitScene,発動中の戦闘力ボーナスを確認できます。
165,UserScoreBenefitAllListScene,戦闘力ボーナスを確認できます。
