id,param_no,idx,value
294,562,6,2
295,562,7,3014
296,562,8,3011
297,562,9,3012
298,562,10,3013
301,571,0,2
302,571,1,3
303,571,2,80
304,571,3,1
307,571,4,1
308,572,0,50
309,572,1,243
310,572,2,32
311,572,3,32
312,572,4,100
313,572,5,3
314,572,6,2
315,572,7,3018
316,572,8,3015
317,572,9,3016
318,572,10,3017
321,2,73,20
322,2,74,10
323,581,0,2
324,581,1,3
325,581,2,80
326,581,3,1
329,581,4,2
330,582,0,50
331,582,1,243
332,582,2,32
333,582,3,32
334,582,4,100
335,582,5,3
336,582,6,2
337,582,7,1904
338,582,8,3000
339,582,9,3001
340,582,10,3002
343,591,0,2
344,591,1,3
345,591,2,80
346,591,3,1
349,591,4,2
350,592,0,50
351,592,1,243
352,592,2,32
353,592,3,32
354,592,4,100
355,592,5,3
356,592,6,2
357,592,7,1904
358,592,8,3000
359,592,9,3001
360,592,10,3002
365,601,0,2
366,601,1,3
367,601,2,80
368,601,3,1
371,601,4,1
372,602,0,50
373,602,1,243
374,602,2,32
375,602,3,32
376,602,4,100
377,602,5,3
378,602,6,2
379,602,7,3020
380,602,8,3021
381,602,9,3022
382,602,10,3002
385,101,5,1
386,111,5,1
387,121,5,2
388,501,5,1
389,511,5,1
390,521,5,1
391,531,5,1
392,541,5,1
393,551,5,1
394,561,5,1
395,571,5,1
396,581,5,1
397,591,5,1
398,601,5,2
399,1001,5,3
400,605,0,2
401,605,1,3
402,605,2,80
403,605,3,1
406,605,4,1
407,605,5,4
408,606,0,50
409,606,1,243
410,606,2,32
411,606,3,32
412,606,4,100
413,606,5,3
414,606,6,2
415,606,7,3040
416,606,8,3054
417,606,9,3055
418,606,10,3056
421,607,0,2
422,607,1,3
423,607,2,80
424,607,3,1
427,607,4,1
428,607,5,4
429,608,0,50
430,608,1,243
431,608,2,32
432,608,3,32
433,608,4,100
434,608,5,3
435,608,6,2
436,608,7,3050
437,608,8,3057
438,608,9,3058
439,608,10,3059
442,603,0,1
443,603,1,1
444,603,2,100
445,603,3,1
448,603,4,1
449,603,5,3
450,604,0,50
451,604,1,243
452,604,2,32
453,604,3,32
454,604,4,100
455,604,5,3
456,604,6,2
457,604,7,3030
458,604,8,3031
459,604,9,3031
460,604,10,3032
463,1500,0,0
464,1500,1,1666
465,1500,2,1667
468,1500,3,0
469,1500,4,0
470,1500,5,0
471,1500,6,1012900
472,1500,7,2
473,1500,8,49
474,1501,0,0
475,1501,1,1666
476,1501,2,1667
479,1501,3,0
480,1501,4,0
481,1501,5,0
482,1501,6,1012901
483,1501,7,2
484,1501,8,49
485,1502,0,0
486,1502,1,1664
487,1502,2,1665
490,1502,3,0
491,1502,4,0
492,1502,5,0
493,1502,6,1012930
494,1502,7,3
495,1502,8,49
496,1503,0,0
497,1503,1,1664
498,1503,2,1665
501,1503,3,0
502,1503,4,0
503,1503,5,0
504,1503,6,1012931
505,1503,7,3
506,1503,8,49
507,1504,0,0
508,1504,1,1675
509,1504,2,0
512,1504,3,0
513,1504,4,0
514,1504,5,0
515,1504,6,1013540
516,1504,7,7
517,1504,8,52
518,1505,0,0
519,1505,1,1675
520,1505,2,0
523,1505,3,0
524,1505,4,0
525,1505,5,0
526,1505,6,1013541
527,1505,7,7
528,1505,8,52
529,1506,0,3
530,1506,1,1677
531,1506,2,1678
534,1506,3,0
535,1506,4,100
536,1506,5,100
537,1506,6,1013570
538,1506,7,8
539,1506,8,48
540,1507,0,3
541,1507,1,1677
542,1507,2,1678
545,1507,3,0
546,1507,4,100
547,1507,5,100
548,1507,6,1013571
549,1507,7,8
550,1507,8,48
551,609,0,2
552,609,1,3
553,609,2,50
554,609,3,1
557,609,4,1
558,609,5,2
559,610,0,50
560,610,1,243
561,610,2,32
562,610,3,32
563,610,4,100
564,610,5,3
565,610,6,2
566,610,7,3010
567,610,8,3007
568,610,9,3008
569,610,10,3009
572,1508,0,0
573,1508,1,1681
574,1508,2,0
577,1508,3,0
578,1508,4,0
579,1508,5,0
580,1508,6,1013830
581,1508,7,9
582,1508,8,53
583,1509,0,0
584,1509,1,1681
585,1509,2,0
588,1509,3,0
589,1509,4,0
590,1509,5,0
591,1509,6,1013831
592,1509,7,9
593,1509,8,53
594,611,0,2
595,611,1,3
596,611,2,80
597,611,3,1
600,611,4,2
601,611,5,2
602,612,0,71
603,612,1,243
604,612,2,32
605,612,3,32
606,612,4,100
607,612,5,3
608,612,6,2
609,612,7,3060
610,612,8,3061
611,612,9,3062
612,612,10,3063
615,613,0,2
616,613,1,3
617,613,2,80
618,613,3,1
621,613,4,2
622,613,5,2
623,614,0,50
624,614,1,243
625,614,2,32
626,614,3,32
627,614,4,100
628,614,5,3
629,614,6,2
630,614,7,3070
631,614,8,3071
632,614,9,3072
633,614,10,3073
636,1510,0,0
637,1510,1,1690
638,1510,2,0
641,1510,3,0
642,1510,4,0
643,1510,5,0
644,1510,6,1014660
645,1510,7,1
646,1510,8,43
647,1511,0,0
648,1511,1,1690
649,1511,2,0
652,1511,3,0
653,1511,4,0
654,1511,5,0
655,1511,6,1014661
656,1511,7,1
657,1511,8,43
658,1512,0,0
659,1512,1,1908
660,1512,2,0
663,1512,3,0
664,1512,4,0
665,1512,5,0
666,1512,6,1014680
667,1512,7,4
668,1512,8,64
669,1513,0,0
670,1513,1,1908
671,1513,2,0
674,1513,3,0
675,1513,4,0
676,1513,5,0
677,1513,6,1014681
678,1513,7,4
679,1513,8,64
680,1514,0,0
681,1514,1,1912
682,1514,2,0
685,1514,3,0
686,1514,4,0
687,1514,5,0
688,1514,6,1014760
689,1514,7,1
690,1514,8,0
691,1515,0,0
692,1515,1,1912
693,1515,2,0
696,1515,3,0
697,1515,4,0
698,1515,5,0
699,1515,6,1014761
700,1515,7,1
701,1515,8,0
702,1516,0,0
703,1516,1,1913
704,1516,2,0
707,1516,3,0
708,1516,4,0
709,1516,5,0
710,1516,6,4014770
711,1516,7,1
712,1516,8,0
713,1517,0,0
714,1517,1,1913
715,1517,2,0
718,1517,3,0
719,1517,4,0
720,1517,5,0
721,1517,6,4014771
722,1517,7,1
723,1517,8,0
724,1518,0,0
725,1518,1,1914
726,1518,2,0
729,1518,3,0
730,1518,4,0
731,1518,5,0
732,1518,6,4014780
733,1518,7,1
734,1518,8,0
735,1519,0,0
736,1519,1,1914
737,1519,2,0
740,1519,3,0
741,1519,4,0
742,1519,5,0
743,1519,6,4014781
744,1519,7,1
745,1519,8,0
746,1520,0,0
747,1520,1,1915
748,1520,2,0
751,1520,3,0
752,1520,4,0
753,1520,5,0
754,1520,6,4014790
755,1520,7,1
756,1520,8,60
757,1521,0,0
758,1521,1,1915
759,1521,2,0
762,1521,3,0
763,1521,4,0
764,1521,5,0
765,1521,6,4014791
766,1521,7,1
767,1521,8,60
768,1522,0,0
769,1522,1,1916
770,1522,2,0
773,1522,3,0
774,1522,4,0
775,1522,5,0
776,1522,6,1014820
777,1522,7,1
778,1522,8,0
779,1523,0,0
780,1523,1,1916
781,1523,2,0
784,1523,3,0
785,1523,4,0
786,1523,5,0
787,1523,6,1014821
788,1523,7,1
789,1523,8,0
790,1524,0,0
791,1524,1,1917
792,1524,2,0
795,1524,3,0
796,1524,4,0
797,1524,5,0
798,1524,6,4014830
799,1524,7,1
800,1524,8,0
801,1525,0,0
802,1525,1,1917
803,1525,2,0
806,1525,3,0
807,1525,4,0
808,1525,5,0
809,1525,6,4014831
810,1525,7,1
811,1525,8,0
812,1526,0,0
813,1526,1,1918
814,1526,2,0
817,1526,3,0
818,1526,4,0
819,1526,5,0
820,1526,6,4014840
821,1526,7,1
822,1526,8,0
823,1527,0,0
824,1527,1,1918
825,1527,2,0
828,1527,3,0
829,1527,4,0
830,1527,5,0
831,1527,6,4014841
832,1527,7,1
833,1527,8,0
834,1528,0,0
835,1528,1,1919
836,1528,2,0
839,1528,3,0
840,1528,4,0
841,1528,5,0
842,1528,6,4014850
843,1528,7,1
844,1528,8,61
845,1529,0,0
846,1529,1,1919
847,1529,2,0
850,1529,3,0
851,1529,4,0
852,1529,5,0
853,1529,6,4014851
854,1529,7,1
855,1529,8,61
856,1530,0,2
857,1530,1,3
858,1530,2,50
859,1530,3,1
862,1530,4,2
863,1530,5,1
864,1531,0,50
865,1531,1,243
866,1531,2,32
867,1531,3,32
868,1531,4,100
869,1531,5,3
870,1531,6,2
871,1531,7,1904
872,1531,8,3000
873,1531,9,3001
874,1531,10,3002
877,1532,0,0
878,1532,1,1924
879,1532,2,0
882,1532,3,0
883,1532,4,0
884,1532,5,0
885,1532,6,1015050
886,1532,7,5
887,1532,8,66
888,1533,0,0
889,1533,1,1924
890,1533,2,0
893,1533,3,0
894,1533,4,0
895,1533,5,0
896,1533,6,1015051
897,1533,7,5
898,1533,8,66
899,1534,0,0
900,1534,1,1922
901,1534,2,0
904,1534,3,0
905,1534,4,0
906,1534,5,0
907,1534,6,1015050
908,1534,7,5
909,1534,8,66
910,1535,0,0
911,1535,1,1922
912,1535,2,0
915,1535,3,0
916,1535,4,0
917,1535,5,0
918,1535,6,1015051
919,1535,7,5
920,1535,8,66
921,1536,0,0
922,1536,1,1923
923,1536,2,0
926,1536,3,0
927,1536,4,0
928,1536,5,0
929,1536,6,1015050
930,1536,7,5
931,1536,8,66
932,1537,0,0
933,1537,1,1923
934,1537,2,0
937,1537,3,0
938,1537,4,0
939,1537,5,0
940,1537,6,1015051
941,1537,7,5
942,1537,8,66
943,615,0,2
944,615,1,3
945,615,2,80
946,615,3,1
949,615,4,1
950,615,5,4
951,616,0,74
952,616,1,243
953,616,2,32
954,616,3,32
955,616,4,100
956,616,5,3
957,616,6,2
958,616,7,3083
959,616,8,3080
960,616,9,3081
961,616,10,3082
964,1003,0,1
965,1003,1,1
966,1003,2,100
967,1003,3,1
970,1003,4,2
971,1004,0,50
972,1004,1,224
973,1004,2,17
974,1004,3,255
975,1004,4,83
976,1004,5,0
977,1004,6,86
978,1004,7,3006
979,1004,8,3003
980,1004,9,3004
981,1004,10,3005
984,1538,0,0
985,1538,1,1930
986,1538,2,0
989,1538,3,0
990,1538,4,0
991,1538,5,0
992,1538,6,1015470
993,1538,7,1
994,1538,8,47
995,1539,0,0
996,1539,1,1930
997,1539,2,0
1000,1539,3,0
1001,1539,4,0
1002,1539,5,0
1003,1539,6,1015471
1004,1539,7,1
1005,1539,8,47
1022,2001,0,70
1023,2001,1,3
1024,2005,0,100
1025,2005,1,3
1026,1540,0,0
1027,1540,1,1935
1028,1540,2,0
1031,1540,3,0
1032,1540,4,0
1033,1540,5,0
1034,1540,6,1015970
1035,1540,7,1
1036,1540,8,59
1037,1541,0,0
1038,1541,1,1935
1039,1541,2,0
1042,1541,3,0
1043,1541,4,0
1044,1541,5,0
1045,1541,6,1015971
1046,1541,7,1
1047,1541,8,59
1048,1542,0,0
1049,1542,1,1936
1050,1542,2,0
1053,1542,3,0
1054,1542,4,0
1055,1542,5,0
1056,1542,6,1016000
1057,1542,7,1
1058,1542,8,75
1059,1543,0,0
1060,1543,1,1936
1061,1543,2,0
1064,1543,3,0
1065,1543,4,0
1066,1543,5,0
1067,1543,6,1016001
1068,1543,7,1
1069,1543,8,75
1070,1544,0,0
1071,1544,1,1937
1072,1544,2,0
1075,1544,3,0
1076,1544,4,0
1077,1544,5,0
1078,1544,6,1016310
1079,1544,7,2
1080,1544,8,67
1081,1545,0,0
1082,1545,1,1937
1083,1545,2,0
1086,1545,3,0
1087,1545,4,0
1088,1545,5,0
1089,1545,6,1016311
1090,1545,7,2
1091,1545,8,67
1092,617,0,1
1093,617,1,2
1094,617,2,50
1095,617,3,1
1098,617,4,1
1099,617,5,1
1100,618,0,50
1101,618,1,243
1102,618,2,32
1103,618,3,32
1104,618,4,100
1105,618,5,3
1106,618,6,2
1107,618,7,3018
1108,618,8,3084
1109,618,9,3085
1110,618,10,3086
1113,1546,0,0
1114,1546,1,1938
1115,1546,2,0
1118,1546,3,0
1119,1546,4,0
1120,1546,5,0
1121,1546,6,1016510
1122,1546,7,1
1123,1546,8,0
1124,1547,0,0
1125,1547,1,1938
1126,1547,2,0
1129,1547,3,0
1130,1547,4,0
1131,1547,5,0
1132,1547,6,1016511
1133,1547,7,1
1134,1547,8,0
1135,1548,0,0
1136,1548,1,1939
1137,1548,2,0
1140,1548,3,0
1141,1548,4,0
1142,1548,5,0
1143,1548,6,4016520
1144,1548,7,1
1145,1548,8,0
1146,1549,0,0
1147,1549,1,1939
1148,1549,2,0
1151,1549,3,0
1152,1549,4,0
1153,1549,5,0
1154,1549,6,4016521
1155,1549,7,1
1156,1549,8,0
1157,1550,0,0
1158,1550,1,1940
1159,1550,2,0
1162,1550,3,0
1163,1550,4,0
1164,1550,5,0
1165,1550,6,4016530
1166,1550,7,1
1167,1550,8,0
1168,1551,0,0
1169,1551,1,1940
1170,1551,2,0
1173,1551,3,0
1174,1551,4,0
1175,1551,5,0
1176,1551,6,4016531
1177,1551,7,1
1178,1551,8,0
1179,1552,0,0
1180,1552,1,1941
1181,1552,2,0
1184,1552,3,0
1185,1552,4,0
1186,1552,5,0
1187,1552,6,4016540
1188,1552,7,1
1189,1552,8,69
1190,1553,0,0
1191,1553,1,1941
1192,1553,2,0
1195,1553,3,0
1196,1553,4,0
1197,1553,5,0
1198,1553,6,4016541
1199,1553,7,1
1200,1553,8,69
1201,1554,0,0
1202,1554,1,1943
1203,1554,2,0
1206,1554,3,0
1207,1554,4,0
1208,1554,5,0
1209,1554,6,1016870
1210,1554,7,1
1211,1554,8,66
1212,1555,0,0
1213,1555,1,1943
1214,1555,2,0
1217,1555,3,0
1218,1555,4,0
1219,1555,5,0
1220,1555,6,1016871
1221,1555,7,1
1222,1555,8,66
1223,1556,0,0
1224,1556,1,1945
1225,1556,2,0
1228,1556,3,0
1229,1556,4,0
1230,1556,5,0
1231,1556,6,1017080
1232,1556,7,1
1233,1556,8,0
1234,1557,0,0
1235,1557,1,1945
1236,1557,2,0
1239,1557,3,0
1240,1557,4,0
1241,1557,5,0
1242,1557,6,1017081
1243,1557,7,1
1244,1557,8,0
1245,1558,0,0
1246,1558,1,0
1247,1558,2,0
1250,1558,3,0
1251,1558,4,0
1252,1558,5,0
1253,1558,6,4017090
1254,1558,7,8
1255,1558,8,0
1256,1559,0,0
1257,1559,1,0
1258,1559,2,0
1261,1559,3,0
1262,1559,4,0
1263,1559,5,0
1264,1559,6,4017091
1265,1559,7,8
1266,1559,8,0
1267,1560,0,0
1268,1560,1,1944
1269,1560,2,0
1272,1560,3,0
1273,1560,4,0
1274,1560,5,0
1275,1560,6,1017120
1276,1560,7,2
1277,1560,8,0
1278,1561,0,0
1279,1561,1,1944
1280,1561,2,0
1283,1561,3,0
1284,1561,4,0
1285,1561,5,0
1286,1561,6,1017121
1287,1561,7,2
1288,1561,8,0
1289,1562,0,0
1290,1562,1,0
1291,1562,2,0
1294,1562,3,0
1295,1562,4,0
1296,1562,5,0
1297,1562,6,4017130
1298,1562,7,10
1299,1562,8,0
1300,1563,0,0
1301,1563,1,0
1302,1563,2,0
1305,1563,3,0
1306,1563,4,0
1307,1563,5,0
1308,1563,6,4017131
1309,1563,7,10
1310,1563,8,0
1311,1003,5,3
1312,1564,0,0
1313,1564,1,1948
1314,1564,2,0
1317,1564,3,0
1318,1564,4,0
1319,1564,5,0
1320,1564,6,1017180
1321,1564,7,1
1322,1564,8,0
1323,1565,0,0
1324,1565,1,1948
1325,1565,2,0
1328,1565,3,0
1329,1565,4,0
1330,1565,5,0
1331,1565,6,1017181
1332,1565,7,1
1333,1565,8,0
1334,619,0,1
1335,619,1,1
1336,619,2,100
1337,619,3,1
1340,619,4,1
1341,619,5,3
1342,620,0,0
1343,620,1,243
1344,620,2,32
1345,620,3,32
1346,620,4,100
1347,620,5,3
1348,620,6,2
1349,620,7,3077
1350,620,8,0
1351,620,9,3075
1352,620,10,3076
1355,1566,0,0
1356,1566,1,3078
1357,1566,2,0
1360,1566,3,0
1361,1566,4,0
1362,1566,5,0
1363,1566,6,1017300
1364,1566,7,3
1365,1566,8,66
1366,1567,0,0
1367,1567,1,3078
1368,1567,2,0
1371,1567,3,0
1372,1567,4,0
1373,1567,5,0
1374,1567,6,1017301
1375,1567,7,3
1376,1567,8,66
1377,1568,0,0
1378,1568,1,0
1379,1568,2,0
1382,1568,3,0
1383,1568,4,0
1384,1568,5,0
1385,1568,6,1017630
1386,1568,7,7
1387,1568,8,91
1388,1569,0,0
1389,1569,1,0
1390,1569,2,0
1393,1569,3,0
1394,1569,4,0
1395,1569,5,0
1396,1569,6,1017631
1397,1569,7,7
1398,1569,8,91
1399,1570,0,0
1400,1570,1,3089
1401,1570,2,0
1404,1570,3,0
1405,1570,4,0
1406,1570,5,0
1407,1570,6,1017900
1408,1570,7,9
1409,1570,8,0
1410,1571,0,0
1411,1571,1,3089
1412,1571,2,0
1415,1571,3,0
1416,1571,4,0
1417,1571,5,0
1418,1571,6,1017901
1419,1571,7,9
1420,1571,8,0
1421,1572,0,0
1422,1572,1,3079
1423,1572,2,0
1424,1572,3,0
1425,1572,4,0
1426,1572,5,0
1427,1572,6,1017490
1428,1572,7,3
1429,1572,8,0
1430,1573,0,0
1431,1573,1,3079
1432,1573,2,0
1433,1573,3,0
1434,1573,4,0
1435,1573,5,0
1436,1573,6,1017491
1437,1573,7,3
1438,1573,8,0
1439,1574,0,0
1440,1574,1,3087
1441,1574,2,0
1442,1574,3,0
1443,1574,4,0
1444,1574,5,0
1445,1574,6,1017660
1446,1574,7,11
1447,1574,8,0
1448,1575,0,0
1449,1575,1,3087
1450,1575,2,0
1451,1575,3,0
1452,1575,4,0
1453,1575,5,0
1454,1575,6,1017661
1455,1575,7,11
1456,1575,8,0
1457,1576,0,0
1458,1576,1,3088
1459,1576,2,0
1460,1576,3,0
1461,1576,4,0
1462,1576,5,0
1463,1576,6,1017740
1464,1576,7,11
1465,1576,8,0
1466,1577,0,0
1467,1577,1,3088
1468,1577,2,0
1469,1577,3,0
1470,1577,4,0
1471,1577,5,0
1472,1577,6,1017741
1473,1577,7,11
1474,1577,8,0
1475,1578,0,0
1476,1578,1,1921
1477,1578,2,0
1478,1578,3,0
1479,1578,4,0
1480,1578,5,0
1481,1578,6,1014060
1482,1578,7,1
1483,1578,8,71
1484,1579,0,0
1485,1579,1,1921
1486,1579,2,0
1487,1579,3,0
1488,1579,4,0
1489,1579,5,0
1490,1579,6,1014061
1491,1579,7,1
1492,1579,8,71
1493,1580,0,3
1494,1580,1,0
1495,1580,2,3091
1496,1580,3,0
1497,1580,4,100
1498,1580,5,100
1499,1580,6,1018030
1500,1580,7,11
1501,1580,8,0
1502,1581,0,3
1503,1581,1,0
1504,1581,2,3091
1505,1581,3,0
1506,1581,4,100
1507,1581,5,100
1508,1581,6,1018031
1509,1581,7,11
1510,1581,8,0
1511,1582,0,0
1512,1582,1,3093
1513,1582,2,0
1514,1582,3,0
1515,1582,4,0
1516,1582,5,0
1517,1582,6,1018120
1518,1582,7,1
1519,1582,8,94
1520,1583,0,0
1521,1583,1,3093
1522,1583,2,0
1523,1583,3,0
1524,1583,4,0
1525,1583,5,0
1526,1583,6,1018121
1527,1583,7,1
1528,1583,8,94
1529,1584,0,0
1530,1584,1,0
1531,1584,2,0
1532,1584,3,0
1533,1584,4,0
1534,1584,5,0
1535,1584,6,1018190
1536,1584,7,1
1537,1584,8,0
1538,1585,0,0
1539,1585,1,0
1540,1585,2,0
1541,1585,3,0
1542,1585,4,0
1543,1585,5,0
1544,1585,6,1018191
1545,1585,7,1
1546,1585,8,0
1547,621,0,2
1548,621,1,3
1549,621,2,80
1550,621,3,1
1551,621,4,1
1552,621,5,2
1553,622,0,50
1554,622,1,243
1555,622,2,32
1556,622,3,32
1557,622,4,100
1558,622,5,3
1559,622,6,2
1560,622,7,3020
1561,622,8,3021
1562,622,9,3022
1563,622,10,3002
1564,623,0,2
1565,623,1,3
1566,623,2,80
1567,623,3,1
1568,623,4,1
1569,623,5,1
1570,624,0,50
1571,624,1,243
1572,624,2,32
1573,624,3,32
1574,624,4,100
1575,624,5,3
1576,624,6,2
1577,624,7,3018
1578,624,8,3096
1579,624,9,3097
1580,624,10,3098
1581,1586,0,0
1582,1586,1,3100
1583,1586,2,0
1584,1586,3,0
1585,1586,4,0
1586,1586,5,0
1587,1586,6,1018270
1588,1586,7,1
1589,1586,8,99
1590,1587,0,0
1591,1587,1,3100
1592,1587,2,0
1593,1587,3,0
1594,1587,4,0
1595,1587,5,0
1596,1587,6,1018271
1597,1587,7,1
1598,1587,8,99
1599,1588,0,0
1600,1588,1,3102
1601,1588,2,0
1602,1588,3,0
1603,1588,4,0
1604,1588,5,0
1605,1588,6,1017410
1606,1588,7,1
1607,1588,8,103
1608,1589,0,0
1609,1589,1,3102
1610,1589,2,0
1611,1589,3,0
1612,1589,4,0
1613,1589,5,0
1614,1589,6,1017411
1615,1589,7,1
1616,1589,8,103
1617,1590,0,0
1618,1590,1,3101
1619,1590,2,0
1620,1590,3,0
1621,1590,4,0
1622,1590,5,0
1623,1590,6,1017420
1624,1590,7,8
1625,1590,8,95
1626,1591,0,0
1627,1591,1,3101
1628,1591,2,0
1629,1591,3,0
1630,1591,4,0
1631,1591,5,0
1632,1591,6,1017421
1633,1591,7,8
1634,1591,8,95
1635,1592,0,0
1636,1592,1,154691
1637,1592,2,0
1638,1592,3,0
1639,1592,4,0
1640,1592,5,0
1641,1592,6,1018720
1642,1592,7,1
1643,1592,8,0
1644,1593,0,0
1645,1593,1,154691
1646,1593,2,0
1647,1593,3,0
1648,1593,4,0
1649,1593,5,0
1650,1593,6,1018721
1651,1593,7,1
1652,1593,8,0
1653,1594,0,0
1654,1594,1,3105
1655,1594,2,0
1656,1594,3,0
1657,1594,4,0
1658,1594,5,0
1659,1594,6,1018650
1660,1594,7,1
1661,1594,8,100
1662,1595,0,0
1663,1595,1,3105
1664,1595,2,0
1665,1595,3,0
1666,1595,4,0
1667,1595,5,0
1668,1595,6,1018651
1669,1595,7,1
1670,1595,8,100
1671,1596,0,0
1672,1596,1,3106
1673,1596,2,0
1674,1596,3,0
1675,1596,4,0
1676,1596,5,0
1677,1596,6,1018620
1678,1596,7,1
1679,1596,8,101
1680,1597,0,0
1681,1597,1,3106
1682,1597,2,0
1683,1597,3,0
1684,1597,4,0
1685,1597,5,0
1686,1597,6,1018621
1687,1597,7,1
1688,1597,8,101
1689,625,0,1
1690,625,1,1
1691,625,2,100
1692,625,3,1
1693,625,4,1
1694,625,5,3
1695,626,0,0
1696,626,1,243
1697,626,2,32
1698,626,3,32
1699,626,4,100
1700,626,5,3
1701,626,6,2
1702,626,7,3107
1703,626,8,0
1704,626,9,3108
1705,626,10,3109
1706,1598,0,0
1707,1598,1,0
1708,1598,2,0
1709,1598,3,0
1710,1598,4,0
1711,1598,5,0
1712,1598,6,1019140
1713,1598,7,1
1714,1598,8,0
1715,1599,0,0
1716,1599,1,0
1717,1599,2,0
1718,1599,3,0
1719,1599,4,0
1720,1599,5,0
1721,1599,6,1019141
1722,1599,7,1
1723,1599,8,0
1724,1600,0,0
1725,1600,1,3110
1726,1600,2,0
1727,1600,3,0
1728,1600,4,0
1729,1600,5,0
1730,1600,6,1017780
1731,1600,7,12
1732,1600,8,0
1733,1601,0,0
1734,1601,1,3110
1735,1601,2,0
1736,1601,3,0
1737,1601,4,0
1738,1601,5,0
1739,1601,6,1017781
1740,1601,7,12
1741,1601,8,0
1742,1602,0,0
1743,1602,1,3087
1744,1602,2,0
1745,1602,3,0
1746,1602,4,0
1747,1602,5,0
1748,1602,6,9017660
1749,1602,7,11
1750,1602,8,0
1751,1603,0,0
1752,1603,1,3087
