id,equipment_skill_item_id,potential_skill_id,status_type,level,created_at,updated_at
9700,97,6.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
9800,98,7.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
9900,99,7.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
10000,100,1.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
10100,101,1.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
10200,102,2.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
10300,103,2.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
10400,104,4.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
10500,105,4.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
10600,106,5.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
10700,107,5.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
10800,108,6.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
10900,109,6.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
11000,110,7.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
11100,111,7.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
11200,112,1.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
11300,113,1.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
11400,114,3.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
11500,115,3.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
11600,116,4.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
11700,117,4.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
11800,118,5.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
11900,119,5.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
12000,120,6.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
12100,121,6.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
12200,122,7.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
12300,123,7.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
12400,124,2.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
12500,125,2.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
12600,126,3.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
12700,127,3.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
12800,128,4.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
12900,129,4.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
13000,130,5.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
13100,131,5.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
13200,132,6.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
13300,133,6.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
13400,134,7.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
13500,135,7.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
13600,136,2.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
13700,137,2.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
13800,138,2.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
13900,139,2.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
14000,140,2.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
14100,141,3.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
14200,142,3.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
14300,143,3.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
14400,144,3.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
14500,145,3.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
14600,146,4.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
14700,147,4.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
14800,148,4.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
14900,149,4.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
15000,150,4.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
15100,151,5.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
15200,152,5.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
15300,153,5.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
15400,154,5.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
15500,155,5.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
15600,156,6.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
15700,157,6.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
15800,158,6.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
15900,159,6.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
16000,160,6.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
16100,161,7.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
16200,162,7.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
16300,163,7.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
16400,164,7.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
16500,165,7.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
16600,166,1.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
16700,167,1.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
16800,168,1.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
16900,169,1.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
17000,170,1.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
17100,171,3.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
17200,172,3.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
17300,173,3.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
17400,174,3.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
17500,175,3.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
17600,176,4.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
17700,177,4.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
17800,178,4.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
17900,179,4.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
18000,180,4.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
18100,181,5.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
18200,182,5.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
18300,183,5.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
18400,184,5.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
18500,185,5.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
18600,186,6.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
18700,187,6.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
18800,188,6.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
18900,189,6.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
19000,190,6.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
19100,191,7.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
19200,192,7.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
19300,193,7.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
19400,194,7.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
19500,195,7.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
19600,196,1.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
19700,197,1.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
19800,198,1.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
19900,199,1.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
20000,200,1.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
20100,201,2.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
20200,202,2.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
20300,203,2.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
20400,204,2.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
20500,205,2.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
20600,206,4.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
20700,207,4.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
20800,208,4.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
20900,209,4.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
21000,210,4.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
21100,211,5.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
21200,212,5.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
21300,213,5.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
21400,214,5.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
21500,215,5.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
21600,216,6.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
21700,217,6.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
21800,218,6.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
21900,219,6.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
22000,220,6.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
22100,221,7.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
22200,222,7.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
22300,223,7.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
22400,224,7.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
22500,225,7.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
22600,226,1.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
22700,227,1.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
22800,228,1.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
22900,229,1.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
23000,230,1.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
23100,231,3.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
23200,232,3.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
23300,233,3.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
23400,234,3.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
23500,235,3.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
23600,236,4.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
23700,237,4.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
23800,238,4.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
23900,239,4.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
24000,240,4.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
24100,241,5.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
24200,242,5.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
24300,243,5.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
24400,244,5.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
24500,245,5.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
24600,246,6.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
24700,247,6.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
24800,248,6.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
24900,249,6.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
25000,250,6.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
25100,251,7.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
25200,252,7.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
25300,253,7.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
25400,254,7.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
25500,255,7.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
25600,256,2.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
25700,257,2.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
25800,258,2.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
25900,259,2.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
26000,260,2.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
26100,261,3.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
26200,262,3.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
26300,263,3.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
26400,264,3.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
26500,265,3.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
26600,266,4.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
26700,267,4.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
26800,268,4.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
26900,269,4.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
27000,270,4.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
27100,271,5.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
27200,272,5.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
27300,273,5.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
27400,274,5.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
27500,275,5.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
27600,276,6.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
27700,277,6.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
27800,278,6.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
27900,279,6.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
28000,280,6.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
28100,281,7.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
28200,282,7.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
28300,283,7.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
28400,284,7.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
28500,285,7.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
28600,286,1.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
28700,287,1.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
28800,288,1.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
28900,289,1.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
29000,290,1.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
29100,291,2.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
29200,292,2.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
29300,293,2.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
29400,294,2.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
29500,295,2.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
29600,296,3.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
29700,297,3.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
29800,298,3.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
29900,299,3.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
30000,300,3.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
30100,301,4.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
30200,302,4.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
30300,303,4.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
30400,304,4.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
30500,305,4.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
30600,306,5.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
30700,307,5.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
30800,308,5.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
30900,309,5.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
31000,310,5.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
31100,311,6.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
31200,312,6.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
31300,313,6.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
31400,314,6.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
31500,315,6.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
31600,316,7.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
31700,317,7.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
31800,318,7.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
31900,319,7.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
32000,320,7.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
32100,321,1.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
32101,321,2.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
32200,322,1.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
32201,322,2.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
32300,323,1.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
32301,323,2.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
32400,324,1.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
32401,324,2.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
32500,325,2.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
32501,325,1.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
32600,326,1.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
32601,326,2.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
32700,327,1.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
32701,327,2.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
32800,328,1.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
32801,328,2.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
32900,329,1.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
32901,329,2.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
33000,330,2.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
33001,330,1.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
33100,331,1.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
33101,331,2.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
33200,332,1.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
33201,332,2.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
33300,333,1.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
33301,333,2.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
33400,334,1.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
33401,334,2.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
33500,335,2.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
33501,335,1.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
33600,336,1.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
33601,336,2.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
33700,337,1.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
33701,337,2.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
33800,338,1.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
33801,338,2.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
33900,339,1.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
33901,339,2.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
34000,340,2.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
34001,340,1.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
34100,341,1.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
34101,341,2.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
34200,342,1.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
34201,342,2.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
34300,343,1.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
34301,343,2.0,,3,2024-06-03 02:00:10,2024-06-03 02:00:10
34400,344,1.0,,5,2024-06-03 02:00:10,2024-06-03 02:00:10
34401,344,2.0,,4,2024-06-03 02:00:10,2024-06-03 02:00:10
