id,budokai_motivation_id,type,description,conditions
2010,2010,BudokaiMotivationUnlockCondition::TitleCondition,7回優勝で解放,"{""title_num"": 7}"
2011,2011,BudokaiMotivationUnlockCondition::TitleCondition,8回優勝で解放,"{""title_num"": 8}"
2012,2012,BudokaiMotivationUnlockCondition::TitleCondition,9回優勝で解放,"{""title_num"": 9}"
2104,2104,BudokaiMotivationUnlockCondition::TitleCondition,1回優勝で解放,"{""title_num"": 1}"
2105,2105,BudokaiMotivationUnlockCondition::TitleCondition,2回優勝で解放,"{""title_num"": 2}"
2106,2106,BudokaiMotivationUnlockCondition::TitleCondition,3回優勝で解放,"{""title_num"": 3}"
2107,2107,BudokaiMotivationUnlockCondition::TitleCondition,4回優勝で解放,"{""title_num"": 4}"
2108,2108,BudokaiMotivationUnlockCondition::TitleCondition,5回優勝で解放,"{""title_num"": 5}"
2109,2109,BudokaiMotivationUnlockCondition::TitleCondition,6回優勝で解放,"{""title_num"": 6}"
2110,2110,BudokaiMotivationUnlockCondition::TitleCondition,7回優勝で解放,"{""title_num"": 7}"
2111,2111,BudokaiMotivationUnlockCondition::TitleCondition,8回優勝で解放,"{""title_num"": 8}"
2112,2112,BudokaiMotivationUnlockCondition::TitleCondition,9回優勝で解放,"{""title_num"": 9}"
2204,2204,BudokaiMotivationUnlockCondition::TitleCondition,1回優勝で解放,"{""title_num"": 1}"
2205,2205,BudokaiMotivationUnlockCondition::TitleCondition,2回優勝で解放,"{""title_num"": 2}"
2206,2206,BudokaiMotivationUnlockCondition::TitleCondition,3回優勝で解放,"{""title_num"": 3}"
2207,2207,BudokaiMotivationUnlockCondition::TitleCondition,4回優勝で解放,"{""title_num"": 4}"
2208,2208,BudokaiMotivationUnlockCondition::TitleCondition,5回優勝で解放,"{""title_num"": 5}"
2209,2209,BudokaiMotivationUnlockCondition::TitleCondition,6回優勝で解放,"{""title_num"": 6}"
2210,2210,BudokaiMotivationUnlockCondition::TitleCondition,7回優勝で解放,"{""title_num"": 7}"
2211,2211,BudokaiMotivationUnlockCondition::TitleCondition,8回優勝で解放,"{""title_num"": 8}"
2212,2212,BudokaiMotivationUnlockCondition::TitleCondition,9回優勝で解放,"{""title_num"": 9}"
2304,2304,BudokaiMotivationUnlockCondition::TitleCondition,1回優勝で解放,"{""title_num"": 1}"
2305,2305,BudokaiMotivationUnlockCondition::TitleCondition,2回優勝で解放,"{""title_num"": 2}"
2306,2306,BudokaiMotivationUnlockCondition::TitleCondition,3回優勝で解放,"{""title_num"": 3}"
2307,2307,BudokaiMotivationUnlockCondition::TitleCondition,4回優勝で解放,"{""title_num"": 4}"
2308,2308,BudokaiMotivationUnlockCondition::TitleCondition,5回優勝で解放,"{""title_num"": 5}"
2309,2309,BudokaiMotivationUnlockCondition::TitleCondition,6回優勝で解放,"{""title_num"": 6}"
2310,2310,BudokaiMotivationUnlockCondition::TitleCondition,7回優勝で解放,"{""title_num"": 7}"
2311,2311,BudokaiMotivationUnlockCondition::TitleCondition,8回優勝で解放,"{""title_num"": 8}"
2312,2312,BudokaiMotivationUnlockCondition::TitleCondition,9回優勝で解放,"{""title_num"": 9}"
2404,2404,BudokaiMotivationUnlockCondition::TitleCondition,1回優勝で解放,"{""title_num"": 1}"
2405,2405,BudokaiMotivationUnlockCondition::TitleCondition,2回優勝で解放,"{""title_num"": 2}"
2406,2406,BudokaiMotivationUnlockCondition::TitleCondition,3回優勝で解放,"{""title_num"": 3}"
2407,2407,BudokaiMotivationUnlockCondition::TitleCondition,4回優勝で解放,"{""title_num"": 4}"
2408,2408,BudokaiMotivationUnlockCondition::TitleCondition,5回優勝で解放,"{""title_num"": 5}"
2409,2409,BudokaiMotivationUnlockCondition::TitleCondition,6回優勝で解放,"{""title_num"": 6}"
2410,2410,BudokaiMotivationUnlockCondition::TitleCondition,7回優勝で解放,"{""title_num"": 7}"
2411,2411,BudokaiMotivationUnlockCondition::TitleCondition,8回優勝で解放,"{""title_num"": 8}"
2412,2412,BudokaiMotivationUnlockCondition::TitleCondition,9回優勝で解放,"{""title_num"": 9}"
2504,2504,BudokaiMotivationUnlockCondition::TitleCondition,1回優勝で解放,"{""title_num"": 1}"
2505,2505,BudokaiMotivationUnlockCondition::TitleCondition,2回優勝で解放,"{""title_num"": 2}"
2506,2506,BudokaiMotivationUnlockCondition::TitleCondition,3回優勝で解放,"{""title_num"": 3}"
2507,2507,BudokaiMotivationUnlockCondition::TitleCondition,4回優勝で解放,"{""title_num"": 4}"
2508,2508,BudokaiMotivationUnlockCondition::TitleCondition,5回優勝で解放,"{""title_num"": 5}"
2509,2509,BudokaiMotivationUnlockCondition::TitleCondition,6回優勝で解放,"{""title_num"": 6}"
2510,2510,BudokaiMotivationUnlockCondition::TitleCondition,7回優勝で解放,"{""title_num"": 7}"
2511,2511,BudokaiMotivationUnlockCondition::TitleCondition,8回優勝で解放,"{""title_num"": 8}"
2512,2512,BudokaiMotivationUnlockCondition::TitleCondition,9回優勝で解放,"{""title_num"": 9}"
2604,2604,BudokaiMotivationUnlockCondition::TitleCondition,1回優勝で解放,"{""title_num"": 1}"
2605,2605,BudokaiMotivationUnlockCondition::TitleCondition,2回優勝で解放,"{""title_num"": 2}"
2606,2606,BudokaiMotivationUnlockCondition::TitleCondition,3回優勝で解放,"{""title_num"": 3}"
2607,2607,BudokaiMotivationUnlockCondition::TitleCondition,4回優勝で解放,"{""title_num"": 4}"
2608,2608,BudokaiMotivationUnlockCondition::TitleCondition,5回優勝で解放,"{""title_num"": 5}"
2609,2609,BudokaiMotivationUnlockCondition::TitleCondition,6回優勝で解放,"{""title_num"": 6}"
2610,2610,BudokaiMotivationUnlockCondition::TitleCondition,7回優勝で解放,"{""title_num"": 7}"
2611,2611,BudokaiMotivationUnlockCondition::TitleCondition,8回優勝で解放,"{""title_num"": 8}"
2612,2612,BudokaiMotivationUnlockCondition::TitleCondition,9回優勝で解放,"{""title_num"": 9}"
2704,2704,BudokaiMotivationUnlockCondition::TitleCondition,1回優勝で解放,"{""title_num"": 1}"
2705,2705,BudokaiMotivationUnlockCondition::TitleCondition,2回優勝で解放,"{""title_num"": 2}"
2706,2706,BudokaiMotivationUnlockCondition::TitleCondition,3回優勝で解放,"{""title_num"": 3}"
2707,2707,BudokaiMotivationUnlockCondition::TitleCondition,4回優勝で解放,"{""title_num"": 4}"
2708,2708,BudokaiMotivationUnlockCondition::TitleCondition,5回優勝で解放,"{""title_num"": 5}"
2709,2709,BudokaiMotivationUnlockCondition::TitleCondition,6回優勝で解放,"{""title_num"": 6}"
2710,2710,BudokaiMotivationUnlockCondition::TitleCondition,7回優勝で解放,"{""title_num"": 7}"
2711,2711,BudokaiMotivationUnlockCondition::TitleCondition,8回優勝で解放,"{""title_num"": 8}"
2712,2712,BudokaiMotivationUnlockCondition::TitleCondition,9回優勝で解放,"{""title_num"": 9}"
2804,2804,BudokaiMotivationUnlockCondition::TitleCondition,1回優勝で解放,"{""title_num"": 1}"
2805,2805,BudokaiMotivationUnlockCondition::TitleCondition,2回優勝で解放,"{""title_num"": 2}"
2806,2806,BudokaiMotivationUnlockCondition::TitleCondition,3回優勝で解放,"{""title_num"": 3}"
2807,2807,BudokaiMotivationUnlockCondition::TitleCondition,4回優勝で解放,"{""title_num"": 4}"
2808,2808,BudokaiMotivationUnlockCondition::TitleCondition,5回優勝で解放,"{""title_num"": 5}"
2809,2809,BudokaiMotivationUnlockCondition::TitleCondition,6回優勝で解放,"{""title_num"": 6}"
2810,2810,BudokaiMotivationUnlockCondition::TitleCondition,7回優勝で解放,"{""title_num"": 7}"
2811,2811,BudokaiMotivationUnlockCondition::TitleCondition,8回優勝で解放,"{""title_num"": 8}"
2812,2812,BudokaiMotivationUnlockCondition::TitleCondition,9回優勝で解放,"{""title_num"": 9}"
2904,2904,BudokaiMotivationUnlockCondition::TitleCondition,1回優勝で解放,"{""title_num"": 1}"
2905,2905,BudokaiMotivationUnlockCondition::TitleCondition,2回優勝で解放,"{""title_num"": 2}"
2906,2906,BudokaiMotivationUnlockCondition::TitleCondition,3回優勝で解放,"{""title_num"": 3}"
2907,2907,BudokaiMotivationUnlockCondition::TitleCondition,4回優勝で解放,"{""title_num"": 4}"
2908,2908,BudokaiMotivationUnlockCondition::TitleCondition,5回優勝で解放,"{""title_num"": 5}"
2909,2909,BudokaiMotivationUnlockCondition::TitleCondition,6回優勝で解放,"{""title_num"": 6}"
2910,2910,BudokaiMotivationUnlockCondition::TitleCondition,7回優勝で解放,"{""title_num"": 7}"
2911,2911,BudokaiMotivationUnlockCondition::TitleCondition,8回優勝で解放,"{""title_num"": 8}"
2912,2912,BudokaiMotivationUnlockCondition::TitleCondition,9回優勝で解放,"{""title_num"": 9}"
3004,3004,BudokaiMotivationUnlockCondition::TitleCondition,1回優勝で解放,"{""title_num"": 1}"
3005,3005,BudokaiMotivationUnlockCondition::TitleCondition,2回優勝で解放,"{""title_num"": 2}"
3006,3006,BudokaiMotivationUnlockCondition::TitleCondition,3回優勝で解放,"{""title_num"": 3}"
3007,3007,BudokaiMotivationUnlockCondition::TitleCondition,4回優勝で解放,"{""title_num"": 4}"
3008,3008,BudokaiMotivationUnlockCondition::TitleCondition,5回優勝で解放,"{""title_num"": 5}"
3009,3009,BudokaiMotivationUnlockCondition::TitleCondition,6回優勝で解放,"{""title_num"": 6}"
3010,3010,BudokaiMotivationUnlockCondition::TitleCondition,7回優勝で解放,"{""title_num"": 7}"
3011,3011,BudokaiMotivationUnlockCondition::TitleCondition,8回優勝で解放,"{""title_num"": 8}"
3012,3012,BudokaiMotivationUnlockCondition::TitleCondition,9回優勝で解放,"{""title_num"": 9}"
3104,3104,BudokaiMotivationUnlockCondition::TitleCondition,1回優勝で解放,"{""title_num"": 1}"
3105,3105,BudokaiMotivationUnlockCondition::TitleCondition,2回優勝で解放,"{""title_num"": 2}"
3106,3106,BudokaiMotivationUnlockCondition::TitleCondition,3回優勝で解放,"{""title_num"": 3}"
3107,3107,BudokaiMotivationUnlockCondition::TitleCondition,4回優勝で解放,"{""title_num"": 4}"
3108,3108,BudokaiMotivationUnlockCondition::TitleCondition,5回優勝で解放,"{""title_num"": 5}"
3109,3109,BudokaiMotivationUnlockCondition::TitleCondition,6回優勝で解放,"{""title_num"": 6}"
3110,3110,BudokaiMotivationUnlockCondition::TitleCondition,7回優勝で解放,"{""title_num"": 7}"
3111,3111,BudokaiMotivationUnlockCondition::TitleCondition,8回優勝で解放,"{""title_num"": 8}"
3112,3112,BudokaiMotivationUnlockCondition::TitleCondition,9回優勝で解放,"{""title_num"": 9}"
3204,3204,BudokaiMotivationUnlockCondition::TitleCondition,1回優勝で解放,"{""title_num"": 1}"
3205,3205,BudokaiMotivationUnlockCondition::TitleCondition,2回優勝で解放,"{""title_num"": 2}"
3206,3206,BudokaiMotivationUnlockCondition::TitleCondition,3回優勝で解放,"{""title_num"": 3}"
3207,3207,BudokaiMotivationUnlockCondition::TitleCondition,4回優勝で解放,"{""title_num"": 4}"
3208,3208,BudokaiMotivationUnlockCondition::TitleCondition,5回優勝で解放,"{""title_num"": 5}"
3209,3209,BudokaiMotivationUnlockCondition::TitleCondition,6回優勝で解放,"{""title_num"": 6}"
3210,3210,BudokaiMotivationUnlockCondition::TitleCondition,7回優勝で解放,"{""title_num"": 7}"
3211,3211,BudokaiMotivationUnlockCondition::TitleCondition,8回優勝で解放,"{""title_num"": 8}"
3212,3212,BudokaiMotivationUnlockCondition::TitleCondition,9回優勝で解放,"{""title_num"": 9}"
3304,3304,BudokaiMotivationUnlockCondition::TitleCondition,1回優勝で解放,"{""title_num"": 1}"
3305,3305,BudokaiMotivationUnlockCondition::TitleCondition,2回優勝で解放,"{""title_num"": 2}"
3306,3306,BudokaiMotivationUnlockCondition::TitleCondition,3回優勝で解放,"{""title_num"": 3}"
3307,3307,BudokaiMotivationUnlockCondition::TitleCondition,4回優勝で解放,"{""title_num"": 4}"
3308,3308,BudokaiMotivationUnlockCondition::TitleCondition,5回優勝で解放,"{""title_num"": 5}"
3309,3309,BudokaiMotivationUnlockCondition::TitleCondition,6回優勝で解放,"{""title_num"": 6}"
3310,3310,BudokaiMotivationUnlockCondition::TitleCondition,7回優勝で解放,"{""title_num"": 7}"
3311,3311,BudokaiMotivationUnlockCondition::TitleCondition,8回優勝で解放,"{""title_num"": 8}"
3312,3312,BudokaiMotivationUnlockCondition::TitleCondition,9回優勝で解放,"{""title_num"": 9}"
3404,3404,BudokaiMotivationUnlockCondition::TitleCondition,1回優勝で解放,"{""title_num"": 1}"
3405,3405,BudokaiMotivationUnlockCondition::TitleCondition,2回優勝で解放,"{""title_num"": 2}"
3406,3406,BudokaiMotivationUnlockCondition::TitleCondition,3回優勝で解放,"{""title_num"": 3}"
3407,3407,BudokaiMotivationUnlockCondition::TitleCondition,4回優勝で解放,"{""title_num"": 4}"
3408,3408,BudokaiMotivationUnlockCondition::TitleCondition,5回優勝で解放,"{""title_num"": 5}"
3409,3409,BudokaiMotivationUnlockCondition::TitleCondition,6回優勝で解放,"{""title_num"": 6}"
3410,3410,BudokaiMotivationUnlockCondition::TitleCondition,7回優勝で解放,"{""title_num"": 7}"
3411,3411,BudokaiMotivationUnlockCondition::TitleCondition,8回優勝で解放,"{""title_num"": 8}"
3412,3412,BudokaiMotivationUnlockCondition::TitleCondition,9回優勝で解放,"{""title_num"": 9}"
3504,3504,BudokaiMotivationUnlockCondition::TitleCondition,1回優勝で解放,"{""title_num"": 1}"
3505,3505,BudokaiMotivationUnlockCondition::TitleCondition,2回優勝で解放,"{""title_num"": 2}"
3506,3506,BudokaiMotivationUnlockCondition::TitleCondition,3回優勝で解放,"{""title_num"": 3}"
3507,3507,BudokaiMotivationUnlockCondition::TitleCondition,4回優勝で解放,"{""title_num"": 4}"
3508,3508,BudokaiMotivationUnlockCondition::TitleCondition,5回優勝で解放,"{""title_num"": 5}"
3509,3509,BudokaiMotivationUnlockCondition::TitleCondition,6回優勝で解放,"{""title_num"": 6}"
3510,3510,BudokaiMotivationUnlockCondition::TitleCondition,7回優勝で解放,"{""title_num"": 7}"
3511,3511,BudokaiMotivationUnlockCondition::TitleCondition,8回優勝で解放,"{""title_num"": 8}"
3512,3512,BudokaiMotivationUnlockCondition::TitleCondition,9回優勝で解放,"{""title_num"": 9}"
3604,3604,BudokaiMotivationUnlockCondition::TitleCondition,1回優勝で解放,"{""title_num"": 1}"
3605,3605,BudokaiMotivationUnlockCondition::TitleCondition,2回優勝で解放,"{""title_num"": 2}"
3606,3606,BudokaiMotivationUnlockCondition::TitleCondition,3回優勝で解放,"{""title_num"": 3}"
3607,3607,BudokaiMotivationUnlockCondition::TitleCondition,4回優勝で解放,"{""title_num"": 4}"
3608,3608,BudokaiMotivationUnlockCondition::TitleCondition,5回優勝で解放,"{""title_num"": 5}"
3609,3609,BudokaiMotivationUnlockCondition::TitleCondition,6回優勝で解放,"{""title_num"": 6}"
3610,3610,BudokaiMotivationUnlockCondition::TitleCondition,7回優勝で解放,"{""title_num"": 7}"
3611,3611,BudokaiMotivationUnlockCondition::TitleCondition,8回優勝で解放,"{""title_num"": 8}"
3612,3612,BudokaiMotivationUnlockCondition::TitleCondition,9回優勝で解放,"{""title_num"": 9}"
3704,3704,BudokaiMotivationUnlockCondition::TitleCondition,1回優勝で解放,"{""title_num"": 1}"
3705,3705,BudokaiMotivationUnlockCondition::TitleCondition,2回優勝で解放,"{""title_num"": 2}"
3706,3706,BudokaiMotivationUnlockCondition::TitleCondition,3回優勝で解放,"{""title_num"": 3}"
3707,3707,BudokaiMotivationUnlockCondition::TitleCondition,4回優勝で解放,"{""title_num"": 4}"
3708,3708,BudokaiMotivationUnlockCondition::TitleCondition,5回優勝で解放,"{""title_num"": 5}"
3709,3709,BudokaiMotivationUnlockCondition::TitleCondition,6回優勝で解放,"{""title_num"": 6}"
3710,3710,BudokaiMotivationUnlockCondition::TitleCondition,7回優勝で解放,"{""title_num"": 7}"
3711,3711,BudokaiMotivationUnlockCondition::TitleCondition,8回優勝で解放,"{""title_num"": 8}"
3712,3712,BudokaiMotivationUnlockCondition::TitleCondition,9回優勝で解放,"{""title_num"": 9}"
3804,3804,BudokaiMotivationUnlockCondition::TitleCondition,1回優勝で解放,"{""title_num"": 1}"
3805,3805,BudokaiMotivationUnlockCondition::TitleCondition,2回優勝で解放,"{""title_num"": 2}"
3806,3806,BudokaiMotivationUnlockCondition::TitleCondition,3回優勝で解放,"{""title_num"": 3}"
3807,3807,BudokaiMotivationUnlockCondition::TitleCondition,4回優勝で解放,"{""title_num"": 4}"
3808,3808,BudokaiMotivationUnlockCondition::TitleCondition,5回優勝で解放,"{""title_num"": 5}"
3809,3809,BudokaiMotivationUnlockCondition::TitleCondition,6回優勝で解放,"{""title_num"": 6}"
3810,3810,BudokaiMotivationUnlockCondition::TitleCondition,7回優勝で解放,"{""title_num"": 7}"
3811,3811,BudokaiMotivationUnlockCondition::TitleCondition,8回優勝で解放,"{""title_num"": 8}"
3812,3812,BudokaiMotivationUnlockCondition::TitleCondition,9回優勝で解放,"{""title_num"": 9}"
3904,3904,BudokaiMotivationUnlockCondition::TitleCondition,1回優勝で解放,"{""title_num"": 1}"
3905,3905,BudokaiMotivationUnlockCondition::TitleCondition,2回優勝で解放,"{""title_num"": 2}"
3906,3906,BudokaiMotivationUnlockCondition::TitleCondition,3回優勝で解放,"{""title_num"": 3}"
3907,3907,BudokaiMotivationUnlockCondition::TitleCondition,4回優勝で解放,"{""title_num"": 4}"
3908,3908,BudokaiMotivationUnlockCondition::TitleCondition,5回優勝で解放,"{""title_num"": 5}"
3909,3909,BudokaiMotivationUnlockCondition::TitleCondition,6回優勝で解放,"{""title_num"": 6}"
3910,3910,BudokaiMotivationUnlockCondition::TitleCondition,7回優勝で解放,"{""title_num"": 7}"
3911,3911,BudokaiMotivationUnlockCondition::TitleCondition,8回優勝で解放,"{""title_num"": 8}"
3912,3912,BudokaiMotivationUnlockCondition::TitleCondition,9回優勝で解放,"{""title_num"": 9}"
4004,4004,BudokaiMotivationUnlockCondition::TitleCondition,1回優勝で解放,"{""title_num"": 1}"
4005,4005,BudokaiMotivationUnlockCondition::TitleCondition,2回優勝で解放,"{""title_num"": 2}"
4006,4006,BudokaiMotivationUnlockCondition::TitleCondition,3回優勝で解放,"{""title_num"": 3}"
4007,4007,BudokaiMotivationUnlockCondition::TitleCondition,4回優勝で解放,"{""title_num"": 4}"
4008,4008,BudokaiMotivationUnlockCondition::TitleCondition,5回優勝で解放,"{""title_num"": 5}"
4009,4009,BudokaiMotivationUnlockCondition::TitleCondition,6回優勝で解放,"{""title_num"": 6}"
4010,4010,BudokaiMotivationUnlockCondition::TitleCondition,7回優勝で解放,"{""title_num"": 7}"
4011,4011,BudokaiMotivationUnlockCondition::TitleCondition,8回優勝で解放,"{""title_num"": 8}"
4012,4012,BudokaiMotivationUnlockCondition::TitleCondition,9回優勝で解放,"{""title_num"": 9}"
4104,4104,BudokaiMotivationUnlockCondition::TitleCondition,1回優勝で解放,"{""title_num"": 1}"
4105,4105,BudokaiMotivationUnlockCondition::TitleCondition,2回優勝で解放,"{""title_num"": 2}"
4106,4106,BudokaiMotivationUnlockCondition::TitleCondition,3回優勝で解放,"{""title_num"": 3}"
4107,4107,BudokaiMotivationUnlockCondition::TitleCondition,4回優勝で解放,"{""title_num"": 4}"
4108,4108,BudokaiMotivationUnlockCondition::TitleCondition,5回優勝で解放,"{""title_num"": 5}"
4109,4109,BudokaiMotivationUnlockCondition::TitleCondition,6回優勝で解放,"{""title_num"": 6}"
4110,4110,BudokaiMotivationUnlockCondition::TitleCondition,7回優勝で解放,"{""title_num"": 7}"
4111,4111,BudokaiMotivationUnlockCondition::TitleCondition,8回優勝で解放,"{""title_num"": 8}"
4112,4112,BudokaiMotivationUnlockCondition::TitleCondition,9回優勝で解放,"{""title_num"": 9}"
4204,4204,BudokaiMotivationUnlockCondition::TitleCondition,1回優勝で解放,"{""title_num"": 1}"
4205,4205,BudokaiMotivationUnlockCondition::TitleCondition,2回優勝で解放,"{""title_num"": 2}"
4206,4206,BudokaiMotivationUnlockCondition::TitleCondition,3回優勝で解放,"{""title_num"": 3}"
4207,4207,BudokaiMotivationUnlockCondition::TitleCondition,4回優勝で解放,"{""title_num"": 4}"
4208,4208,BudokaiMotivationUnlockCondition::TitleCondition,5回優勝で解放,"{""title_num"": 5}"
4209,4209,BudokaiMotivationUnlockCondition::TitleCondition,6回優勝で解放,"{""title_num"": 6}"
4210,4210,BudokaiMotivationUnlockCondition::TitleCondition,7回優勝で解放,"{""title_num"": 7}"
4211,4211,BudokaiMotivationUnlockCondition::TitleCondition,8回優勝で解放,"{""title_num"": 8}"
4212,4212,BudokaiMotivationUnlockCondition::TitleCondition,9回優勝で解放,"{""title_num"": 9}"
4304,4304,BudokaiMotivationUnlockCondition::TitleCondition,1回優勝で解放,"{""title_num"": 1}"
4305,4305,BudokaiMotivationUnlockCondition::TitleCondition,2回優勝で解放,"{""title_num"": 2}"
4306,4306,BudokaiMotivationUnlockCondition::TitleCondition,3回優勝で解放,"{""title_num"": 3}"
4307,4307,BudokaiMotivationUnlockCondition::TitleCondition,4回優勝で解放,"{""title_num"": 4}"
4308,4308,BudokaiMotivationUnlockCondition::TitleCondition,5回優勝で解放,"{""title_num"": 5}"
4309,4309,BudokaiMotivationUnlockCondition::TitleCondition,6回優勝で解放,"{""title_num"": 6}"
4310,4310,BudokaiMotivationUnlockCondition::TitleCondition,7回優勝で解放,"{""title_num"": 7}"
4311,4311,BudokaiMotivationUnlockCondition::TitleCondition,8回優勝で解放,"{""title_num"": 8}"
4312,4312,BudokaiMotivationUnlockCondition::TitleCondition,9回優勝で解放,"{""title_num"": 9}"
4404,4404,BudokaiMotivationUnlockCondition::TitleCondition,1回優勝で解放,"{""title_num"": 1}"
4405,4405,BudokaiMotivationUnlockCondition::TitleCondition,2回優勝で解放,"{""title_num"": 2}"
4406,4406,BudokaiMotivationUnlockCondition::TitleCondition,3回優勝で解放,"{""title_num"": 3}"
4407,4407,BudokaiMotivationUnlockCondition::TitleCondition,4回優勝で解放,"{""title_num"": 4}"
4408,4408,BudokaiMotivationUnlockCondition::TitleCondition,5回優勝で解放,"{""title_num"": 5}"
4409,4409,BudokaiMotivationUnlockCondition::TitleCondition,6回優勝で解放,"{""title_num"": 6}"
4410,4410,BudokaiMotivationUnlockCondition::TitleCondition,7回優勝で解放,"{""title_num"": 7}"
4411,4411,BudokaiMotivationUnlockCondition::TitleCondition,8回優勝で解放,"{""title_num"": 8}"
4412,4412,BudokaiMotivationUnlockCondition::TitleCondition,9回優勝で解放,"{""title_num"": 9}"
4504,4504,BudokaiMotivationUnlockCondition::TitleCondition,1回優勝で解放,"{""title_num"": 1}"
4505,4505,BudokaiMotivationUnlockCondition::TitleCondition,2回優勝で解放,"{""title_num"": 2}"
4506,4506,BudokaiMotivationUnlockCondition::TitleCondition,3回優勝で解放,"{""title_num"": 3}"
