id,z_battle_stage_id,level,act,eventkagi_num,z_battle_normal_reward_table_group_id,main_reward_id
171,27,25,10,3,152,243
172,27,30,15,3,153,250
173,28,5,3,1,154,252
174,28,10,5,2,155,253
175,28,15,5,2,156,254
176,28,20,7,3,157,255
177,28,25,10,3,158,256
178,28,30,15,3,159,257
179,29,5,3,1,160,258
180,29,10,5,2,161,259
181,29,15,5,2,162,260
182,29,20,7,3,163,261
183,29,25,10,3,164,262
184,29,30,15,3,165,263
185,29,101,15,3,166,264
186,29,200,15,3,166,264
187,29,300,15,3,166,264
188,29,400,15,3,166,264
189,29,500,15,3,166,264
190,29,600,15,3,166,264
191,29,700,15,3,166,264
192,29,800,15,3,166,264
193,29,900,15,3,166,264
194,30,5,3,1,167,269
195,30,10,5,2,168,270
196,30,15,5,2,169,271
197,30,20,7,3,170,272
198,30,25,10,3,171,273
199,30,30,15,3,172,274
200,31,5,3,1,173,275
201,31,10,5,2,174,276
202,31,15,5,2,175,277
203,31,20,7,3,176,278
204,31,25,10,3,177,279
205,31,30,15,3,178,280
212,32,5,3,1,185,287
213,32,10,5,2,186,288
214,32,15,5,2,187,289
215,32,20,7,3,188,290
216,32,25,10,3,189,291
217,32,30,15,3,190,292
218,33,5,3,1,191,293
219,33,10,5,2,192,294
220,33,15,5,2,193,295
221,33,20,7,3,194,296
222,33,25,10,3,195,297
223,33,30,15,3,196,298
224,34,5,3,1,197,299
225,34,10,5,2,198,301
226,34,15,5,2,199,303
227,34,20,7,3,200,305
228,34,25,10,3,201,307
229,34,30,15,3,202,309
230,35,5,3,1,203,311
231,35,10,5,2,204,312
232,35,15,5,2,205,313
233,35,20,7,3,206,314
234,35,25,10,3,207,315
235,35,30,15,3,208,316
236,36,5,3,1,209,317
237,36,10,5,2,210,318
238,36,15,5,2,211,319
239,36,20,7,3,212,320
240,36,25,10,3,213,321
241,36,30,15,3,214,322
242,37,5,3,1,215,323
243,37,10,5,2,216,324
244,37,15,5,2,217,325
245,37,20,7,3,218,326
246,37,25,10,3,219,327
247,37,30,15,3,220,328
248,38,5,3,1,221,329
249,38,10,5,2,222,330
250,38,15,5,2,223,331
251,38,20,7,3,224,332
252,38,25,10,3,225,333
253,38,30,15,3,226,334
254,39,5,3,1,227,335
255,39,10,5,2,228,337
256,39,15,5,2,229,339
257,39,20,7,3,230,341
258,39,25,10,3,231,343
259,39,30,15,3,232,345
260,40,5,3,1,233,347
261,40,10,5,2,234,348
262,40,15,5,2,235,349
263,40,20,7,3,236,350
264,40,25,10,3,237,351
265,40,30,15,3,238,352
266,41,5,3,1,239,353
267,41,10,5,2,240,355
268,41,15,5,2,241,357
269,41,20,7,3,242,359
270,41,25,10,3,243,361
271,41,30,15,3,244,363
272,42,5,3,1,245,365
273,42,10,5,2,246,366
274,42,15,5,2,247,367
275,42,20,7,3,248,368
276,42,25,10,3,249,369
277,42,30,15,3,250,370
278,43,5,3,1,251,371
279,43,10,5,2,252,372
280,43,15,5,2,253,373
281,43,20,7,3,254,374
282,43,25,10,3,255,375
283,43,30,15,3,256,376
284,44,5,3,1,257,377
285,44,10,5,2,258,378
286,44,15,5,2,259,379
287,44,20,7,3,260,380
288,44,25,10,3,261,381
289,44,30,15,3,262,382
290,45,5,3,1,263,383
291,45,10,5,2,264,384
292,45,15,5,2,265,385
293,45,20,7,3,266,386
294,45,25,10,3,267,387
295,45,30,15,3,268,388
296,46,5,3,1,269,389
297,46,10,5,2,270,390
298,46,15,5,2,271,391
299,46,20,7,3,272,392
300,46,25,10,3,273,393
301,46,30,15,3,274,394
302,47,5,3,1,275,395
303,47,10,5,2,276,397
304,47,15,5,2,277,399
305,47,20,7,3,278,401
306,47,25,10,3,279,403
307,47,30,15,3,280,405
308,48,5,3,1,281,407
309,48,10,5,2,282,408
310,48,15,5,2,283,409
311,48,20,7,3,284,410
312,48,25,10,3,285,411
313,48,30,15,3,286,412
326,49,10,15,3,299,437
328,50,5,3,1,301,440
329,50,10,5,2,302,443
330,50,15,5,2,303,446
331,50,20,7,3,304,449
332,50,25,10,3,305,452
333,50,30,15,3,306,455
341,51,5,3,1,314,464
342,51,10,5,2,315,465
343,51,15,5,2,316,466
344,51,20,7,3,317,467
345,51,25,10,3,318,468
346,51,30,15,3,319,469
347,52,10,15,3,320,470
348,53,5,3,1,321,471
349,53,10,5,2,322,472
350,53,15,5,2,323,473
351,53,20,7,3,324,474
352,53,25,10,3,325,475
353,53,30,15,3,326,476
354,54,5,3,1,327,477
355,54,10,5,2,328,479
356,54,15,5,2,329,481
357,54,20,7,3,330,483
358,54,25,10,3,331,485
359,54,30,15,3,332,487
360,55,5,3,1,333,489
361,55,10,5,2,334,490
362,55,15,5,2,335,491
363,55,20,7,3,336,492
364,55,25,10,3,337,493
365,55,30,15,3,338,494
366,56,10,15,3,339,495
367,57,5,3,1,340,496
368,57,10,5,2,341,497
369,57,15,5,2,342,498
370,57,20,7,3,343,499
371,57,25,10,3,344,500
372,57,30,15,3,345,501
387,59,5,3,1,360,540
388,59,10,5,2,361,545
389,59,15,5,2,362,550
390,59,20,7,3,363,555
391,59,25,10,3,364,560
392,59,30,15,3,365,565
395,60,10,15,3,368,572
396,58,5,3,1,369,573
397,58,10,5,2,370,574
398,58,15,5,2,371,575
399,58,20,7,3,372,576
400,58,25,10,3,373,577
401,58,30,15,3,374,578
402,61,5,3,1,375,579
403,61,10,5,2,376,580
404,61,15,5,2,377,581
405,61,20,7,3,378,582
406,61,25,10,3,379,583
407,61,30,15,3,380,584
409,62,10,15,3,382,586
410,63,5,3,1,383,588
411,63,10,5,2,384,591
412,63,15,5,2,385,594
413,63,20,7,3,386,597
414,63,25,10,3,387,600
415,63,30,15,3,388,603
416,64,5,3,1,389,605
417,64,10,5,2,390,606
418,64,15,5,2,391,607
419,64,20,7,3,392,608
420,64,25,10,3,393,609
421,64,30,15,3,394,610
423,65,5,3,1,396,612
424,65,10,5,2,397,614
425,65,15,5,2,398,616
426,65,20,7,3,399,618
427,65,25,10,3,400,620
428,65,30,15,3,401,622
441,66,5,3,1,414,714
442,66,10,5,2,415,721
443,66,15,5,2,416,728
444,66,20,7,3,417,735
445,66,25,10,3,418,742
446,66,30,15,3,419,749
447,67,10,15,3,420,750
448,68,5,3,1,421,751
449,68,10,5,2,422,752
450,68,15,5,2,423,753
451,68,20,7,3,424,754
452,68,25,10,3,425,755
453,68,30,15,3,426,756
454,69,5,3,1,427,760
455,69,10,5,2,428,764
456,69,15,5,2,429,768
457,69,20,7,3,430,772
458,69,25,10,3,431,776
459,69,30,15,3,432,780
460,70,5,3,1,433,785
461,70,10,5,2,434,790
462,70,15,5,2,435,795
463,70,20,7,3,436,800
464,70,25,10,3,437,805
465,70,30,15,3,438,810
466,71,10,15,3,439,811
467,72,5,3,1,440,812
468,72,10,5,2,441,814
469,72,15,5,2,442,816
470,72,20,7,3,443,818
471,72,25,10,3,444,820
472,72,30,15,3,445,822
473,73,5,3,1,446,824
474,73,10,5,2,447,826
475,73,15,5,2,448,828
476,73,20,7,3,449,830
477,73,25,10,3,450,832
478,73,30,15,3,451,834
479,74,10,15,3,452,836
481,75,10,15,3,454,838
482,76,10,15,3,455,839
483,77,5,3,1,456,841
484,77,10,5,2,457,842
485,77,15,5,2,458,843
486,77,20,7,3,459,844
487,77,25,10,3,460,845
488,77,30,15,3,461,846
489,78,999,5,0,462,847
490,79,5,3,1,463,852
491,79,10,5,2,464,853
492,79,15,5,2,465,854
493,79,20,7,3,466,855
494,79,25,10,3,467,856
495,79,30,15,3,468,857
496,80,5,3,1,469,858
497,80,10,5,2,470,859
498,80,15,5,2,471,860
499,80,20,7,3,472,861
500,80,25,10,3,473,862
501,80,30,15,3,474,863
503,81,10,15,3,476,865
504,82,5,3,1,477,866
505,82,10,5,2,478,867
506,82,15,5,2,479,868
507,82,20,7,3,480,869
508,82,25,10,3,481,870
509,82,30,15,3,482,871
510,83,5,3,1,483,872
511,83,10,5,2,484,874
512,83,15,5,2,485,876
513,83,20,7,3,486,878
514,83,25,10,3,487,880
515,83,30,15,3,488,882
516,84,10,15,3,489,884
517,85,10,15,3,490,885
518,86,5,3,1,491,886
519,86,10,5,2,492,887
520,86,15,5,2,493,888
521,86,20,7,3,494,889
522,86,25,10,3,495,890
523,86,30,15,3,496,891
525,87,10,15,3,498,893
526,88,5,3,1,499,894
527,88,10,5,2,500,898
528,88,15,5,2,501,902
529,88,20,7,3,502,906
530,88,25,10,3,503,910
531,88,30,15,3,504,914
532,89,5,3,1,505,918
533,89,10,5,2,506,919
534,89,15,5,2,507,920
535,89,20,7,3,508,921
536,89,25,10,3,509,922
537,89,30,15,3,510,923
538,90,10,15,3,511,924
539,91,5,3,1,512,925
540,91,10,5,2,513,926
541,91,15,5,2,514,927
542,91,20,7,3,515,928
543,91,25,10,3,516,929
544,91,30,15,3,517,930
545,92,5,3,1,518,931
546,92,10,5,2,519,932
547,92,15,5,2,520,933
548,92,20,7,3,521,934
549,92,25,10,3,522,935
550,92,30,15,3,523,936
551,93,5,3,1,524,937
552,93,10,5,2,525,938
553,93,15,5,2,526,939
554,93,20,7,3,527,940
555,93,25,10,3,528,941
556,93,30,15,3,529,942
94000,94,5,3,1,94000,94000
94001,94,10,5,2,94001,94001
94002,94,15,5,2,94002,94002
94003,94,20,7,3,94003,94003
94004,94,25,10,3,94004,94004
94005,94,30,15,3,94005,94005
95000,95,5,3,1,95000,95007
95001,95,10,5,2,95001,95015
95002,95,15,5,2,95002,95023
95003,95,20,7,3,95003,95031
95004,95,25,10,3,95004,95039
95005,95,30,15,3,95005,95047
96000,96,10,15,3,96000,96000
97000,97,5,3,1,97000,97000
97001,97,10,5,2,97001,97001
97002,97,15,5,2,97002,97002
97003,97,20,7,3,97003,97003
97004,97,25,10,3,97004,97004
97005,97,30,15,3,97005,97005
98000,98,5,3,1,98000,98000
98001,98,10,5,2,98001,98001
98002,98,15,5,2,98002,98002
98003,98,20,7,3,98003,98003
98004,98,25,10,3,98004,98004
98005,98,30,15,3,98005,98005
99000,99,5,3,1,99000,99004
99001,99,10,5,2,99001,99009
99002,99,15,5,2,99002,99014
99003,99,20,7,3,99003,99019
99004,99,25,10,3,99004,99024
99005,99,30,15,3,99005,99029
100000,100,10,15,3,100000,100000
101000,101,10,15,3,101000,101000
102000,102,10,15,3,102000,102000
103000,103,5,3,1,103000,103000
103001,103,10,5,2,103001,103001
103002,103,15,5,2,103002,103002
103003,103,20,7,3,103003,103003
103004,103,25,10,3,103004,103004
103005,103,30,15,3,103005,103005
104000,104,5,3,1,104000,104000
104001,104,10,5,2,104001,104001
104002,104,15,5,2,104002,104002
104003,104,20,7,3,104003,104003
104004,104,25,10,3,104004,104004
104005,104,30,15,3,104005,104005
105000,105,10,15,3,105000,105000
106000,106,5,3,1,106000,106000
106001,106,10,5,2,106001,106001
106002,106,15,5,2,106002,106002
106003,106,20,7,3,106003,106003
106004,106,25,10,3,106004,106004
106005,106,30,15,3,106005,106005
107000,107,10,15,3,107000,107000
108000,108,10,15,3,108000,108000
109000,109,10,15,3,109000,109000
110000,110,5,3,1,110000,110000
110001,110,10,5,2,110001,110001
110002,110,15,5,2,110002,110002
110003,110,20,7,3,110003,110003
110004,110,25,10,3,110004,110004
110005,110,30,15,3,110005,110005
111000,111,10,15,3,111000,111000
112000,112,5,3,1,112000,112000
112001,112,10,5,2,112001,112001
112002,112,15,5,2,112002,112002
112003,112,20,7,3,112003,112003
112004,112,25,10,3,112004,112004
112005,112,30,15,3,112005,112005
113000,113,10,15,3,113000,113000
114000,114,5,3,1,114000,114000
114001,114,10,5,2,114001,114001
114002,114,15,5,2,114002,114002
114003,114,20,7,3,114003,114003
114004,114,25,10,3,114004,114004
114005,114,30,15,3,114005,114005
115000,115,5,3,1,115000,115002
115001,115,10,5,2,115001,115005
115002,115,15,5,2,115002,115008
115003,115,20,7,3,115003,115011
115004,115,25,10,3,115004,115014
115005,115,30,15,3,115005,115017
116000,116,5,3,1,116000,116000
116001,116,10,5,2,116001,116001
116002,116,15,5,2,116002,116002
116003,116,20,7,3,116003,116003
116004,116,25,10,3,116004,116004
116005,116,30,15,3,116005,116005
117000,117,5,3,1,117000,117001
117001,117,10,5,2,117001,117003
117002,117,15,5,2,117002,117005
117003,117,20,7,3,117003,117007
117004,117,25,10,3,117004,117009
117005,117,30,15,3,117005,117011
118000,118,10,15,3,118000,118000
119000,119,5,3,1,119000,119000
119001,119,10,5,2,119001,119001
119002,119,15,5,2,119002,119002
119003,119,20,7,3,119003,119003
119004,119,25,10,3,119004,119004
119005,119,30,15,3,119005,119005
120000,120,5,3,1,120000,120000
120001,120,10,5,2,120001,120001
120002,120,15,5,2,120002,120002
120003,120,20,7,3,120003,120003
120004,120,25,10,3,120004,120004
120005,120,30,15,3,120005,120005
121000,121,5,3,1,121000,121000
121001,121,10,5,2,121001,121001
121002,121,15,5,2,121002,121002
121003,121,20,7,3,121003,121003
121004,121,25,10,3,121004,121004
121005,121,30,15,3,121005,121005
122000,122,5,3,1,122000,122001
122001,122,10,5,2,122001,122003
122002,122,15,5,2,122002,122005
122003,122,20,7,3,122003,122007
122004,122,25,10,3,122004,122009
122005,122,30,15,3,122005,122011
123000,123,5,3,1,123000,123000
123001,123,10,5,2,123001,123001
123002,123,15,5,2,123002,123002
123003,123,20,7,3,123003,123003
123004,123,25,10,3,123004,123004
123005,123,30,15,3,123005,123005
124000,124,10,15,3,124000,124000
125000,125,5,3,1,125000,125000
125001,125,10,5,2,125001,125001
125002,125,15,5,2,125002,125002
125003,125,20,7,3,125003,125003
125004,125,25,10,3,125004,125004
125005,125,30,15,3,125005,125005
126000,126,5,3,1,126000,126007
126001,126,10,5,2,126001,126015
126002,126,15,5,2,126002,126023
126003,126,20,7,3,126003,126031
126004,126,25,10,3,126004,126039
126005,126,30,15,3,126005,126047
127000,127,10,15,3,127000,127000
128000,128,10,15,3,128000,128000
129000,129,5,3,1,129000,129000
129001,129,10,5,2,129001,129001
129002,129,15,5,2,129002,129002
129003,129,20,7,3,129003,129003
129004,129,25,10,3,129004,129004
129005,129,30,15,3,129005,129005
130000,130,10,15,3,130000,130000
131000,131,10,15,3,131000,131000
132000,132,5,3,1,132000,132000
132001,132,10,5,2,132001,132001
132002,132,15,5,2,132002,132002
132003,132,20,7,3,132003,132003
132004,132,25,10,3,132004,132004
132005,132,30,15,3,132005,132005
133000,133,10,15,3,133000,133000
134000,134,10,15,3,134000,134000
135000,135,10,15,3,135000,135000
136000,136,5,3,1,136000,136000
136001,136,10,5,2,136001,136001
136002,136,15,5,2,136002,136002
136003,136,20,7,3,136003,136003
136004,136,25,10,3,136004,136004
136005,136,30,15,3,136005,136005
137000,137,10,15,3,137000,137000
138000,138,5,3,1,138000,138000
138001,138,10,5,2,138001,138001
138002,138,15,5,2,138002,138002
138003,138,20,7,3,138003,138003
138004,138,25,10,3,138004,138004
138005,138,30,15,3,138005,138005
139000,139,5,3,1,139000,139000
139001,139,10,5,2,139001,139001
139002,139,15,5,2,139002,139002
139003,139,20,7,3,139003,139003
139004,139,25,10,3,139004,139004
139005,139,30,15,3,139005,139005
140000,140,10,15,3,140000,140000
141000,141,10,15,3,141000,141000
142000,142,5,3,1,142000,142000
142001,142,10,5,2,142001,142001
142002,142,15,5,2,142002,142002
142003,142,20,7,3,142003,142003
142004,142,25,10,3,142004,142004
142005,142,30,15,3,142005,142005
144000,144,5,3,1,144000,144000
144001,144,10,5,2,144001,144001
144002,144,15,5,2,144002,144002
144003,144,20,7,3,144003,144003
144004,144,25,10,3,144004,144004
144005,144,30,15,3,144005,144005
145000,145,10,15,3,145000,145000
146000,146,10,15,3,146000,146000
147000,147,5,3,1,147000,147003
147001,147,10,5,2,147001,147007
147002,147,15,5,2,147002,147011
147003,147,20,7,3,147003,147015
147004,147,25,10,3,147004,147019
147005,147,30,15,3,147005,147023
148000,148,10,15,3,148000,148000
701000,701,1,25,5,701000,701000
702000,702,1,25,5,702000,702000
703000,703,1,25,5,703000,703000
704000,704,1,25,5,704000,704000
