id,name,description,causality_description,aim_target,increase_rate,lv_bonus,is_inactive
36,パワーラッシュ,相手に大ダメージを与える,,0,100,10,0
37,マキシマムバスター,相手に大ダメージを与える,,0,100,10,0
38,リクームイレイザーガン,相手に特大ダメージを与える,,0,120,15,0
39,サイコジャベリン,相手に大ダメージを与える,,0,100,10,0
40,金縛りの術,相手に大ダメージを与える,,0,100,10,0
41,ブルーインパルス,相手に大ダメージを与える,,0,100,10,0
42,クラッシャーボール,相手に大ダメージを与える,,0,100,10,0
43,居合い斬り,相手に大ダメージを与える,,0,100,10,0
44,アサルトフラッシュ,相手に大ダメージを与える,,0,100,10,0
45,おら許さねぇだ！,相手に大ダメージを与える,,0,100,10,0
46,ダイナマイトキック,相手に大ダメージを与える,,0,100,10,0
47,イーグルキック,相手に大ダメージを与える,,0,100,10,0
48,かめはめ波,相手に大ダメージを与える,,0,100,10,0
49,クラッシュランチャー,相手に大ダメージを与える,,0,100,10,0
50,エネルギードレイン,相手に大ダメージを与える,,0,100,10,0
51,光吸収,相手に大ダメージを与える,,0,100,10,0
52,スナイプショット,相手に大ダメージを与える,,0,100,10,0
53,ハイスピードラッシュ,相手に大ダメージを与える,,0,100,10,0
54,ダスタードインパクト,相手に大ダメージを与える,,0,100,10,0
55,エビルビーム,相手に大ダメージを与える,,0,100,10,0
56,パワードタックル,相手に大ダメージを与える,,0,100,10,0
57,ダイヤモンドチョップ,相手に大ダメージを与える,,0,100,10,0
58,ナックルブロー,相手に大ダメージを与える,,0,100,10,0
59,キラーマシンガン,相手に大ダメージを与える,,0,100,10,0
60,溶解液,相手に大ダメージを与える,,0,100,10,0
61,ビームストライク,相手に大ダメージを与える,,0,100,10,0
62,R2ガン,相手に大ダメージを与える,,0,100,10,0
63,ダイナマイトキック,相手に大ダメージを与える,,0,100,10,0
64,激烈光弾,相手に大ダメージを与え、ATKを低下させる,,0,100,10,0
65,どどん波,相手に大ダメージを与える,,0,100,10,0
66,バーニングスラッシュ,相手に大ダメージを与える,,0,100,10,0
67,ヒートドームアタック,相手に大ダメージを与える,,0,100,10,0
68,お父さんをいじめるな！,相手に大ダメージを与え、DEFを低下させる,,0,100,10,0
69,かめはめ波,相手に特大ダメージを与える,,0,120,15,0
70,かめはめ波,相手に大ダメージを与える,,0,100,10,0
71,デスボール,相手に特大ダメージを与える,,0,120,15,0
72,デスウェーブ,相手に大ダメージを与え、DEFを低下させる,,0,100,10,0
73,クレイジーフィンガービーム,相手に大ダメージを与え、ATKを低下させる,,0,100,10,0
74,金縛りの術,相手に大ダメージを与え、ときどき気絶させる,,0,100,10,0
75,スーパーどどん波,相手に中ダメージを与え、ときどき気絶させる,,0,50,10,0
76,デスボール,相手に超特大ダメージを与える,,0,150,20,0
77,かめはめ波,相手に超特大ダメージを与える,,0,150,20,0
78,ファイナルスピリッツキャノン,相手に特大ダメージを与える,,0,120,15,0
79,エナジーバレット,相手に大ダメージを与える,,0,100,10,0
80,スーパーノヴァ,相手に大ダメージを与える,,0,100,10,0
81,フレイムバレット,相手に大ダメージを与える,,0,100,10,0
82,アングリーランチャー,相手に大ダメージを与える,,0,100,10,0
83,マッシブカタパルト,相手に大ダメージを与える,,0,100,10,0
84,ギャリックビーム,相手に大ダメージを与える,,0,100,10,0
85,太陽系破壊かめはめ波,相手に超特大ダメージを与える,,0,150,20,0
86,ビッグバンクラッシュ,相手に大ダメージを与える,,0,100,10,0
87,親子かめはめ波,相手に超特大ダメージを与える,,0,150,20,0
88,サディスティック18,相手に大ダメージを与え、DEFを低下させる,,0,100,10,0
89,フォトンフラッシュ,相手に大ダメージを与える,,0,100,10,0
90,かめはめ波,相手に大ダメージを与える,,0,100,10,0
91,龍翔拳,相手に大ダメージを与え、DEFを低下させる,,0,100,10,0
92,エリートビーム,相手に大ダメージを与える,,0,100,10,0
93,アースブレイカー,相手に超特大ダメージを与える,,0,150,20,0
94,超かめはめ波,相手に特大ダメージを与える,,0,120,15,0
95,かめはめ波,相手に特大ダメージを与える,,0,120,15,0
96,気円斬,相手に大ダメージを与え、DEFを低下させる,,0,100,10,0
97,かめはめ波,相手に特大ダメージを与える,,0,120,15,0
98,ビッグ・バン・アタック,相手に特大ダメージを与える,,0,120,15,0
99,破壊神の怒り,相手に超特大ダメージ&DEFを低下させる,,0,150,20,0
100,破壊の序曲,相手に超特大ダメージ&ATKを低下させる,,0,150,20,0
101,かめはめ波,相手に大ダメージを与える,,0,100,10,0
102,ビッグ・バン・アタック,相手に大ダメージを与える,,0,100,10,0
103,連続デスビーム,相手に大ダメージを与え、ATKを低下させる,,0,100,10,0
104,バッドリングレーザー,相手に中ダメージを与え、必殺技を封じる,,0,70,10,0
105,タゴマショット,相手に大ダメージを与える,,0,100,10,0
106,パワータックル,相手に大ダメージを与え、DEFを低下させる,,0,100,10,0
107,気功砲,相手に特大ダメージを与える,,0,120,15,0
108,魔貫光殺砲,相手に大ダメージを与え、DEFを低下させる,,0,100,10,0
109,フルパワーデスビーム,相手に大ダメージを与え、ATKを低下させる,,0,100,10,0
110,フレイムシャワーブレス,相手に特大ダメージを与える,,0,120,15,0
111,エビルインパルス,相手に大ダメージを与え、ATKを低下させる,,0,100,10,0
112,ビリビリの魔術,相手に大ダメージを与え、高確率で気絶させる,,0,100,10,0
113,フィニッシュバスター,相手に大ダメージを与える,,0,100,10,0
114,3倍界王拳かめはめ波,ATKが大幅に上昇し、大ダメージを与える,,0,50,10,0
115,かめはめ波,相手に超特大ダメージを与える,,0,150,20,0
116,かめかめ波,相手に大ダメージを与える,,0,100,10,0
117,アースブレイカー,相手に特大ダメージを与える,,0,120,15,0
118,忍法霞手裏剣,相手に中ダメージを与え、必殺技を封じる,,0,70,10,0
119,超能力,低ダメージを与え超高確率で気絶させる,,0,30,10,0
120,破壊神の怒り,相手に特大ダメージ&DEFを低下させる,,0,120,15,0
121,フィニッシュバスター,相手に特大ダメージを与える,,0,120,15,0
122,オーガブラスター,相手に大ダメージを与える,,0,100,10,0
123,ビッグ・バン・アタック,相手に特大ダメージを与える,,0,120,15,0
124,超かめはめ波,相手に超特大ダメージを与える,,0,150,20,0
125,ビクトリーキャノン,相手に大ダメージを与える,,0,100,10,0
126,超かめはめ波,相手に大ダメージを与える,,0,100,10,0
127,超爆裂魔波,相手に大ダメージを与える,,0,100,10,0
128,ファイナルキャノン,相手に大ダメージを与えDEFを大幅に下げる,,0,100,10,0
129,デスボール,相手に特大ダメージを与える,,0,120,15,0
130,気合砲,相手に中ダメージを与えときどき気絶させる,,0,50,10,0
131,グランドスマッシャー,相手に大ダメージを与え、DEFを低下させる,,0,100,10,0
132,ギャラクティックバスター,相手に特大ダメージ&DEFを低下させる,,0,120,15,0
133,シュートブラスター,相手に大ダメージを与え、ATKを低下させる,,0,100,10,0
134,デビリッシュブレード,相手に大ダメージを与える,,0,100,10,0
135,ブレイブガトリング,相手に大ダメージを与える,,0,100,10,0
136,サイキックブレイズ,相手に中ダメージを与え、必殺技を封じる,,0,70,10,0
137,かめはめ波,相手に大ダメージを与える,,0,100,10,0
138,龍翔拳,相手に大ダメージを与え、DEFを低下させる,,0,100,10,0
139,超かめはめ波,相手に超特大ダメージを与える,,0,150,20,0
140,かめはめ波,相手に特大ダメージを与える,,0,120,15,0
141,ファイナルインパクト,相手に特大ダメージを与える,,0,120,15,0
142,こっちさこねえでけろ！,相手に大ダメージを与え、ATKを低下させる,,0,100,10,0
143,乙女バースト,相手に大ダメージを与えまれに気絶させる,,0,100,10,0
144,S.Sデッドリィボンバー,相手に大ダメージを与える,,0,100,10,0
145,フルパワーS.Sデッドリィボンバー,相手に特大ダメージを与える,,0,120,15,0
146,バーニングシュート,相手に大ダメージを与える,,0,100,10,0
147,ファイナルインパクト,相手に特大ダメージを与える,,0,120,15,0
148,バイスシャウト,相手に特大ダメージを与えまれに気絶させる,,0,120,15,0
149,ビーデルラッシュ,相手に大ダメージを与え、DEFを低下させる,,0,100,10,0
150,気合砲,相手に中ダメージを与えときどき気絶させる,,0,50,10,0
151,マーダーボール,仮,,0,100,10,0
152,マーダーボール,仮,,0,100,10,0
153,超かめはめ波,相手に超特大ダメージを与える,,0,150,20,0
154,フィニッシュバスター,相手に大ダメージを与える,,0,100,10,0
155,かめはめ波,相手に特大ダメージを与える,,0,120,15,0
156,デスフラッシャー,相手に大ダメージを与える,,0,100,10,0
157,スーパーノヴァ,相手に特大ダメージを与える,,0,120,15,0
158,サウザーブレード,相手に大ダメージを与える,,0,100,10,0
159,ドーレグレネード,相手に大ダメージを与える,,0,100,10,0
160,ネイズバインドウェーブ,相手に大ダメージを与える,,0,100,10,0
161,スーパーノヴァ,相手に超特大ダメージを与える,,0,150,20,0
162,ジャスティスキック,大ダメージを与え、ATKを大幅に低下させる,,0,100,10,0
163,ジャスティスイーグル,大ダメージを与え、DEFを大幅に低下させる,,0,100,10,0
164,豪速球,相手に大ダメージを与える,,0,100,10,0
165,なし,-,,0,0,0,1
166,超かめはめ波,超特大ダメージを与え、3ターンATKが上昇,,0,100,20,0
167,プラネットバースト,相手に超特大ダメージ&DEFを低下させる,,0,150,20,0
168,シャイニングソードアタック,相手に大ダメージを与え、DEFを低下させる,,0,100,10,0
169,ビーム銃,相手に大ダメージを与え高確率で気絶させる,,0,100,10,0
170,限界突破かめはめ波,相手に超特大ダメージを与える,,0,150,20,0
171,破壊神の裁き,相手に超特大ダメージ&DEFを低下させる,,0,150,20,0
172,瞬間移動かめはめ波,相手に大ダメージを与えまれに気絶させる,,0,100,10,0
173,ドラゴンスマッシュ,相手に超特大ダメージを与える,,0,150,20,0
174,限界突破かめはめ波,相手に特大ダメージを与える,,0,120,15,0
175,キルドライバー,相手に特大ダメージ&高確率で気絶させる,,0,120,15,0
176,コズミックアタック,相手に大ダメージを与える,,0,100,10,0
177,メテオボール,相手に大ダメージを与える,,0,100,10,0
178,プラネットボム,相手に中ダメージを与え、必殺技を封じる,,0,70,10,0
179,ジェミニショット,相手に大ダメージを与える,,0,100,10,0
180,ジェミニショット,相手に大ダメージを与える,,0,100,10,0
181,キルドライバー,相手に大ダメージを与える,,0,100,10,0
182,空のように静かに雷より速く,相手に大ダメージを与える,,0,100,10,0
183,元気玉,相手に特大ダメージ&DEFを低下させる,,0,120,15,0
184,-,相手に大ダメージを与える,,0,100,10,0
185,ファイナルスピリッツキャノン,相手に大ダメージを与える,,0,100,10,0
186,ファイナルフラッシュ,相手に大ダメージを与える,,0,100,10,0
187,ローリングアタックサタンパンチ,相手に大ダメージを与え、DEFを低下させる,,0,100,10,0
188,ぐっふっふ,相手に大ダメージを与える,,0,100,10,0
189,吸血,相手に中ダメージを与え、必殺技を封じる,,0,70,10,0
190,八手拳,相手に大ダメージを与える,,0,100,10,0
191,排球拳,相手に大ダメージを与える,,0,100,10,0
192,変身ロケット,相手に大ダメージを与えまれに気絶させる,,0,100,10,0
193,魔人ビーム,相手に特大ダメージを与えATKを低下させる,,0,120,15,0
194,魔光線,相手に特大ダメージを与えDEFを低下させる,,0,120,15,0
195,爆力魔波,特大ダメージを与えときどき気絶させる,,0,120,15,0
196,アクマイト光線,相手に大ダメージを与える,,0,100,10,0
197,マシンガン,相手に大ダメージを与える,,0,100,10,0
198,フィニッシュバスター,相手に特大ダメージを与える,,0,120,15,0
199,ビッグ・バン・アタック,超特大ダメージ&1ターン仲間ATK20%UP,,0,130,20,0
200,マキシマムフラッシャー,相手に超特大ダメージを与える,,0,150,20,0
201,石化ツバ,低ダメージを与え超高確率で気絶させる,,0,50,10,0
202,ジャスティスラッシュ,相手に大ダメージを与えときどき気絶させる,,0,100,10,0
203,乙女フラッシュ,相手に大ダメージを与える,,0,100,10,0
204,気合砲,特大ダメージを与えときどき気絶させる,,0,120,15,0
205,衝撃波,大ダメージ&1ターン仲間ATK15%UP,,0,87,10,0
206,親子三大かめはめ波,相手に超特大ダメージを与える,,0,150,20,0
207,親子三大かめはめ波,相手に超特大ダメージを与える,,0,150,20,0
208,親子三大かめはめ波,相手に超特大ダメージを与える,,0,150,20,0
209,デッドパニッシャー,相手に大ダメージを与え、DEFを低下させる,,0,100,10,0
210,フルパワーエネルギー波,相手に大ダメージを与える,,0,100,10,0
211,イレイザーキャノン,相手に特大ダメージを与える,,0,120,15,0
212,オメガブラスター,相手に超特大ダメージを与える,,0,150,20,0
213,ギガンティックミーティア,敵全体に大規模ダメージを与える,,1,120,15,0
214,ギガンティックミーティア,相手に超特大ダメージを与える,,0,150,15,0
215,スーパーノヴァ,相手に大ダメージを与える,,0,100,10,0
216,スーパーノヴァ,相手に超特大ダメージを与える,,0,150,20,0
217,気功弾,相手に特大ダメージ&高確率で気絶させる,,0,120,15,0
218,スーパーテックガトリング,相手に大ダメージを与える,,0,100,10,0
219,サディスティックダンス,相手に特大ダメージを与える,,0,120,15,0
220,サディスティックダンス,相手に特大ダメージを与える,,0,120,15,0
221,太陽系破壊かめはめ波,相手に超特大ダメージを与える,,0,150,20,0
222,サタンミラクルスペシャ(以下略),相手に大ダメージを与える,,0,100,10,0
223,ファイナルフラッシュ,相手に特大ダメージを与える,,0,120,15,0
224,バスターキャノン,相手に特大ダメージを与える,,0,120,15,0
225,魔空包囲弾,相手に大ダメージを与え、DEFを低下させる,,0,100,10,0
226,ビクトリーキャノン,相手に超特大ダメージを与える,,0,150,20,0
227,ロケットランチャー,相手に中ダメージを与え、必殺技を封じる,,0,70,10,0
228,へっくしょい！,相手に大ダメージを与え、DEFを低下させる,,0,100,10,0
229,RRガン,相手に大ダメージを与える,,0,100,10,0
230,グルグルガム,相手に大ダメージを与える,,0,100,10,0
231,3倍界王拳かめはめ波,相手に特大ダメージを与える,,0,120,15,0
232,リベンジャーカノン,相手に特大ダメージを与える,,0,120,15,0
233,ゴッドかめはめ波,相手に超特大ダメージを与える,,0,150,20,0
234,ゴッドファイナルフラッシュ,相手に超特大ダメージを与える,,0,150,20,0
235,ゴールデンデスボール,相手に超特大ダメージを与える,,0,150,20,0
236,イノシシアタック,相手に大ダメージを与える,,0,100,10,0
237,ダイナマイトキック,相手に大ダメージを与える,,0,100,10,0
238,バニシングボール,相手に超特大ダメージを与える,,0,150,20,0
239,超元気玉,相手に超特大ダメージを与える,,0,150,20,0
240,チョコになっちゃえ,相手に大ダメージを与え、DEFを低下させる,,0,100,10,0
241,プラネットバースト,相手に超特大ダメージ&DEFを低下させる,,0,150,20,0
242,アサルトレイン,相手に特大ダメージを与える,,0,120,15,0
244,魔貫光殺砲,相手に大ダメージを与え、ATKを低下させる,,0,100,10,0
245,ライトニングシャワーレイン,相手に超特大ダメージを与える,,0,150,20,0
246,ディメンションソード,相手に超特大ダメージ&DEFを大幅低下させる,,0,150,20,0
247,かめはめ波,相手に大ダメージを与える,,0,100,10,0
248,フルチャージリベンジャーカノン,相手に特大ダメージを与える,,0,120,15,0
249,ダークスピリッツ,相手に特大ダメージを与える,,0,120,15,0
250,爆裂乱魔,相手に大ダメージを与える,,0,100,10,0
251,スピリット･オブ･サイヤン,相手に特大ダメージを与え、必殺技を封じる,,0,120,15,0
252,ダークネスツインスター,"相手に超特大ダメージを与え、
DEFを低下させる",,0,150,20,0
253,超かめはめ波,相手に超特大ダメージを与える,,0,150,20,0
254,ファイナルフラッシュ,相手に超特大ダメージを与える,,0,150,20,0
255,かめはめ波,相手に特大ダメージを与える,,0,120,15,0
256,かめはめ波,相手に大ダメージを与える,,0,100,10,0
257,ファイナルキャノン,相手に大ダメージを与える,,0,100,10,0
258,龍拳,相手に超特大ダメージ&DEFを低下させる,,0,150,20,0
259,デスボール,相手に大ダメージを与え、ATKを低下させる,,0,100,10,0
260,超かめはめ波,相手に特大ダメージを与える,,0,120,15,0
261,衝撃波,相手に大ダメージを与える,,0,87,10,0
262,真激烈神王砲,大ダメージ&1ターン仲間ATK15%UP,,0,87,10,0
263,ビッグ・バン・アタック,相手に超特大ダメージを与える,,0,150,20,0
264,破壊の序曲,特大ダメージを与えときどき気絶させる,,0,120,15,0
265,魔空包囲弾,特大ダメージを与えDEFを大幅に下げる,,0,120,15,0
266,瞬間移動かめはめ波,相手に大ダメージを与え、まれに気絶させる,,0,100,10,0
267,ジャン拳,相手に大ダメージを与える,,0,100,10,0
268,瞬間移動かめはめ波,相手に特大ダメージを与えまれに気絶させる,,0,120,15,0
269,爆力魔閃,超特大ダメージを与え、まれに気絶させる,,0,150,20,0
270,ビッグバンかめはめ波,相手に超絶特大ダメージを与える,,0,180,25,0
271,ソウルパニッシャー,相手に超絶特大ダメージを与える,,0,180,25,0
272,羅刹爪,超特大ダメージ&DEFを低下させる,,0,150,20,0
273,ライトニングシャワーレイン,超特大ダメージ&DEFを大幅低下させる,,0,150,20,0
274,ラピッドキャノン,相手に大ダメージを与える,,0,100,10,0
275,ギャラクティカドーナツ,相手に超特大ダメージを与え必殺技を封じる,,0,150,20,0
276,ハイパートルネード,特大ダメージを与え、ATKを大幅低下させる,,0,120,15,0
277,超元気玉,相手に超特大ダメージを与える,,0,150,20,0
278,龍神光弾,相手に特大ダメージを与えDEFを低下させる,,0,120,15,0
279,魔封波,相手に大ダメージを与え、必殺技を封じる,,0,100,10,0
280,天空×字拳,相手に大ダメージを与え、DEFを低下させる,,0,100,10,0
281,激臭攻撃,相手に低ダメージを与え、まれに気絶させる,,0,50,10,0
282,ブラッディソース,特大ダメージを与えDEFを大幅に下げる,,0,120,15,0
283,ダークかめはめ波,相手に超特大ダメージを与える,,0,150,20,0
284,シーズニングアロー,超特大ダメージを与え、まれに気絶させる,,0,150,20,0
285,時の裁き,相手に大ダメージを与え、ATKを低下させる,,0,100,10,0
286,バーニングアタック,超特大ダメージを与え、3ターンATKが上昇,,0,100,20,0
287,ヒートドームアタック,相手に特大ダメージを与える,,0,120,15,0
288,かめはめ波,ATKが大幅に上昇し、大ダメージを与える,,0,50,10,0
289,ヒートドームアタック,相手に大ダメージを与える,,0,100,10,0
290,ギャリック砲,相手に大ダメージを与える,,0,100,10,0
291,オレに殺されるべきなんだ！,相手に爆発的な威力ダメージ,,0,2000,20,0
292,デスボール,相手に特大ダメージを与える,,0,120,15,0
293,デススライサー,相手に超絶特大ダメージを与える,,0,180,25,0
294,オレに殺されるべきなんだ！,相手に超絶特大ダメージを与える,,0,180,25,0
295,怒りのかめはめ波,相手に超特大ダメージを与える,,0,150,20,0
296,エレガントブラスター,相手に大ダメージを与える,,0,100,10,0
297,デスボール,相手に大ダメージを与える,,0,100,10,0
298,暴魔螺旋拳,相手に大ダメージを与える,,0,100,10,0
299,暗黒苦無撃,相手に大ダメージを与える,,0,100,10,0
300,豪勇魔斬,相手に大ダメージを与える,,0,100,10,0
301,キルドライバー,特大ダメージを与え、まれに気絶させる,,0,120,15,0
302,フィニッシュバスター,相手に超特大ダメージを与える,,0,150,20,0
303,気円烈斬,特大ダメージを与え、DEFを低下させる,,0,120,15,0
304,繰気弾,特大ダメージを与え、ATKを大幅低下させる,,0,120,15,0
305,どどん波,特大ダメージを与え、まれに気絶させる,,0,120,15,0
306,超龍撃拳,相手に超特大ダメージを与える,,0,150,20,0
307,デッドリーメタルニードル,相手に超特大ダメージ&ATKを低下させる,,0,150,20,0
308,リベンジブラスト,相手に大ダメージを与える,,0,100,10,0
309,シューティングナックル,相手に大ダメージを与え、ATKを低下させる,,0,100,10,0
310,ハイパードリルスマッシュ,相手に特大ダメージを与えATKを低下させる,,0,120,15,0
311,マシンガン,相手に大ダメージを与える,,0,100,10,0
312,バウンサースピア,相手に大ダメージを与える,,0,100,10,0
313,プラズマウィップ,相手に大ダメージを与える,,0,100,10,0
314,クリムゾンスクリーム,相手に大ダメージを与える,,0,100,10,0
315,メガキャノンパンチ,相手に大ダメージを与える,,0,100,10,0
316,ミサイル,相手に大ダメージを与える,,0,100,10,0
317,Σドリルアタック,相手に大ダメージを与える,,0,100,10,0
318,繰気弾,相手に大ダメージを与える,,0,100,10,0
319,爆裂ラッシュ,ATKが大幅上昇し、超特大ダメージを与える,,0,100,20,0
320,連続スーパードーナツ,相手に大ダメージを与え、必殺技を封じる,,0,100,10,0
321,ギルティフラッシュ,相手に特大ダメージを与える,,0,120,15,0
322,超かめはめ波,ATKが大幅上昇し、超特大ダメージを与える,,0,100,20,0
323,スーパーどどん波,相手に大ダメージを与え、まれに気絶させる,,0,100,10,0
324,フルパワーデスビーム,相手に大ダメージを与え、ATKを低下させる,,0,100,10,0
325,ファイナルエクスプロージョン,敵全体に大規模ダメージを与え、まれに気絶,,1,120,15,0
326,フレイムシャワーブレス,特大ダメージを与え、DEFを低下させる,,0,120,15,0
327,超かめはめ波,相手に超特大ダメージを与える,,0,150,20,0
328,バーニングアタック,超特大ダメージを与え、3ターンATKが上昇,,0,100,20,0
329,萬國驚天掌,相手に大ダメージを与え、必殺技を封じる,,0,100,10,0
330,伸びろ如意棒,相手に超特大ダメージを与える,,0,150,20,0
331,超火炎砲,相手に破壊的ダメージを与える,,0,100,10,0
332,ギャリック砲,相手に超特大ダメージを与える,,0,150,20,0
333,超火炎砲,相手に破壊的ダメージを与える,,0,100,10,0
334,ジャイアントストーム,特大ダメージを与え、DEFを低下させる,,0,120,15,0
335,ギガントロックスロー,相手に破壊的ダメージを与える,,0,100,10,0
336,ダブルサンデー,相手に超特大ダメージを与える,,0,150,20,0
337,超魔口砲,相手に破壊的ダメージを与える,,0,100,10,0
338,ギャリックブレイザー,超特大ダメージ&高確率で気絶させる,,0,150,20,0
339,かめはめ波,相手に超特大ダメージを与える,,0,150,20,0
340,ファイナルキャノン,相手に超特大ダメージを与える,,0,150,20,0
341,ファイナルフラッシュ,超特大ダメージ&高確率で気絶させる,,0,150,20,0
342,デスビーム,相手に大ダメージを与え、ATKを低下させる,,0,100,10,0
343,ハイパートルネード,相手に大ダメージを与え、ATKを低下させる,,0,100,10,0
344,スピリット･オブ･サイヤン,相手に超特大ダメージを与え必殺技を封じる,,0,150,20,0
345,瞬間移動かめはめ波,超特大ダメージを与え、まれに気絶させる,,0,150,20,0
346,超かめはめ波,相手に超特大ダメージを与える,,0,150,20,0
347,大界王神烈斬,特大ダメージを与え、DEFを低下させる,,0,120,15,0
348,S.Sデッドリィボンバー,相手に特大ダメージを与える,,0,120,15,0
349,グランドスマッシャー,特大ダメージを与え、DEFを低下させる,,0,120,15,0
350,デスフラッシャー,相手に超特大ダメージを与える,,0,150,20,0
351,リベンジデスボール,相手に超特大ダメージ&ATKを低下させる,,0,150,20,0
352,超かめはめ波,相手に超特大ダメージを与える,,0,150,20,0
353,かめはめ波,相手に大ダメージを与える,,0,100,10,0
354,かめはめ波,相手に特大ダメージを与える,,0,120,15,0
355,かめはめ波,相手に大ダメージを与える,,0,100,10,0
356,バスターキャノン,相手に大ダメージを与える,,0,100,10,0
357,フィニッシュバスター,相手に特大ダメージを与える,,0,120,15,0
358,アサルトレイン,相手に特大ダメージを与えATKを低下させる,,0,120,15,0
359,サイキックボンバー,相手に大ダメージを与える,,0,100,10,0
360,ギャリック砲,相手に特大ダメージを与える,,0,120,15,0
361,ファイナルフラッシュ,相手に特大ダメージを与える,,0,120,15,0
362,龍翔拳,大ダメージを与え、DEFを大幅に低下させる,,0,100,10,0
363,オーガブラスター,相手に大ダメージを与える,,0,100,10,0
364,デコピン,相手に特大ダメージを与える,,0,120,15,0
365,拡散破壊玉,相手に超特大ダメージを与える,,0,150,20,0
366,破壊神の裁き,超絶特大ダメージ&高確率で気絶させる,,0,180,25,0
367,破壊の序曲,相手に大ダメージを与えまれに気絶させる,,0,100,10,0
368,拡散破壊玉,相手に特大ダメージ&DEFを低下させる,,0,120,15,0
369,シャイニングスラッシュ,相手に大ダメージを与える,,0,100,10,0
370,ヒートドームアタック,"敵全体に大規模ダメージ
&1ターン仲間ATK20%UP",,1,100,15,0
371,ファイナルキャノン,"相手に特大ダメージを与え
DEFを大幅に低下させる",,0,120,15,0
372,ファイナルスピリッツキャノン,相手に超特大ダメージを与える,,0,150,20,0
373,エナジーバレット,相手に超特大ダメージを与える,,0,150,20,0
374,マッシブカタパルト,"相手に特大ダメージを与え
DEFを大幅に低下させる",,0,120,15,0
375,アングリーランチャー,相手に超特大ダメージを与える,,0,150,20,0
376,フレイムバレット,相手に特大ダメージを与えATKを低下させる,,0,120,15,0
377,ギガメテオストーム,相手に破壊的ダメージを与える,,0,100,10,0
378,ヘルズフラッシュ,相手に大ダメージを与える,,0,100,10,0
379,スーパーノヴァ,相手に超特大ダメージを与える,,0,150,20,0
380,インフィニットバレット,相手に特大ダメージを与える,,0,120,15,0
381,ファイナルかめはめ波,超絶特大ダメージ&1ターン仲間ATK25%UP,,0,155,25,0
382,スピリッツソード,超絶特大ダメージ&1ターン仲間ATK30%UP,,0,150,25,0
383,超かめはめ波,相手に超特大ダメージを与える,,0,150,20,0
384,超かめはめ波,相手に極大ダメージを与える,,0,200,5,0
385,超元気玉,超極大ダメージ&1ターン仲間ATK30%UP,,0,220,10,0
386,伸びろ如意棒,相手に特大ダメージを与える,,0,120,15,0
387,ビッグ・バン・アタック,超特大ダメージ&1ターン仲間ATK25%UP,,0,125,20,0
388,気合砲,相手に大ダメージを与えまれに気絶させる,,0,100,10,0
389,超爆裂魔波,相手に特大ダメージを与えDEFを低下させる,,0,120,15,0
390,超激烈魔口砲,相手に破壊的ダメージを与える,,0,100,10,0
391,乙女バースト,相手に特大ダメージを与えまれに気絶させる,,0,120,15,0
392,ボタモインパクト,相手に大ダメージを与え、DEFを低下させる,,0,100,10,0
