id,name,description,rarity,selling_exchange_point,is_exclusive
20,潜在能力玉(中),"イベント「レッツゴー！ステキな恋人さがし」で
仲間になる「ブルマ(少女期)」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",1,1,1
21,潜在能力玉(大),"イベント「レッツゴー！ステキな恋人さがし」で
仲間になる「ブルマ(少女期)」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",2,10,1
22,潜在能力玉(小),"イベント「大激闘!!ナメック星」で
仲間になる「孫悟飯(幼年期)」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",0,1,1
23,潜在能力玉(中),"イベント「大激闘!!ナメック星」で
仲間になる「孫悟飯(幼年期)」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",1,1,1
24,潜在能力玉(大),"イベント「大激闘!!ナメック星」で
仲間になる「孫悟飯(幼年期)」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",2,10,1
25,潜在能力玉(小),"イベント「ギニュー特戦隊のスペシャルトレーニング」で
仲間になる「バータ」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",0,1,1
26,潜在能力玉(中),"イベント「ギニュー特戦隊のスペシャルトレーニング」で
仲間になる「バータ」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",1,1,1
27,潜在能力玉(大),"イベント「ギニュー特戦隊のスペシャルトレーニング」で
仲間になる「バータ」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",2,10,1
28,潜在能力玉(小),"イベント「ギニュー特戦隊のスペシャルトレーニング」で
仲間になる「グルド」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",0,1,1
29,潜在能力玉(中),"イベント「ギニュー特戦隊のスペシャルトレーニング」で
仲間になる「グルド」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",1,1,1
30,潜在能力玉(大),"イベント「ギニュー特戦隊のスペシャルトレーニング」で
仲間になる「グルド」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",2,10,1
31,潜在能力玉(小),"イベント「ギニュー特戦隊のスペシャルトレーニング」で
仲間になる「ギニュー」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",0,1,1
32,潜在能力玉(中),"イベント「ギニュー特戦隊のスペシャルトレーニング」で
仲間になる「ギニュー」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",1,1,1
33,潜在能力玉(大),"イベント「ギニュー特戦隊のスペシャルトレーニング」で
仲間になる「ギニュー」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",2,10,1
34,潜在能力玉(小),"イベント「ギニュー特戦隊のスペシャルトレーニング」で
仲間になる「ジース」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",0,1,1
35,潜在能力玉(中),"イベント「ギニュー特戦隊のスペシャルトレーニング」で
仲間になる「ジース」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",1,1,1
36,潜在能力玉(大),"イベント「ギニュー特戦隊のスペシャルトレーニング」で
仲間になる「ジース」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",2,10,1
37,潜在能力玉(小),"イベント「ギニュー特戦隊のスペシャルトレーニング」で
仲間になる「リクーム」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",0,1,1
38,潜在能力玉(中),"イベント「ギニュー特戦隊のスペシャルトレーニング」で
仲間になる「リクーム」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",1,1,1
39,潜在能力玉(大),"イベント「ギニュー特戦隊のスペシャルトレーニング」で
仲間になる「リクーム」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",2,10,1
40,潜在能力玉(小),"イベント「対決！恐怖のギニュー特戦隊」で
仲間になる「ピッコロ」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",0,1,1
41,潜在能力玉(中),"イベント「対決！恐怖のギニュー特戦隊」で
仲間になる「ピッコロ」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",1,1,1
42,潜在能力玉(大),"イベント「対決！恐怖のギニュー特戦隊」で
仲間になる「ピッコロ」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",2,10,1
43,潜在能力玉(小),"イベント「チビッコレンジャー！」で仲間になる
「トランクス(幼年期)&孫悟天(幼年期)&マーロン」の
潜在能力を解放することができる不思議な力を秘めた気の塊",0,1,1
44,潜在能力玉(中),"イベント「チビッコレンジャー！」で仲間になる
「トランクス(幼年期)&孫悟天(幼年期)&マーロン」の
潜在能力を解放することができる不思議な力を秘めた気の塊",1,1,1
45,潜在能力玉(大),"イベント「チビッコレンジャー！」で仲間になる
「トランクス(幼年期)&孫悟天(幼年期)&マーロン」の
潜在能力を解放することができる不思議な力を秘めた気の塊",2,10,1
46,潜在能力玉(小),"イベント「砂漠でレスキュー！ギルの大活躍！」で
仲間になる「ギル」の潜在能力を解放することができる
不思議な力を秘めた気の塊",0,1,1
47,潜在能力玉(中),"イベント「砂漠でレスキュー！ギルの大活躍！」で
仲間になる「ギル」の潜在能力を解放することができる
不思議な力を秘めた気の塊",1,1,1
48,潜在能力玉(大),"イベント「砂漠でレスキュー！ギルの大活躍！」で
仲間になる「ギル」の潜在能力を解放することができる
不思議な力を秘めた気の塊",2,10,1
49,潜在能力玉(小),"イベント「ドラゴンボールGT ~七匹の邪悪龍編~」で
仲間になる「ベジータJr.」「超サイヤ人ベジータJr.」の
潜在能力を解放することができる不思議な力を秘めた気の塊",0,1,1
50,潜在能力玉(中),"イベント「ドラゴンボールGT ~七匹の邪悪龍編~」で
仲間になる「ベジータJr.」「超サイヤ人ベジータJr.」の
潜在能力を解放することができる不思議な力を秘めた気の塊",1,1,1
51,潜在能力玉(大),"イベント「ドラゴンボールGT ~七匹の邪悪龍編~」で
仲間になる「ベジータJr.」「超サイヤ人ベジータJr.」の
潜在能力を解放することができる不思議な力を秘めた気の塊",2,10,1
52,潜在能力玉(小),"イベント「対決！DOKKAN武闘伝」で
仲間になるキャラクターの潜在能力を
解放することができる不思議な力を秘めた気の塊",0,1,1
53,潜在能力玉(中),"イベント「対決！DOKKAN武闘伝」で
仲間になるキャラクターの潜在能力を
解放することができる不思議な力を秘めた気の塊",1,1,1
54,潜在能力玉(大),"イベント「対決！DOKKAN武闘伝」で
仲間になるキャラクターの潜在能力を
解放することができる不思議な力を秘めた気の塊",2,10,1
55,潜在能力玉(小),"イベント「激震！！フリーザ最終決戦」で
仲間になる「フリーザ(第二形態)」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",0,1,1
56,潜在能力玉(中),"イベント「激震！！フリーザ最終決戦」で
仲間になる「フリーザ(第二形態)」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",1,1,1
57,潜在能力玉(大),"イベント「激震！！フリーザ最終決戦」で
仲間になる「フリーザ(第二形態)」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",2,10,1
58,潜在能力玉(小),"イベント「出現!!謎の怪物セル」で
仲間になるキャラクターの潜在能力を
解放することができる不思議な力を秘めた気の塊。",0,1,1
59,潜在能力玉(中),"イベント「出現!!謎の怪物セル」で
仲間になるキャラクターの潜在能力を
解放することができる不思議な力を秘めた気の塊。",1,1,1
60,潜在能力玉(大),"イベント「出現!!謎の怪物セル」で
仲間になるキャラクターの潜在能力を
解放することができる不思議な力を秘めた気の塊。",2,10,1
61,潜在能力玉(小),"イベント「最強激突!!セルゲーム」で
仲間になるキャラクターの潜在能力を
解放することができる不思議な力を秘めた気の塊。",0,1,1
62,潜在能力玉(中),"イベント「最強激突!!セルゲーム」で
仲間になるキャラクターの潜在能力を
解放することができる不思議な力を秘めた気の塊。",1,1,1
63,潜在能力玉(大),"イベント「最強激突!!セルゲーム」で
仲間になるキャラクターの潜在能力を
解放することができる不思議な力を秘めた気の塊。",2,10,1
64,潜在能力玉(小),"イベント「運命に導かれた3人のサイヤ人」で
仲間になるキャラクターの潜在能力を
解放することができる不思議な力を秘めた気の塊。",0,1,1
65,潜在能力玉(中),"イベント「運命に導かれた3人のサイヤ人」で
仲間になるキャラクターの潜在能力を
解放することができる不思議な力を秘めた気の塊。",1,1,1
66,潜在能力玉(大),"イベント「運命に導かれた3人のサイヤ人」で
仲間になるキャラクターの潜在能力を
解放することができる不思議な力を秘めた気の塊。",2,10,1
67,潜在能力玉(小),"イベント「歴戦の猛者！バーダックチーム」で
仲間になる「トテッポ」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",0,1,1
68,潜在能力玉(中),"イベント「歴戦の猛者！バーダックチーム」で
仲間になる「トテッポ」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",1,1,1
69,潜在能力玉(大),"イベント「歴戦の猛者！バーダックチーム」で
仲間になる「トテッポ」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",2,10,1
70,潜在能力玉(小),"イベント「歴戦の猛者！バーダックチーム」で
仲間になる「トーマ」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",0,1,1
71,潜在能力玉(中),"イベント「歴戦の猛者！バーダックチーム」で
仲間になる「トーマ」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",1,1,1
72,潜在能力玉(大),"イベント「歴戦の猛者！バーダックチーム」で
仲間になる「トーマ」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",2,10,1
73,潜在能力玉(小),"イベント「歴戦の猛者！バーダックチーム」で
仲間になる「セリパ」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",0,1,1
74,潜在能力玉(中),"イベント「歴戦の猛者！バーダックチーム」で
仲間になる「セリパ」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",1,1,1
75,潜在能力玉(大),"イベント「歴戦の猛者！バーダックチーム」で
仲間になる「セリパ」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",2,10,1
76,潜在能力玉(小),"イベント「歴戦の猛者！バーダックチーム」で
仲間になる「バーダック」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",0,1,1
77,潜在能力玉(中),"イベント「歴戦の猛者！バーダックチーム」で
仲間になる「バーダック」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",1,1,1
78,潜在能力玉(大),"イベント「歴戦の猛者！バーダックチーム」で
仲間になる「バーダック」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",2,10,1
79,潜在能力玉(小),"イベント「歴戦の猛者！バーダックチーム」で
仲間になる「パンブーキン」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",0,1,1
80,潜在能力玉(中),"イベント「歴戦の猛者！バーダックチーム」で
仲間になる「パンブーキン」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",1,1,1
81,潜在能力玉(大),"イベント「歴戦の猛者！バーダックチーム」で
仲間になる「パンブーキン」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",2,10,1
82,潜在能力玉(小),"イベント「激走！ブルマのトラブルチェイス！」で
仲間になる「ブルマ(少女期)」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",0,1,1
83,潜在能力玉(中),"イベント「激走！ブルマのトラブルチェイス！」で
仲間になる「ブルマ(少女期)」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",1,1,1
84,潜在能力玉(大),"イベント「激走！ブルマのトラブルチェイス！」で
仲間になる「ブルマ(少女期)」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",2,10,1
