id,z_battle_stage_id,enemy_name,enemy_nickname,enemy_resource_id,params
14,12,ビルス,振り下ろされた罰,1005301,"{""lwf"":{""event_top_chara"":{""x"":8,""y"":-222,""scale"":1.15},""anime_start"":{""x"":8,""y"":-222,""scale"":1.15},""anime_end"":{""x"":124,""y"":-348,""scale"":1.38},""shadow"":{""x"":-68,""y"":32,""scale"":0.97},""start_chara"":{""x"":0,""y"":0,""scale"":1.05}}}"
15,13,超サイヤ人3ベジータ,戦闘民族の真価,1005731,"{""lwf"":{""event_top_chara"":{""x"":78,""y"":70,""scale"":1.15},""anime_start"":{""x"":78,""y"":70,""scale"":1.15},""anime_end"":{""x"":218,""y"":12,""scale"":1.3},""shadow"":{""x"":134,""y"":701,""scale"":0.89},""start_chara"":{""x"":0,""y"":0,""scale"":1.05}}}"
16,14,スーパージャネンバ,地獄の羅刹鬼,1005051,"{""lwf"":{""event_top_chara"":{""x"":6,""y"":-10,""scale"":0.99},""anime_start"":{""x"":6,""y"":-10,""scale"":0.99},""anime_end"":{""x"":192,""y"":-134,""scale"":0.99},""shadow"":{""x"":-106,""y"":620,""scale"":0.63},""start_chara"":{""x"":-16,""y"":-26,""scale"":1.15}}}"
17,15,ブロリー,流刑のサイヤ人,1016131,"{""lwf"":{""event_top_chara"":{""x"":-2,""y"":64,""scale"":0.74},""anime_start"":{""x"":-2,""y"":64,""scale"":0.74},""anime_end"":{""x"":124,""y"":-2,""scale"":0.74},""shadow"":{""x"":-178,""y"":782,""scale"":0.56},""start_chara"":{""x"":-6,""y"":-70,""scale"":1.14}}}"
18,16,超ゴジータ,絶対無敵の戦士,1005281,"{""lwf"":{""event_top_chara"":{""x"":14,""y"":46,""scale"":0.99},""anime_start"":{""x"":14,""y"":46,""scale"":0.99},""anime_end"":{""x"":152,""y"":-52,""scale"":1.06},""shadow"":{""x"":-110,""y"":698,""scale"":0.76},""start_chara"":{""x"":0,""y"":0,""scale"":1.14}}}"
19,17,超サイヤ人孫悟空Jr.,勇気の覚醒,1010361,"{""lwf"":{""event_top_chara"":{""x"":-6,""y"":112,""scale"":0.89},""anime_start"":{""x"":-6,""y"":112,""scale"":0.89},""anime_end"":{""x"":134,""y"":6,""scale"":0.92},""shadow"":{""x"":-180,""y"":828,""scale"":0.6},""start_chara"":{""x"":0,""y"":0,""scale"":1.2}}}"
20,18,超サイヤ人ベジータJr.,サイヤを継承する少年,1011341,"{""lwf"":{""event_top_chara"":{""x"":-2,""y"":204,""scale"":0.8},""anime_start"":{""x"":-2,""y"":204,""scale"":0.8},""anime_end"":{""x"":140,""y"":112,""scale"":0.8},""shadow"":{""x"":-182,""y"":1004,""scale"":0.45},""start_chara"":{""x"":-14,""y"":-30,""scale"":1.14}}}"
21,19,超一星龍,真の最強邪悪龍,1016471,"{""lwf"":{""event_top_chara"":{""x"":124,""y"":54,""scale"":0.95},""anime_start"":{""x"":124,""y"":54,""scale"":0.95},""anime_end"":{""x"":248,""y"":-38,""scale"":0.95},""shadow"":{""x"":46,""y"":710,""scale"":0.62},""start_chara"":{""x"":0,""y"":38,""scale"":1.14}}}"
22,21,親子ギャリック砲,極限Zバトル,1016700,"{""lwf"":{""event_top_chara"":{""x"":52,""y"":-20,""scale"":1.0},""anime_start"":{""x"":52,""y"":-20,""scale"":1.0},""anime_end"":{""x"":52,""y"":-20,""scale"":1.0},""shadow"":{""x"":10000,""y"":10000,""scale"":0.0},""start_chara"":{""x"":0,""y"":-26,""scale"":1.1}}}"
23,20,超サイヤ人3ゴテンクス,正義の死神大暴れ,1006211,"{""lwf"":{""event_top_chara"":{""x"":42,""y"":42,""scale"":0.79},""anime_start"":{""x"":42,""y"":42,""scale"":0.79},""anime_end"":{""x"":184,""y"":26,""scale"":0.79},""shadow"":{""x"":-64,""y"":782,""scale"":0.52},""start_chara"":{""x"":-2,""y"":-14,""scale"":1.14}}}"
24,22,ゴールデンフリーザ,復讐の焔,1007391,"{""lwf"":{""event_top_chara"":{""x"":56,""y"":238,""scale"":0.87},""anime_start"":{""x"":56,""y"":238,""scale"":0.87},""anime_end"":{""x"":226,""y"":142,""scale"":0.87},""shadow"":{""x"":12,""y"":1050,""scale"":0.51},""start_chara"":{""x"":0,""y"":-18,""scale"":1.14}}}"
25,23,ゴクウブラック,漆黒の脅威,1008851,"{""lwf"":{""event_top_chara"":{""x"":-48,""y"":-56,""scale"":1.1},""anime_start"":{""x"":-48,""y"":-56,""scale"":1.1},""anime_end"":{""x"":124,""y"":-170,""scale"":1.08},""shadow"":{""x"":-352,""y"":530,""scale"":0.88},""start_chara"":{""x"":0,""y"":0,""scale"":1.14}}}"
26,24,フリーザ(第二形態),恐怖の嵐,1017161,"{""lwf"":{""event_top_chara"":{""x"":92,""y"":-234,""scale"":1.23},""anime_start"":{""x"":92,""y"":-234,""scale"":1.23},""anime_end"":{""x"":214,""y"":-304,""scale"":1.23},""shadow"":{""x"":-6,""y"":328,""scale"":0.76},""start_chara"":{""x"":36,""y"":26,""scale"":0.98}}}"
27,25,魔人ブウ(アルティメット悟飯吸収),絶望へのカウントダウン,1008091,"{""lwf"":{""event_top_chara"":{""x"":6,""y"":-352,""scale"":1.36},""anime_start"":{""x"":6,""y"":-352,""scale"":1.36},""anime_end"":{""x"":140,""y"":-390,""scale"":1.36},""shadow"":{""x"":-166,""y"":26,""scale"":0.91},""start_chara"":{""x"":-4,""y"":-32,""scale"":1.12}}}"
28,26,伝説の超サイヤ人ブロリー,終わりなき恐怖,1007461,"{""lwf"":{""event_top_chara"":{""x"":68,""y"":58,""scale"":1.14},""anime_start"":{""x"":68,""y"":58,""scale"":1.14},""anime_end"":{""x"":206,""y"":-36,""scale"":1.08},""shadow"":{""x"":-92,""y"":768,""scale"":0.85},""start_chara"":{""x"":0,""y"":0,""scale"":1.14}}}"
29,27,激闘編,極限Zバトル,1017990,"{""lwf"":{""event_top_chara"":{""x"":-30,""y"":154,""scale"":0.72},""anime_start"":{""x"":-30,""y"":154,""scale"":0.72},""anime_end"":{""x"":-30,""y"":154,""scale"":0.72},""shadow"":{""x"":10000,""y"":10000,""scale"":0.0},""start_chara"":{""x"":-4,""y"":-26,""scale"":1.13}}}"
30,28,パーフェクトセル,地獄へのいざない,1008821,"{""lwf"":{""event_top_chara"":{""x"":10,""y"":-264,""scale"":1.2},""anime_start"":{""x"":10,""y"":-264,""scale"":1.2},""anime_end"":{""x"":162,""y"":-330,""scale"":1.2},""shadow"":{""x"":-136,""y"":270,""scale"":0.76},""start_chara"":{""x"":12,""y"":12,""scale"":0.93}}}"
31,29,パーフェクトセル,恐怖の復活,1018081,"{""lwf"":{""event_top_chara"":{""x"":-42,""y"":-432,""scale"":1.56},""anime_start"":{""x"":-42,""y"":-432,""scale"":1.56},""anime_end"":{""x"":106,""y"":-534,""scale"":1.56},""shadow"":{""x"":-208,""y"":-126,""scale"":1.06},""start_chara"":{""x"":-2,""y"":-12,""scale"":1.17}}}"
32,30,超サイヤ人ゴッドSS孫悟空,進化を遂げた一撃,1008631,"{""lwf"":{""event_top_chara"":{""x"":-12,""y"":128,""scale"":0.78},""anime_start"":{""x"":-12,""y"":128,""scale"":0.78},""anime_end"":{""x"":68,""y"":28,""scale"":0.78},""shadow"":{""x"":-274,""y"":984,""scale"":0.48},""start_chara"":{""x"":-12,""y"":-30,""scale"":1.11}}}"
33,31,超一星龍,絶望のマイナスエネルギー,1008711,"{""lwf"":{""event_top_chara"":{""x"":50,""y"":-190,""scale"":1.35},""anime_start"":{""x"":50,""y"":-190,""scale"":1.35},""anime_end"":{""x"":158,""y"":-230,""scale"":1.35},""shadow"":{""x"":-74,""y"":460,""scale"":0.75},""start_chara"":{""x"":0,""y"":-14,""scale"":1.14}}}"
35,32,超ベジット,比類なき黄金の気,1006791,"{""lwf"":{""event_top_chara"":{""x"":-8,""y"":-178,""scale"":1.15},""anime_start"":{""x"":-8,""y"":-178,""scale"":1.15},""anime_end"":{""x"":98,""y"":-240,""scale"":1.15},""shadow"":{""x"":-172,""y"":498,""scale"":0.65},""start_chara"":{""x"":0,""y"":-8,""scale"":1.17}}}"
36,33,合体ザマス,絶対神の憤怒,1009791,"{""lwf"":{""event_top_chara"":{""x"":-32,""y"":-6,""scale"":0.9},""anime_start"":{""x"":-32,""y"":-6,""scale"":0.9},""anime_end"":{""x"":-32,""y"":-6,""scale"":0.9},""shadow"":{""x"":-1000,""y"":1000,""scale"":0.0},""start_chara"":{""x"":-30,""y"":0,""scale"":1.14}}}"
37,34,宿命のライバル編,極限Zバトル,1019180,"{""lwf"":{""event_top_chara"":{""x"":6,""y"":78,""scale"":0.76},""anime_start"":{""x"":6,""y"":78,""scale"":0.76},""anime_end"":{""x"":6,""y"":78,""scale"":0.76},""shadow"":{""x"":10000,""y"":10000,""scale"":0.0},""start_chara"":{""x"":0,""y"":14,""scale"":1.07}}}"
38,35,超サイヤ人ゴッドSSベジット,極まりしブルーの力,1009331,"{""lwf"":{""event_top_chara"":{""x"":-32,""y"":70,""scale"":0.78},""anime_start"":{""x"":-32,""y"":70,""scale"":0.78},""anime_end"":{""x"":102,""y"":-30,""scale"":0.78},""shadow"":{""x"":-204,""y"":866,""scale"":0.39},""start_chara"":{""x"":-6,""y"":-14,""scale"":1.14}}}"
39,36,超サイヤ人ゴッドSSベジータ,戦闘民族の熱き思い,1009591,"{""lwf"":{""event_top_chara"":{""x"":42,""y"":-8,""scale"":0.96},""anime_start"":{""x"":42,""y"":-8,""scale"":0.96},""anime_end"":{""x"":172,""y"":-96,""scale"":0.96},""shadow"":{""x"":-70,""y"":766,""scale"":0.49},""start_chara"":{""x"":-2,""y"":-16,""scale"":1.16}}}"
40,37,超サイヤ人トランクス(未来),希望と願いの剣,1009581,"{""lwf"":{""event_top_chara"":{""x"":48,""y"":-280,""scale"":1.37},""anime_start"":{""x"":48,""y"":-280,""scale"":1.37},""anime_end"":{""x"":214,""y"":-258,""scale"":1.26},""shadow"":{""x"":-94,""y"":196,""scale"":0.97},""start_chara"":{""x"":-2,""y"":8,""scale"":1.05}}}"
41,38,ゴクウブラック(超サイヤ人ロゼ),薔薇色に染まる超サイヤ人,1009351,"{""lwf"":{""event_top_chara"":{""x"":-16,""y"":18,""scale"":0.87},""anime_start"":{""x"":-16,""y"":18,""scale"":0.87},""anime_end"":{""x"":74,""y"":-74,""scale"":0.87},""shadow"":{""x"":-214,""y"":858,""scale"":0.46},""start_chara"":{""x"":-6,""y"":-14,""scale"":1.12}}}"
42,39,第6宇宙の女戦士編,極限Zバトル,1020580,"{""lwf"":{""event_top_chara"":{""x"":-110,""y"":128,""scale"":0.77},""anime_start"":{""x"":-110,""y"":128,""scale"":0.77},""anime_end"":{""x"":-110,""y"":128,""scale"":0.77},""shadow"":{""x"":10000,""y"":10000,""scale"":0.0},""start_chara"":{""x"":-4,""y"":-18,""scale"":1.14}}}"
43,40,超サイヤ人3ブロリー,伝説を超えた進化形態,1011171,"{""lwf"":{""event_top_chara"":{""x"":60,""y"":-94,""scale"":1.29},""anime_start"":{""x"":60,""y"":-94,""scale"":1.29},""anime_end"":{""x"":158,""y"":-194,""scale"":1.29},""shadow"":{""x"":-66,""y"":512,""scale"":0.84},""start_chara"":{""x"":-2,""y"":-20,""scale"":1.14}}}"
44,41,プライド・トルーパーズ,極限Zバトル,1020720,"{""lwf"":{""event_top_chara"":{""x"":0,""y"":72,""scale"":0.77},""anime_start"":{""x"":0,""y"":72,""scale"":0.77},""anime_end"":{""x"":0,""y"":72,""scale"":0.77},""shadow"":{""x"":10000,""y"":10000,""scale"":0.0},""start_chara"":{""x"":-8,""y"":-22,""scale"":1.14}}}"
45,42,超17号,究極の人造人間,1007181,"{""lwf"":{""event_top_chara"":{""x"":-2,""y"":78,""scale"":0.81},""anime_start"":{""x"":-2,""y"":78,""scale"":0.81},""anime_end"":{""x"":124,""y"":-38,""scale"":0.81},""shadow"":{""x"":-152,""y"":922,""scale"":0.46},""start_chara"":{""x"":-6,""y"":-16,""scale"":1.15}}}"
46,43,魔人ブウ(純粋),全てを超える魔人,1009641,"{""lwf"":{""event_top_chara"":{""x"":-32,""y"":-92,""scale"":1.13},""anime_start"":{""x"":-32,""y"":-92,""scale"":1.13},""anime_end"":{""x"":130,""y"":-126,""scale"":0.98},""shadow"":{""x"":-370,""y"":502,""scale"":0.82},""start_chara"":{""x"":2,""y"":8,""scale"":1.03}}}"
47,44,仮面のサイヤ人,暗黒の意思,1010291,"{""lwf"":{""event_top_chara"":{""x"":34,""y"":80,""scale"":0.93},""anime_start"":{""x"":34,""y"":80,""scale"":0.93},""anime_end"":{""x"":180,""y"":4,""scale"":0.93},""shadow"":{""x"":-76,""y"":812,""scale"":0.55},""start_chara"":{""x"":-2,""y"":-22,""scale"":1.12}}}"
48,45,超ゴジータ,悪を砕く光,1010851,"{""lwf"":{""event_top_chara"":{""x"":-48,""y"":226,""scale"":0.74},""anime_start"":{""x"":-48,""y"":226,""scale"":0.74},""anime_end"":{""x"":64,""y"":116,""scale"":0.74},""shadow"":{""x"":-202,""y"":1124,""scale"":0.41},""start_chara"":{""x"":-6,""y"":-16,""scale"":1.16}}}"
49,46,スーパージャネンバ,邪悪な侵犯,1010871,"{""lwf"":{""event_top_chara"":{""x"":-10,""y"":144,""scale"":1.02},""anime_start"":{""x"":-10,""y"":144,""scale"":1.02},""anime_end"":{""x"":-10,""y"":144,""scale"":1.02},""shadow"":{""x"":-2500,""y"":2500,""scale"":0.0},""start_chara"":{""x"":68,""y"":76,""scale"":1.14}}}"
50,47,宿命のライバル編2,極限Zバトル,1021830,"{""lwf"":{""event_top_chara"":{""x"":62,""y"":66,""scale"":1.08},""anime_start"":{""x"":62,""y"":66,""scale"":1.08},""anime_end"":{""x"":62,""y"":66,""scale"":1.08},""shadow"":{""x"":10000,""y"":10000,""scale"":0.0},""start_chara"":{""x"":-18,""y"":8,""scale"":1.02}}}"
51,48,孫悟空(身勝手の極意“兆”),超次元の極意,1013541,"{""lwf"":{""event_top_chara"":{""x"":-56,""y"":0,""scale"":1.01},""anime_start"":{""x"":-56,""y"":0,""scale"":1.01},""anime_end"":{""x"":54,""y"":-114,""scale"":1.01},""shadow"":{""x"":-326,""y"":796,""scale"":0.56},""start_chara"":{""x"":-8,""y"":-20,""scale"":1.14}}}"
54,49,孫悟空&フリーザ(最終形態)(天使),奇跡の決着,1014971,"{""lwf"":{""event_top_chara"":{""x"":-6,""y"":90,""scale"":0.97},""anime_start"":{""x"":-6,""y"":90,""scale"":0.97},""anime_end"":{""x"":-6,""y"":90,""scale"":0.97},""shadow"":{""x"":-1000,""y"":-1000,""scale"":0.0},""start_chara"":{""x"":-6,""y"":-24,""scale"":1.13}}}"
56,50,打倒超戦士編,極限Zバトル,1022230,"{""lwf"":{""event_top_chara"":{""x"":14,""y"":176,""scale"":0.7},""anime_start"":{""x"":14,""y"":176,""scale"":0.7},""anime_end"":{""x"":14,""y"":114,""scale"":0.7},""shadow"":{""x"":10000,""y"":10000,""scale"":0.0},""start_chara"":{""x"":18,""y"":0,""scale"":1.15}}}"
59,51,超サイヤ人3ゴテンクス,宇宙一の大爆走,1011061,"{""lwf"":{""event_top_chara"":{""x"":-68,""y"":92,""scale"":0.77},""anime_start"":{""x"":-68,""y"":92,""scale"":0.77},""anime_end"":{""x"":106,""y"":-14,""scale"":0.77},""shadow"":{""x"":-258,""y"":884,""scale"":0.41},""start_chara"":{""x"":-6,""y"":-18,""scale"":1.14}}}"
60,52,伝説の超サイヤ人ブロリー,不滅の最凶戦士,1010441,"{""lwf"":{""event_top_chara"":{""x"":8,""y"":-290,""scale"":1.34},""anime_start"":{""x"":8,""y"":-290,""scale"":1.34},""anime_end"":{""x"":130,""y"":-394,""scale"":1.34},""shadow"":{""x"":-164,""y"":374,""scale"":0.71},""start_chara"":{""x"":-2,""y"":-10,""scale"":1.17}}}"
61,53,タピオン(ヒルデガーン),幻魔人が眠る身体,1012421,"{""lwf"":{""event_top_chara"":{""x"":-22,""y"":102,""scale"":0.89},""anime_start"":{""x"":-22,""y"":102,""scale"":0.89},""anime_end"":{""x"":100,""y"":-16,""scale"":0.89},""shadow"":{""x"":-172,""y"":916,""scale"":0.52},""start_chara"":{""x"":2,""y"":-16,""scale"":1.16}}}"
62,54,宿命のライバル編3,極限Zバトル,1022560,"{""lwf"":{""event_top_chara"":{""x"":28,""y"":-18,""scale"":0.96},""anime_start"":{""x"":28,""y"":-18,""scale"":0.96},""anime_end"":{""x"":28,""y"":-46,""scale"":0.96},""shadow"":{""x"":10000,""y"":10000,""scale"":0.0},""start_chara"":{""x"":-6,""y"":-16,""scale"":1.16}}}"
63,55,クウラ(最終形態),地獄の幕開け,1009091,"{""lwf"":{""event_top_chara"":{""x"":60,""y"":-76,""scale"":1.26},""anime_start"":{""x"":60,""y"":-76,""scale"":1.26},""anime_end"":{""x"":198,""y"":-184,""scale"":1.26},""shadow"":{""x"":-82,""y"":596,""scale"":0.73},""start_chara"":{""x"":-6,""y"":-12,""scale"":1.17}}}"
64,56,超サイヤ人2孫悟飯(少年期),全身全霊のかめはめ波,1010071,"{""lwf"":{""event_top_chara"":{""x"":4,""y"":6,""scale"":1.12},""anime_start"":{""x"":4,""y"":6,""scale"":1.12},""anime_end"":{""x"":152,""y"":-100,""scale"":1.12},""shadow"":{""x"":-164,""y"":752,""scale"":0.6},""start_chara"":{""x"":-4,""y"":-18,""scale"":1.14}}}"
65,57,超サイヤ人3孫悟空(天使),驚愕の超変身,1010261,"{""lwf"":{""event_top_chara"":{""x"":-102,""y"":-6,""scale"":1.05},""anime_start"":{""x"":-102,""y"":-6,""scale"":1.05},""anime_end"":{""x"":90,""y"":-142,""scale"":1.05},""shadow"":{""x"":-410,""y"":694,""scale"":0.73},""start_chara"":{""x"":-4,""y"":-18,""scale"":1.14}}}"
70,59,ヒロインコレクション,極限Zバトル,1023340,"{""lwf"":{""event_top_chara"":{""x"":-6,""y"":86,""scale"":0.93},""anime_start"":{""x"":-6,""y"":86,""scale"":0.93},""anime_end"":{""x"":-6,""y"":30,""scale"":0.93},""shadow"":{""x"":-5000,""y"":-5000,""scale"":0.0},""start_chara"":{""x"":-10,""y"":-16,""scale"":1.14}}}"
73,60,魔人ベジータ,凄絶な光の彼方に,1010161,"{""lwf"":{""event_top_chara"":{""x"":-10,""y"":-70,""scale"":1.16},""anime_start"":{""x"":-10,""y"":-70,""scale"":1.16},""anime_end"":{""x"":142,""y"":-184,""scale"":1.16},""shadow"":{""x"":-182,""y"":592,""scale"":0.65},""start_chara"":{""x"":-4,""y"":-12,""scale"":1.16}}}"
74,58,フリーザ(第一形態),凍てつく威光,1014821,"{""lwf"":{""event_top_chara"":{""x"":8,""y"":-6,""scale"":1.22},""anime_start"":{""x"":8,""y"":-6,""scale"":1.22},""anime_end"":{""x"":144,""y"":-100,""scale"":1.22},""shadow"":{""x"":-134,""y"":668,""scale"":0.72},""start_chara"":{""x"":-6,""y"":-16,""scale"":1.14}}}"
75,61,超サイヤ人孫悟空,熱く震える力,1014761,"{""lwf"":{""event_top_chara"":{""x"":-16,""y"":-96,""scale"":1.23},""anime_start"":{""x"":-16,""y"":-96,""scale"":1.23},""anime_end"":{""x"":114,""y"":-198,""scale"":1.23},""shadow"":{""x"":-190,""y"":502,""scale"":0.8},""start_chara"":{""x"":-6,""y"":-18,""scale"":1.12}}}"
77,62,バーダック,宇宙に輝く命,1014021,"{""lwf"":{""event_top_chara"":{""x"":-74,""y"":-40,""scale"":1.14},""anime_start"":{""x"":-74,""y"":-40,""scale"":1.14},""anime_end"":{""x"":66,""y"":-150,""scale"":1.14},""shadow"":{""x"":-272,""y"":676,""scale"":0.63},""start_chara"":{""x"":-4,""y"":-18,""scale"":1.15}}}"
78,63,大猿編,極限Zバトル,1023530,"{""lwf"":{""event_top_chara"":{""x"":-10,""y"":148,""scale"":0.92},""anime_start"":{""x"":-10,""y"":148,""scale"":0.92},""anime_end"":{""x"":-12,""y"":114,""scale"":0.92},""shadow"":{""x"":10000,""y"":10000,""scale"":0.0},""start_chara"":{""x"":-6,""y"":-18,""scale"":1.12}}}"
79,64,ヒット,殺し屋の極意,1015671,"{""lwf"":{""event_top_chara"":{""x"":-140,""y"":62,""scale"":1.15},""anime_start"":{""x"":-140,""y"":62,""scale"":1.15},""anime_end"":{""x"":-140,""y"":62,""scale"":1.15},""shadow"":{""x"":-78,""y"":786,""scale"":0.66},""start_chara"":{""x"":-4,""y"":-22,""scale"":1.13}}}"
81,65,ドラゴンボールファイターズ編,極限Zバトル,1023990,"{""lwf"":{""event_top_chara"":{""x"":-46,""y"":-72,""scale"":1.03},""anime_start"":{""x"":-46,""y"":-72,""scale"":1.03},""anime_end"":{""x"":-46,""y"":-72,""scale"":1.03},""shadow"":{""x"":10000,""y"":10000,""scale"":0.0},""start_chara"":{""x"":-2,""y"":-18,""scale"":1.13}}}"
84,66,DBヒーローズ編,極限Zバトル,1023900,"{""lwf"":{""event_top_chara"":{""x"":4,""y"":110,""scale"":0.92},""anime_start"":{""x"":4,""y"":110,""scale"":0.92},""anime_end"":{""x"":4,""y"":110,""scale"":0.92},""shadow"":{""x"":10000,""y"":10000,""scale"":0.0},""start_chara"":{""x"":-6,""y"":54,""scale"":1.13}}}"
85,67,超サイヤ人トランクス(青年期),ふたりめの超サイヤ人,1011721,"{""lwf"":{""event_top_chara"":{""x"":0,""y"":-10,""scale"":0.95},""anime_start"":{""x"":0,""y"":-10,""scale"":0.95},""anime_end"":{""x"":130,""y"":-116,""scale"":0.95},""shadow"":{""x"":-248,""y"":678,""scale"":0.59},""start_chara"":{""x"":-8,""y"":-20,""scale"":1.14}}}"
86,68,超サイヤ人孫悟飯(未来),絶望に立ち向かう力,1013861,"{""lwf"":{""event_top_chara"":{""x"":-60,""y"":-62,""scale"":1.07},""anime_start"":{""x"":-60,""y"":-62,""scale"":1.07},""anime_end"":{""x"":64,""y"":-182,""scale"":1.07},""shadow"":{""x"":-294,""y"":620,""scale"":0.71},""start_chara"":{""x"":-8,""y"":-20,""scale"":1.13}}}"
87,69,DBフュージョンズ編,極限Zバトル,1024180,"{""lwf"":{""event_top_chara"":{""x"":-24,""y"":-78,""scale"":0.93},""anime_start"":{""x"":-24,""y"":-78,""scale"":0.93},""anime_end"":{""x"":-24,""y"":-78,""scale"":0.93},""shadow"":{""x"":10000,""y"":10000,""scale"":0.0},""start_chara"":{""x"":-4,""y"":-18,""scale"":1.13}}}"
88,70,DBフュージョンズ編2,極限Zバトル,1024190,"{""lwf"":{""event_top_chara"":{""x"":2,""y"":-48,""scale"":0.93},""anime_start"":{""x"":2,""y"":-48,""scale"":0.93},""anime_end"":{""x"":2,""y"":-90,""scale"":0.93},""shadow"":{""x"":10000,""y"":10000,""scale"":0.0},""start_chara"":{""x"":-8,""y"":-14,""scale"":1.16}}}"
89,71,トランクス(幼年期)&孫悟天(幼年期),希望の星,1011641,"{""lwf"":{""event_top_chara"":{""x"":-6,""y"":74,""scale"":0.82},""anime_start"":{""x"":-6,""y"":74,""scale"":0.82},""anime_end"":{""x"":-6,""y"":74,""scale"":0.82},""shadow"":{""x"":-5000,""y"":-5000,""scale"":0.0},""start_chara"":{""x"":-6,""y"":-18,""scale"":1.12}}}"
