id,kind,description,conditions
45,0,サポートアイテムのドロップ率が7%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 70}"
46,0,潜在能力玉のドロップ率が7%上昇する,"{""item_type"": ""PotentialItem"", ""benefit_permil"": 70}"
47,0,キャラクターのドロップ率が7%上昇する,"{""item_type"": ""Card"", ""benefit_permil"": 70}"
48,0,秘宝のドロップ率が7%上昇する,"{""item_type"": ""TreasureItem"", ""benefit_permil"": 70}"
49,0,覚醒メダルのドロップ率が7%上昇する,"{""item_type"": ""AwakeningItem"", ""benefit_permil"": 70}"
50,1,ゼニーの獲得量が8%上昇する,"{""benefit_permil"": 80}"
51,0,修業アイテムのドロップ率が8%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 80}"
52,0,サポートアイテムのドロップ率が8%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 80}"
53,0,潜在能力玉のドロップ率が8%上昇する,"{""item_type"": ""PotentialItem"", ""benefit_permil"": 80}"
54,0,キャラクターのドロップ率が8%上昇する,"{""item_type"": ""Card"", ""benefit_permil"": 80}"
55,0,秘宝のドロップ率が8%上昇する,"{""item_type"": ""TreasureItem"", ""benefit_permil"": 80}"
56,0,覚醒メダルのドロップ率が8%上昇する,"{""item_type"": ""AwakeningItem"", ""benefit_permil"": 80}"
57,1,ゼニーの獲得量が9%上昇する,"{""benefit_permil"": 90}"
58,0,修業アイテムのドロップ率が9%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 90}"
59,0,サポートアイテムのドロップ率が9%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 90}"
60,0,潜在能力玉のドロップ率が9%上昇する,"{""item_type"": ""PotentialItem"", ""benefit_permil"": 90}"
61,0,キャラクターのドロップ率が9%上昇する,"{""item_type"": ""Card"", ""benefit_permil"": 90}"
62,0,秘宝のドロップ率が9%上昇する,"{""item_type"": ""TreasureItem"", ""benefit_permil"": 90}"
63,0,覚醒メダルのドロップ率が9%上昇する,"{""item_type"": ""AwakeningItem"", ""benefit_permil"": 90}"
64,1,ゼニーの獲得量が10%上昇する,"{""benefit_permil"": 100}"
65,0,修業アイテムのドロップ率が10%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 100}"
66,0,サポートアイテムのドロップ率が10%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 100}"
67,0,潜在能力玉のドロップ率が10%上昇する,"{""item_type"": ""PotentialItem"", ""benefit_permil"": 100}"
68,0,キャラクターのドロップ率が10%上昇する,"{""item_type"": ""Card"", ""benefit_permil"": 100}"
69,0,秘宝のドロップ率が10%上昇する,"{""item_type"": ""TreasureItem"", ""benefit_permil"": 100}"
70,0,覚醒メダルのドロップ率が10%上昇する,"{""item_type"": ""AwakeningItem"", ""benefit_permil"": 100}"
71,4,交換ptの商品価格を1%OFFする,"{""shop_type"": ""Shop::ExchangePointShop"", ""benefit_permil"": 10}"
72,4,交換ptの商品価格を2%OFFする,"{""shop_type"": ""Shop::ExchangePointShop"", ""benefit_permil"": 20}"
73,4,交換ptの商品価格を3%OFFする,"{""shop_type"": ""Shop::ExchangePointShop"", ""benefit_permil"": 30}"
74,4,交換ptの商品価格を4%OFFする,"{""shop_type"": ""Shop::ExchangePointShop"", ""benefit_permil"": 40}"
75,4,交換ptの商品価格を5%OFFする,"{""shop_type"": ""Shop::ExchangePointShop"", ""benefit_permil"": 50}"
76,4,ゼニーの商品価格を1%OFFする,"{""shop_type"": ""Shop::ZeniShop"", ""benefit_permil"": 10}"
77,4,ゼニーの商品価格を2%OFFする,"{""shop_type"": ""Shop::ZeniShop"", ""benefit_permil"": 20}"
78,4,ゼニーの商品価格を3%OFFする,"{""shop_type"": ""Shop::ZeniShop"", ""benefit_permil"": 30}"
79,4,ゼニーの商品価格を4%OFFする,"{""shop_type"": ""Shop::ZeniShop"", ""benefit_permil"": 40}"
80,4,ゼニーの商品価格を5%OFFする,"{""shop_type"": ""Shop::ZeniShop"", ""benefit_permil"": 50}"
81,3,ACTの回復時間が3秒短縮する,"{""shortened_sec"": 3}"
82,1,ゼニーの獲得量が12%上昇する,"{""benefit_permil"": 120}"
83,1,ゼニーの獲得量が14%上昇する,"{""benefit_permil"": 140}"
84,1,ゼニーの獲得量が16%上昇する,"{""benefit_permil"": 160}"
85,1,ゼニーの獲得量が18%上昇する,"{""benefit_permil"": 180}"
86,1,ゼニーの獲得量が20%上昇する,"{""benefit_permil"": 200}"
87,1,ゼニーの獲得量が22%上昇する,"{""benefit_permil"": 220}"
88,1,ゼニーの獲得量が24%上昇する,"{""benefit_permil"": 240}"
89,1,ゼニーの獲得量が26%上昇する,"{""benefit_permil"": 260}"
90,1,ゼニーの獲得量が28%上昇する,"{""benefit_permil"": 280}"
91,1,ゼニーの獲得量が30%上昇する,"{""benefit_permil"": 300}"
92,1,ゼニーの獲得量が32%上昇する,"{""benefit_permil"": 320}"
93,1,ゼニーの獲得量が34%上昇する,"{""benefit_permil"": 340}"
94,1,ゼニーの獲得量が36%上昇する,"{""benefit_permil"": 360}"
95,1,ゼニーの獲得量が38%上昇する,"{""benefit_permil"": 380}"
96,1,ゼニーの獲得量が40%上昇する,"{""benefit_permil"": 400}"
97,1,ゼニーの獲得量が42%上昇する,"{""benefit_permil"": 420}"
98,1,ゼニーの獲得量が44%上昇する,"{""benefit_permil"": 440}"
99,1,ゼニーの獲得量が46%上昇する,"{""benefit_permil"": 460}"
100,1,ゼニーの獲得量が48%上昇する,"{""benefit_permil"": 480}"
101,1,ゼニーの獲得量が50%上昇する,"{""benefit_permil"": 500}"
102,1,ゼニーの獲得量が52%上昇する,"{""benefit_permil"": 520}"
103,1,ゼニーの獲得量が54%上昇する,"{""benefit_permil"": 540}"
104,1,ゼニーの獲得量が56%上昇する,"{""benefit_permil"": 560}"
105,1,ゼニーの獲得量が58%上昇する,"{""benefit_permil"": 580}"
106,1,ゼニーの獲得量が60%上昇する,"{""benefit_permil"": 600}"
107,1,ゼニーの獲得量が62%上昇する,"{""benefit_permil"": 620}"
108,1,ゼニーの獲得量が64%上昇する,"{""benefit_permil"": 640}"
109,1,ゼニーの獲得量が66%上昇する,"{""benefit_permil"": 660}"
110,1,ゼニーの獲得量が68%上昇する,"{""benefit_permil"": 680}"
111,1,ゼニーの獲得量が70%上昇する,"{""benefit_permil"": 700}"
112,1,ゼニーの獲得量が72%上昇する,"{""benefit_permil"": 720}"
113,1,ゼニーの獲得量が74%上昇する,"{""benefit_permil"": 740}"
114,1,ゼニーの獲得量が76%上昇する,"{""benefit_permil"": 760}"
115,1,ゼニーの獲得量が78%上昇する,"{""benefit_permil"": 780}"
116,1,ゼニーの獲得量が80%上昇する,"{""benefit_permil"": 800}"
117,1,ゼニーの獲得量が82%上昇する,"{""benefit_permil"": 820}"
118,1,ゼニーの獲得量が84%上昇する,"{""benefit_permil"": 840}"
119,1,ゼニーの獲得量が86%上昇する,"{""benefit_permil"": 860}"
120,1,ゼニーの獲得量が88%上昇する,"{""benefit_permil"": 880}"
121,1,ゼニーの獲得量が90%上昇する,"{""benefit_permil"": 900}"
122,1,ゼニーの獲得量が92%上昇する,"{""benefit_permil"": 920}"
123,1,ゼニーの獲得量が94%上昇する,"{""benefit_permil"": 940}"
124,1,ゼニーの獲得量が96%上昇する,"{""benefit_permil"": 960}"
125,1,ゼニーの獲得量が98%上昇する,"{""benefit_permil"": 980}"
126,1,ゼニーの獲得量が100%上昇する,"{""benefit_permil"": 1000}"
127,2,報酬ブーストの回復時間が10秒短縮する,"{""shortened_sec"": 10}"
128,2,報酬ブーストの回復時間が15秒短縮する,"{""shortened_sec"": 15}"
129,2,報酬ブーストの回復時間が20秒短縮する,"{""shortened_sec"": 20}"
130,2,報酬ブーストの回復時間が25秒短縮する,"{""shortened_sec"": 25}"
131,2,報酬ブーストの回復時間が30秒短縮する,"{""shortened_sec"": 30}"
132,2,報酬ブーストの回復時間が35秒短縮する,"{""shortened_sec"": 35}"
133,2,報酬ブーストの回復時間が40秒短縮する,"{""shortened_sec"": 40}"
134,2,報酬ブーストの回復時間が45秒短縮する,"{""shortened_sec"": 45}"
135,2,報酬ブーストの回復時間が50秒短縮する,"{""shortened_sec"": 50}"
136,2,報酬ブーストの回復時間が55秒短縮する,"{""shortened_sec"": 55}"
137,2,報酬ブーストの回復時間が60秒短縮する,"{""shortened_sec"": 60}"
138,3,ACTの回復時間が4秒短縮する,"{""shortened_sec"": 4}"
139,3,ACTの回復時間が5秒短縮する,"{""shortened_sec"": 5}"
140,3,ACTの回復時間が6秒短縮する,"{""shortened_sec"": 6}"
141,4,交換ptの商品価格を6%OFFする,"{""shop_type"": ""Shop::ExchangePointShop"", ""benefit_permil"": 60}"
142,4,交換ptの商品価格を7%OFFする,"{""shop_type"": ""Shop::ExchangePointShop"", ""benefit_permil"": 70}"
143,4,交換ptの商品価格を8%OFFする,"{""shop_type"": ""Shop::ExchangePointShop"", ""benefit_permil"": 80}"
144,4,交換ptの商品価格を9%OFFする,"{""shop_type"": ""Shop::ExchangePointShop"", ""benefit_permil"": 90}"
145,4,交換ptの商品価格を10%OFFする,"{""shop_type"": ""Shop::ExchangePointShop"", ""benefit_permil"": 100}"
146,4,ゼニーの商品価格を6%OFFする,"{""shop_type"": ""Shop::ZeniShop"", ""benefit_permil"": 60}"
147,4,ゼニーの商品価格を7%OFFする,"{""shop_type"": ""Shop::ZeniShop"", ""benefit_permil"": 70}"
148,4,ゼニーの商品価格を8%OFFする,"{""shop_type"": ""Shop::ZeniShop"", ""benefit_permil"": 80}"
149,4,ゼニーの商品価格を9%OFFする,"{""shop_type"": ""Shop::ZeniShop"", ""benefit_permil"": 90}"
150,4,ゼニーの商品価格を10%OFFする,"{""shop_type"": ""Shop::ZeniShop"", ""benefit_permil"": 100}"
151,5,「DOKKANと叩け！パンチマシン！」の挑戦回数を+1する,"{""area_id"": 711, ""additional_count"": 1}"
152,5,「壮絶！超絶！破壊神集結」の挑戦回数を+1する,"{""area_id"": 750, ""additional_count"": 1}"
153,5,「究極のレッドゾーン GT編」の挑戦回数を+1する,"{""area_id"": 770, ""additional_count"": 1}"
154,5,「究極のレッドゾーン 劇場版」の挑戦回数を+1する,"{""area_id"": 771, ""additional_count"": 1}"
155,5,「究極のレッドゾーン 最凶の一族編」の挑戦回数を+1する,"{""area_id"": 772, ""additional_count"": 1}"
156,5,「究極のレッドゾーン SDBヒーローズ編」の挑戦回数を+1する,"{""area_id"": 773, ""additional_count"": 1}"
157,5,「究極のレッドゾーン レッドリボン軍編」の挑戦回数を+1する,"{""area_id"": 774, ""additional_count"": 1}"
158,5,「究極のレッドゾーン 絶望の未来編」の挑戦回数を+1する,"{""area_id"": 775, ""additional_count"": 1}"
159,2,報酬ブーストの回復時間が70秒短縮する,"{""shortened_sec"": 70}"
160,2,報酬ブーストの回復時間が80秒短縮する,"{""shortened_sec"": 80}"
161,2,報酬ブーストの回復時間が90秒短縮する,"{""shortened_sec"": 90}"
162,2,報酬ブーストの回復時間が100秒短縮する,"{""shortened_sec"": 100}"
163,2,報酬ブーストの回復時間が110秒短縮する,"{""shortened_sec"": 110}"
164,2,報酬ブーストの回復時間が120秒短縮する,"{""shortened_sec"": 120}"
165,3,ACTの回復時間が7秒短縮する,"{""shortened_sec"": 7}"
166,3,ACTの回復時間が8秒短縮する,"{""shortened_sec"": 8}"
167,3,ACTの回復時間が9秒短縮する,"{""shortened_sec"": 9}"
168,3,ACTの回復時間が10秒短縮する,"{""shortened_sec"": 10}"
169,0,修業アイテムのドロップ率が11%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 110}"
170,0,修業アイテムのドロップ率が12%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 120}"
171,0,修業アイテムのドロップ率が13%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 130}"
172,0,修業アイテムのドロップ率が14%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 140}"
173,0,修業アイテムのドロップ率が15%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 150}"
174,0,修業アイテムのドロップ率が16%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 160}"
175,0,修業アイテムのドロップ率が17%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 170}"
176,0,修業アイテムのドロップ率が18%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 180}"
177,0,修業アイテムのドロップ率が19%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 190}"
178,0,修業アイテムのドロップ率が20%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 200}"
179,0,修業アイテムのドロップ率が21%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 210}"
180,0,修業アイテムのドロップ率が22%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 220}"
181,0,修業アイテムのドロップ率が23%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 230}"
182,0,修業アイテムのドロップ率が24%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 240}"
183,0,修業アイテムのドロップ率が25%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 250}"
184,0,修業アイテムのドロップ率が26%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 260}"
185,0,修業アイテムのドロップ率が27%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 270}"
186,0,修業アイテムのドロップ率が28%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 280}"
187,0,修業アイテムのドロップ率が29%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 290}"
188,0,修業アイテムのドロップ率が30%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 300}"
189,0,修業アイテムのドロップ率が31%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 310}"
190,0,修業アイテムのドロップ率が32%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 320}"
191,0,修業アイテムのドロップ率が33%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 330}"
192,0,修業アイテムのドロップ率が34%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 340}"
193,0,修業アイテムのドロップ率が35%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 350}"
194,0,修業アイテムのドロップ率が36%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 360}"
195,0,修業アイテムのドロップ率が37%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 370}"
196,0,修業アイテムのドロップ率が38%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 380}"
197,0,修業アイテムのドロップ率が39%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 390}"
198,0,修業アイテムのドロップ率が40%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 400}"
199,0,修業アイテムのドロップ率が41%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 410}"
200,0,修業アイテムのドロップ率が42%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 420}"
201,0,修業アイテムのドロップ率が43%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 430}"
202,0,修業アイテムのドロップ率が44%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 440}"
203,0,修業アイテムのドロップ率が45%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 450}"
204,0,修業アイテムのドロップ率が46%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 460}"
205,0,修業アイテムのドロップ率が47%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 470}"
206,0,修業アイテムのドロップ率が48%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 480}"
207,0,修業アイテムのドロップ率が49%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 490}"
208,0,修業アイテムのドロップ率が50%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 500}"
209,2,報酬ブーストの回復時間が130秒短縮する,"{""shortened_sec"": 130}"
210,2,報酬ブーストの回復時間が135秒短縮する,"{""shortened_sec"": 135}"
211,2,報酬ブーストの回復時間が140秒短縮する,"{""shortened_sec"": 140}"
212,2,報酬ブーストの回復時間が145秒短縮する,"{""shortened_sec"": 145}"
213,2,報酬ブーストの回復時間が150秒短縮する,"{""shortened_sec"": 150}"
214,2,報酬ブーストの回復時間が155秒短縮する,"{""shortened_sec"": 155}"
215,2,報酬ブーストの回復時間が160秒短縮する,"{""shortened_sec"": 160}"
216,2,報酬ブーストの回復時間が165秒短縮する,"{""shortened_sec"": 165}"
217,2,報酬ブーストの回復時間が170秒短縮する,"{""shortened_sec"": 170}"
218,2,報酬ブーストの回復時間が180秒短縮する,"{""shortened_sec"": 180}"
219,0,サポートアイテムのドロップ率が11%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 110}"
220,0,サポートアイテムのドロップ率が12%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 120}"
221,0,サポートアイテムのドロップ率が13%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 130}"
222,0,サポートアイテムのドロップ率が14%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 140}"
223,0,サポートアイテムのドロップ率が15%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 150}"
224,0,サポートアイテムのドロップ率が16%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 160}"
225,0,サポートアイテムのドロップ率が17%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 170}"
226,0,サポートアイテムのドロップ率が18%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 180}"
227,0,サポートアイテムのドロップ率が19%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 190}"
228,0,サポートアイテムのドロップ率が20%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 200}"
229,0,サポートアイテムのドロップ率が21%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 210}"
230,0,サポートアイテムのドロップ率が22%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 220}"
231,0,サポートアイテムのドロップ率が23%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 230}"
232,0,サポートアイテムのドロップ率が24%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 240}"
233,0,サポートアイテムのドロップ率が25%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 250}"
234,0,サポートアイテムのドロップ率が26%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 260}"
235,0,サポートアイテムのドロップ率が27%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 270}"
236,0,サポートアイテムのドロップ率が28%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 280}"
237,0,サポートアイテムのドロップ率が29%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 290}"
238,0,サポートアイテムのドロップ率が30%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 300}"
239,0,サポートアイテムのドロップ率が31%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 310}"
240,0,サポートアイテムのドロップ率が32%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 320}"
241,0,サポートアイテムのドロップ率が33%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 330}"
242,0,サポートアイテムのドロップ率が34%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 340}"
243,0,サポートアイテムのドロップ率が35%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 350}"
244,0,サポートアイテムのドロップ率が36%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 360}"
245,0,サポートアイテムのドロップ率が37%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 370}"
246,0,サポートアイテムのドロップ率が38%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 380}"
247,0,サポートアイテムのドロップ率が39%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 390}"
248,0,サポートアイテムのドロップ率が40%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 400}"
249,0,サポートアイテムのドロップ率が41%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 410}"
250,0,サポートアイテムのドロップ率が42%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 420}"
251,0,サポートアイテムのドロップ率が43%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 430}"
252,0,サポートアイテムのドロップ率が44%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 440}"
253,0,サポートアイテムのドロップ率が45%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 450}"
254,0,サポートアイテムのドロップ率が46%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 460}"
255,0,サポートアイテムのドロップ率が47%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 470}"
256,0,サポートアイテムのドロップ率が48%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 480}"
257,0,サポートアイテムのドロップ率が49%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 490}"
258,0,サポートアイテムのドロップ率が50%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 500}"
259,2,報酬ブーストの回復時間が190秒短縮する,"{""shortened_sec"": 190}"
260,2,報酬ブーストの回復時間が195秒短縮する,"{""shortened_sec"": 195}"
261,2,報酬ブーストの回復時間が200秒短縮する,"{""shortened_sec"": 200}"
262,2,報酬ブーストの回復時間が205秒短縮する,"{""shortened_sec"": 205}"
263,2,報酬ブーストの回復時間が215秒短縮する,"{""shortened_sec"": 215}"
264,2,報酬ブーストの回復時間が220秒短縮する,"{""shortened_sec"": 220}"
265,2,報酬ブーストの回復時間が225秒短縮する,"{""shortened_sec"": 225}"
266,2,報酬ブーストの回復時間が230秒短縮する,"{""shortened_sec"": 230}"
267,2,報酬ブーストの回復時間が240秒短縮する,"{""shortened_sec"": 240}"
268,5,「よく学びよく遊べ！亀仙流の猛修業」の挑戦回数を+1する,"{""area_id"": 223, ""additional_count"": 1}"
269,5,「パンのひみつの冒険」の挑戦回数を+1する,"{""area_id"": 135, ""additional_count"": 1}"
270,5,「さらなる力を求めて！神レベルの猛特訓」の挑戦回数を+1する,"{""area_id"": 252, ""additional_count"": 1}"
271,5,「【全開放】解放せよ 潜在能力」の挑戦回数を+1する,"{""area_id"": 231, ""additional_count"": 1}"
272,0,潜在能力玉のドロップ率が11%上昇する,"{""item_type"": ""PotentialItem"", ""benefit_permil"": 110}"
273,0,潜在能力玉のドロップ率が12%上昇する,"{""item_type"": ""PotentialItem"", ""benefit_permil"": 120}"
274,0,潜在能力玉のドロップ率が13%上昇する,"{""item_type"": ""PotentialItem"", ""benefit_permil"": 130}"
275,0,潜在能力玉のドロップ率が14%上昇する,"{""item_type"": ""PotentialItem"", ""benefit_permil"": 140}"
