id,name,description,rarity,selling_exchange_point,image_suffix_number,will_expire
32,超ミネラルウォーター,"「がんばれ！明日のスーパーヒーロー！」で手に入る秘宝
占いババの交換所で交換が可能",2,1,47,0
1000,スーパー龍石,龍石購入時に入手できる青い龍石,2,0,21,1
1001,ゴッド龍石,期間限定で入手できる赤い龍石,2,0,20,1
1002,スーパー龍石2,龍石購入時に入手できる青い龍石,2,0,22,1
1003,ゴッド龍石2,期間限定で入手できる赤い龍石,2,0,23,1
1004,スーパー龍石3,龍石購入時に入手できる青い龍石,2,0,24,1
1005,ゴッド龍石3,期間限定で入手できる赤い龍石,2,0,25,1
1006,プレミアム超龍石,龍石購入時に入手できる紫色の龍石,2,0,26,1
1007,ゴッド龍石4,期間限定で入手できる赤い龍石,2,0,27,1
1008,ゴッド龍石5,期間限定で入手できる赤い龍石,2,0,28,1
1009,プレミアム超龍石2,龍石購入時に入手できる紫色の龍石,2,0,29,1
1010,ゴッド龍石6,期間限定で入手できる赤い龍石,2,0,1010,1
1011,スーパー龍石4,龍石購入時に入手できる青い龍石,2,0,1011,1
1012,ゴッド龍石7,期間限定で入手できる赤い龍石,2,0,1012,1
1013,プレミアム超龍石3,龍石購入時に入手できる紫色の龍石,2,0,1013,1
1014,プレミアム超龍石4,"龍石購入時に入手できる紫色の龍石
占いババの交換所で交換が可能",2,0,1014,1
1015,スーパー龍石5,"龍石購入時に入手できる青い龍石
占いババの交換所で交換が可能",2,0,1015,1
1016,ゴッド龍石8,"期間限定で入手できる赤い龍石
占いババの交換所で交換が可能",2,0,1016,1
1017,ゴッド龍石9,"期間限定で入手できる赤い龍石
占いババの交換所で交換が可能",2,0,1017,1
1018,スーパー龍石6,"龍石購入時に入手できる青い龍石
占いババの交換所で交換が可能",2,0,1018,1
1019,ゴッド龍石10,"期間限定で入手できる赤い龍石
占いババの交換所で交換が可能",2,0,1019,1
1020,プレミアム超龍石5,"龍石購入時に入手できる紫色の龍石
占いババの交換所で交換が可能",2,0,1020,1
1021,スーパー龍石7,"龍石購入時に入手できる青い龍石
占いババの交換所で交換が可能",2,0,1021,1
1022,ゴッド龍石11,"期間限定で入手できる赤い龍石
占いババの交換所で交換が可能",2,0,1022,1
1023,メモリアル龍石,"期間限定で入手できる特別な龍石
占いババの交換所で交換が可能",2,0,1023,0
1024,プレミアム超龍石6,"龍石購入時に入手できる紫色の龍石
占いババの交換所で交換が可能",2,0,1024,1
1025,ゴッド龍石12,"期間限定で入手できる赤い龍石
占いババの交換所で交換が可能",2,0,1025,1
1026,スーパー龍石8,"龍石購入時に入手できる青い龍石
占いババの交換所で交換が可能",2,0,1026,1
1027,ゴッド龍石13,"期間限定で入手できる赤い龍石
占いババの交換所で交換が可能",2,0,1027,1
1028,プレミアム超龍石7,"龍石購入時に入手できる紫色の龍石
占いババの交換所で交換が可能",2,0,1028,1
1029,スーパー龍石9,"龍石購入時に入手できる青い龍石
占いババの交換所で交換が可能",2,0,1029,1
1030,メモリアル龍石2,"期間限定で入手できる特別な龍石
占いババの交換所で交換が可能",2,0,1030,0
1031,ゴッド龍石14,"期間限定で入手できる赤い龍石
占いババの交換所で交換が可能",2,0,1031,1
1032,プレミアム超龍石8,"龍石購入時に入手できる紫色の龍石
占いババの交換所で交換が可能",2,0,1032,1
1033,スペシャル龍石,"龍石購入時に入手できる特別な龍石
占いババの交換所で交換が可能
※使用していない場合、受け取り180日後に削除されます",2,0,1033,1
1034,ゴッド龍石15,"期間限定で入手できる赤い龍石
占いババの交換所で交換が可能",2,0,1034,1
1035,スーパー龍石10,"龍石購入時に入手できる青い龍石
占いババの交換所で交換が可能",2,0,1035,1
1036,ヒーローズコラボ龍石,"龍石購入時に入手できる特別な龍石
占いババの交換所で交換が可能",2,0,1036,1
1037,プレミアム超龍石9,"龍石購入時に入手できる紫色の龍石
占いババの交換所で交換が可能",2,0,1037,1
1038,ゴッド龍石16,"期間限定で入手できる赤い龍石
占いババの交換所で交換が可能",2,0,1038,1
1039,スーパー龍石11,"龍石購入時に入手できる青い龍石
占いババの交換所で交換が可能",2,0,1039,1
1040,メモリアル龍石3,"期間限定で入手できる特別な龍石
占いババの交換所で交換が可能
使用期限は10/4(火)16:59まで",2,0,1040,0
1041,プレミアム超龍石10,"龍石購入時に入手できる紫色の龍石
占いババの交換所で交換が可能",2,0,1041,1
1042,ゴッド龍石17,"期間限定で入手できる赤い龍石
占いババの交換所で交換が可能",2,0,1042,1
1043,ヒーローズコラボ龍石2,"龍石購入時に入手できる特別な龍石
占いババの交換所で交換が可能",2,0,1043,1
1044,ゴッド龍石18,"期間限定で入手できる赤い龍石
占いババの交換所で交換が可能",2,0,1044,1
1045,スーパー龍石12,"龍石購入時に入手できる青い龍石
占いババの交換所で交換が可能",2,0,1045,1
1046,ゴッド龍石19,"期間限定で入手できる赤い龍石
占いババの交換所で交換が可能",2,0,1046,1
1047,プレミアム超龍石11,"龍石購入時に入手できる紫色の龍石
占いババの交換所で交換が可能",2,0,1047,1
1048,スーパー龍石13,"龍石購入時に入手できる青い龍石
占いババの交換所で交換が可能",2,0,1048,1
1049,SELECT龍石,"期間限定で入手できる特別な赤い龍石
占いババの交換所で交換が可能",2,0,1049,1
1050,URプレミアム龍石,"龍石購入時に入手できる特別な紫色の龍石
占いババの交換所で交換が可能",2,0,1050,1
1051,LRプレミアム龍石,"龍石購入時に入手できる特別な紫色の龍石
占いババの交換所で交換が可能",2,0,1051,1
1052,メモリアル龍石4,"期間限定で入手できる特別な龍石
占いババの交換所で交換が可能
使用期限は10/5(木)16:59まで",2,0,1052,0
1053,ヒーローズコラボ龍石3,"龍石購入時に入手できる特別な龍石
占いババの交換所で交換が可能",2,0,1053,1
1054,スーパーSELECT龍石,"龍石購入時に入手できる特別な青い龍石
占いババの交換所で交換が可能",2,0,1054,1
1055,SELECT龍石2,"期間限定で入手できる特別な赤い龍石
占いババの交換所で交換が可能",2,0,1055,1
1056,SELECT龍石3,"期間限定で入手できる特別な赤い龍石
占いババの交換所で交換が可能",2,0,1056,1
1057,URプレミアム龍石2,"龍石購入時に入手できる特別な紫色の龍石
占いババの交換所で交換が可能",2,0,1057,1
1058,LRプレミアム龍石2,"龍石購入時に入手できる特別な紫色の龍石
占いババの交換所で交換が可能",2,0,1058,1
1059,SELECT龍石4,"期間限定で入手できる特別な赤い龍石
占いババの交換所で交換が可能",2,0,1059,1
1060,スーパーSELECT龍石2,"龍石購入時に入手できる特別な青い龍石
占いババの交換所で交換が可能",2,0,1060,1
2000,激闘の記憶,"大乱戦で獲得できる秘宝
占いババの交換所で様々なアイテムと交換が可能",2,0,2000,0
2001,結束の印,"チェインバトルで獲得できる秘宝
占いババの交換所でひみつの宝箱と交換が可能",2,0,2001,0
2002,団結の印,"チェインバトルで獲得できる秘宝
占いババの交換所でひみつの宝箱と交換が可能",2,0,2002,0
2003,バーストコイン,"バーストモードで獲得できる秘宝
コレクションルームでBGMと交換可能",0,0,2003,0
2004,バーストコイン(銀),"バーストモードで獲得できる秘宝
占いババの交換所で様々なアイテムと交換可能",0,0,2004,0
2100,試練の証1,"「目覚める力！新たな領域への試練」
ステージ1で獲得できる秘宝
占いババの交換所でひみつの宝箱と交換が可能",2,0,2100,0
2101,試練の証2,"「目覚める力！新たな領域への試練」
ステージ2で獲得できる秘宝
占いババの交換所でひみつの宝箱と交換が可能",2,0,2101,0
2102,ひみつの宝箱(EXスキル玉)開封券,"「さらなる力を求めて！神レベルの猛特訓」
などで獲得できる秘宝
占いババの交換所でひみつの宝箱と交換が可能",2,0,2102,0
2200,福引券,"期間限定で入手できる特別な秘宝
占いババの交換所でひみつの宝箱と交換が可能",2,0,2200,0
2201,福引券2024,"期間限定で入手できる特別な秘宝
占いババの交換所でひみつの宝箱と交換が可能",2,0,2201,0
3000,劇戦の書 第一巻,龍石購入時に入手できるアイテム,2,0,30,1
3001,劇戦の書 第二巻,龍石購入時に入手できるアイテム,2,0,31,1
3002,劇戦の書 第三巻,龍石購入時に入手できるアイテム,2,0,3002,1
3003,劇戦の書 第四巻,龍石購入時に入手できるアイテム,2,0,3003,1
3100,劇戦の書 孫家の巻,期間限定で入手できるアイテム,2,0,3100,0
3200,ベジータ王家の紋章,"期間限定で入手できる特別な秘宝
占いババの交換所で交換が可能",2,0,3200,0
3300,願いの短冊2,"七夕の期間に入手できる特別な秘宝
占いババの交換所で交換が可能",2,0,3300,0
3400,クリスマスベル2019,"メリークリスマスキャンペーン
の開催期間に入手できる特別な秘宝
占いババの交換所で交換が可能",2,0,3400,0
3401,クリスマスベル2020,"聖クリスマスキャンペーン
の開催期間に入手できる特別な秘宝
占いババの交換所で交換が可能",2,0,3401,0
3402,雪だるま2021,"わくわくいっぱい！ウィンターキャンペーン
の開催期間に入手できる特別な秘宝
占いババの交換所で交換が可能",2,0,3402,0
3403,雪だるま2022,"寒さに負けるな！冬のDOKKANキャンペーン
の開催期間に入手できる特別な秘宝
占いババの交換所で交換が可能",2,0,3403,0
3404,雪だるま2023,"アツさを解き放て！冬のDOKKANキャンペーン
の開催期間に入手できる特別な秘宝
占いババの交換所で交換が可能",2,0,3404,0
3500,5周年プレゼントCP応募券,"オリジナルグッズが当たる！
5周年プレゼントキャンペーンの
抽選に応募するための応募券",2,0,3500,0
3501,応募券2,"SDBH10周年記念コラボ！
ドッカンバトルプレゼントキャンペーンの
抽選に応募するための応募券",2,0,3501,0
3502,応募券3,"オリジナルグッズが当たる！
6周年プレゼントキャンペーンの
抽選に応募するための応募券",2,0,3502,0
3503,応募券4,"オリジナルグッズが当たる！
地球まるごと！ドッカンバトルプレゼントキャンペーンの
抽選に応募するための応募券",2,0,3503,0
3504,応募券5,"ドッカンバトル8周年の大感謝キャンペーンの
抽選に応募するための応募券",2,0,3504,0
3505,応募券6,"オリジナルグッズが当たる！
地球まるごと！ドッカンバトルプレゼントCP2023の
抽選に応募するための応募券",2,0,3505,0
3506,応募券7,"ドッカンバトル9th Anniversary Fans Meetingの
抽選に応募するための応募券",2,0,3506,0
3507,応募券8,"ドッカンバトル9周年の超感謝キャンペーンの
抽選に応募するための応募券",2,0,3507,0
3600,願いの短冊3,"七夕の期間に入手できる特別な秘宝
占いババの交換所で交換が可能",2,0,3600,0
3700,願いの短冊4,"七夕の期間に入手できる特別な秘宝
占いババの交換所で交換が可能",2,0,3700,0
3701,願いの短冊5,"七夕の期間に入手できる特別な秘宝
占いババの交換所で交換が可能",2,0,3701,0
3702,願いの短冊6,"七夕の期間に入手できる特別な秘宝
占いババの交換所で交換が可能",2,0,3702,0
3703,願いの短冊7,"七夕の期間に入手できる特別な秘宝
占いババの交換所で交換が可能",2,0,3703,0
4001,神王石,界王神からの試練で獲得できる秘宝,2,0,4001,0
5001,宇宙で大人気のスイーツ,"「宇宙最強！？大いなるポンタへの挑戦！」で
手に入る秘宝
占いババの交換所で交換が可能",2,1,5001,0
5002,高級チョコレート,"「復活！最強最悪の魔人」で手に入る秘宝
占いババの交換所で交換が可能",2,1,5002,0
7000,DOKKANフェスコイン,"対象のガシャから手に入る秘宝
占いババの交換所で交換が可能",3,0,7000,0
7001,伝説降臨コイン,"対象のガシャから手に入る秘宝
占いババの交換所で交換が可能",3,0,7001,0
7002,ガシャコイン,"対象のガシャから手に入る秘宝
占いババの交換所で交換が可能",3,0,7002,0
7003,祭コイン,"対象のガシャから手に入る秘宝
占いババの交換所で交換が可能",3,0,7003,0
7100,伝説降臨コイン(限定),"対象のガシャから手に入る秘宝
占いババの交換所で交換が可能",3,0,7100,0
7101,伝説降臨コイン(限定)2,"対象のガシャから手に入る秘宝
占いババの交換所で交換が可能",3,0,7101,0
7102,伝説降臨コイン(限定)3,"対象のガシャから手に入る秘宝
占いババの交換所で交換が可能",3,0,7102,0
7103,伝説降臨コイン(限定)4,"対象のガシャから手に入る秘宝
占いババの交換所で交換が可能",3,0,7103,0
