id,z_battle_normal_reward_table_group_id
733,427
734,427
735,427
736,427
737,428
738,428
739,428
740,428
741,429
742,429
743,429
744,429
745,430
746,430
747,430
748,430
749,431
750,431
751,431
752,431
753,432
754,432
755,432
756,432
757,433
758,433
759,433
760,433
761,433
762,434
763,434
764,434
765,434
766,434
767,435
768,435
769,435
770,435
771,435
772,436
773,436
774,436
775,436
776,436
777,437
778,437
779,437
780,437
781,437
782,438
783,438
784,438
785,438
786,438
787,439
788,440
789,440
790,441
791,441
792,442
793,442
794,443
795,443
796,444
797,444
798,445
799,445
800,446
801,446
802,447
803,447
804,448
805,448
806,449
807,449
808,450
809,450
810,451
811,451
812,452
814,454
815,455
816,455
817,456
818,457
819,458
820,459
821,460
822,461
823,462
824,462
825,462
826,462
827,462
828,463
829,464
830,465
831,466
832,467
833,468
834,469
835,470
836,471
837,472
838,473
839,474
841,476
842,477
843,478
844,479
845,480
846,481
847,482
848,483
849,483
850,484
851,484
852,485
853,485
854,486
855,486
856,487
857,487
858,488
859,488
860,489
861,490
862,491
863,492
864,493
865,494
866,495
867,496
869,498
870,499
871,499
872,499
873,499
874,500
875,500
876,500
877,500
878,501
879,501
880,501
881,501
882,502
883,502
884,502
885,502
886,503
887,503
888,503
889,503
890,504
891,504
892,504
893,504
894,505
895,506
896,507
897,508
898,509
899,510
900,511
901,512
902,513
903,514
904,515
905,516
906,517
907,518
908,519
909,520
910,521
911,522
912,523
913,524
914,525
915,526
916,527
917,528
918,529
94000,94000
94001,94001
94002,94002
94003,94003
94004,94004
94005,94005
95000,95000
95001,95000
95002,95000
95003,95000
95004,95000
95005,95000
95006,95000
95007,95000
95008,95001
95009,95001
95010,95001
95011,95001
95012,95001
95013,95001
95014,95001
95015,95001
95016,95002
95017,95002
95018,95002
95019,95002
95020,95002
95021,95002
95022,95002
95023,95002
95024,95003
95025,95003
95026,95003
95027,95003
95028,95003
95029,95003
95030,95003
95031,95003
95032,95004
95033,95004
95034,95004
95035,95004
95036,95004
95037,95004
95038,95004
95039,95004
95040,95005
95041,95005
95042,95005
95043,95005
95044,95005
95045,95005
95046,95005
95047,95005
96000,96000
97000,97000
97001,97001
97002,97002
97003,97003
97004,97004
97005,97005
98000,98000
98001,98001
98002,98002
98003,98003
98004,98004
98005,98005
99000,99000
99001,99000
99002,99000
99003,99000
99004,99000
99005,99001
99006,99001
99007,99001
99008,99001
99009,99001
99010,99002
99011,99002
99012,99002
99013,99002
99014,99002
99015,99003
99016,99003
99017,99003
99018,99003
99019,99003
99020,99004
99021,99004
99022,99004
99023,99004
99024,99004
99025,99005
99026,99005
99027,99005
99028,99005
99029,99005
100000,100000
101000,101000
102000,102000
103000,103000
103001,103001
103002,103002
103003,103003
103004,103004
103005,103005
104000,104000
104001,104001
104002,104002
104003,104003
104004,104004
104005,104005
105000,105000
106000,106000
106001,106001
106002,106002
106003,106003
106004,106004
106005,106005
107000,107000
108000,108000
109000,109000
110000,110000
110001,110001
110002,110002
110003,110003
110004,110004
110005,110005
111000,111000
112000,112000
112001,112001
112002,112002
112003,112003
112004,112004
112005,112005
113000,113000
114000,114000
114001,114001
114002,114002
114003,114003
114004,114004
114005,114005
115000,115000
115001,115000
115002,115000
115003,115001
115004,115001
115005,115001
115006,115002
115007,115002
115008,115002
115009,115003
115010,115003
115011,115003
115012,115004
115013,115004
115014,115004
115015,115005
115016,115005
115017,115005
116000,116000
116001,116001
116002,116002
116003,116003
116004,116004
116005,116005
117000,117000
117001,117000
117002,117001
117003,117001
117004,117002
117005,117002
117006,117003
117007,117003
117008,117004
117009,117004
117010,117005
117011,117005
118000,118000
119000,119000
119001,119001
119002,119002
119003,119003
119004,119004
119005,119005
120000,120000
120001,120001
120002,120002
120003,120003
120004,120004
120005,120005
121000,121000
121001,121001
121002,121002
121003,121003
121004,121004
121005,121005
122000,122000
122001,122000
122002,122001
122003,122001
122004,122002
122005,122002
122006,122003
122007,122003
122008,122004
122009,122004
122010,122005
122011,122005
123000,123000
123001,123001
123002,123002
123003,123003
123004,123004
123005,123005
124000,124000
125000,125000
125001,125001
125002,125002
125003,125003
125004,125004
125005,125005
126000,126000
126001,126000
126002,126000
126003,126000
126004,126000
126005,126000
126006,126000
126007,126000
126008,126001
126009,126001
126010,126001
126011,126001
126012,126001
126013,126001
126014,126001
126015,126001
126016,126002
126017,126002
126018,126002
126019,126002
126020,126002
126021,126002
126022,126002
126023,126002
126024,126003
126025,126003
126026,126003
126027,126003
126028,126003
126029,126003
126030,126003
126031,126003
126032,126004
126033,126004
126034,126004
126035,126004
126036,126004
126037,126004
126038,126004
126039,126004
126040,126005
126041,126005
126042,126005
126043,126005
126044,126005
126045,126005
126046,126005
126047,126005
127000,127000
128000,128000
129000,129000
129001,129001
129002,129002
129003,129003
129004,129004
129005,129005
130000,130000
131000,131000
132000,132000
132001,132001
132002,132002
132003,132003
132004,132004
132005,132005
133000,133000
134000,134000
135000,135000
136000,136000
136001,136001
136002,136002
136003,136003
136004,136004
136005,136005
137000,137000
138000,138000
138001,138001
138002,138002
138003,138003
138004,138004
138005,138005
139000,139000
139001,139001
139002,139002
139003,139003
139004,139004
139005,139005
140000,140000
141000,141000
142000,142000
142001,142001
142002,142002
142003,142003
142004,142004
142005,142005
144000,144000
144001,144001
144002,144002
144003,144003
144004,144004
144005,144005
145000,145000
146000,146000
147000,147000
147001,147000
147002,147000
147003,147000
147004,147001
147005,147001
147006,147001
147007,147001
147008,147002
147009,147002
147010,147002
147011,147002
147012,147003
147013,147003
147014,147003
147015,147003
147016,147004
147017,147004
147018,147004
147019,147004
147020,147005
147021,147005
147022,147005
147023,147005
148000,148000
701000,701000
702000,702000
703000,703000
704000,704000
